defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	chemical_entity	chemical_entity_label
http://purl.obolibrary.org/obo/HP_0045061	Decreased carnitine level in liver	http://purl.obolibrary.org/obo/UBERON_0002107	liver	http://purl.obolibrary.org/obo/CHEBI_17126	carnitine
http://purl.obolibrary.org/obo/HP_0040171	Decreased serum testosterone level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17347	testosterone
http://purl.obolibrary.org/obo/HP_0500152	Hypocystinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17376	cystine
http://purl.obolibrary.org/obo/HP_0045011	Decreased urine bicarbonate concentration	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_17544	hydrogencarbonate
http://purl.obolibrary.org/obo/HP_0008163	Decreased circulating cortisol level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17650	cortisol
http://purl.obolibrary.org/obo/HP_0012279	Hyposerinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17822	serine
http://purl.obolibrary.org/obo/HP_0012052	Low serum calcitriol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17823	calcitriol
http://purl.obolibrary.org/obo/HP_0012153	Hypotriglyceridemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17855	triglyceride
http://purl.obolibrary.org/obo/HP_0012053	Low serum calcifediol	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17933	calcidiol
http://purl.obolibrary.org/obo/HP_0003113	Hypochloremia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_17996	chloride
http://purl.obolibrary.org/obo/HP_0012601	Hypochloriduria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_17996	chloride
http://purl.obolibrary.org/obo/HP_0045014	Hypolipidemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_18059	lipid
http://purl.obolibrary.org/obo/HP_0500140	Decreased circulating hydroxyproline concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_18095	trans-4-hydroxy-L-proline
http://purl.obolibrary.org/obo/HP_0500133	Hypotyrosinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_18186	tyrosine
http://purl.obolibrary.org/obo/HP_0003572	Low plasma citrulline	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_18211	citrulline
http://purl.obolibrary.org/obo/HP_0012656	Reduced CSF dopamine level	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_18243	dopamine
http://purl.obolibrary.org/obo/HP_0500163	Hypoornithinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_18257	ornithine
http://purl.obolibrary.org/obo/HP_0012446	Low CSF 5-methyltetrahydrofolate	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_18608	5-methyltetrahydrofolate(2-)
http://purl.obolibrary.org/obo/HP_0012336	Reduced cerebrospinal fluid 5-methyltetrahydrofolate concentration	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_20612	5-methyltetrahydrofolate
http://purl.obolibrary.org/obo/HP_0040209	Decreased CSF biopterin level	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_22881	biopterins
http://purl.obolibrary.org/obo/HP_0008214	Decreased serum estradiol	http://purl.obolibrary.org/obo/UBERON_0001977	blood serum	http://purl.obolibrary.org/obo/CHEBI_23965	estradiol
http://purl.obolibrary.org/obo/HP_0500144	Hypoisoleucinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_24898	isoleucine
http://purl.obolibrary.org/obo/HP_0030086	Reduced CSF lactate	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_24996	lactate
http://purl.obolibrary.org/obo/HP_0500143	Hypoleucinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_25017	leucine
http://purl.obolibrary.org/obo/HP_0500142	Hypolysinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_25094	lysine
http://purl.obolibrary.org/obo/HP_0040205	Decreased CSF neopterin level	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_25500	neopterins
http://purl.obolibrary.org/obo/HP_0002148	Hypophosphatemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_26020	phosphate
http://purl.obolibrary.org/obo/HP_0012365	Hypophosphaturia	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_26020	phosphate
http://purl.obolibrary.org/obo/HP_0500139	Hypoprolinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_26271	proline
http://purl.obolibrary.org/obo/HP_0500136	Hypothreoninemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_26986	threonine
http://purl.obolibrary.org/obo/HP_0003537	Hypouricemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27226	uric acid
http://purl.obolibrary.org/obo/HP_0500132	Hypovalinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27266	valine
http://purl.obolibrary.org/obo/HP_0040087	Abnormal blood folate concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27470	folic acid
http://purl.obolibrary.org/obo/HP_0100507	Reduced blood folate concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27470	folic acid
http://purl.obolibrary.org/obo/HP_0410209	Folate deficiency in CSF	http://purl.obolibrary.org/obo/UBERON_0001359	cerebrospinal fluid	http://purl.obolibrary.org/obo/CHEBI_27470	folic acid
http://purl.obolibrary.org/obo/HP_0500145	Hypohistidinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27570	histidine
http://purl.obolibrary.org/obo/HP_0004319	Decreased circulating aldosterone level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27584	aldosterone
http://purl.obolibrary.org/obo/HP_0500135	Hypotryptophanemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_27897	tryptophan
http://purl.obolibrary.org/obo/HP_0500141	Hypophenylalaninemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_28044	phenylalanine
http://purl.obolibrary.org/obo/HP_0012270	Decreased muscle glycogen content	http://purl.obolibrary.org/obo/UBERON_0001630	muscle organ	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen
http://purl.obolibrary.org/obo/HP_0500147	Hypoglutaminemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_28300	glutamine
http://purl.obolibrary.org/obo/HP_0005961	Hypoargininemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_29016	arginine
http://purl.obolibrary.org/obo/HP_0012604	Hyponatriuria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_29101	sodium(1+)
http://purl.obolibrary.org/obo/HP_0040126	Abnormal vitamin B12 level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_30411	cobalamin
http://purl.obolibrary.org/obo/HP_0012403	Decreased urine alpha-ketoglutarate concentration	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_30915	2-oxoglutaric acid
http://purl.obolibrary.org/obo/HP_0030985	Decreased serum bile concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_3098	bile acid
http://purl.obolibrary.org/obo/HP_0045012	Decreased urinary catecholamine concentration	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_33567	catecholamine
http://purl.obolibrary.org/obo/HP_0002920	Decreased circulating ACTH level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_3892	corticotropin
http://purl.obolibrary.org/obo/HP_0003563	Decreased LDL cholesterol concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_39026	low-density lipoprotein
http://purl.obolibrary.org/obo/HP_0011935	Decreased urinary urate	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_46819	urate salt
http://purl.obolibrary.org/obo/HP_0031243	Decreased VLDL cholesterol concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_47773	very-low-density lipoprotein cholesterol
http://purl.obolibrary.org/obo/HP_0003233	Decreased HDL cholesterol concentration	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_47775	high-density lipoprotein cholesterol
http://purl.obolibrary.org/obo/HP_0010981	Hypolipoproteinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_50404	lipoprotein cholesterol
http://purl.obolibrary.org/obo/HP_0030344	Decreased circulating luteinizing hormone level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_81568	Luteinizing hormone
http://purl.obolibrary.org/obo/HP_0003073	Hypoalbuminemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_000003918	serum albumin
http://purl.obolibrary.org/obo/HP_0010683	Low tissue non-specific alkaline phosphatase	http://purl.obolibrary.org/obo/UBERON_0000479	blood	http://purl.obolibrary.org/obo/PR_000003968	"alkaline phosphatase, tissue-nonspecific isozyme"
http://purl.obolibrary.org/obo/HP_0410188	Decreased glucose-6-phosphate dehydrogenase level in red blood cells	http://purl.obolibrary.org/obo/CL_0000232	erythrocyte	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0410190	Decreased glucose-6-phosphate dehydrogenase level in leukocytes	http://purl.obolibrary.org/obo/CL_0000738	leukocyte	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0410179	Decreased glucose-6-phosphate dehydrogenase level in blood	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0410187	Decreased glucose-6-phosphate dehydrogenase level in tissue	http://purl.obolibrary.org/obo/UBERON_0000479	tissue	http://purl.obolibrary.org/obo/PR_000007749	glucose-6-phosphate 1-dehydrogenase
http://purl.obolibrary.org/obo/HP_0040216	Hypoinsulinemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_000009054	insulin
http://purl.obolibrary.org/obo/HP_0003292	Decreased serum leptin	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_000009758	leptin
http://purl.obolibrary.org/obo/HP_0003351	Decreased circulating renin level	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_000013883	renin
http://purl.obolibrary.org/obo/HP_0010837	Decreased serum ceruloplasmin	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PR_P00450	ceruloplasmin (human)
