source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	Positive bloodstream rapid plasma reagin test	HP:6000797	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream HIV p24 antigen test	HP:6000798	rdfs:label	es		NOT_TRANSLATED
en	Positive Quantiferon tuberculosis test	HP:6000799	rdfs:label	es		NOT_TRANSLATED
en	Tzanck smear with multinucleated giant cells	HP:6000800	rdfs:label	es		NOT_TRANSLATED
en	Positive Mazzotti test	HP:6000801	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream Tropheryma whippelii nucleic acid test	HP:6000802	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary 2,8-dihydroxyadenine level	HP:6000803	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine fructose level	HP:6000804	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary uroporphyrin level	HP:6000805	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary phosphohydroxylysine level	HP:6000806	rdfs:label	es		NOT_TRANSLATED
en	Cervical C6/C7 vertebrae fusion	HP:6000807	rdfs:label	es		NOT_TRANSLATED
en	Periumbilical depression	HP:6000808	rdfs:label	es		NOT_TRANSLATED
en	Thickened tibial cortex	HP:6000809	rdfs:label	es		NOT_TRANSLATED
en	Thickened femoral cortex	HP:6000810	rdfs:label	es		NOT_TRANSLATED
en	Thickened cortex of the radius	HP:6000811	rdfs:label	es		NOT_TRANSLATED
en	Thickened cortex of the ulna	HP:6000812	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating aspartate aminotransferase to alanine aminotransferase ratio	HP:6000813	rdfs:label	es		NOT_TRANSLATED
en	Temporomandibular joint dislocation	HP:6000814	rdfs:label	es		NOT_TRANSLATED
en	Amyloid goiter	HP:6000815	rdfs:label	es		NOT_TRANSLATED
en	Prominent lesser trochanter	HP:6000816	rdfs:label	es		NOT_TRANSLATED
en	Melorheostosis	HP:6000817	rdfs:label	es		NOT_TRANSLATED
en	Transverse terminal limb defect	HP:6000818	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating beta-glucuronidase activity	HP:6000819	rdfs:label	es		NOT_TRANSLATED
en	Elevated osmolality gap	HP:6000820	rdfs:label	es		NOT_TRANSLATED
en	Elevated circulating bile alcohol concentration	HP:6000821	rdfs:label	es		NOT_TRANSLATED
en	Elevated CSF tetrahydrobiopterin level	HP:6000822	rdfs:label	es		NOT_TRANSLATED
en	Elevated CSF 5-hydroxyindoleacetic acid concentration	HP:6000823	rdfs:label	es		NOT_TRANSLATED
en	Cerebrospinal fluid eosinophilia	HP:6000824	rdfs:label	es		NOT_TRANSLATED
en	Reduced C27 3beta-HSD activity in cultured fibroblasts	HP:6000825	rdfs:label	es		NOT_TRANSLATED
en	Reduced procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 activity in cultured fibroblasts	HP:6000826	rdfs:label	es		NOT_TRANSLATED
en	Diminished tissue fumarylacetoacetate hydrolase activity	HP:6000827	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue peptidase D activity	HP:6000828	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue glycine cleavage enzyme activity	HP:6000829	rdfs:label	es		NOT_TRANSLATED
en	Diminished alpha-ketoglutarate dehydrogenase activity in cultured fibroblasts	HP:6000830	rdfs:label	es		NOT_TRANSLATED
en	Increased circulating dihydroxycholestanoic acid concentration	HP:6000831	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue phosphorylase kinase activity	HP:6000832	rdfs:label	es		NOT_TRANSLATED
en	Hyperkalemia while symptomatic	HP:6000833	rdfs:label	es		NOT_TRANSLATED
en	Elevated urinary gamma-glutamylcysteine level	HP:6000834	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF mycobacterial culture	HP:6000835	rdfs:label	es		NOT_TRANSLATED
en	Positive respiratory tract nucleic acid pathogen test	HP:6000836	rdfs:label	es		NOT_TRANSLATED
en	Positive respiratory tract SARS-CoV-2 coronavirus nucleic acid test	HP:6000837	rdfs:label	es		NOT_TRANSLATED
en	Positive fecal cryptosporidium antigen test	HP:6000838	rdfs:label	es		NOT_TRANSLATED
en	Horizontal position of testicle	HP:6000839	rdfs:label	es		NOT_TRANSLATED
en	Localized soft-tissue swelling on extremity	HP:6000840	rdfs:label	es		NOT_TRANSLATED
en	Abnormal scleral thickness	HP:6000841	rdfs:label	es		NOT_TRANSLATED
en	Multiple eyelid beaded papules	HP:6000842	rdfs:label	es		NOT_TRANSLATED
en	Nonexudative conjunctivitis	HP:6000843	rdfs:label	es		NOT_TRANSLATED
en	Nematode in retina	HP:6000844	rdfs:label	es		NOT_TRANSLATED
en	Vascular compression of the eighth cranial nerve	HP:6000845	rdfs:label	es		NOT_TRANSLATED
en	Beaded bile ducts	HP:6000846	rdfs:label	es		NOT_TRANSLATED
en	Cardiac mass	HP:6000847	rdfs:label	es		NOT_TRANSLATED
en	Superior olive hypertrophy	HP:6000848	rdfs:label	es		NOT_TRANSLATED
en	Spinal extradural arachnoid cyst	HP:6000849	rdfs:label	es		NOT_TRANSLATED
en	Temporal cortex localization	HP:6000850	rdfs:label	es		NOT_TRANSLATED
en	Basilar meningeal enhancement	HP:6000851	rdfs:label	es		NOT_TRANSLATED
en	Megacolon	HP:6000852	rdfs:label	es		NOT_TRANSLATED
en	Thyroid cyst	HP:6000853	rdfs:label	es		NOT_TRANSLATED
en	Decreased circulating sulfate concentration	HP:6000854	rdfs:label	es		NOT_TRANSLATED
en	Cold intolerance	HP:6000855	rdfs:label	es		NOT_TRANSLATED
en	Head and neck distribution	HP:6000856	rdfs:label	es		NOT_TRANSLATED
en	Symmetric distribution	HP:6000857	rdfs:label	es		NOT_TRANSLATED
en	Muscle extensor surface location	HP:6000858	rdfs:label	es		NOT_TRANSLATED
en	Dermal foam cells	HP:6000859	rdfs:label	es		NOT_TRANSLATED
en	Diminished tissue very long-chain acyl-CoA dehydrogenase activity	HP:6000860	rdfs:label	es		NOT_TRANSLATED
en	Diminished tissue glycogen branching enzyme activity	HP:6000861	rdfs:label	es		NOT_TRANSLATED
en	Parotid adenoma	HP:6000862	rdfs:label	es		NOT_TRANSLATED
en	Elevated serum-ascites albumin gradient (SAAG)	HP:6000863	rdfs:label	es		NOT_TRANSLATED
en	Transverse smile	HP:6000864	rdfs:label	es		NOT_TRANSLATED
en	Hyperphalangy of the 4th finger	HP:6000865	rdfs:label	es		NOT_TRANSLATED
en	Delayed distal femoral epiphyseal ossification	HP:6000866	rdfs:label	es		NOT_TRANSLATED
en	Delayed tibial epiphyseal ossification	HP:6000867	rdfs:label	es		NOT_TRANSLATED
en	Toe hyperphalangy	HP:6000868	rdfs:label	es		NOT_TRANSLATED
en	Sclerotic ilium	HP:6000869	rdfs:label	es		NOT_TRANSLATED
en	Metaphyseal chevron deformity	HP:6000870	rdfs:label	es		NOT_TRANSLATED
en	Popcorn calcification	HP:6000871	rdfs:label	es		NOT_TRANSLATED
en	Aplasia/Hypoplasia of the calvaria	HP:6000872	rdfs:label	es		NOT_TRANSLATED
en	Bowdler spurs	HP:6000873	rdfs:label	es		NOT_TRANSLATED
en	Delayed ossification of the clavicle	HP:6000874	rdfs:label	es		NOT_TRANSLATED
en	Wide sacroiliac joint	HP:6000875	rdfs:label	es		NOT_TRANSLATED
en	Anti-Glutamate Receptor delta2 antibody positivity	HP:6000876	rdfs:label	es		NOT_TRANSLATED
en	Anti-dachshund family transcription factor 1 antibody positivity	HP:6000877	rdfs:label	es		NOT_TRANSLATED
en	Anti-potassium channel tetramerization domain containing 16 antibody positivity	HP:6000878	rdfs:label	es		NOT_TRANSLATED
en	Anti-regulator of G protein signaling 8 antibody positivity	HP:6000879	rdfs:label	es		NOT_TRANSLATED
en	Anti-neurochondrin antibody positivity	HP:6000880	rdfs:label	es		NOT_TRANSLATED
en	Anti-DCC netrin 1 receptor antibody positivity	HP:6000881	rdfs:label	es		NOT_TRANSLATED
en	Anti-recoverin antibody positivity	HP:6000882	rdfs:label	es		NOT_TRANSLATED
en	Recent history of sedation by propofol infusion	HP:6000883	rdfs:label	es		NOT_TRANSLATED
en	Enlarged humeral head	HP:6000884	rdfs:label	es		NOT_TRANSLATED
en	Enlarged radial head	HP:6000885	rdfs:label	es		NOT_TRANSLATED
en	Enlarged distal tibial epiphysis	HP:6000886	rdfs:label	es		NOT_TRANSLATED
en	Elevated blood bismuth concentration	HP:6000887	rdfs:label	es		NOT_TRANSLATED
en	Elevated urine bismuth level	HP:6000888	rdfs:label	es		NOT_TRANSLATED
en	Distal radioulnar joint dislocation	HP:6000889	rdfs:label	es		NOT_TRANSLATED
en	Proximal radioulnar joint dislocation	HP:6000890	rdfs:label	es		NOT_TRANSLATED
en	Absent toe phalanx flexion crease	HP:6000891	rdfs:label	es		NOT_TRANSLATED
en	White matter globoid cells	HP:6000892	rdfs:label	es		NOT_TRANSLATED
en	Gaucher cells	HP:6000893	rdfs:label	es		NOT_TRANSLATED
en	Breast adenoma	HP:6000894	rdfs:label	es		NOT_TRANSLATED
en	Breast apocrine adenoma	HP:6000895	rdfs:label	es		NOT_TRANSLATED
en	Fibrocystic breast lesion	HP:6000896	rdfs:label	es		NOT_TRANSLATED
en	Pancreatic VIPoma	HP:6000897	rdfs:label	es		NOT_TRANSLATED
en	Gastric carcinoid tumor	HP:6000898	rdfs:label	es		NOT_TRANSLATED
en	Posiitve skin scabies test	HP:6000899	rdfs:label	es		NOT_TRANSLATED
en	Positive mumps virus PCR test in the blood circulation	HP:6000900	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream tuberculosis-induced T-cell-based interferon-gamma release assay	HP:6000901	rdfs:label	es		NOT_TRANSLATED
en	Positive blood Neisseria gonorrhoeae culture	HP:6000902	rdfs:label	es		NOT_TRANSLATED
en	Anti-mumps antibody positivity	HP:6000903	rdfs:label	es		NOT_TRANSLATED
en	Positive Vibrio cholerae stool culture	HP:6000904	rdfs:label	es		NOT_TRANSLATED
en	Positive cutaneous varicella zoster virus nucleic acid test	HP:6000905	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream cryptococcus culture	HP:6000906	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream Borrelia miyamotoi nucleic acid test	HP:6000907	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream Coxsackievirus nucleic acid pathogen test	HP:6000908	rdfs:label	es		NOT_TRANSLATED
en	Positive stool Cryptosporidium antigen test	HP:6000909	rdfs:label	es		NOT_TRANSLATED
en	Diminished tissue alpha-L-iduronidase activity	HP:6000910	rdfs:label	es		NOT_TRANSLATED
en	Reduced tissue neuraminidase activity	HP:6000911	rdfs:label	es		NOT_TRANSLATED
en	Nummular keratitis	HP:6000912	rdfs:label	es		NOT_TRANSLATED
en	Swelling of inguinal region	HP:6000913	rdfs:label	es		NOT_TRANSLATED
en	Single lesion	HP:6000914	rdfs:label	es		NOT_TRANSLATED
en	Dysorthography	HP:6000915	rdfs:label	es		NOT_TRANSLATED
en	Echogenic fetal colon	HP:6000916	rdfs:label	es		NOT_TRANSLATED
en	Bone marrow edema	HP:6000917	rdfs:label	es		NOT_TRANSLATED
en	Transverse terminal upper limb defect	HP:6000918	rdfs:label	es		NOT_TRANSLATED
en	Trousseau sign	HP:6000919	rdfs:label	es		NOT_TRANSLATED
en	Craniocervical junction constriction	HP:6000920	rdfs:label	es		NOT_TRANSLATED
en	Fibular torsion	HP:6000921	rdfs:label	es		NOT_TRANSLATED
en	Abnormal finger phalanx ossification	HP:6000922	rdfs:label	es		NOT_TRANSLATED
en	Positive bloodstream EBV monospot test	HP:6000923	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF Toxoplasma gondii antibody positivity	HP:6000924	rdfs:label	es		NOT_TRANSLATED
en	Positive tuberculin skin test	HP:6000925	rdfs:label	es		NOT_TRANSLATED
en	Anti-Treponema pallidum antibody positivity	HP:6000926	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF Borrelia burgdorferi antibody positivity	HP:6000927	rdfs:label	es		NOT_TRANSLATED
en	Positive CSF JC-virus antibody positivity	HP:6000928	rdfs:label	es		NOT_TRANSLATED
en	Neutralizing anti-rabies virus antibody positivity	HP:6000929	rdfs:label	es		NOT_TRANSLATED
en	Impaired hepatobiliary scintigraphy tracer uptake	HP:6000930	rdfs:label	es		NOT_TRANSLATED
en	Calcified pulmonary nodule	HP:6000931	rdfs:label	es		NOT_TRANSLATED
en	Postprandial exacerbation	HP:6000932	rdfs:label	es		NOT_TRANSLATED
en	Koebner Phenomenon	HP:6000933	rdfs:label	es		NOT_TRANSLATED
en	Glenoid dysplasia	HP:6000934	rdfs:label	es		NOT_TRANSLATED
en	Prolonged retraction of penile foreskin	HP:6000935	rdfs:label	es		NOT_TRANSLATED
en	Thickened cortex of the clavicle	HP:6000936	rdfs:label	es		NOT_TRANSLATED
en	Thickened cortex of the mandible	HP:6000937	rdfs:label	es		NOT_TRANSLATED
en	Thumb hypoplasia grade 1	HP:6000938	rdfs:label	es		NOT_TRANSLATED
en	Thumb hypoplasia grade 2	HP:6000939	rdfs:label	es		NOT_TRANSLATED
en	Thumb hypoplasia grade 3A	HP:6000940	rdfs:label	es		NOT_TRANSLATED
en	Thumb hypoplasia grade 3B	HP:6000941	rdfs:label	es		NOT_TRANSLATED
en	Thumb hypoplasia grade 4	HP:6000942	rdfs:label	es		NOT_TRANSLATED
en	Femoral osteopoikilosis	HP:6000943	rdfs:label	es		NOT_TRANSLATED
en	Carotidynia	HP:6000944	rdfs:label	es		NOT_TRANSLATED
en	Asymmetric blood pressure between arms	HP:6000945	rdfs:label	es		NOT_TRANSLATED
en	Transverse terminal lower limb defect	HP:6000946	rdfs:label	es		NOT_TRANSLATED
en	Hemimelia of lower leg	HP:6000947	rdfs:label	es		NOT_TRANSLATED
