source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date	comment
en	Ambiguous genitalia	HP:0000062	rdfs:label	de	Zweideutige Genitalien	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypoplastic labia minora	HP:0000064	rdfs:label	de	Kleinwüchsige Schamlippen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Labial hypertrophy	HP:0000065	rdfs:label	de	Labialhypertrophie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Labial hypoplasia	HP:0000066	rdfs:label	de	Labiale Hypoplasie	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Hydroureter	HP:0000072	rdfs:label	de	Hydroureter	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Ureteral duplication	HP:0000073	rdfs:label	de	Verdoppelung des Harnleiters	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Ureteropelvic junction obstruction	HP:0000074	rdfs:label	de	Obstruktion des Ureteropelvic Junction	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Renal duplication	HP:0000075	rdfs:label	de	Doppelniere	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Vesicoureteral reflux	HP:0000076	rdfs:label	de	Vesikoureteraler Reflux	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the kidney	HP:0000077	rdfs:label	de	Abnormität der Niere	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the genital system	HP:0000078	rdfs:label	de	Anomalien des Genitalapparats	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Duplicated collecting system	HP:0000081	rdfs:label	de	Dupliziertes Sammelsystem	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Renal insufficiency	HP:0000083	rdfs:label	de	Niereninsuffizienz	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Horseshoe kidney	HP:0000085	rdfs:label	de	Hufeisenniere	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Ectopic kidney	HP:0000086	rdfs:label	de	Ektopische Niere	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal hypoplasia	HP:0000089	rdfs:label	de	Nierenhypoplasie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal tubular atrophy	HP:0000092	rdfs:label	de	Nierentubulusatrophie	OFFICIAL	orcid:0000-0002-9746-4412	DOMAIN_EXPERT	2024-12-10	
en	Proteinuria	HP:0000093	rdfs:label	de	Proteinurie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Glomerular sclerosis	HP:0000096	rdfs:label	de	Glomeruläre Sklerose	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Focal segmental glomerulosclerosis	HP:0000097	rdfs:label	de	Fokale segmentale Glomerulosklerose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Tall stature	HP:0000098	rdfs:label	de	Hochwuchs	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Glomerulonephritis	HP:0000099	rdfs:label	de	Glomerulonephritis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Nephrotic syndrome	HP:0000100	rdfs:label	de	Nephrotisches Syndrom	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Polyuria	HP:0000103	rdfs:label	de	Polyurie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal agenesis	HP:0000104	rdfs:label	de	Nieren-Agenesie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Enlarged kidney	HP:0000105	rdfs:label	de	Vergrößerte Niere	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal cyst	HP:0000107	rdfs:label	de	Nierenzyste	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal corticomedullary cysts	HP:0000108	rdfs:label	de	Kortikomedulläre Nierenzysten	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Renal dysplasia	HP:0000110	rdfs:label	de	Nierendysplasie (Nierenfehlbildung)	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Polycystic kidney dysplasia	HP:0000113	rdfs:label	de	Polyzystische Nierendysplasie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal phosphate wasting	HP:0000117	rdfs:label	de	Nierenphosphatverlust	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Abnormality of the genitourinary system	HP:0000119	rdfs:label	de	Anomalien des Urogenitalsystems	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Nephrocalcinosis	HP:0000121	rdfs:label	de	Nephrokalzinose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Unilateral renal agenesis	HP:0000122	rdfs:label	de	Einseitige Nieren-Agenesie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Pelvic kidney	HP:0000125	rdfs:label	de	Beckenniere	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hydronephrosis	HP:0000126	rdfs:label	de	Hydronephrose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Renal salt wasting	HP:0000127	rdfs:label	de	Salzverlust der Nieren	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Menorrhagia	HP:0000132	rdfs:label	de	Menorrhagie	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Hypogonadism	HP:0000135	rdfs:label	de	Hypogonadismus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Ovarian cyst	HP:0000138	rdfs:label	de	Eierstockzyste	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Rectovaginal fistula	HP:0000143	rdfs:label	de	Rektovaginale Fistel	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Polycystic ovaries	HP:0000147	rdfs:label	de	Polyzystische Eierstöcke	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Wide mouth	HP:0000154	rdfs:label	de	Breiter Mund	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Oral ulcer	HP:0000155	rdfs:label	de	Orales Geschwür	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Macroglossia	HP:0000158	rdfs:label	de	Makroglossie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Narrow mouth	HP:0000160	rdfs:label	de	Enger Mund	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Median cleft upper lip	HP:0000161	rdfs:label	de	Mediane Oberlippenspalte	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Glossoptosis	HP:0000162	rdfs:label	de	Glossoptose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the dentition	HP:0000164	rdfs:label	de	Abnormität des Gebisses	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Severe periodontitis	HP:0000166	rdfs:label	de	Schwere Parodontitis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the gingiva	HP:0000168	rdfs:label	de	Abnormität der Gingiva	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Gingival fibromatosis	HP:0000169	rdfs:label	de	Gingivafibromatose	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Microglossia	HP:0000171	rdfs:label	de	Mikroglossie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Cleft palate	HP:0000175	rdfs:label	de	Gaumenspalte	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Submucous cleft hard palate	HP:0000176	rdfs:label	de	Submuköse Gaumenspalte	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormal upper lip morphology	HP:0000177	rdfs:label	de	Abnormale Morphologie der Oberlippe	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Thick lower lip vermilion	HP:0000179	rdfs:label	de	Dickes Unterlippenzinnoberleder	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Lobulated tongue	HP:0000180	rdfs:label	de	Gelappte Zunge	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Cleft soft palate	HP:0000185	rdfs:label	de	Weichgaumenspalte	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Broad alveolar ridges	HP:0000187	rdfs:label	de	Breite Alveolarkämme	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Narrow palate	HP:0000189	rdfs:label	de	Enger Gaumen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Accessory oral frenulum	HP:0000191	rdfs:label	de	Zusätzliches orales Frenulum	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Bifid uvula	HP:0000193	rdfs:label	de	Gekrümmtes Zäpfchen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Open mouth	HP:0000194	rdfs:label	de	Offener Mund	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Pierre-Robin sequence	HP:0000201	rdfs:label	de	Pierre-Robin-Sequenz	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Orofacial cleft	HP:0000202	rdfs:label	de	Gesichtsschädelspalte (Orofacial cleft)	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Pursed lips	HP:0000205	rdfs:label	de	Geschürzte Lippen	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Triangular mouth	HP:0000207	rdfs:label	de	Dreieckiger Mund	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Gingival overgrowth	HP:0000212	rdfs:label	de	Überwucherndes Zahnfleisch	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Thick upper lip vermilion	HP:0000215	rdfs:label	de	Dickes Oberlippenzinnoberrot	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	High palate	HP:0000218	rdfs:label	de	Hoher Gaumen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Thin upper lip vermilion	HP:0000219	rdfs:label	de	Dünnes Oberlippenzinnoberleder	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Velopharyngeal insufficiency	HP:0000220	rdfs:label	de	Velopharyngeale Insuffizienz	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Furrowed tongue	HP:0000221	rdfs:label	de	Gefurchte Zunge	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Gingival bleeding	HP:0000225	rdfs:label	de	Zahnfleischbluten	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Gingivitis	HP:0000230	rdfs:label	de	Zahnfleischentzündung	OFFICIAL	orcid:0000-0002-9746-4412	DOMAIN_EXPERT	2024-12-10	
en	Everted lower lip vermilion	HP:0000232	rdfs:label	de	Evertierte Unterlippe Zinnoberrot	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Thin vermilion border	HP:0000233	rdfs:label	de	Dünner Zinnoberrand	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hydrocephalus	HP:0000238	rdfs:label	de	Hydrozephalus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Large fontanelles	HP:0000239	rdfs:label	de	Große Fontanellen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of skull size	HP:0000240	rdfs:label	de	Abnormität der Schädelgröße	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Parietal bossing	HP:0000242	rdfs:label	de	Scheitelbuckel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Trigonocephaly	HP:0000243	rdfs:label	de	Trigonozephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Brachyturricephaly	HP:0000244	rdfs:label	de	Brachyturricephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Sinusitis	HP:0000246	rdfs:label	de	Nasennebenhöhlenentzündung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Brachycephaly	HP:0000248	rdfs:label	de	Brachyzephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Microcephaly	HP:0000252	rdfs:label	de	Mikrozephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Progressive microcephaly	HP:0000253	rdfs:label	de	Fortschreitende Mikrozephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Macrocephaly	HP:0000256	rdfs:label	de	Makrozephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Wide anterior fontanel	HP:0000260	rdfs:label	de	Breite vordere Fontanelle	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Turricephaly	HP:0000262	rdfs:label	de	Turricephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Mastoiditis	HP:0000265	rdfs:label	de	Mastoiditis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Dolichocephaly	HP:0000268	rdfs:label	de	Dolichozephalie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Prominent occiput	HP:0000269	rdfs:label	de	Vorstehendes Hinterhaupt	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Delayed cranial suture closure	HP:0000270	rdfs:label	de	Verspäteter Verschluss der Schädelnaht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the face	HP:0000271	rdfs:label	de	Abnormität des Gesichts	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Malar flattening	HP:0000272	rdfs:label	de	Abflachung der Ohrmuschel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Small face	HP:0000274	rdfs:label	de	Kleines Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Narrow face	HP:0000275	rdfs:label	de	Schmales Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Long face	HP:0000276	rdfs:label	de	Langes Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormal mandible morphology	HP:0000277	rdfs:label	de	Abnorme Morphologie des Unterkiefers	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Retrognathia	HP:0000278	rdfs:label	de	Retrognathie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Coarse facial features	HP:0000280	rdfs:label	de	Grobschlächtige Gesichtszüge	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Broad face	HP:0000283	rdfs:label	de	Breites Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Epicanthus	HP:0000286	rdfs:label	de	Epikanthus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Increased facial adipose tissue	HP:0000287	rdfs:label	de	Vermehrtes Fettgewebe im Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the philtrum	HP:0000288	rdfs:label	de	Anomalie des Philtrums	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Broad philtrum	HP:0000289	rdfs:label	de	Breites Philtrum	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Full cheeks	HP:0000293	rdfs:label	de	Volle Wangen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Low anterior hairline	HP:0000294	rdfs:label	de	Niedriger vorderer Haaransatz	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Facial hypotonia	HP:0000297	rdfs:label	de	Hypotonie im Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Mask-like facies	HP:0000298	rdfs:label	de	Maskenhaftes Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Oval face	HP:0000300	rdfs:label	de	Ovales Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of facial musculature	HP:0000301	rdfs:label	de	Abnormität der Gesichtsmuskulatur	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Mandibular prognathia	HP:0000303	rdfs:label	de	Unterkiefer-Prognathie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Pointed chin	HP:0000307	rdfs:label	de	Spitzes Kinn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Microretrognathia	HP:0000308	rdfs:label	de	Mikroretrognathie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Round face	HP:0000311	rdfs:label	de	Rundes Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypertelorism	HP:0000316	rdfs:label	de	Hypertelorismus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Smooth philtrum	HP:0000319	rdfs:label	de	Glattes	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Bird-like facies	HP:0000320	rdfs:label	de	Vogelähnliche Gesichtszüge	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Square face	HP:0000321	rdfs:label	de	Quadratisches Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Short philtrum	HP:0000322	rdfs:label	de	Kurzes Philtrum	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Facial asymmetry	HP:0000324	rdfs:label	de	Asymmetrie im Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Triangular face	HP:0000325	rdfs:label	de	Dreieckiges Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypoplasia of the maxilla	HP:0000327	rdfs:label	de	Hypoplasie des Oberkiefers	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Short chin	HP:0000331	rdfs:label	de	Kurzes Kinn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Prominent supraorbital ridges	HP:0000336	rdfs:label	de	Ausgeprägte supraorbitale Grate	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Broad forehead	HP:0000337	rdfs:label	de	Breite Stirn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hypomimic face	HP:0000338	rdfs:label	de	Hypomimisches Gesicht	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Sloping forehead	HP:0000340	rdfs:label	de	Schräge Stirn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Narrow forehead	HP:0000341	rdfs:label	de	Schmale Stirn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Long philtrum	HP:0000343	rdfs:label	de	Langes Philtrum	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Whistling appearance	HP:0000346	rdfs:label	de	Pfeifendes Aussehen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Micrognathia	HP:0000347	rdfs:label	de	Mikrognathie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	High forehead	HP:0000348	rdfs:label	de	Hohe Stirn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Widow's peak	HP:0000349	rdfs:label	de	Witwenscheitel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Small forehead	HP:0000350	rdfs:label	de	Schmale Stirn	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the outer ear	HP:0000356	rdfs:label	de	Anomalie des äußeren Ohrs	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Posteriorly rotated ears	HP:0000358	rdfs:label	de	Nach hinten gedrehte Ohren	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Tinnitus	HP:0000360	rdfs:label	de	Tinnitus	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hearing abnormality	HP:0000364	rdfs:label	de	Hörstörung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Hearing impairment	HP:0000365	rdfs:label	de	Schwerhörigkeit	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormality of the nose	HP:0000366	rdfs:label	de	Abnormität der Nase	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	obsolete Low-set, posteriorly rotated ears	HP:0000368	rdfs:label	de	Tiefsitzende, nach hinten rotierte Ohren	CANDIDATE	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Low-set ears	HP:0000369	rdfs:label	de	Tief angesetzte Ohren	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Incomplete partition of the cochlea type II	HP:0000376	rdfs:label	de	Unvollständige Teilung der Cochlea Typ II	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Abnormal pinna morphology	HP:0000377	rdfs:label	de	Abnorme Morphologie der Ohrmuscheln	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Cupped ear	HP:0000378	rdfs:label	de	Ohrmuschel	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Preauricular skin tag	HP:0000384	rdfs:label	de	Präaurikulärer Hautausschlag	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Small earlobe	HP:0000385	rdfs:label	de	Kleines Ohrläppchen	OFFICIAL	orcid:0000-0002-0736-9199	DOMAIN_EXPERT	2024-12-10	
en	Otitis media	HP:0000388	rdfs:label	de	Mittelohrentzündung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Chronic otitis media	HP:0000389	rdfs:label	de	Chronische Mittelohrentzündung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Thickened helices	HP:0000391	rdfs:label	de	Verdickte Helixen	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Lop ear	HP:0000394	rdfs:label	de	Lappenohr	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Prominent antihelix	HP:0000395	rdfs:label	de	Ausgeprägte Antihelix	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Overfolded helix	HP:0000396	rdfs:label	de	Übergefaltete Spirale	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Prelingual sensorineural hearing impairment	HP:0000399	rdfs:label	de	Vorsprachliche Schallempfindungsschwerhörigkeit	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Macrotia	HP:0000400	rdfs:label	de	Makrotie	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Stenosis of the external auditory canal	HP:0000402	rdfs:label	de	Stenose des äußeren Gehörganges	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Recurrent otitis media	HP:0000403	rdfs:label	de	Wiederkehrende Mittelohrentzündung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Conductive hearing impairment	HP:0000405	rdfs:label	de	Schallleitungsschwerhörigkeit	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Sensorineural hearing impairment	HP:0000407	rdfs:label	de	Schallempfindungsschwerhörigkeit	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Mixed hearing impairment	HP:0000410	rdfs:label	de	Gemischte Hörstörung	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Protruding ear	HP:0000411	rdfs:label	de	Abstehendes Ohr	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Atresia of the external auditory canal	HP:0000413	rdfs:label	de	Atresie des äußeren Gehörganges	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Bulbous nose	HP:0000414	rdfs:label	de	Knollennase	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Narrow nasal ridge	HP:0000418	rdfs:label	de	Enger Nasenrücken	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Epistaxis	HP:0000421	rdfs:label	de	Epistaxis	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
en	Prominent nasal bridge	HP:0000426	rdfs:label	de	Ausgeprägter Nasenrücken	CANDIDATE	DeepL	ALGORITHM	2024-05-08	preview
