subject_id	source_language	translation_language	predicate_id	comment	source_value	translation_status	translation_value
HP:0000014	en	fr	rdfs:label	label of HP:0000014 (Abnormality of the bladder)  ; abnormality of the genitourinary system	Abnormality of the bladder	OFFICIAL	Anomalie vésicale
HP:0000015	en	fr	IAO:0000115	definition of HP:0000015 (Bladder diverticulum)  ; abnormality of the genitourinary system	Diverticulum (sac or pouch) in the wall of the urinary bladder.	OFFICIAL	Diverticule (petit sac ou poche) qui survient au niveau de la paroi de la vessie
HP:0000015	en	fr	rdfs:label	label of HP:0000015 (Bladder diverticulum)  ; abnormality of the genitourinary system	Bladder diverticulum	OFFICIAL	Diverticule de la vessie
HP:0000016	en	fr	IAO:0000115	definition of HP:0000016 (Urinary retention)  ; abnormality of the genitourinary system	Inability to completely empty the urinary bladder during the process of urination.	OFFICIAL	Incapacité de vider complètement la vessie au cours de la miction
HP:0000016	en	fr	rdfs:label	label of HP:0000016 (Urinary retention)  ; abnormality of the genitourinary system	Urinary retention	OFFICIAL	Rétention urinaire
HP:0000017	en	fr	IAO:0000115	definition of HP:0000017 (Nocturia)  ; abnormality of the genitourinary system	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.	OFFICIAL	Augmentation anormale de la production d'urine pendant la nuit conduisant à un besoin anormalement fréquent d'uriner
HP:0000017	en	fr	rdfs:label	label of HP:0000017 (Nocturia)  ; abnormality of the genitourinary system	Nocturia	OFFICIAL	Nycturie
HP:0000019	en	fr	IAO:0000115	definition of HP:0000019 (Urinary hesitancy)  ; abnormality of the genitourinary system	Difficulty in beginning the process of urination.	OFFICIAL	Retard à l'initiation de la miction
HP:0000019	en	fr	rdfs:label	label of HP:0000019 (Urinary hesitancy)  ; abnormality of the genitourinary system	Urinary hesitancy	OFFICIAL	Impériosité urinaire
HP:0000020	en	fr	IAO:0000115	definition of HP:0000020 (Urinary incontinence)  ; constitutional symptom ; abnormality of the genitourinary system	Loss of the ability to control the urinary bladder leading to involuntary urination.	OFFICIAL	Perte de la capacité à contrôler la vessie conduisant à une miction involontaire
HP:0000020	en	fr	rdfs:label	label of HP:0000020 (Urinary incontinence)  ; constitutional symptom ; abnormality of the genitourinary system	Urinary incontinence	OFFICIAL	Incontinence urinaire
HP:0000020	en	fr	rdfs:label	label of HP:0000020 (Urinary incontinence)  ; constitutional symptom ; abnormality of the genitourinary system	Urinary incontinence	OFFICIAL	Incontinence urinaire
HP:0000021	en	fr	IAO:0000115	definition of HP:0000021 (Megacystis)  ; abnormality of the genitourinary system	Dilatation of the bladder postnatally.	OFFICIAL	Dilatation vésicale post-natale
HP:0000021	en	fr	rdfs:label	label of HP:0000021 (Megacystis)  ; abnormality of the genitourinary system	Megacystis	OFFICIAL	Mégavessie
HP:0000022	en	fr	IAO:0000115	definition of HP:0000022 (Abnormality of male internal genitalia)  ; abnormality of the genitourinary system	An abnormality of the male internal genitalia.	OFFICIAL	Une anomalie des organes génitaux internes masculins
HP:0000022	en	fr	rdfs:label	label of HP:0000022 (Abnormality of male internal genitalia)  ; abnormality of the genitourinary system	Abnormal male internal genitalia morphology	CANDIDATE	Anomalie des organes génitaux internes masculins
HP:0000023	en	fr	IAO:0000115	definition of HP:0000023 (Inguinal hernia)  ; abnormality of the digestive system ; abnormality of connective tissue	Protrusion of the contents of the abdominal cavity through the inguinal canal.	OFFICIAL	Protrusion de viscères abdominales au travers du canal inguinal
HP:0000023	en	fr	rdfs:label	label of HP:0000023 (Inguinal hernia)  ; abnormality of the digestive system ; abnormality of connective tissue	Inguinal hernia	OFFICIAL	Hernie inguinale
HP:0000024	en	fr	IAO:0000115	definition of HP:0000024 (Prostatitis)  ; abnormality of the genitourinary system ; abnormality of the immune system	The presence of inflammation of the prostate.	OFFICIAL	Présence d'une inflammation de la prostate
HP:0000024	en	fr	rdfs:label	label of HP:0000024 (Prostatitis)  ; abnormality of the genitourinary system ; abnormality of the immune system	Prostatitis	OFFICIAL	Prostatite
HP:0000025	en	fr	rdfs:label	label of HP:0000025 (Functional abnormality of male internal genitalia)  ; abnormality of the genitourinary system	Functional abnormality of male internal genitalia	OFFICIAL	Anomalie fonctionnelle des organes génitaux internes masculins
HP:0000026	en	fr	IAO:0000115	definition of HP:0000026 (Male hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.	OFFICIAL	Déficit de fonctionnement des gonades masculines (les testicules) entraînant une réduction de la spermatogenèse et de la synthèse de la testostérone
HP:0000026	en	fr	rdfs:label	label of HP:0000026 (Male hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Male hypogonadism	OFFICIAL	Hypogonadisme masculin
HP:0000027	en	fr	IAO:0000115	definition of HP:0000027 (Azoospermia)  ; abnormality of the genitourinary system	Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.	CANDIDATE	Absence totale de spermatozoïdes dans le sperme
HP:0000027	en	fr	rdfs:label	label of HP:0000027 (Azoospermia)  ; abnormality of the genitourinary system	Azoospermia	OFFICIAL	Azoospermie
HP:0000028	en	fr	IAO:0000115	definition of HP:0000028 (Cryptorchidism)  ; abnormality of the genitourinary system	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.	CANDIDATE	Testicule bloqué dans le canal inguinal. Autrement dit, absence d'un ou des deux testicules dans le scrotum en raison d'un arrêt de la migration du (ou des) testicule(s) lors de son (leur) trajet de descente le long du canal inguinal
HP:0000028	en	fr	rdfs:label	label of HP:0000028 (Cryptorchidism)  ; abnormality of the genitourinary system	Cryptorchidism	OFFICIAL	Cryptorchidie
HP:0000029	en	fr	IAO:0000115	definition of HP:0000029 (Testicular atrophy)  ; abnormality of the genitourinary system	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	OFFICIAL	Dégénérescence (atrophie) des testicules (les gonades mâles) qui se traduit par une diminution de la taille des testicules et éventuellement une perte de la fertilité
HP:0000029	en	fr	rdfs:label	label of HP:0000029 (Testicular atrophy)  ; abnormality of the genitourinary system	Testicular atrophy	OFFICIAL	Atrophie testiculaire
HP:0000030	en	fr	IAO:0000115	definition of HP:0000030 (Testicular gonadoblastoma)  ; abnormality of the genitourinary system ; neoplasm	The presence of a gonadoblastoma of the testis.	OFFICIAL	Présence d'un gonadoblastome dans les testicules
HP:0000030	en	fr	rdfs:label	label of HP:0000030 (Testicular gonadoblastoma)  ; abnormality of the genitourinary system ; neoplasm	Testicular gonadoblastoma	OFFICIAL	Gonadoblastome testiculaire
HP:0000031	en	fr	IAO:0000115	definition of HP:0000031 (Epididymitis)  ; abnormality of the genitourinary system ; abnormality of the immune system	The presence of inflammation of the epididymis.	OFFICIAL	Inflammation de l'épididyme
HP:0000031	en	fr	rdfs:label	label of HP:0000031 (Epididymitis)  ; abnormality of the genitourinary system ; abnormality of the immune system	Epididymitis	OFFICIAL	Epididymite
HP:0000032	en	fr	IAO:0000115	definition of HP:0000032 (Abnormality of male external genitalia)  ; abnormality of the genitourinary system	Any structural abnormality of male external genitalia.	CANDIDATE	Anomalie des organes génitaux masculins externes
HP:0000032	en	fr	rdfs:label	label of HP:0000032 (Abnormality of male external genitalia)  ; abnormality of the genitourinary system	Abnormal male external genitalia morphology	CANDIDATE	Anomalie des organes génitaux masculins externes
HP:0000033	en	fr	IAO:0000115	definition of HP:0000033 (Ambiguous genitalia, male)  ; abnormality of the genitourinary system	Ambiguous genitalia in an individual with XY genetic gender.	OFFICIAL	Organes génitaux ambigus chez un individu de génotype XY
HP:0000033	en	fr	rdfs:label	label of HP:0000033 (Ambiguous genitalia, male)  ; abnormality of the genitourinary system	Ambiguous genitalia, male	OFFICIAL	Ambiguïté sexuelle masculine
HP:0000034	en	fr	IAO:0000115	definition of HP:0000034 (Hydrocele testis)  ; abnormality of the genitourinary system	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.	OFFICIAL	Épanchement de liquide dans la membrane séreuse (tunique vaginale) qui enveloppe les testicules
HP:0000034	en	fr	rdfs:label	label of HP:0000034 (Hydrocele testis)  ; abnormality of the genitourinary system	Hydrocele testis	OFFICIAL	Hydrocèle testiculaire
HP:0000035	en	fr	IAO:0000115	definition of HP:0000035 (Abnormality of the testis)  ; abnormality of the genitourinary system	An anomaly of the testicle (the male gonad).	OFFICIAL	Une anomalie touchant les testicules (les gonades mâles)
HP:0000035	en	fr	rdfs:label	label of HP:0000035 (Abnormality of the testis)  ; abnormality of the genitourinary system	Abnormal testis morphology	CANDIDATE	Anomalie des testicules
HP:0000036	en	fr	rdfs:label	label of HP:0000036 (Abnormality of the penis)  ; abnormality of the genitourinary system	Abnormal penis morphology	CANDIDATE	Anomalie du pénis
HP:0000037	en	fr	IAO:0000115	definition of HP:0000037 (Male pseudohermaphroditism)  ; abnormality of the genitourinary system	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.	OFFICIAL	L’hermaphrodisme désigne une divergence entre la morphologie des gonades et celle des organes génitaux externes. Dans le cas d'une variation du développement génital masculin, le génotype est masculin (XY) et les organes génitaux externes sont soit masculins mais peu développés, ambigus, ou entièrement féminins. Si les gonades sont présentes, il s'agira de testicules
HP:0000037	en	fr	rdfs:label	label of HP:0000037 (Male pseudohermaphroditism)  ; abnormality of the genitourinary system	Male pseudohermaphroditism	OFFICIAL	Pseudohermaphrodisme masculin
HP:0000037	en	fr	rdfs:label	label of HP:0000037 (Male pseudohermaphroditism)  ; abnormality of the genitourinary system	Male pseudohermaphroditism	OFFICIAL	Pseudohermaphrodisme masculin
HP:0000039	en	fr	IAO:0000115	definition of HP:0000039 (Epispadias)  ; abnormality of the genitourinary system	Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.	CANDIDATE	Malposition urétrale, ouvert sur la face dorsale (supérieur) du pénis
HP:0000039	en	fr	rdfs:label	label of HP:0000039 (Epispadias)  ; abnormality of the genitourinary system	Epispadias	OFFICIAL	Epispadias
HP:0000040	en	fr	IAO:0000115	definition of HP:0000040 (Long penis)  ; abnormality of the genitourinary system	Penile length more than 2 SD above the mean for age.	OFFICIAL	Longueur du pénis supérieure à 2 DS par rapport à l'âge
HP:0000040	en	fr	rdfs:label	label of HP:0000040 (Long penis)  ; abnormality of the genitourinary system	Long penis	OFFICIAL	Pénis allongé
HP:0000041	en	fr	IAO:0000115	definition of HP:0000041 (Chordee)  ; abnormality of the genitourinary system	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.	OFFICIAL	Angulation ventrale, latérale, ou ventro-latérale de la verge ou du gland pénien de plus de 30 degrés
HP:0000041	en	fr	rdfs:label	label of HP:0000041 (Chordee)  ; abnormality of the genitourinary system	Chordee	OFFICIAL	Chordée pénienne
HP:0000042	en	fr	IAO:0000115	definition of HP:0000042 (Absent external genitalia)  ; abnormality of the genitourinary system	Lack of external genitalia in a male or female individual.	OFFICIAL	Absence d'organes génitaux externes chez un individu masculin ou féminin
HP:0000042	en	fr	rdfs:label	label of HP:0000042 (Absent external genitalia)  ; abnormality of the genitourinary system	Absent external genitalia	OFFICIAL	Organes génitaux externes absents
HP:0000044	en	fr	IAO:0000115	definition of HP:0000044 (Hypogonadotrophic hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).	OFFICIAL	L'hypogonadisme hypogonadotrope est caractérisé par une fonction réduite des gonades (testicules chez l'homme, ovaires chez la femme) et résultant de la diminution des hormones gonadotrophiques : hormones folliculo-stimulante (FSH) et lutéinisante (LH)
HP:0000044	en	fr	rdfs:label	label of HP:0000044 (Hypogonadotrophic hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Hypogonadotropic hypogonadism	CANDIDATE	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000044	en	fr	rdfs:label	label of HP:0000044 (Hypogonadotrophic hypogonadism)  ; abnormality of the endocrine system ; abnormality of the genitourinary system	Hypogonadotropic hypogonadism	CANDIDATE	Gonadotrophines basses (hypogonadisme secondaire)
HP:0000045	en	fr	rdfs:label	label of HP:0000045 (Abnormality of the scrotum)  ; abnormality of the genitourinary system	Abnormal scrotum morphology	CANDIDATE	Anomalie scrotale
HP:0000046	en	fr	rdfs:label	label of HP:0000046 (Scrotal hypoplasia)  ; abnormality of the genitourinary system	Small scrotum	CANDIDATE	Hypoplasie scrotale
HP:0000047	en	fr	IAO:0000115	definition of HP:0000047 (Hypospadias)  ; abnormality of the genitourinary system	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.	OFFICIAL	Position anormale du méat urétral sur la partie ventrale du pénis (dessous) caractérisée par le déplacement du méat urétral de l'extrémité du gland pénien vers la surface ventrale du pénis, du scrotum ou du périnée
HP:0000047	en	fr	rdfs:label	label of HP:0000047 (Hypospadias)  ; abnormality of the genitourinary system	Hypospadias	OFFICIAL	Hypospadias
HP:0000048	en	fr	IAO:0000115	definition of HP:0000048 (Bifid scrotum)  ; abnormality of the genitourinary system	Midline indentation or cleft of the scrotum.	OFFICIAL	Indentation de la ligne médiane ou fente du scrotum
HP:0000048	en	fr	rdfs:label	label of HP:0000048 (Bifid scrotum)  ; abnormality of the genitourinary system	Bifid scrotum	OFFICIAL	Scrotum bifide
HP:0000049	en	fr	IAO:0000115	definition of HP:0000049 (Shawl scrotum)  ; abnormality of the genitourinary system	Superior margin of the scrotum superior to the base of the penis.	OFFICIAL	Bord supérieur du scrotum implanté au dessus de la base du pénis
HP:0000049	en	fr	rdfs:label	label of HP:0000049 (Shawl scrotum)  ; abnormality of the genitourinary system	Shawl scrotum	OFFICIAL	Scrotum en châle
HP:0000050	en	fr	IAO:0000115	definition of HP:0000050 (Hypoplastic male external genitalia)  ; abnormality of the genitourinary system	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).	OFFICIAL	Sous-développement d'une partie ou de tous les organes reproducteurs externes masculins (ce qui inclut le pénis, le scrotum et l'urètre)
HP:0000050	en	fr	rdfs:label	label of HP:0000050 (Hypoplastic male external genitalia)  ; abnormality of the genitourinary system	Hypoplastic male external genitalia	OFFICIAL	Appareil génital masculin hypoplasique
HP:0000050	en	fr	rdfs:label	label of HP:0000050 (Hypoplastic male external genitalia)  ; abnormality of the genitourinary system	Hypoplastic male external genitalia	OFFICIAL	Appareil génital masculin hypoplasique
HP:0000051	en	fr	IAO:0000115	definition of HP:0000051 (Perineal hypospadias)  ; abnormality of the genitourinary system	Hypospadias with location of the urethral meatus in the perineal region.	OFFICIAL	Hypospadias avec localisation du méat urétral dans la région périnéale
HP:0000051	en	fr	rdfs:label	label of HP:0000051 (Perineal hypospadias)  ; abnormality of the genitourinary system	Perineal hypospadias	OFFICIAL	Hypospadias périnéal
HP:0000052	en	fr	IAO:0000115	definition of HP:0000052 (Urethral atresia, male)  ; abnormality of the genitourinary system	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	OFFICIAL	Anomalie congénitale caractérisée par la fermeture ou l'absence de développement d'un orifice de l'urètre chez l'homme.
HP:0000052	en	fr	rdfs:label	label of HP:0000052 (Urethral atresia, male)  ; abnormality of the genitourinary system	Urethral atresia, male	OFFICIAL	Atrésie urétrale masculine
HP:0000053	en	fr	IAO:0000115	definition of HP:0000053 (Macroorchidism)  ; abnormality of the genitourinary system	The presence of abnormally large testes.	OFFICIAL	La présence de testicules anormalement volumineux
HP:0000053	en	fr	rdfs:label	label of HP:0000053 (Macroorchidism)  ; abnormality of the genitourinary system	Macroorchidism	OFFICIAL	Macroorchidie
HP:0000054	en	fr	IAO:0000115	definition of HP:0000054 (Micropenis)  ; abnormality of the genitourinary system	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.	OFFICIAL	Pénis anormalement petit. À la naissance, le pénis normal mesure environ 3 cm (longueur étirée du tubercule pubien à l'extrémité du pénis) et le micropénis est inférieur à 2,0-2,5 cm.
HP:0000054	en	fr	rdfs:label	label of HP:0000054 (Micropenis)  ; abnormality of the genitourinary system	Micropenis	OFFICIAL	Micropénis
HP:0000055	en	fr	IAO:0000115	definition of HP:0000055 (Abnormality of female external genitalia)  ; abnormality of the genitourinary system	Any structural abnormality of the female external genitalia.	CANDIDATE	Une anomalie des organes génitaux externes féminins
HP:0000055	en	fr	rdfs:label	label of HP:0000055 (Abnormality of female external genitalia)  ; abnormality of the genitourinary system	Abnormal female external genitalia morphology	CANDIDATE	Anomalie des organes génitaux externes féminins
HP:0000056	en	fr	IAO:0000115	definition of HP:0000056 (Abnormality of the clitoris)  ; abnormality of the genitourinary system	Any structural abnormality of the clitoris.	CANDIDATE	Une anomalie du clitoris
HP:0000056	en	fr	rdfs:label	label of HP:0000056 (Abnormality of the clitoris)  ; abnormality of the genitourinary system	Abnormal clitoris morphology	CANDIDATE	Anomalie du clitoris
HP:0000058	en	fr	IAO:0000115	definition of HP:0000058 (Abnormality of the labia)  ; abnormality of the genitourinary system	An anomaly of the labia, the externally visible portions of the vulva.	OFFICIAL	Anomalie des lèvres, les parties extérieures visibles de la vulve.
HP:0000058	en	fr	rdfs:label	label of HP:0000058 (Abnormality of the labia)  ; abnormality of the genitourinary system	Abnormal labia morphology	CANDIDATE	Anomalie des lèvres de la vulve
HP:0000059	en	fr	IAO:0000115	definition of HP:0000059 (Hypoplastic labia majora)  ; abnormality of the genitourinary system	Undergrowth of the outer labia.	OFFICIAL	Excroissance des lèvres externes
HP:0000059	en	fr	rdfs:label	label of HP:0000059 (Hypoplastic labia majora)  ; abnormality of the genitourinary system	Hypoplastic labia majora	OFFICIAL	Hypoplasie des grandes lèvres
HP:0000060	en	fr	IAO:0000115	definition of HP:0000060 (Clitoral hypoplasia)  ; abnormality of the genitourinary system	Developmental hypoplasia of the clitoris.	OFFICIAL	Hypoplasie congénitale du clitoris
HP:0000060	en	fr	rdfs:label	label of HP:0000060 (Clitoral hypoplasia)  ; abnormality of the genitourinary system	Clitoral hypoplasia	OFFICIAL	Hypoplasie clitoridienne
HP:0000061	en	fr	IAO:0000115	definition of HP:0000061 (Ambiguous genitalia, female)  ; abnormality of the genitourinary system	Ambiguous genitalia in an individual with XX genetic gender.	OFFICIAL	Organes génitaux ambigus chez un individu dont le sexe génétique est XX.
HP:0000061	en	fr	rdfs:label	label of HP:0000061 (Ambiguous genitalia, female)  ; abnormality of the genitourinary system	Ambiguous genitalia, female	OFFICIAL	Ambiguïté sexuelle féminine
HP:0000062	en	fr	IAO:0000115	definition of HP:0000062 (Ambiguous genitalia)  ; abnormality of the genitourinary system	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.	OFFICIAL	Phénotype génital qui ne peut être clairement attribué à un seul sexe. Les organes génitaux ambigus peuvent être évalués à l'aide de l'échelle de Prader : Prader 0 : Organes génitaux externes féminins normaux. Prader 1 : Organes génitaux externes féminins avec clitoromégalie. Prader 2 : Clitoromégalie avec fusion labiale partielle formant un sinus urogénital en forme d'entonnoir. Prader 3 : Augmentation de l'hypertrophie phallique. Fusion labioscrotale complète formant un sinus urogénital à ouverture unique. Prader 4 : Fusion scrotale complète avec ouverture urogénitale à la base ou sur la tige du pénis. Prader 5 : Organes génitaux externes masculins normaux. Le diagnostic d'organes génitaux ambigus est posé pour les cas Prader 1-4.
HP:0000062	en	fr	rdfs:label	label of HP:0000062 (Ambiguous genitalia)  ; abnormality of the genitourinary system	Ambiguous genitalia	OFFICIAL	Ambiguïté sexuelle
