source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date
en	Diverticulum (sac or pouch) in the wall of the urinary bladder	HP:0000015	IAO:0000115	nl	Diverticulum (sac or pouch) in the wall of the urinary bladder	NOT_TRANSLATED			
en	Inability to completely empty the urinary bladder during the process of urination	HP:0000016	IAO:0000115	nl	Inability to completely empty the urinary bladder during the process of urination	NOT_TRANSLATED			
en	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate	HP:0000017	IAO:0000115	nl	Abnormally increased production of urine during the night leading to an unusually frequent need to urinate	NOT_TRANSLATED			
en	Difficulty in beginning the process of urination	HP:0000019	IAO:0000115	nl	Difficulty in beginning the process of urination	NOT_TRANSLATED			
en	Loss of the ability to control the urinary bladder leading to involuntary urination	HP:0000020	IAO:0000115	nl	Loss of the ability to control the urinary bladder leading to involuntary urination	NOT_TRANSLATED			
en	Dilatation of the bladder postnatally	HP:0000021	IAO:0000115	nl	Dilatation of the bladder postnatally	NOT_TRANSLATED			
en	Protrusion of the contents of the abdominal cavity through the inguinal canal	HP:0000023	IAO:0000115	nl	Protrusion of the contents of the abdominal cavity through the inguinal canal	NOT_TRANSLATED			
en	The presence of inflammation of the prostate	HP:0000024	IAO:0000115	nl	The presence of inflammation of the prostate	NOT_TRANSLATED			
en	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum	HP:0000028	IAO:0000115	nl	Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum	NOT_TRANSLATED			
en	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility	HP:0000029	IAO:0000115	nl	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility	NOT_TRANSLATED			
en	The presence of a gonadoblastoma of the testis	HP:0000030	IAO:0000115	nl	The presence of a gonadoblastoma of the testis	NOT_TRANSLATED			
en	Ambiguous genitalia in an individual with XY genetic gender	HP:0000033	IAO:0000115	nl	Ambiguous genitalia in an individual with XY genetic gender	NOT_TRANSLATED			
en	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis	HP:0000034	IAO:0000115	nl	Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis	NOT_TRANSLATED			
en	An anomaly of the testicle (the male gonad)	HP:0000035	IAO:0000115	nl	An anomaly of the testicle (the male gonad)	NOT_TRANSLATED			
en	Abnormality of the male external sex organ	HP:0000036	IAO:0000115	nl	Abnormality of the male external sex organ	NOT_TRANSLATED			
en	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes	HP:0000037	IAO:0000115	nl	Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes	NOT_TRANSLATED			
en	Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias	HP:0000039	IAO:0000115	nl	Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias	NOT_TRANSLATED			
en	Penile length more than 2 SD above the mean for age	HP:0000040	IAO:0000115	nl	Penile length more than 2 SD above the mean for age	NOT_TRANSLATED			
en	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	HP:0000041	IAO:0000115	nl	Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees	NOT_TRANSLATED			
en	Lack of external genitalia in a male or female individual	HP:0000042	IAO:0000115	nl	Lack of external genitalia in a male or female individual	NOT_TRANSLATED			
en	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH)	HP:0000044	IAO:0000115	nl	Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH)	NOT_TRANSLATED			
en	Apparently small scrotum for age	HP:0000046	IAO:0000115	nl	Apparently small scrotum for age	NOT_TRANSLATED			
en	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum	HP:0000047	IAO:0000115	nl	Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum	NOT_TRANSLATED			
en	Midline indentation or cleft of the scrotum	HP:0000048	IAO:0000115	nl	Midline indentation or cleft of the scrotum	NOT_TRANSLATED			
en	Superior margin of the scrotum superior to the base of the penis	HP:0000049	IAO:0000115	nl	Superior margin of the scrotum superior to the base of the penis	NOT_TRANSLATED			
en	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra)	HP:0000050	IAO:0000115	nl	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra)	NOT_TRANSLATED			
en	Hypospadias with location of the urethral meatus in the perineal region	HP:0000051	IAO:0000115	nl	Hypospadias with location of the urethral meatus in the perineal region	NOT_TRANSLATED			
en	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males	HP:0000052	IAO:0000115	nl	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males	NOT_TRANSLATED			
en	The presence of abnormally large testes	HP:0000053	IAO:0000115	nl	The presence of abnormally large testes	NOT_TRANSLATED			
en	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm	HP:0000054	IAO:0000115	nl	Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm	NOT_TRANSLATED			
en	An anomaly of the labia, the externally visible portions of the vulva	HP:0000058	IAO:0000115	nl	An anomaly of the labia, the externally visible portions of the vulva	NOT_TRANSLATED			
en	Undergrowth of the outer labia	HP:0000059	IAO:0000115	nl	Undergrowth of the outer labia	NOT_TRANSLATED			
en	Developmental hypoplasia of the clitoris	HP:0000060	IAO:0000115	nl	Developmental hypoplasia of the clitoris	NOT_TRANSLATED			
en	Ambiguous genitalia in an individual with XX genetic gender	HP:0000061	IAO:0000115	nl	Ambiguous genitalia in an individual with XX genetic gender	NOT_TRANSLATED			
en	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4	HP:0000062	IAO:0000115	nl	A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4	NOT_TRANSLATED			
en	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction	HP:0000063	IAO:0000115	nl	Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction	NOT_TRANSLATED			
en	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females	HP:0000067	IAO:0000115	nl	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females	NOT_TRANSLATED			
en	Congenital anomaly characterized by closure or failure to develop an opening in the urethra	HP:0000068	IAO:0000115	nl	Congenital anomaly characterized by closure or failure to develop an opening in the urethra	NOT_TRANSLATED			
en	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter	HP:0000070	IAO:0000115	nl	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter	NOT_TRANSLATED			
en	The presence of a stenotic, i.e., constricted ureter	HP:0000071	IAO:0000115	nl	The presence of a stenotic, i.e., constricted ureter	NOT_TRANSLATED			
en	The distention of the ureter with urine	HP:0000072	IAO:0000115	nl	The distention of the ureter with urine	NOT_TRANSLATED			
en	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder	HP:0000073	IAO:0000115	nl	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder	NOT_TRANSLATED			
en	Blockage of urine flow from the renal pelvis to the proximal ureter	HP:0000074	IAO:0000115	nl	Blockage of urine flow from the renal pelvis to the proximal ureter	NOT_TRANSLATED			
en	A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters	HP:0000075	IAO:0000115	nl	A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters	NOT_TRANSLATED			
en	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes	HP:0000076	IAO:0000115	nl	Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes	NOT_TRANSLATED			
en	An abnormal functionality of the genital system	HP:0000080	IAO:0000115	nl	An abnormal functionality of the genital system	NOT_TRANSLATED			
en	A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice	HP:0000081	IAO:0000115	nl	A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice	NOT_TRANSLATED			
en	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism	HP:0000083	IAO:0000115	nl	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism	NOT_TRANSLATED			
en	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline	HP:0000085	IAO:0000115	nl	A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline	NOT_TRANSLATED			
en	A developmental defect in which a kidney is located in an abnormal anatomic position	HP:0000086	IAO:0000115	nl	A developmental defect in which a kidney is located in an abnormal anatomic position	NOT_TRANSLATED			
en	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis	HP:0000090	IAO:0000115	nl	Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis	NOT_TRANSLATED			
en	An abnormality of the renal tubules	HP:0000091	IAO:0000115	nl	An abnormality of the renal tubules	NOT_TRANSLATED			
en	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules	HP:0000092	IAO:0000115	nl	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules	NOT_TRANSLATED			
en	Increased levels of protein in the urine	HP:0000093	IAO:0000115	nl	Increased levels of protein in the urine	NOT_TRANSLATED			
en	A structural anomaly of the glomerulus	HP:0000095	IAO:0000115	nl	A structural anomaly of the glomerulus	NOT_TRANSLATED			
en	Accumulation of scar tissue within the glomerulus	HP:0000096	IAO:0000115	nl	Accumulation of scar tissue within the glomerulus	NOT_TRANSLATED			
en	Segmental accumulation of scar tissue in individual (but not all) glomeruli	HP:0000097	IAO:0000115	nl	Segmental accumulation of scar tissue in individual (but not all) glomeruli	NOT_TRANSLATED			
en	A height above that which is expected according to age and gender norms	HP:0000098	IAO:0000115	nl	A height above that which is expected according to age and gender norms	NOT_TRANSLATED			
en	Inflammation of the renal glomeruli	HP:0000099	IAO:0000115	nl	Inflammation of the renal glomeruli	NOT_TRANSLATED			
en	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia	HP:0000100	IAO:0000115	nl	Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia	NOT_TRANSLATED			
en	An increased rate of urine production	HP:0000103	IAO:0000115	nl	An increased rate of urine production	NOT_TRANSLATED			
en	Agenesis, that is, failure of the kidney to develop during embryogenesis and development	HP:0000104	IAO:0000115	nl	Agenesis, that is, failure of the kidney to develop during embryogenesis and development	NOT_TRANSLATED			
en	An abnormal increase in the size of the kidney	HP:0000105	IAO:0000115	nl	An abnormal increase in the size of the kidney	NOT_TRANSLATED			
en	A fluid filled sac in the kidney	HP:0000107	IAO:0000115	nl	A fluid filled sac in the kidney	NOT_TRANSLATED			
en	The presence of multiple cysts at the border between the renal cortex and medulla	HP:0000108	IAO:0000115	nl	The presence of multiple cysts at the border between the renal cortex and medulla	NOT_TRANSLATED			
en	The presence of developmental dysplasia of the kidney	HP:0000110	IAO:0000115	nl	The presence of developmental dysplasia of the kidney	NOT_TRANSLATED			
en	Increased number and size of the juxtaglomerular cells	HP:0000111	IAO:0000115	nl	Increased number and size of the juxtaglomerular cells	NOT_TRANSLATED			
en	A nonspecific term referring to disease or damage of the kidneys	HP:0000112	IAO:0000115	nl	A nonspecific term referring to disease or damage of the kidneys	NOT_TRANSLATED			
en	The presence of multiple cysts in both kidneys	HP:0000113	IAO:0000115	nl	The presence of multiple cysts in both kidneys	NOT_TRANSLATED			
en	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle	HP:0000114	IAO:0000115	nl	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle	NOT_TRANSLATED			
en	High urine phosphate in the presence of hypophosphatemia	HP:0000117	IAO:0000115	nl	High urine phosphate in the presence of hypophosphatemia	NOT_TRANSLATED			
en	A phenotypic abnormality	HP:0000118	IAO:0000115	nl	A phenotypic abnormality	NOT_TRANSLATED			
en	The presence of any abnormality of the genitourinary system	HP:0000119	IAO:0000115	nl	The presence of any abnormality of the genitourinary system	NOT_TRANSLATED			
en	Nephrocalcinosis is the deposition of calcium salts in renal parenchyma	HP:0000121	IAO:0000115	nl	Nephrocalcinosis is the deposition of calcium salts in renal parenchyma	NOT_TRANSLATED			
en	A unilateral form of agenesis of the kidney	HP:0000122	IAO:0000115	nl	A unilateral form of agenesis of the kidney	NOT_TRANSLATED			
en	The presence of inflammation affecting the kidney	HP:0000123	IAO:0000115	nl	The presence of inflammation affecting the kidney	NOT_TRANSLATED			
en	Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid	HP:0000124	IAO:0000115	nl	Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid	NOT_TRANSLATED			
en	A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis	HP:0000125	IAO:0000115	nl	A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis	NOT_TRANSLATED			
en	Severe distention of the kidney with dilation of the renal pelvis and calices	HP:0000126	IAO:0000115	nl	Severe distention of the kidney with dilation of the renal pelvis and calices	NOT_TRANSLATED			
en	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s)	HP:0000127	IAO:0000115	nl	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s)	NOT_TRANSLATED			
en	High urine potassium in the presence of hypokalemia	HP:0000128	IAO:0000115	nl	High urine potassium in the presence of hypokalemia	NOT_TRANSLATED			
en	The presence of a leiomyoma of the uterus	HP:0000131	IAO:0000115	nl	The presence of a leiomyoma of the uterus	NOT_TRANSLATED			
en	Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days	HP:0000132	IAO:0000115	nl	Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days	NOT_TRANSLATED			
en	Decreased functionality of the female gonads, i.e., of the ovary	HP:0000134	IAO:0000115	nl	Decreased functionality of the female gonads, i.e., of the ovary	NOT_TRANSLATED			
en	A decreased functionality of the gonad	HP:0000135	IAO:0000115	nl	A decreased functionality of the gonad	NOT_TRANSLATED			
en	An abnormality of the ovary	HP:0000137	IAO:0000115	nl	An abnormality of the ovary	NOT_TRANSLATED			
en	The presence of one or more cysts of the ovary	HP:0000138	IAO:0000115	nl	The presence of one or more cysts of the ovary	NOT_TRANSLATED			
en	The presence of prolapse of the uterus	HP:0000139	IAO:0000115	nl	The presence of prolapse of the uterus	NOT_TRANSLATED			
en	An abnormality of the ovulation cycle	HP:0000140	IAO:0000115	nl	An abnormality of the ovulation cycle	NOT_TRANSLATED			
en	Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months	HP:0000141	IAO:0000115	nl	Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months	NOT_TRANSLATED			
en	The presence of a fistula between the vagina and the rectum	HP:0000143	IAO:0000115	nl	The presence of a fistula between the vagina and the rectum	NOT_TRANSLATED			
en	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion	HP:0000148	IAO:0000115	nl	Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion	NOT_TRANSLATED			
en	The presence of a gonadoblastoma of the ovary	HP:0000149	IAO:0000115	nl	The presence of a gonadoblastoma of the ovary	NOT_TRANSLATED			
en	The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements	HP:0000150	IAO:0000115	nl	The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements	NOT_TRANSLATED			
en	An abnormality of the mouth	HP:0000153	IAO:0000115	nl	An abnormality of the mouth	NOT_TRANSLATED			
en	Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective)	HP:0000154	IAO:0000115	nl	Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective)	NOT_TRANSLATED			
en	Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue	HP:0000155	IAO:0000115	nl	Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue	NOT_TRANSLATED			
en	Increased length and width of the tongue	HP:0000158	IAO:0000115	nl	Increased length and width of the tongue	NOT_TRANSLATED			
en	Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective)	HP:0000160	IAO:0000115	nl	Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective)	NOT_TRANSLATED			
en	A type of cleft lip presenting as a midline (median) gap in the upper lip	HP:0000161	IAO:0000115	nl	A type of cleft lip presenting as a midline (median) gap in the upper lip	NOT_TRANSLATED			
en	Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly	HP:0000162	IAO:0000115	nl	Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly	NOT_TRANSLATED			
en	Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth	HP:0000163	IAO:0000115	nl	Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth	NOT_TRANSLATED			
en	Any abnormality of the teeth	HP:0000164	IAO:0000115	nl	Any abnormality of the teeth	NOT_TRANSLATED			
en	A severe form of periodontitis	HP:0000166	IAO:0000115	nl	A severe form of periodontitis	NOT_TRANSLATED			
en	The presence of fibrosis of the gingiva	HP:0000169	IAO:0000115	nl	The presence of fibrosis of the gingiva	NOT_TRANSLATED			
en	Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate	HP:0000172	IAO:0000115	nl	Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate	NOT_TRANSLATED			
en	Any abnormality of the palate, i.e., of roof of the mouth	HP:0000174	IAO:0000115	nl	Any abnormality of the palate, i.e., of roof of the mouth	NOT_TRANSLATED			
en	Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate)	HP:0000175	IAO:0000115	nl	Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate)	NOT_TRANSLATED			
en	Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate	HP:0000176	IAO:0000115	nl	Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate	NOT_TRANSLATED			
en	An abnormality of the upper lip	HP:0000177	IAO:0000115	nl	An abnormality of the upper lip	NOT_TRANSLATED			
en	Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective)	HP:0000179	IAO:0000115	nl	Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective)	NOT_TRANSLATED			
en	Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour	HP:0000180	IAO:0000115	nl	Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour	NOT_TRANSLATED			
en	Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency	HP:0000185	IAO:0000115	nl	Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency	NOT_TRANSLATED			
en	Decreased width of the upper lip	HP:0000188	IAO:0000115	nl	Decreased width of the upper lip	NOT_TRANSLATED			
en	Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective)	HP:0000189	IAO:0000115	nl	Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective)	NOT_TRANSLATED			
en	An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity	HP:0000190	IAO:0000115	nl	An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity	NOT_TRANSLATED			
en	Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip	HP:0000191	IAO:0000115	nl	Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip	NOT_TRANSLATED			
en	Uvula separated into two parts most easily seen at the tip	HP:0000193	IAO:0000115	nl	Uvula separated into two parts most easily seen at the tip	NOT_TRANSLATED			
