source_language	translation_language	subject_id	source_value	predicate_id	translation_value	translation_status
en	es	HP:0000368	Low-set, posteriorly rotated ears	rdfs:label	Orejas de implantación baja y con aumento de la rotación posterior	OFFICIAL
en	es	HP:0000372	Abnormality of the auditory canal	rdfs:label	Anomalía del conducto auditivo	OFFICIAL
en	es	HP:0000377	Abnormality of the pinna	rdfs:label	Anomalía del pabellón auricular	OFFICIAL
en	es	HP:0000383	Abnormality of periauricular region	rdfs:label	Anomalía de la región periauricular	OFFICIAL
en	es	HP:0000415	Abnormality of the choanae	rdfs:label	Anomalía de las coanas	OFFICIAL
en	es	HP:0000419	Abnormality of the nasal septum	rdfs:label	Anomalía del tabique nasal	OFFICIAL
en	es	HP:0000422	Abnormality of the nasal bridge	rdfs:label	Anomalía del puente nasal	OFFICIAL
en	es	HP:0000429	Abnormality of the nasal alae	rdfs:label	Anomalía del alas nasales	OFFICIAL
en	es	HP:0000433	Abnormality of the nasal mucosa	rdfs:label	Anomalía de la mucosa nasal	OFFICIAL
en	es	HP:0000436	Abnormality of the nasal tip	rdfs:label	Anomalía de la punta nasal	OFFICIAL
en	es	HP:0000517	Abnormality of the lens	rdfs:label	Anomalía del cristalino	OFFICIAL
en	es	HP:0000535	Sparse and thin eyebrow	rdfs:label	Cejas poco pobladas	OFFICIAL
en	es	HP:0000587	Abnormality of the optic nerve	rdfs:label	Anomalía del nervio óptico	OFFICIAL
en	es	HP:0000588	Optic nerve coloboma	rdfs:label	Coloboma del nervio óptico	OFFICIAL
en	es	HP:0000682	Abnormality of dental enamel	rdfs:label	Anomalía del esmalte dental	OFFICIAL
en	es	HP:0000692	Misalignment of teeth	rdfs:label	Dientes mal alineados	OFFICIAL
en	es	HP:0000694	Shell teeth	rdfs:label	Dientes en concha	OFFICIAL
en	es	HP:0000706	Unerupted tooth	rdfs:label	Diente incluido	OFFICIAL
en	es	HP:0000708	Behavioral abnormality	rdfs:label	Alteración comportamental	OFFICIAL
en	es	HP:0000716	Depressivity	rdfs:label	Depresión	OFFICIAL
en	es	HP:0000720	Mood swings	rdfs:label	Cambios de humor exagerados	OFFICIAL
en	es	HP:0000722	Obsessive-compulsive behavior	rdfs:label	Comportamiento obsesivo-compulsivo	OFFICIAL
en	es	HP:0000732	Inflexible adherence to routines or rituals	rdfs:label	Inflexibilidad para adherirse a rutinas o rituales	OFFICIAL
en	es	HP:0000733	Stereotypy	rdfs:label	Comportamiento estereottipado	OFFICIAL
en	es	HP:0000735	Impaired social interactions	rdfs:label	Interacciones sociales deteriorados	OFFICIAL
en	es	HP:0000745	Diminished motivation	rdfs:label	Disminución de la motivación	OFFICIAL
en	es	HP:0000746	Delusions	rdfs:label	Delirios	OFFICIAL
en	es	HP:0000758	Impaired use of nonverbal behaviors	rdfs:label	Deterioro de la capacidad de usar comportamientos no verbales	OFFICIAL
en	es	HP:0000765	Abnormality of the thorax	rdfs:label	Anomalía del tórax	OFFICIAL
en	es	HP:0000766	Abnormality of the sternum	rdfs:label	Anomalía del esternón	OFFICIAL
en	es	HP:0000772	Abnormality of the ribs	rdfs:label	Anomalía de las costillas	OFFICIAL
en	es	HP:0000777	Abnormality of the thymus	rdfs:label	Anomalía del timo	OFFICIAL
en	es	HP:0000782	Abnormality of the scapula	rdfs:label	Anomalía de la escápula	OFFICIAL
en	es	HP:0000798	Oligospermia	rdfs:label	Oligospermia	OFFICIAL
en	es	HP:0000807	Glandular hypospadias	rdfs:label	Hipospadia glandular	OFFICIAL
en	es	HP:0000811	Abnormal external genitalia	rdfs:label	Genitales externos anormales	OFFICIAL
en	es	HP:0000817	Poor eye contact	rdfs:label	Pobre contacto visual	OFFICIAL
en	es	HP:0000824	Growth hormone deficiency	rdfs:label	Déficit de hormona de crecimiento	OFFICIAL
en	es	HP:0000845	Growth hormone excess	rdfs:label	Exceso de hormona del crecimiento	OFFICIAL
en	es	HP:0000848	Increased circulating renin level	rdfs:label	Aumento del nivel circulante de renina	OFFICIAL
en	es	HP:0000858	Menstrual irregularities	rdfs:label	Irregularidades menstruales	OFFICIAL
en	es	HP:0000859	Hyperaldosteronism	rdfs:label	Hiperaldosteronismo	OFFICIAL
en	es	HP:0000870	Prolactin excess	rdfs:label	Exceso de prolactina	OFFICIAL
en	es	HP:0000889	Abnormality of the clavicle	rdfs:label	Anomalía de las clavículas	OFFICIAL
en	es	HP:0000923	Beaded ribs	rdfs:label	Costillas en rosario	OFFICIAL
en	es	HP:0000932	Abnormality of the posterior cranial fossa	rdfs:label	Anomalía de la fosa craneal posterior	OFFICIAL
en	es	HP:0000944	Abnormality of the metaphysis	rdfs:label	Anomalía de las metáfisis	OFFICIAL
en	es	HP:0000964	Eczema	rdfs:label	Eczema	OFFICIAL
en	es	HP:0000976	Eczematoid dermatitis	rdfs:label	Dermatitis eccematoide	OFFICIAL
en	es	HP:0001006	Hypotrichosis	rdfs:label	Hipotricosis	OFFICIAL
en	es	HP:0001067	Neurofibromas	rdfs:label	Neurofibromas	OFFICIAL
en	es	HP:0001163	Abnormality of the metacarpal bones	rdfs:label	Anomalía de los huesos metacarpianos	OFFICIAL
en	es	HP:0001167	Abnormality of finger	rdfs:label	Anomalía del dedo de la mano	OFFICIAL
en	es	HP:0001180	Hand oligodactyly	rdfs:label	Oligodactilia (manos)	OFFICIAL
en	es	HP:0001191	Abnormality of the carpal bones	rdfs:label	Anomalía de los huesos del carpo	OFFICIAL
en	es	HP:0001233	Second-third finger syndactyly	rdfs:label	Sindactilia de dedos 2-3 de la mano	OFFICIAL
en	es	HP:0001250	Seizures	rdfs:label	Convulsiones	OFFICIAL
en	es	HP:0001252	Muscular hypotonia	rdfs:label	Hipotonía muscular	OFFICIAL
en	es	HP:0001327	Photomyoclonic seizures	rdfs:label	Convulsiones fotomioclónicas	OFFICIAL
en	es	HP:0001384	Abnormality of the hip joint	rdfs:label	Anomalía de la articulación de la cadera	OFFICIAL
en	es	HP:0001388	Joint laxity	rdfs:label	Laxitud articular	OFFICIAL
en	es	HP:0001425	Heterogeneous	rdfs:label	Heterogéneo	OFFICIAL
en	es	HP:0001426	Multifactorial inheritance	rdfs:label	Herencia multifactorial	OFFICIAL
en	es	HP:0001428	Somatic mutation	rdfs:label	Mutación somática	OFFICIAL
en	es	HP:0001430	Abnormality of the calf musculature	rdfs:label	Anomalía de la musculatura de la pantorrilla	OFFICIAL
en	es	HP:0001438	Abnormality of abdomen morphology	rdfs:label	Anomalía del abdomen	OFFICIAL
en	es	HP:0001441	Abnormality of the musculature of the thigh	rdfs:label	Anomalía de la musculatura del muslo	OFFICIAL
en	es	HP:0001442	Somatic mosaicism	rdfs:label	Mosaicismo somático	OFFICIAL
en	es	HP:0001444	Autosomal dominant somatic cell mutation	rdfs:label	Mutación de células somáticas autosómica dominante	OFFICIAL
en	es	HP:0001452	Autosomal dominant contiguous gene syndrome	rdfs:label	Síndrome del gen contiguo autosómico dominante	OFFICIAL
en	es	HP:0001459	First-third toe syndactyly	rdfs:label	Sindactilia de dedos 1-3 del pie	OFFICIAL
en	es	HP:0001469	Abnormality of the musculature of the pelvis	rdfs:label	Anomalía de la musculatura de la pelvis	OFFICIAL
en	es	HP:0001470	Sex-limited autosomal dominant	rdfs:label	Autosómico dominante limitado al sexo	OFFICIAL
en	es	HP:0001475	Male-limited autosomal dominant	rdfs:label	Autosómico dominante limitado al varón	OFFICIAL
en	es	HP:0001547	Abnormality of the rib cage	rdfs:label	Anomalía de la caja torácica	OFFICIAL
en	es	HP:0001575	Mood changes	rdfs:label	Cambios de humor	OFFICIAL
en	es	HP:0001597	Abnormality of the nail	rdfs:label	Anomalía de la uña	OFFICIAL
en	es	HP:0001611	Nasal speech	rdfs:label	Voz nasal	OFFICIAL
en	es	HP:0001620	High pitched voice	rdfs:label	Voz aguda o de tono alto	OFFICIAL
en	es	HP:0001739	Abnormality of the nasopharynx	rdfs:label	Anomalía de la nasofaringe	OFFICIAL
en	es	HP:0001742	Nasal obstruction	rdfs:label	Obstrucción nasal	OFFICIAL
en	es	HP:0001751	Vestibular dysfunction	rdfs:label	Disfunción vestibular	OFFICIAL
en	es	HP:0001756	Vestibular hypofunction	rdfs:label	Hipofunción vestibular	OFFICIAL
en	es	HP:0001760	Abnormality of the foot	rdfs:label	Anomalía del pie	OFFICIAL
en	es	HP:0001780	Abnormality of toe	rdfs:label	Anomalía del dedo del pie	OFFICIAL
en	es	HP:0001805	Onychogryposis	rdfs:label	Uña gruesa	OFFICIAL
en	es	HP:0001844	Abnormality of the hallux	rdfs:label	Anomalía del dedo gordo del pie	OFFICIAL
en	es	HP:0001872	Abnormal thrombocyte morphology	rdfs:label	Alteración de las plaquetas	OFFICIAL
en	es	HP:0001875	Neutropenia	rdfs:label	Neutropenia	OFFICIAL
en	es	HP:0001880	Eosinophilia	rdfs:label	Eosinofilia	OFFICIAL
en	es	HP:0001882	Leukopenia	rdfs:label	Leucopenia	OFFICIAL
en	es	HP:0001888	Lymphopenia	rdfs:label	Linfopenia	OFFICIAL
en	es	HP:0001900	Increased hemoglobin	rdfs:label	Aumento de la hemoglobina	OFFICIAL
en	es	HP:0001904	Neutropenia in presence of anti-neutropil antibodies	rdfs:label	Neutropenia autoinmune	OFFICIAL
en	es	HP:0001913	Granulocytopenia	rdfs:label	Granulocitopenia	OFFICIAL
en	es	HP:0001965	Abnormality of the scalp	rdfs:label	Anomalía del cuero cabelludo	OFFICIAL
en	es	HP:0001966	Mesangial abnormality	rdfs:label	Anomalía mesangial	OFFICIAL
en	es	HP:0001969	Tubulointerstitial abnormality	rdfs:label	Anomalía tubulointersticial	OFFICIAL
en	es	HP:0001974	Leukocytosis	rdfs:label	Leucocitosis	OFFICIAL
en	es	HP:0002006	Facial cleft	rdfs:label	Hendidura facial	OFFICIAL
en	es	HP:0002011	Morphological abnormality of the central nervous system	rdfs:label	Anomalía morfológica del sistema nervioso central	OFFICIAL
en	es	HP:0002034	Abnormality of the rectum	rdfs:label	Anomalía del recto	OFFICIAL
en	es	HP:0002060	Abnormality of the cerebrum	rdfs:label	Anomalía del cerebro	OFFICIAL
en	es	HP:0002062	Morphological abnormality of the pyramidal tract	rdfs:label	Anomalía morfológica del tracto piramidal	OFFICIAL
en	es	HP:0002069	Generalized tonic-clonic seizures	rdfs:label	Convulsiones tónico-clónicas generalizadas	OFFICIAL
en	es	HP:0002103	Abnormality of the pleura	rdfs:label	Anomalía de la pleura	OFFICIAL
en	es	HP:0002111	Restrictive deficit on pulmonary function testing	rdfs:label	Insuficiencia respiratoria restrictiva	OFFICIAL
en	es	HP:0002118	Abnormality of the cerebral ventricles	rdfs:label	Anomalía de los ventrículos cerebrales	OFFICIAL
en	es	HP:0002121	Absence seizure	rdfs:label	Crisis de ausencia	OFFICIAL
en	es	HP:0002123	Generalized myoclonic seizures	rdfs:label	Convulsiones mioclónicas generalizadas	OFFICIAL
en	es	HP:0002134	Abnormality of the basal ganglia	rdfs:label	Anomalía de los ganglios basales	OFFICIAL
en	es	HP:0002143	Abnormality of the spinal cord	rdfs:label	Anomalía de la médula espinal	OFFICIAL
en	es	HP:0002151	Increased serum lactate	rdfs:label	Aumento de lactato sérico	OFFICIAL
en	es	HP:0002165	Pterygium of nails	rdfs:label	Pterygium de la uña	OFFICIAL
en	es	HP:0002167	Neurological speech impairment	rdfs:label	Deterioro neurológico para el habla	OFFICIAL
en	es	HP:0002189	Excessive daytime sleepiness	rdfs:label	Somnolencia diurna excesiva	OFFICIAL
en	es	HP:0002193	Pseudobulbar behavioral symptoms	rdfs:label	Síntomas conductuales pseudobulbares	OFFICIAL
en	es	HP:0002229	Alopecia areata	rdfs:label	Alopecia areata	OFFICIAL
en	es	HP:0002244	Abnormality of the small intestine	rdfs:label	Anomalía del intestino delgado	OFFICIAL
en	es	HP:0002246	Abnormality of the duodenum	rdfs:label	Anomalía del duodeno	OFFICIAL
en	es	HP:0002266	Focal clonic seizures	rdfs:label	Clónicas clónicas focales	OFFICIAL
en	es	HP:0002308	Arnold-Chiari malformation	rdfs:label	Malformación de Arnold-Chiari	OFFICIAL
en	es	HP:0002334	Abnormality of the cerebellar vermis	rdfs:label	Anomalía del vermis cerebeloso	OFFICIAL
en	es	HP:0002355	Difficulty walking	rdfs:label	Dificultad para caminar	OFFICIAL
en	es	HP:0002357	Dysphasia	rdfs:label	Disfasia	OFFICIAL
en	es	HP:0002360	Sleep disturbance	rdfs:label	Trastornos del sueño	OFFICIAL
en	es	HP:0002363	Abnormality of brainstem morphology	rdfs:label	Alteración de la morfología del tallo cerebral	OFFICIAL
en	es	HP:0002367	Visual hallucinations	rdfs:label	Alucinaciones visuales	OFFICIAL
en	es	HP:0002373	Febrile seizures	rdfs:label	Convulsiones febriles	OFFICIAL
en	es	HP:0002383	Encephalitis	rdfs:label	Encefalitis	OFFICIAL
en	es	HP:0002418	Abnormality of midbrain morphology	rdfs:label	Alteración en la morfología del cerebro medio o mesencéfalo	OFFICIAL
en	es	HP:0002423	Long-tract signs	rdfs:label	Signos neurológicos de tracto largo	OFFICIAL
en	es	HP:0002427	Motor aphasia	rdfs:label	Afasia motora	OFFICIAL
en	es	HP:0002461	Dense calcifications in the cerebellar dentate nucleus	rdfs:label	Calcificaciones densas en el núcleo dentado del cerebelo	OFFICIAL
en	es	HP:0002487	Hyperkinesis	rdfs:label	Hipercinesia	OFFICIAL
en	es	HP:0002492	Abnormality of the corticospinal tract	rdfs:label	Anomalía del tracto corticoespinal	OFFICIAL
en	es	HP:0002500	Abnormality of the cerebral white matter	rdfs:label	Anomalía de la sustancia blanca cerebral	OFFICIAL
en	es	HP:0002505	Progressive inability to walk	rdfs:label	Incapacidad progresiva para caminar	OFFICIAL
en	es	HP:0002518	Abnormality of the periventricular white matter	rdfs:label	Anomalía de la sustancia blanca periventricular	OFFICIAL
en	es	HP:0002519	Hypnagogic hallucinations	rdfs:label	Alucinaciones hipnagógicas	OFFICIAL
en	es	HP:0002538	Abnormality of the cerebral cortex	rdfs:label	Anomalía de la corteza cerebral	OFFICIAL
en	es	HP:0002577	Abnormality of the stomach	rdfs:label	Anomalía del estómago	OFFICIAL
en	es	HP:0002582	Chronic atrophic gastritis	rdfs:label	Gastritis atrófica crónica	OFFICIAL
en	es	HP:0002585	Abnormality of the peritoneum	rdfs:label	Anomalía del peritoneo	OFFICIAL
en	es	HP:0002617	Dilatation	rdfs:label	Aneurisma	OFFICIAL
en	es	HP:0002644	Abnormality of pelvic girdle bone morphology	rdfs:label	Anomalía de la morfología ósea de la cintura pélvica	OFFICIAL
en	es	HP:0002648	Abnormality of calvarial morphology	rdfs:label	Anomalía de la morfología del calvario	OFFICIAL
en	es	HP:0002679	Abnormality of the sella turcica	rdfs:label	Anomalía de la silla turca	OFFICIAL
en	es	HP:0002683	Abnormality of the calvaria	rdfs:label	Anomalía de la bóveda craneal	OFFICIAL
en	es	HP:0002686	Prenatal maternal abnormality	rdfs:label	Anomalía materna prenatal	OFFICIAL
en	es	HP:0002693	Abnormality of the skull base	rdfs:label	Anomalía de la base del cráneo	OFFICIAL
en	es	HP:0002695	Symmetrical, oval parietal bone defects	rdfs:label	Defectos óseos parietales ovales, simétricos	OFFICIAL
en	es	HP:0002699	Abnormality of the foramen magnum	rdfs:label	Anomalía del agujero occipital	OFFICIAL
en	es	HP:0002720	Decreased circulating IgA level	rdfs:label	Déficit de IgA	OFFICIAL
en	es	HP:0002731	Decreased lymphocyte apoptosis	rdfs:label	Apoptosis defectuosa de linfocitos	OFFICIAL
en	es	HP:0002733	Abnormality of the lymph nodes	rdfs:label	Anomalía de los ganglios linfáticos	OFFICIAL
en	es	HP:0002744	Bilateral cleft lip and palate	rdfs:label	Hendidura de labio y paladar bilateral	OFFICIAL
en	es	HP:0002761	Generalized joint laxity	rdfs:label	Laxitud articular generalizada	OFFICIAL
en	es	HP:0002778	Abnormal trachea morphology	rdfs:label	Alteración de la tráquea	OFFICIAL
en	es	HP:0002795	Functional respiratory abnormality	rdfs:label	Alteración respiratoria funcional	OFFICIAL
en	es	HP:0002813	Abnormality of limb bone morphology	rdfs:label	Anomalía de la morfología ósea de las extremidades	OFFICIAL
en	es	HP:0002818	Abnormality of the radius	rdfs:label	Anomalía del radio	OFFICIAL
en	es	HP:0002823	Abnormality of femur morphology	rdfs:label	Anomalía del fémur	OFFICIAL
en	es	HP:0002848	Specific anti-polysaccharide antibody deficiency	rdfs:label	Deficiencia específica de anticuerpos anti-polisacárido	OFFICIAL
en	es	HP:0002851	Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	rdfs:label	Aumento del número de células T CD4-/CD8- que expresan receptores de células T alfa / beta	OFFICIAL
en	es	HP:0002853	Increased proportion of HLA DR+ T cells	rdfs:label	Aumento de la proporción de células T HLA DR + y CD57 +	OFFICIAL
en	es	HP:0002867	Abnormality of the ilium	rdfs:label	Anomalía del hueso ilíaco	OFFICIAL
en	es	HP:0002868	Narrow iliac wings	rdfs:label	Alas ilíacas estrechas	OFFICIAL
en	es	HP:0002869	Flared iliac wings	rdfs:label	Alas ilíacas en forma de campana	OFFICIAL
en	es	HP:0002910	Elevated hepatic transaminase	rdfs:label	Transaminasas hepáticas elevadas	OFFICIAL
en	es	HP:0002920	Decreased circulating ACTH level	rdfs:label	Déficit del nivel de ACTH circulante	OFFICIAL
en	es	HP:0002921	Abnormality of the cerebrospinal fluid	rdfs:label	Anomalía del líquido cefalorraquídeo	OFFICIAL
en	es	HP:0002922	Increased CSF protein	rdfs:label	Aumento de proteínas en líquido cefaloraquídeo	OFFICIAL
en	es	HP:0002925	Increased thyroid-stimulating hormone level	rdfs:label	Exceso de TSH (hormona estimulante de la tiroides)	OFFICIAL
en	es	HP:0002930	Thyroid hormone receptor defect	rdfs:label	Defecto del receptor de la hormona tiroidea	OFFICIAL
en	es	HP:0002953	Vertebral compression fractures	rdfs:label	Fracturas vertebrales por compresión	OFFICIAL
en	es	HP:0002973	Abnormality of the forearm	rdfs:label	Anomalía del antebrazo	OFFICIAL
en	es	HP:0002991	Abnormality of fibula morphology	rdfs:label	Anomalía del peroné	OFFICIAL
en	es	HP:0002992	Abnormality of tibia morphology	rdfs:label	Anomalía de la tibia	OFFICIAL
en	es	HP:0002997	Abnormality of the ulna	rdfs:label	Anomalía del cúbito	OFFICIAL
en	es	HP:0003028	Abnormality of the ankles	rdfs:label	Anomalía de los tobillos	OFFICIAL
en	es	HP:0003043	Abnormality of the shoulder	rdfs:label	Anomalía del hombro	OFFICIAL
en	es	HP:0003063	Abnormality of the humerus	rdfs:label	Anomalía del húmero	OFFICIAL
en	es	HP:0003084	Fractures of the long bones	rdfs:label	Fracturas de los huesos largos	OFFICIAL
en	es	HP:0003112	Abnormality of serum amino acid level	rdfs:label	Anomalía de los niveles de aminoácidos en suero	OFFICIAL
en	es	HP:0003116	Abnormal echocardiogram	rdfs:label	Ecocardiograma anormal	OFFICIAL
en	es	HP:0003117	Abnormal circulating hormone level	rdfs:label	Alteración del nivel plasmático de hormonas circulantes	OFFICIAL
en	es	HP:0003145	Decreased adenosylcobalamin	rdfs:label	Disminución de adenosilcobalamina	OFFICIAL
en	es	HP:0003152	Increased serum 1,25-dihydroxyvitamin D3	rdfs:label	Elevación sérica de 1,25-dihidroxivitamina D3	OFFICIAL
en	es	HP:0003155	Elevated alkaline phosphatase	rdfs:label	Fosfatasa alcalina elevada	OFFICIAL
en	es	HP:0003170	Abnormality of the acetabulum	rdfs:label	Anomalía del acetábulo	OFFICIAL
en	es	HP:0003172	Abnormality of the pubic bone	rdfs:label	Anomalía de los huesos del pubis	OFFICIAL
en	es	HP:0003174	Abnormality of the ischium	rdfs:label	Anomalía del isquion	OFFICIAL
en	es	HP:0003185	Short sacroiliac notch	rdfs:label	Escotadura sacroilíaca pequeña	OFFICIAL
en	es	HP:0003203	Impaired oxidative burst	rdfs:label	Test de reducción de nitroazul de tetrazolio (NBT) negativo	OFFICIAL
en	es	HP:0003212	Increased circulating total IgE level	rdfs:label	Aumento del nivel de IgE	OFFICIAL
en	es	HP:0003223	Decreased methylcobalamin	rdfs:label	Disminución de la metilcobalamina	OFFICIAL
en	es	HP:0003234	Decreased plasma carnitine	rdfs:label	Carnitina plasmática disminuida	OFFICIAL
en	es	HP:0003236	Elevated serum creatine kinase	rdfs:label	Creatina fosfoquinasa elevada	OFFICIAL
en	es	HP:0003237	Increased circulating IgG level	rdfs:label	Aumento del nivel de IgG	OFFICIAL
en	es	HP:0003240	Increased phosphoribosylpyrophosphate synthetase activity	rdfs:label	Aumento fosforribosilpirofosfato (prpp) sintetasa	OFFICIAL
en	es	HP:0003259	Elevated serum creatinine	rdfs:label	Creatinina sérica elevada	OFFICIAL
en	es	HP:0003261	Increased circulating IgA level	rdfs:label	Aumento del nivel de IgA	OFFICIAL
en	es	HP:0003262	Smooth muscle antibody positivity	rdfs:label	Anticuerpos de músculo liso positivos	OFFICIAL
en	es	HP:0003267	Reduced orotidine 5-prime phosphate decarboxylase activity	rdfs:label	Disminución de la actividad de orotidina 5-prima fosfatasa descarboxilasa	OFFICIAL
en	es	HP:0003272	Abnormality of the hip bone	rdfs:label	Anomalía del hueso de la cadera	OFFICIAL
en	es	HP:0003277	Constricted iliac wings	rdfs:label	Alas ilíacas contraídas	OFFICIAL
en	es	HP:0003281	Increased serum ferritin	rdfs:label	Aumento de ferritina sérica	OFFICIAL
en	es	HP:0003282	Low alkaline phosphatase	rdfs:label	Fosfatasa alcalina baja	OFFICIAL
en	es	HP:0003310	Abnormality of the odontoid process	rdfs:label	Anomalía de la apófisis odontoides	OFFICIAL
en	es	HP:0003328	Abnormal hair laboratory examination	rdfs:label	Examen de laboratorio del pelo anormal	OFFICIAL
en	es	HP:0003341	Junctional split	rdfs:label	Separación dermo-epidérmica al nivel de la lámina lúcida	OFFICIAL
en	es	HP:0003343	Reduced glutathione synthetase activity	rdfs:label	Deficiencia de glutatión sintetasa	OFFICIAL
en	es	HP:0003345	Elevated urinary norepinephrine	rdfs:label	Norepinefrina urinaria elevada	OFFICIAL
en	es	HP:0003351	Decreased circulating renin level	rdfs:label	Déficit del nivel de renina circulante	OFFICIAL
en	es	HP:0003366	Abnormality of the femoral neck or head region	rdfs:label	Anomalía de la región del cuello y la cabeza femoral	OFFICIAL
en	es	HP:0003367	Abnormality of the femoral neck	rdfs:label	Anomalía del cuello femoral	OFFICIAL
en	es	HP:0003368	Abnormality of the femoral head	rdfs:label	Anomalía de la cabeza femoral	OFFICIAL
en	es	HP:0003375	Narrow greater sacrosciatic notches	rdfs:label	Estrechamiento de las hendiduras sacrociáticas mayores	OFFICIAL
en	es	HP:0003452	Increased serum iron	rdfs:label	Aumento de hierro sérico	OFFICIAL
en	es	HP:0003474	Sensory impairment	rdfs:label	Deterioro sensorial	OFFICIAL
en	es	HP:0003528	Elevated calcitonin	rdfs:label	Calcitonina elevada	OFFICIAL
en	es	HP:0003530	Glutaric acidemia	rdfs:label	Acidemia glutárica	OFFICIAL
en	es	HP:0003533	Reduced acetaldehyde dehydrogenase activity	rdfs:label	Retraso en la oxidación de acetaldehído	OFFICIAL
en	es	HP:0003534	Reduced xanthine dehydrogenase activity	rdfs:label	Disminución de la actividad de la xantina deshidrogenasa	OFFICIAL
en	es	HP:0003538	Increased serum iduronate sulfatase activity	rdfs:label	Actividad en suero aumentada de iduronato sulfatasa	OFFICIAL
en	es	HP:0003542	Increased serum pyruvate	rdfs:label	Aumento de piruvato sérico	OFFICIAL
en	es	HP:0003568	Decreased glucosephosphate isomerase activity	rdfs:label	Disminución de la actividad isomerasa glucosafosfato	OFFICIAL
en	es	HP:0003571	Propionicacidemia	rdfs:label	Propionicacidemia	OFFICIAL
en	es	HP:0003637	Reduced 4-Hydroxyphenylpyruvate dioxygenase activity	rdfs:label	Disminución de la actividad de 4 hidroxifenilpiruvato dioxigenasa	OFFICIAL
en	es	HP:0003639	Elevated urinary epinephrine	rdfs:label	Epinefrina urinaria elevada	OFFICIAL
en	es	HP:0003640	Foam cells in visceral organs and CNS	rdfs:label	Células espumosas en órganos viscerales y SNC	OFFICIAL
en	es	HP:0003649	Abnormality of glycoside metabolism	rdfs:label	Anomalía del metabolismo glucósido	OFFICIAL
en	es	HP:0003654	Reduced dihydropyrimidine dehydrogenase activity	rdfs:label	Disminución de la actividad dihidropirimidina deshidrogenasa	OFFICIAL
en	es	HP:0003655	Reduced activity of N-acetylglucosaminyltransferase II	rdfs:label	Disminución de la actividad de n-ii acetilglucosaminiltransferasa	OFFICIAL
en	es	HP:0003656	Decreased beta-glucocerebrosidase activity	rdfs:label	Disminución de la proteína y la actividad beta-glucocerebrosidasa	OFFICIAL
en	es	HP:0003657	Granular osmiophilic deposits (GROD) in cells	rdfs:label	Depósitos granulares osmiofilicos (grod) en las células	OFFICIAL
