source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	comment	translation_date
en	Unilateral renal agenesis	HP:0000122	rdfs:label	it	Agenesia renale unilaterale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Pelvic kidney	HP:0000125	rdfs:label	it	Rene pelvico	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hydronephrosis	HP:0000126	rdfs:label	it	Idronefrosi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Renal salt wasting	HP:0000127	rdfs:label	it	Deperimento renale di sale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Menorrhagia	HP:0000132	rdfs:label	it	Menorragia	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Hypogonadism	HP:0000135	rdfs:label	it	Ipogonadismo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Ovarian cyst	HP:0000138	rdfs:label	it	Cisti ovarica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Rectovaginal fistula	HP:0000143	rdfs:label	it	Fistola retto-vaginale	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Polycystic ovaries	HP:0000147	rdfs:label	it	Ovaie policistiche	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Wide mouth	HP:0000154	rdfs:label	it	Bocca larga	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Oral ulcer	HP:0000155	rdfs:label	it	Ulcera orale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Macroglossia	HP:0000158	rdfs:label	it	Macroglossia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Narrow mouth	HP:0000160	rdfs:label	it	Bocca stretta	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Median cleft upper lip	HP:0000161	rdfs:label	it	Labiopalatoschisi mediana	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Glossoptosis	HP:0000162	rdfs:label	it	Glossoptosi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the dentition	HP:0000164	rdfs:label	it	Anomalia della dentizione	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Severe periodontitis	HP:0000166	rdfs:label	it	Parodontite grave	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the gingiva	HP:0000168	rdfs:label	it	Anomalia della gengiva	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Gingival fibromatosis	HP:0000169	rdfs:label	it	Fibromatosi gengivale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Microglossia	HP:0000171	rdfs:label	it	Microglossia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Cleft palate	HP:0000175	rdfs:label	it	Palatoschisi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Submucous cleft hard palate	HP:0000176	rdfs:label	it	Palato duro con fessura sottomucosa	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormal upper lip morphology	HP:0000177	rdfs:label	it	Morfologia anormale del labbro superiore	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Thick lower lip vermilion	HP:0000179	rdfs:label	it	Labbro inferiore spesso e vermiglio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Lobulated tongue	HP:0000180	rdfs:label	it	Lingua lobulata	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Cleft soft palate	HP:0000185	rdfs:label	it	Palatoschisi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Broad alveolar ridges	HP:0000187	rdfs:label	it	Larghe creste alveolari	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Narrow palate	HP:0000189	rdfs:label	it	Palato stretto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Accessory oral frenulum	HP:0000191	rdfs:label	it	Frenulo orale accessorio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Bifid uvula	HP:0000193	rdfs:label	it	Ugola bifida	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Open mouth	HP:0000194	rdfs:label	it	Bocca aperta	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Pierre-Robin sequence	HP:0000201	rdfs:label	it	Sequenza di Pierre-Robin	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Orofacial cleft	HP:0000202	rdfs:label	it	Spaccatura orofacciale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Pursed lips	HP:0000205	rdfs:label	it	Labbra serrate	CANDIDATE	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Triangular mouth	HP:0000207	rdfs:label	it	Bocca triangolare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Gingival overgrowth	HP:0000212	rdfs:label	it	Crescita gengivale eccessiva	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Thick upper lip vermilion	HP:0000215	rdfs:label	it	Labbro superiore spesso e vermiglio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	High palate	HP:0000218	rdfs:label	it	Palato alto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Thin upper lip vermilion	HP:0000219	rdfs:label	it	Labbro superiore sottile e vermiglio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Velopharyngeal insufficiency	HP:0000220	rdfs:label	it	Insufficienza velofaringea	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Furrowed tongue	HP:0000221	rdfs:label	it	Lingua solcata	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Gingival bleeding	HP:0000225	rdfs:label	it	Sanguinamento gengivale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Gingivitis	HP:0000230	rdfs:label	it	Gengivite	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Everted lower lip vermilion	HP:0000232	rdfs:label	it	Labbro inferiore estroflesso e vermiglio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Thin vermilion border	HP:0000233	rdfs:label	it	Bordo vermiglio sottile	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hydrocephalus	HP:0000238	rdfs:label	it	Idrocefalo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Large fontanelles	HP:0000239	rdfs:label	it	Fontanelle grandi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of skull size	HP:0000240	rdfs:label	it	Anomalia delle dimensioni del cranio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Parietal bossing	HP:0000242	rdfs:label	it	Bordo parietale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Trigonocephaly	HP:0000243	rdfs:label	it	Trigonocefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Brachyturricephaly	HP:0000244	rdfs:label	it	Brachiturrorifalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Sinusitis	HP:0000246	rdfs:label	it	Sinusite	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Brachycephaly	HP:0000248	rdfs:label	it	Brachicefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Microcephaly	HP:0000252	rdfs:label	it	Microcefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Progressive microcephaly	HP:0000253	rdfs:label	it	Microcefalia progressiva	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Macrocephaly	HP:0000256	rdfs:label	it	Macrocefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Wide anterior fontanel	HP:0000260	rdfs:label	it	Fontanella anteriore larga	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Turricephaly	HP:0000262	rdfs:label	it	Turricefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Mastoiditis	HP:0000265	rdfs:label	it	Mastoidite	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Dolichocephaly	HP:0000268	rdfs:label	it	Dolicocefalia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Prominent occiput	HP:0000269	rdfs:label	it	Occipite prominente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Delayed cranial suture closure	HP:0000270	rdfs:label	it	Ritardo nella chiusura della sutura cranica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the face	HP:0000271	rdfs:label	it	Anomalia del viso	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Malar flattening	HP:0000272	rdfs:label	it	Appiattimento malare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Small face	HP:0000274	rdfs:label	it	Viso piccolo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Narrow face	HP:0000275	rdfs:label	it	Viso stretto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Long face	HP:0000276	rdfs:label	it	Viso lungo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormal mandible morphology	HP:0000277	rdfs:label	it	Morfologia anomala della mandibola	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Retrognathia	HP:0000278	rdfs:label	it	Retrognazia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Coarse facial features	HP:0000280	rdfs:label	it	Caratteristiche facciali grossolane	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Broad face	HP:0000283	rdfs:label	it	Viso largo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Epicanthus	HP:0000286	rdfs:label	it	Epicanto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Increased facial adipose tissue	HP:0000287	rdfs:label	it	Aumento del tessuto adiposo facciale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the philtrum	HP:0000288	rdfs:label	it	Anomalia del filtro	CANDIDATE	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Broad philtrum	HP:0000289	rdfs:label	it	Ampio philtrum	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Full cheeks	HP:0000293	rdfs:label	it	Guance piene	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Low anterior hairline	HP:0000294	rdfs:label	it	Bassa attaccatura dei capelli anteriori	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Facial hypotonia	HP:0000297	rdfs:label	it	Ipotonia facciale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Mask-like facies	HP:0000298	rdfs:label	it	Faccia a maschera	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Oval face	HP:0000300	rdfs:label	it	Viso ovale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of facial musculature	HP:0000301	rdfs:label	it	Anomalia della muscolatura facciale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Mandibular prognathia	HP:0000303	rdfs:label	it	Prognatismo mandibolare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Pointed chin	HP:0000307	rdfs:label	it	Mento appuntito	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Microretrognathia	HP:0000308	rdfs:label	it	Microretrognatia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Round face	HP:0000311	rdfs:label	it	Viso rotondo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypertelorism	HP:0000316	rdfs:label	it	Ipertelorismo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Smooth philtrum	HP:0000319	rdfs:label	it	Filetto liscio	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Bird-like facies	HP:0000320	rdfs:label	it	Faccia da uccello	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Square face	HP:0000321	rdfs:label	it	Faccia quadrata	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Short philtrum	HP:0000322	rdfs:label	it	Filetto corto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Facial asymmetry	HP:0000324	rdfs:label	it	Asimmetria facciale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Triangular face	HP:0000325	rdfs:label	it	Faccia triangolare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypoplasia of the maxilla	HP:0000327	rdfs:label	it	Ipoplasia della mascella	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Short chin	HP:0000331	rdfs:label	it	Mento corto	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Prominent supraorbital ridges	HP:0000336	rdfs:label	it	Creste sopraorbitali prominenti	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Broad forehead	HP:0000337	rdfs:label	it	Fronte ampia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hypomimic face	HP:0000338	rdfs:label	it	Volto ipomimico	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Sloping forehead	HP:0000340	rdfs:label	it	Fronte inclinata	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Narrow forehead	HP:0000341	rdfs:label	it	Fronte stretta	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Long philtrum	HP:0000343	rdfs:label	it	Filetto lungo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Whistling appearance	HP:0000346	rdfs:label	it	Aspetto fischiante	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Micrognathia	HP:0000347	rdfs:label	it	Micrognazia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	High forehead	HP:0000348	rdfs:label	it	fronte alta	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Widow's peak	HP:0000349	rdfs:label	it	Picco della vedova	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Small forehead	HP:0000350	rdfs:label	it	Fronte piccola	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the outer ear	HP:0000356	rdfs:label	it	Anomalia dell'orecchio esterno	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Posteriorly rotated ears	HP:0000358	rdfs:label	it	Orecchie ruotate posteriormente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Tinnitus	HP:0000360	rdfs:label	it	Acufene	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hearing abnormality	HP:0000364	rdfs:label	it	Anomalia dell'udito	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Hearing impairment	HP:0000365	rdfs:label	it	Disturbi dell'udito	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormality of the nose	HP:0000366	rdfs:label	it	Anomalia del naso	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	obsolete Low-set, posteriorly rotated ears	HP:0000368	rdfs:label	it	Orecchie a impianto basso e retroruotate	CANDIDATE	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Low-set ears	HP:0000369	rdfs:label	it	Orecchie basse	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Incomplete partition of the cochlea type II	HP:0000376	rdfs:label	it	Partizione incompleta della coclea di tipo II	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Abnormal pinna morphology	HP:0000377	rdfs:label	it	Morfologia anomala del padiglione auricolare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Cupped ear	HP:0000378	rdfs:label	it	Orecchio a coppa	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Preauricular skin tag	HP:0000384	rdfs:label	it	Placca cutanea preauricolare	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Small earlobe	HP:0000385	rdfs:label	it	Lobo dell'orecchio piccolo	OFFICIAL	orcid:0000-0003-4174-0526	DOMAIN_EXPERT		2024-11-26
en	Otitis media	HP:0000388	rdfs:label	it	Otite media	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Chronic otitis media	HP:0000389	rdfs:label	it	Otite media cronica	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Thickened helices	HP:0000391	rdfs:label	it	Eliche ispessite	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Lop ear	HP:0000394	rdfs:label	it	Orecchio a sventola	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Prominent antihelix	HP:0000395	rdfs:label	it	Antielica prominente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Overfolded helix	HP:0000396	rdfs:label	it	Elica troppo ripiegata	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Prelingual sensorineural hearing impairment	HP:0000399	rdfs:label	it	Deficit uditivo neurosensoriale prelinguale	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Macrotia	HP:0000400	rdfs:label	it	Macrozia	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Stenosis of the external auditory canal	HP:0000402	rdfs:label	it	Stenosi del canale uditivo esterno	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Recurrent otitis media	HP:0000403	rdfs:label	it	Otite media ricorrente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Conductive hearing impairment	HP:0000405	rdfs:label	it	Disturbo dell'udito conduttivo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Sensorineural hearing impairment	HP:0000407	rdfs:label	it	Disturbo neurosensoriale dell'udito	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Mixed hearing impairment	HP:0000410	rdfs:label	it	Disturbo misto dell'udito	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Protruding ear	HP:0000411	rdfs:label	it	Orecchio sporgente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Atresia of the external auditory canal	HP:0000413	rdfs:label	it	Atresia del canale uditivo esterno	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Bulbous nose	HP:0000414	rdfs:label	it	Naso bulboso	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Narrow nasal ridge	HP:0000418	rdfs:label	it	Cresta nasale stretta	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Epistaxis	HP:0000421	rdfs:label	it	Epistassi	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Prominent nasal bridge	HP:0000426	rdfs:label	it	Ponte nasale prominente	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Underdeveloped nasal alae	HP:0000430	rdfs:label	it	Alae nasali poco sviluppate	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Wide nasal bridge	HP:0000431	rdfs:label	it	Ponte nasale largo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Depressed nasal tip	HP:0000437	rdfs:label	it	Punta nasale depressa	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Convex nasal ridge	HP:0000444	rdfs:label	it	Cresta nasale convessa	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
en	Wide nose	HP:0000445	rdfs:label	it	Naso largo	CANDIDATE	DeepL	ALGORITHM	preview	2024-05-08
