source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status	translator	translator_expertise	translation_date
en	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately	HP:0000202	IAO:0000115	nl	The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately	NOT_TRANSLATED			
en	Oral cleft	HP:0000202	rdfs:label	nl	Schisis	CANDIDATE			
en	A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development	HP:0000204	IAO:0000115	nl	A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development	NOT_TRANSLATED			
en	Abnormality of the fontanelles or cranial sutures	HP:0000235	rdfs:label	nl	Afwijking van de fontanellen of de craniale hechtingen	CANDIDATE			
en	Abnormality of the anterior fontanelle	HP:0000236	rdfs:label	nl	Afwijking van de voorste fontanel	CANDIDATE			
en	Abnormality of the forehead	HP:0000290	rdfs:label	nl	Afwijking van het voorhoofd	CANDIDATE			
en	Abnormality of the maxilla	HP:0000326	rdfs:label	nl	Afwijking van de maxilla	CANDIDATE			
en	Low-set, posteriorly rotated ears	HP:0000368	rdfs:label	nl	Laag ingeplante, naar achteren gedraaide oren	CANDIDATE			
en	An abnormality of the External acoustic tube (also known as the auditory canal)	HP:0000372	IAO:0000115	nl	An abnormality of the External acoustic tube (also known as the auditory canal)	NOT_TRANSLATED			
en	Abnormality of the auditory canal	HP:0000372	rdfs:label	nl	Afwijking van de gehoorgang	CANDIDATE			
en	Abnormality of the choanae	HP:0000415	rdfs:label	nl	Afwijking van de choanae	CANDIDATE			
en	A notch or cleft of the retina	HP:0000480	IAO:0000115	nl	A notch or cleft of the retina	NOT_TRANSLATED			
en	A type of astigmatism associated with abnormal curvatures on the anterior and/or posterior surface of the cornea	HP:0000483	IAO:0000115	nl	A type of astigmatism associated with abnormal curvatures on the anterior and/or posterior surface of the cornea	NOT_TRANSLATED			
en	Atrophy of the choroid and retinal layers of the fundus	HP:0000533	IAO:0000115	nl	Atrophy of the choroid and retinal layers of the fundus	NOT_TRANSLATED			
en	A pale yellow discoloration of the optic disk (the area of the optic nerve head in the retina). The optic disc normally has a pinkish hue with a central yellowish depression	HP:0000543	IAO:0000115	nl	A pale yellow discoloration of the optic disk (the area of the optic nerve head in the retina). The optic disc normally has a pinkish hue with a central yellowish depression	NOT_TRANSLATED			
en	A nonspecific term denoting degeneration of the retinal pigment epithelium and/or retinal photoreceptor cells	HP:0000546	IAO:0000115	nl	A nonspecific term denoting degeneration of the retinal pigment epithelium and/or retinal photoreceptor cells	NOT_TRANSLATED			
en	Hemorrhage occurring within the retina	HP:0000573	IAO:0000115	nl	Hemorrhage occurring within the retina	NOT_TRANSLATED			
en	Abnormality of the optic nerve	HP:0000587	rdfs:label	nl	Afwijking van de oogzenuw	CANDIDATE			
en	Blindness is the condition of lacking visual perception defined as visual perception below 3/60 and/or a visual field of no greater than 10 degrees in radius around central fixation	HP:0000618	IAO:0000115	nl	Blindness is the condition of lacking visual perception defined as visual perception below 3/60 and/or a visual field of no greater than 10 degrees in radius around central fixation	NOT_TRANSLATED			
en	Abnormal retinal artery morphology	HP:0000630	rdfs:label	nl	Afwijking van retinale slagaders	CANDIDATE			
en	Abnormally decreased lacrimation, that is, reduced ability to produce tears	HP:0000633	IAO:0000115	nl	Abnormally decreased lacrimation, that is, reduced ability to produce tears	NOT_TRANSLATED			
en	Descreased amplitude of eletrical response upon electroretinography	HP:0000654	IAO:0000115	nl	Descreased amplitude of eletrical response upon electroretinography	NOT_TRANSLATED			
en	Ocular motor apraxia is a deficiency in voluntary, horizontal, lateral, fast eye movements (saccades) with retention of slow pursuit movements. The inability to follow objects visually is often compensated by head movements. There may be decreased smooth pursuit, and cancellation of the vestibulo-ocular reflex	HP:0000657	IAO:0000115	nl	Ocular motor apraxia is a deficiency in voluntary, horizontal, lateral, fast eye movements (saccades) with retention of slow pursuit movements. The inability to follow objects visually is often compensated by head movements. There may be decreased smooth pursuit, and cancellation of the vestibulo-ocular reflex	NOT_TRANSLATED			
en	A creamy appearance of the retinal blood vessels that occurs when the concentration of lipids in the blood are extremely increased, with pale pink to milky white retinal vessels and altered pale reflexes from choroidal vasculature	HP:0000660	IAO:0000115	nl	A creamy appearance of the retinal blood vessels that occurs when the concentration of lipids in the blood are extremely increased, with pale pink to milky white retinal vessels and altered pale reflexes from choroidal vasculature	NOT_TRANSLATED			
en	The absence of six or more teeth from the normal series by a failurento develop	HP:0000677	IAO:0000115	nl	The absence of six or more teeth from the normal series by a failurento develop	NOT_TRANSLATED			
en	A grey discoloration of the dental enamel	HP:0000683	IAO:0000115	nl	A grey discoloration of the dental enamel	NOT_TRANSLATED			
en	An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities	HP:0000708	IAO:0000115	nl	An abnormality of mental functioning including various affective, behavioural, cognitive and perceptual abnormalities	NOT_TRANSLATED			
en	Behavioral abnormality	HP:0000708	rdfs:label	nl	Gedragsabnormaliteit	CANDIDATE			
en	A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs	HP:0000709	IAO:0000115	nl	A condition characterized by changes of personality and thought patterns often accompanied by hallucinations and delusional beliefs	NOT_TRANSLATED			
en	A tendency or compulsion to examine objects by mouth	HP:0000710	IAO:0000115	nl	A tendency or compulsion to examine objects by mouth	NOT_TRANSLATED			
en	A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behavior, and subjective distress	HP:0000711	IAO:0000115	nl	A state of unease characterized by diffuse motor activity or motion subject to limited control, nonproductive or disorganized behavior, and subjective distress	NOT_TRANSLATED			
en	Unstable emotional experiences and frequent mood changes; emotions that are easily aroused, intense, and/or out of proportion to events and circumstances	HP:0000712	IAO:0000115	nl	Unstable emotional experiences and frequent mood changes; emotions that are easily aroused, intense, and/or out of proportion to events and circumstances	NOT_TRANSLATED			
en	A state of exceeding restlessness and excessive motor activity associated with mental distress or a feeling of inner tension	HP:0000713	IAO:0000115	nl	A state of exceeding restlessness and excessive motor activity associated with mental distress or a feeling of inner tension	NOT_TRANSLATED			
en	Frequent feelings of being down, miserable, and/or hopeless; difficulty recovering from such moods; pessimism about the future; pervasive shame; feeling of inferior self-worth; thoughts of suicide and suicidal behavior	HP:0000716	IAO:0000115	nl	Frequent feelings of being down, miserable, and/or hopeless; difficulty recovering from such moods; pessimism about the future; pervasive shame; feeling of inferior self-worth; thoughts of suicide and suicidal behavior	NOT_TRANSLATED			
en	Aggressive behavior can denote verbal aggression, physical aggression against objects, physical aggression against people, and may also include aggression towards oneself	HP:0000718	IAO:0000115	nl	Aggressive behavior can denote verbal aggression, physical aggression against objects, physical aggression against people, and may also include aggression towards oneself	NOT_TRANSLATED			
en	Recurrent obsessions or compulsions that are severe enough to be time consuming (i.e., they take more than 1 hour a day) or cause marked distress or significant impairment (DSM-IV)	HP:0000722	IAO:0000115	nl	Recurrent obsessions or compulsions that are severe enough to be time consuming (i.e., they take more than 1 hour a day) or cause marked distress or significant impairment (DSM-IV)	NOT_TRANSLATED			
en	Obsessive-compulsive behavior	HP:0000722	rdfs:label	nl	Obsessief-compulsief gedrag	CANDIDATE			
en	Behavior characterized by an abnormal limitation to few interests and activities	HP:0000723	IAO:0000115	nl	Behavior characterized by an abnormal limitation to few interests and activities	NOT_TRANSLATED			
en	Impaired ability to form peer relationships	HP:0000728	rdfs:label	nl	Verminderde capaciteit om peer relaties te vormen	CANDIDATE			
en	Inflexible adherence to routines or rituals	HP:0000732	rdfs:label	nl	Rigide vasthouden aan routines of rituelen	CANDIDATE			
en	A stereotypy is a repetitive, simple movement that can be voluntarily suppressed. Stereotypies are typically simple back-and-forth movements such as waving of flapping the hands or arms, and they do not involve complex sequences or movement fragments. Movement is often but not always rhythmic and may involve fingers, wrists, or more proximal portions of the upper extremity. The lower extremity is not typically involved. Stereotypies are more commonly bilateral than unilateral	HP:0000733	IAO:0000115	nl	A stereotypy is a repetitive, simple movement that can be voluntarily suppressed. Stereotypies are typically simple back-and-forth movements such as waving of flapping the hands or arms, and they do not involve complex sequences or movement fragments. Movement is often but not always rhythmic and may involve fingers, wrists, or more proximal portions of the upper extremity. The lower extremity is not typically involved. Stereotypies are more commonly bilateral than unilateral	NOT_TRANSLATED			
en	A lack of restraint manifested in several ways, including disregard for social conventions, impulsivity, and poor risk assessment	HP:0000734	IAO:0000115	nl	A lack of restraint manifested in several ways, including disregard for social conventions, impulsivity, and poor risk assessment	NOT_TRANSLATED			
en	Impaired social interactions	HP:0000735	rdfs:label	nl	Verminderde sociale interacties	CANDIDATE			
en	Reduced attention span characterized by distractibility and impulsivity but not necessarily satisfying the diagnostic criteria for attention deficit hyperactivity disorder	HP:0000736	IAO:0000115	nl	Reduced attention span characterized by distractibility and impulsivity but not necessarily satisfying the diagnostic criteria for attention deficit hyperactivity disorder	NOT_TRANSLATED			
en	A proneness to anger, i.e., a condition of being easily bothered or annoyed	HP:0000737	IAO:0000115	nl	A proneness to anger, i.e., a condition of being easily bothered or annoyed	NOT_TRANSLATED			
en	Perceptions in a conscious and awake state in the absence of external stimuli which have qualities of real perception, in that they are vivid, substantial, and located in external objective space	HP:0000738	IAO:0000115	nl	Perceptions in a conscious and awake state in the absence of external stimuli which have qualities of real perception, in that they are vivid, substantial, and located in external objective space	NOT_TRANSLATED			
en	Intense feelings of nervousness, tenseness, or panic, often in reaction to interpersonal stresses; worry about the negative effects of past unpleasant experiences and future negative possibilities; feeling fearful, apprehensive, or threatened by uncertainty; fears of falling apart or losing control	HP:0000739	IAO:0000115	nl	Intense feelings of nervousness, tenseness, or panic, often in reaction to interpersonal stresses; worry about the negative effects of past unpleasant experiences and future negative possibilities; feeling fearful, apprehensive, or threatened by uncertainty; fears of falling apart or losing control	NOT_TRANSLATED			
en	Recurrent attacks of severe anxiety, whose occurence is not restricted to any particular situation or set of circumstances and is therefore unpredictable	HP:0000740	IAO:0000115	nl	Recurrent attacks of severe anxiety, whose occurence is not restricted to any particular situation or set of circumstances and is therefore unpredictable	NOT_TRANSLATED			
en	The feeling of frustration can be defined as an emotional reaction that occurs if a desired goal is not achieved. Frustration intolerance is defined as an age-inappropriate response to frustration characterized by crying or temper tantrums (in children) or aggressive or other undesirable behaviors	HP:0000744	IAO:0000115	nl	The feeling of frustration can be defined as an emotional reaction that occurs if a desired goal is not achieved. Frustration intolerance is defined as an age-inappropriate response to frustration characterized by crying or temper tantrums (in children) or aggressive or other undesirable behaviors	NOT_TRANSLATED			
en	A reduction in goal-directed behavior, that is, motivation, the determinant of behavior and adaptation that allows individuals to get started, be energized to perform a sustained and directed action	HP:0000745	IAO:0000115	nl	A reduction in goal-directed behavior, that is, motivation, the determinant of behavior and adaptation that allows individuals to get started, be energized to perform a sustained and directed action	NOT_TRANSLATED			
en	Diminished motivation	HP:0000745	rdfs:label	nl	Verminderde motivatie	CANDIDATE			
en	A false belief that is held despite evidence to the contrary	HP:0000746	IAO:0000115	nl	A false belief that is held despite evidence to the contrary	NOT_TRANSLATED			
en	Delusions	HP:0000746	rdfs:label	nl	Wanen	CANDIDATE			
en	Hyperactivity is a state of constantly being unusually or abnormally active, including in situations in which it is not appropriate	HP:0000752	IAO:0000115	nl	Hyperactivity is a state of constantly being unusually or abnormally active, including in situations in which it is not appropriate	NOT_TRANSLATED			
en	A type of anxiety disorder characterized by avoidance of public places, especially where crowds gather	HP:0000756	IAO:0000115	nl	A type of anxiety disorder characterized by avoidance of public places, especially where crowds gather	NOT_TRANSLATED			
en	Any abnormal nonverbal communication, such as reduced use of eye-to-eye gaze, atypical facial expressions, body posture, and gestures	HP:0000758	IAO:0000115	nl	Any abnormal nonverbal communication, such as reduced use of eye-to-eye gaze, atypical facial expressions, body posture, and gestures	NOT_TRANSLATED			
en	Abnormality of the thymus	HP:0000777	rdfs:label	nl	Afwijking van de thymus	CANDIDATE			
en	Oligospermia	HP:0000798	rdfs:label	nl	Oligospermie	CANDIDATE			
en	Glandular hypospadias	HP:0000807	rdfs:label	nl	Klierweefsel hypospadie	CANDIDATE			
en	Abnormal external genitalia	HP:0000811	rdfs:label	nl	Abnormale externe genitaliën	CANDIDATE			
en	Difficulty in looking at another person in the eye	HP:0000817	IAO:0000115	nl	Difficulty in looking at another person in the eye	NOT_TRANSLATED			
en	Poor eye contact	HP:0000817	rdfs:label	nl	Slecht oogcontact	CANDIDATE			
en	Increased circulating renin level	HP:0000848	rdfs:label	nl	Toegenomen circulerend renine-niveau	CANDIDATE			
en	Hyperaldosteronism	HP:0000859	rdfs:label	nl	Hyperaldosteronisme	CANDIDATE			
en	A row of beadlike prominences at the junction of a rib and its cartilage (i.e., enlarged costochondral joints), resembling a rosary	HP:0000897	IAO:0000115	nl	A row of beadlike prominences at the junction of a rib and its cartilage (i.e., enlarged costochondral joints), resembling a rosary	NOT_TRANSLATED			
en	Beaded ribs	HP:0000923	rdfs:label	nl	Rozenkrans ribben	CANDIDATE			
en	Hyperkeratosis is thickening of the outer layer of the skin, the stratum corneum, which is composed of large, polyhedral, plate-like envelopes filled with keratin which are the dead cells that have migrated up from the stratum granulosum	HP:0000962	IAO:0000115	nl	Hyperkeratosis is thickening of the outer layer of the skin, the stratum corneum, which is composed of large, polyhedral, plate-like envelopes filled with keratin which are the dead cells that have migrated up from the stratum granulosum	NOT_TRANSLATED			
en	Eczema is a form of dermatitis. The term eczema is broadly applied to a range of persistent skin conditions and can be related to a number of underlying conditions. Manifestations of eczema can include dryness and recurring skin rashes with redness, skin edema, itching and dryness, crusting, flaking, blistering, cracking, oozing, or bleeding	HP:0000964	IAO:0000115	nl	Eczema is a form of dermatitis. The term eczema is broadly applied to a range of persistent skin conditions and can be related to a number of underlying conditions. Manifestations of eczema can include dryness and recurring skin rashes with redness, skin edema, itching and dryness, crusting, flaking, blistering, cracking, oozing, or bleeding	NOT_TRANSLATED			
en	Eczema	HP:0000964	rdfs:label	nl	Eczeem	CANDIDATE			
en	Eczematoid dermatitis	HP:0000976	rdfs:label	nl	Eczematoïde dermatitis	CANDIDATE			
en	A condition in which superficial veins (i.e., veins just under the skin) are more conspicuous or noticable than normal	HP:0001015	IAO:0000115	nl	A condition in which superficial veins (i.e., veins just under the skin) are more conspicuous or noticable than normal	NOT_TRANSLATED			
en	The presence of multiple cutaneous neurofibromas	HP:0001067	IAO:0000115	nl	The presence of multiple cutaneous neurofibromas	NOT_TRANSLATED			
en	Neurofibromas	HP:0001067	rdfs:label	nl	Neurofibromen	CANDIDATE			
en	Fundus atrophy	HP:0001099	rdfs:label	nl	Atrofie van de maagwand	CANDIDATE			
en	Irregular lines in the deep retina that are typically configured in a radiating fashion and emanate from the optic disc. Angioid streaks are crack-like dehiscences in abnormally thickened and calcified Bruch's membrane, resulting in atrophy of the overlying retinal pigment epithelium. They may be associated with a number of endocrine, metabolic, and connective tissue abnormalities but are frequently idiopathic	HP:0001102	IAO:0000115	nl	Irregular lines in the deep retina that are typically configured in a radiating fashion and emanate from the optic disc. Angioid streaks are crack-like dehiscences in abnormally thickened and calcified Bruch's membrane, resulting in atrophy of the overlying retinal pigment epithelium. They may be associated with a number of endocrine, metabolic, and connective tissue abnormalities but are frequently idiopathic	NOT_TRANSLATED			
en	Angioid streaks of the fundus	HP:0001102	rdfs:label	nl	Angioide strepen van de retina	CANDIDATE			
en	A structural abnormality of the macula lutea, which is an oval-shaped highly pigmented yellow spot near the center of the retina	HP:0001103	IAO:0000115	nl	A structural abnormality of the macula lutea, which is an oval-shaped highly pigmented yellow spot near the center of the retina	NOT_TRANSLATED			
en	Well-demarcated area(s) of partial or complete depigmentation in the fundus, reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss	HP:0001105	IAO:0000115	nl	Well-demarcated area(s) of partial or complete depigmentation in the fundus, reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss	NOT_TRANSLATED			
en	A congenital defect of the macula distinct from coloboma associated with optic fissure closure defects. Macular coloboma is characterized by a sharply defined, rather large defect in the central area of the fundus that is oval or round, and coarsely pigmented	HP:0001116	IAO:0000115	nl	A congenital defect of the macula distinct from coloboma associated with optic fissure closure defects. Macular coloboma is characterized by a sharply defined, rather large defect in the central area of the fundus that is oval or round, and coarsely pigmented	NOT_TRANSLATED			
en	Macular coloboma	HP:0001116	rdfs:label	nl	Maculair coloboom	CANDIDATE			
en	Choroideremia	HP:0001139	rdfs:label	nl	Choroideremie	CANDIDATE			
en	Severe reduction of the ability to see defined as visual acuity less than 6/60 (20/200 in US notation; 0.1 in decimal notation) but at least 3/60 (20/400 in US notation; 0.05 in decimal notation)	HP:0001141	IAO:0000115	nl	Severe reduction of the ability to see defined as visual acuity less than 6/60 (20/200 in US notation; 0.1 in decimal notation) but at least 3/60 (20/400 in US notation; 0.05 in decimal notation)	NOT_TRANSLATED			
en	Fluid which has escaped from retinal blood vessels with a high concentration of lipid, protein, and cellular debris with a typically bright, reflective, white or cream colored appearance on the surface of the retina	HP:0001147	IAO:0000115	nl	Fluid which has escaped from retinal blood vessels with a high concentration of lipid, protein, and cellular debris with a typically bright, reflective, white or cream colored appearance on the surface of the retina	NOT_TRANSLATED			
en	Saccadic smooth pursuit	HP:0001152	rdfs:label	nl	Saccadische gladde vervolging	CANDIDATE			
en	Abnormality of finger	HP:0001167	rdfs:label	nl	Afwijking van vinger	CANDIDATE			
en	A condition in which middle parts of the hand (fingers and metacarpals) are missing giving a cleft appearance. The severity is very variable ranging from slightly hypoplastic middle fingers over absent middel fingers as far as oligo- or monodactyl hands	HP:0001171	IAO:0000115	nl	A condition in which middle parts of the hand (fingers and metacarpals) are missing giving a cleft appearance. The severity is very variable ranging from slightly hypoplastic middle fingers over absent middel fingers as far as oligo- or monodactyl hands	NOT_TRANSLATED			
en	Hand oligodactyly	HP:0001180	rdfs:label	nl	Hand oligodactylie	CANDIDATE			
en	Spontaneous detachment (amputation) of an appendage from the body	HP:0001218	IAO:0000115	nl	Spontaneous detachment (amputation) of an appendage from the body	NOT_TRANSLATED			
en	Syndactyly with fusion of fingers two and three	HP:0001233	IAO:0000115	nl	Syndactyly with fusion of fingers two and three	NOT_TRANSLATED			
en	2-3 finger syndactyly	HP:0001233	rdfs:label	nl	2-3 vingersyndactylie	CANDIDATE			
en	Subnormal intellectual functioning which originates during the developmental period. Intellectual disability, previously referred to as mental retardation, has been defined as an IQ score below 70	HP:0001249	IAO:0000115	nl	Subnormal intellectual functioning which originates during the developmental period. Intellectual disability, previously referred to as mental retardation, has been defined as an IQ score below 70	NOT_TRANSLATED			
en	A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain	HP:0001250	IAO:0000115	nl	A seizure is an intermittent abnormality of nervous system physiology characterised by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain	NOT_TRANSLATED			
en	Cerebellar ataxia refers to ataxia due to dysfunction of the cerebellum. This causes a variety of elementary neurological deficits including asynergy (lack of coordination between muscles, limbs and joints), dysmetria (lack of ability to judge distances that can lead to under- or overshoot in grasping movements), and dysdiadochokinesia (inability to perform rapid movements requiring antagonizing muscle groups to be switched on and off repeatedly)	HP:0001251	IAO:0000115	nl	Cerebellar ataxia refers to ataxia due to dysfunction of the cerebellum. This causes a variety of elementary neurological deficits including asynergy (lack of coordination between muscles, limbs and joints), dysmetria (lack of ability to judge distances that can lead to under- or overshoot in grasping movements), and dysdiadochokinesia (inability to perform rapid movements requiring antagonizing muscle groups to be switched on and off repeatedly)	NOT_TRANSLATED			
en	A state of disinterestedness, listlessness, and indifference, resulting in difficulty performing simple tasks or concentrating	HP:0001254	IAO:0000115	nl	A state of disinterestedness, listlessness, and indifference, resulting in difficulty performing simple tasks or concentrating	NOT_TRANSLATED			
en	Mild intellectual disability is defined as an intelligence quotient (IQ) in the range of 50-69	HP:0001256	IAO:0000115	nl	Mild intellectual disability is defined as an intelligence quotient (IQ) in the range of 50-69	NOT_TRANSLATED			
en	Intellectual disability, mild	HP:0001256	rdfs:label	nl	Verstandelijke beperking, mild	CANDIDATE			
en	Spasticity and weakness of the leg and hip muscles	HP:0001258	IAO:0000115	nl	Spasticity and weakness of the leg and hip muscles	NOT_TRANSLATED			
en	Complete absence of wakefulness and content of conscience, which manifests itself as a lack of response to any kind of external stimuli	HP:0001259	IAO:0000115	nl	Complete absence of wakefulness and content of conscience, which manifests itself as a lack of response to any kind of external stimuli	NOT_TRANSLATED			
en	Syncope refers to a generalized weakness of muscles with loss of postural tone, inability to stand upright, and loss of consciousness. Once the patient is in a horizontal position, blood flow to the brain is no longer hindered by gravitation and consciousness is regained. Unconsciousness usually lasts for seconds to minutes. Headache and drowsiness (which usually follow seizures) do not follow a syncopal attack. Syncope results from a sudden impairment of brain metabolism usually due to a reduction in cerebral blood flow	HP:0001279	IAO:0000115	nl	Syncope refers to a generalized weakness of muscles with loss of postural tone, inability to stand upright, and loss of consciousness. Once the patient is in a horizontal position, blood flow to the brain is no longer hindered by gravitation and consciousness is regained. Unconsciousness usually lasts for seconds to minutes. Headache and drowsiness (which usually follow seizures) do not follow a syncopal attack. Syncope results from a sudden impairment of brain metabolism usually due to a reduction in cerebral blood flow	NOT_TRANSLATED			
en	The term gait disturbance can refer to any disruption of the ability to walk. In general, this can refer to neurological diseases but also fractures or other sources of pain that is triggered upon walking. However, in the current context gait disturbance refers to difficulty walking on the basis of a neurological or muscular disease	HP:0001288	IAO:0000115	nl	The term gait disturbance can refer to any disruption of the ability to walk. In general, this can refer to neurological diseases but also fractures or other sources of pain that is triggered upon walking. However, in the current context gait disturbance refers to difficulty walking on the basis of a neurological or muscular disease	NOT_TRANSLATED			
en	The ability of a joint to move beyond its normal range of motion	HP:0001382	IAO:0000115	nl	The ability of a joint to move beyond its normal range of motion	NOT_TRANSLATED			
en	Joint laxity	HP:0001388	rdfs:label	nl	Gewrichtsslapte	CANDIDATE			
en	A mode of inheritance that depends on a mixture of major and minor genetic determinants possibly together with environmental factors. Diseases inherited in this manner are termed complex diseases	HP:0001426	IAO:0000115	nl	A mode of inheritance that depends on a mixture of major and minor genetic determinants possibly together with environmental factors. Diseases inherited in this manner are termed complex diseases	NOT_TRANSLATED			
en	Multifactorial inheritance	HP:0001426	rdfs:label	nl	Multifactoriële overerving	CANDIDATE			
en	Somatic mutation	HP:0001428	rdfs:label	nl	Somatische mutatie	CANDIDATE			
en	Abnormality of the calf musculature	HP:0001430	rdfs:label	nl	Afwijking van de kuitmusculatuur	CANDIDATE			
en	Abnormality of the musculature of the thigh	HP:0001441	rdfs:label	nl	Afwijking van de bovenbeenmusculatuur	CANDIDATE			
en	The presence of genetically distinct populations of somatic cells in a given organism caused by DNA mutations, epigenetic alterations of DNA, chromosomal abnormalities or the spontaneous reversion of inherited mutations	HP:0001442	IAO:0000115	nl	The presence of genetically distinct populations of somatic cells in a given organism caused by DNA mutations, epigenetic alterations of DNA, chromosomal abnormalities or the spontaneous reversion of inherited mutations	NOT_TRANSLATED			
en	Somatic mosaicism	HP:0001442	rdfs:label	nl	Somatisch mozaïcisme	CANDIDATE			
en	Autosomal dominant somatic cell mutation	HP:0001444	rdfs:label	nl	Autosomale dominante somatische celmutatie	CANDIDATE			
en	Accumulation of fluid in the peritoneal cavity	HP:0001541	IAO:0000115	nl	Accumulation of fluid in the peritoneal cavity	NOT_TRANSLATED			
en	Abnormality of the nail	HP:0001597	IAO:0000115	nl	Abnormality of the nail	NOT_TRANSLATED			
en	Abnormality of the nail	HP:0001597	rdfs:label	nl	Afwijking van de nagel	CANDIDATE			
en	A type of speech characterized by the presence of an abnormally increased nasal airflow during speech	HP:0001611	IAO:0000115	nl	A type of speech characterized by the presence of an abnormally increased nasal airflow during speech	NOT_TRANSLATED			
en	Nasal speech	HP:0001611	rdfs:label	nl	Nasale spraak	CANDIDATE			
en	An impairment in the ability to produce voice sounds	HP:0001618	IAO:0000115	nl	An impairment in the ability to produce voice sounds	NOT_TRANSLATED			
en	An abnormal increase in the pitch (frequency) of the voice	HP:0001620	IAO:0000115	nl	An abnormal increase in the pitch (frequency) of the voice	NOT_TRANSLATED			
en	High pitched voice	HP:0001620	rdfs:label	nl	Hoge stem	CANDIDATE			
en	Vestibular dysfunction	HP:0001751	rdfs:label	nl	Vestibulaire dysfunctie	CANDIDATE			
en	Reduced functioning of the vestibular apparatus	HP:0001756	IAO:0000115	nl	Reduced functioning of the vestibular apparatus	NOT_TRANSLATED			
en	Vestibular hypofunction	HP:0001756	rdfs:label	nl	Vestibulaire hypofunctie	CANDIDATE			
en	The presence of an unusually high plantar arch. Also called high instep, pes cavus refers to a distinctly hollow form of the sole of the foot when it is bearing weight	HP:0001761	IAO:0000115	nl	The presence of an unusually high plantar arch. Also called high instep, pes cavus refers to a distinctly hollow form of the sole of the foot when it is bearing weight	NOT_TRANSLATED			
en	Abnormality of toe	HP:0001780	rdfs:label	nl	Afwijking van teen	CANDIDATE			
en	Nail that appears thick when viewed on end	HP:0001805	IAO:0000115	nl	Nail that appears thick when viewed on end	NOT_TRANSLATED			
en	Onychogryposis	HP:0001805	rdfs:label	nl	Dikke nagel	CANDIDATE			
en	Abnormality of the hallux	HP:0001844	rdfs:label	nl	Afwijking van de hallux	CANDIDATE			
en	Spontaneous detachment of a foot from the body	HP:0001868	IAO:0000115	nl	Spontaneous detachment of a foot from the body	NOT_TRANSLATED			
en	An abnormally low number of neutrophils in the peripheral blood	HP:0001875	IAO:0000115	nl	An abnormally low number of neutrophils in the peripheral blood	NOT_TRANSLATED			
en	Neutropenia	HP:0001875	rdfs:label	nl	Neutropenie	CANDIDATE			
en	Eosinophilia	HP:0001880	rdfs:label	nl	Eosinofilie	CANDIDATE			
