source_language	translation_language	subject_id	predicate_id	source_value	translation_value	translation_status	translator
en	pt	HP:0000034	rdfs:label	Hydrocele testis	Hidrocele testicular	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000035	rdfs:label	Abnormal testis morphology	Morfologia anormal dos testículos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000036	rdfs:label	Abnormal penis morphology	Morfologia anormal do pênis	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000037	rdfs:label	Male pseudohermaphroditism	Pseudo-hermafroditismo masculino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000039	rdfs:label	Epispadias	Epispádia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000040	rdfs:label	Long penis	Pênis longo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000041	rdfs:label	Chordee	Curvatura peniana congênita	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000042	rdfs:label	Absent external genitalia	Ausência da genitália externa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000044	rdfs:label	Hypogonadotropic hypogonadism	Hipogonadismo hipogonadotrófico	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000045	rdfs:label	Abnormal scrotum morphology	Morfologia anormal do escroto	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000046	rdfs:label	Small scrotum	Escroto pequeno	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000047	rdfs:label	Hypospadias	Hipospádia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000048	rdfs:label	Bifid scrotum	Escroto bífido	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000049	rdfs:label	Shawl scrotum	Escroto em xale	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000050	rdfs:label	Hypoplastic male external genitalia	Genitália externa masculina hipoplásica	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000051	rdfs:label	Perineal hypospadias	Hipospádia perineal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000052	rdfs:label	Urethral atresia, male	Atresia uretral, em homens	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000053	rdfs:label	Macroorchidism	Macro-orquidismo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000054	rdfs:label	Micropenis	Micropênis	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000055	rdfs:label	Abnormal female external genitalia morphology	Morfologia anormal da genitália feminina externa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000056	rdfs:label	Abnormal clitoris morphology	Morfologia anormal do clitóris	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000058	rdfs:label	Abnormal labia morphology	Morfologia anormal dos lábios vulvares	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000059	rdfs:label	Hypoplastic labia majora	Grandes lábios hipoplásicos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000060	rdfs:label	Clitoral hypoplasia	Hipoplasia clitoriana	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000061	rdfs:label	Ambiguous genitalia, female	Genitália ambígua, no sexo feminino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000062	rdfs:label	Ambiguous genitalia	Genitália ambígua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000063	rdfs:label	Fused labia minora	Lábios menores fundidos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000064	rdfs:label	Hypoplastic labia minora	Lábios menores hipoplásicos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000065	rdfs:label	Labial hypertrophy	Hipertrofia dos lábios vulvares	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000066	rdfs:label	Labial hypoplasia	Hipoplasia dos lábios vulvares	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000067	rdfs:label	Urethral atresia, female	Atresia uretral feminina	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000068	rdfs:label	Urethral atresia	Atresia uretral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000069	rdfs:label	Abnormality of the ureter	Anomalia do ureter	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000070	rdfs:label	Ureterocele	Ureterocele	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000071	rdfs:label	Ureteral stenosis	Estenose do ureter	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000072	rdfs:label	Hydroureter	Hidroureter	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000073	rdfs:label	Ureteral duplication	Duplicação ureteral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000074	rdfs:label	Ureteropelvic junction obstruction	Obstrução da junção ureteropélvica	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000075	rdfs:label	Renal duplication	Duplicação renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000076	rdfs:label	Vesicoureteral reflux	Refluxo vesicoureteral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000077	rdfs:label	Abnormality of the kidney	Anomalia do rim	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000078	rdfs:label	Abnormality of the genital system	Anomalia do sistema genital	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000079	rdfs:label	Abnormality of the urinary system	Anomalia do sistema urinário	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000080	rdfs:label	Abnormality of reproductive system physiology	Anomalia da fisiologia do sistema reprodutivo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000081	rdfs:label	Duplicated collecting system	Duplicação do sistema colector	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000083	rdfs:label	Renal insufficiency	Insuficiência renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000085	rdfs:label	Horseshoe kidney	Rim em ferradura	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000086	rdfs:label	Ectopic kidney	Rim ectópico	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000089	rdfs:label	Renal hypoplasia	Hipoplasia renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000090	rdfs:label	Nephronophthisis	Nefroftise	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000091	rdfs:label	Abnormal renal tubule morphology	Morfologia anormal dos túbulos renais	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000092	rdfs:label	Renal tubular atrophy	Atrofia tubular renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000093	rdfs:label	Proteinuria	Proteinúria	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000095	rdfs:label	Abnormal renal glomerulus morphology	Morfologia anormal do glomérulo renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000096	rdfs:label	Glomerular sclerosis	Glomerulosclerose	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000097	rdfs:label	Focal segmental glomerulosclerosis	Glomerulosclerose focal e segmentar	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000098	rdfs:label	Tall stature	Estatura alta	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000099	rdfs:label	Glomerulonephritis	Glomerulonefrite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000100	rdfs:label	Nephrotic syndrome	Síndrome nefrótica	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000103	rdfs:label	Polyuria	Poliúria	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000104	rdfs:label	Renal agenesis	Agenesia renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000105	rdfs:label	Enlarged kidney	Rim aumentado	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000107	rdfs:label	Renal cyst	Cisto renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000108	rdfs:label	Renal corticomedullary cysts	Cistos renais corticomedulares	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000110	rdfs:label	Renal dysplasia	Displasia renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000111	rdfs:label	Renal juxtaglomerular cell hypertrophy/hyperplasia	Hipertrofia/hiperplasia de células renais justaglomerulares	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000112	rdfs:label	Nephropathy	Nefropatia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000113	rdfs:label	Polycystic kidney dysplasia	Displasia renal policística	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000114	rdfs:label	Proximal tubulopathy	Tubulopatia proximal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000118	rdfs:label	Phenotypic abnormality	Anomalia fenotípica	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000119	rdfs:label	Abnormality of the genitourinary system	Anomalia do sistema genitourinário	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000121	rdfs:label	Nephrocalcinosis	Nefrocalcinose	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000122	rdfs:label	Unilateral renal agenesis	Agenesia renal unilateral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000123	rdfs:label	Nephritis	Nefrite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000124	rdfs:label	Renal tubular dysfunction	Disfunção tubular renal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000125	rdfs:label	Pelvic kidney	Rim pélvico	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000126	rdfs:label	Hydronephrosis	Hidronefrose	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000127	rdfs:label	Renal salt wasting	Perda renal de eletrólitos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000128	rdfs:label	Renal potassium wasting	Perda renal de potássio	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000130	rdfs:label	Abnormality of the uterus	Anomalia uterina	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000131	rdfs:label	Uterine leiomyoma	Leiomioma uterino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000132	rdfs:label	Menorrhagia	Menstruação excessiva	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000133	rdfs:label	Gonadal dysgenesis	Disgenesia gonadal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000134	rdfs:label	Female hypogonadism	Hipogonadismo feminino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000135	rdfs:label	Hypogonadism	Hipogonadismo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000136	rdfs:label	Bifid uterus	Útero bicórneo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000137	rdfs:label	Abnormality of the ovary	Anomalia do ovário	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000138	rdfs:label	Ovarian cyst	Cisto ovariano	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000139	rdfs:label	Uterine prolapse	Prolapso uterino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000140	rdfs:label	Abnormality of the menstrual cycle	Anomalia do ciclo menstrual	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000141	rdfs:label	Amenorrhea	Amenorreia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000142	rdfs:label	Abnormal vagina morphology	Morfologia anormal da vagina	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000143	rdfs:label	Rectovaginal fistula	Fístula retovaginal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000144	rdfs:label	Decreased fertility	Diminuição da fertilidade	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000145	rdfs:label	Transverse vaginal septum	Septo vaginal transverso	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000147	rdfs:label	Polycystic ovaries	Ovário policístico	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000148	rdfs:label	Vaginal atresia	Atresia vaginal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000149	rdfs:label	Ovarian gonadoblastoma	Gonadoblastoma ovariano	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000150	rdfs:label	Gonadoblastoma	Gonadoblastoma	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000151	rdfs:label	Aplasia of the uterus	Aplasia uterina	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000152	rdfs:label	Abnormality of head or neck	Anomalia da cabeça ou do pescoço	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000153	rdfs:label	Abnormality of the mouth	Anomalia da boca	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000154	rdfs:label	Wide mouth	Boca larga	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000155	rdfs:label	Oral ulcer	Úlcera oral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000157	rdfs:label	Abnormality of the tongue	Anomalia da língua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000158	rdfs:label	Macroglossia	Macroglossia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000159	rdfs:label	Abnormal lip morphology	Morfologia anormal do lábio	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000160	rdfs:label	Narrow mouth	Boca estreita	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000161	rdfs:label	Median cleft upper lip	Fenda labial mediana	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000162	rdfs:label	Glossoptosis	Glossoptose	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000163	rdfs:label	Abnormal oral cavity morphology	Morfologia anormal da cavidade oral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000164	rdfs:label	Abnormality of the dentition	Anomalia da dentição	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000166	rdfs:label	Severe periodontitis	Periodontite grave	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000168	rdfs:label	Abnormality of the gingiva	Anomalia da gengiva	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000169	rdfs:label	Gingival fibromatosis	Fibromatose gengival	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000171	rdfs:label	Microglossia	Microglossia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000172	rdfs:label	Abnormal uvula morphology	Morfologia anormal da úvula	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000174	rdfs:label	Abnormal palate morphology	Morfologia anormal do palato	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000175	rdfs:label	Cleft palate	Fenda palatina	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000176	rdfs:label	Submucous cleft hard palate	Fenda submucosa do palato duro	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000177	rdfs:label	Abnormal upper lip morphology	Morfologia anormal do lábio superior	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000178	rdfs:label	Abnormal lower lip morphology	Morfologia anormal do lábio inferior	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000179	rdfs:label	Thick lower lip vermilion	Vermelhão do lábio inferior espesso	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000180	rdfs:label	Lobulated tongue	Língua lobulada	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000182	rdfs:label	Movement abnormality of the tongue	Anomalia do movimento da língua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000183	rdfs:label	Tongue muscle weakness	Dificuldade nos movimentos da língua	CANDIDATE	orcid:0009-0005-0193-5224
en	pt	HP:0000185	rdfs:label	Cleft soft palate	Fenda do palato mole	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000187	rdfs:label	Broad alveolar ridges	Processos alveolares largos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000188	rdfs:label	Short upper lip	Lábio superior curto	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000189	rdfs:label	Narrow palate	Palato estreito	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000190	rdfs:label	Abnormal oral frenulum morphology	Morfologia anormal do frênulo lingual	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000191	rdfs:label	Accessory oral frenulum	Frênulo lingual acessório	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000193	rdfs:label	Bifid uvula	Úvula bífida	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000194	rdfs:label	Open mouth	Boca aberta	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000196	rdfs:label	Lower lip pit	Fosseta labial inferior	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000197	rdfs:label	Abnormal parotid gland morphology	Morfologia anormal da glândula parótida	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000198	rdfs:label	Absence of Stensen duct	Ausência de ducto de Stensen	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000199	rdfs:label	Tongue nodules	Nódulos na língua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000200	rdfs:label	Short lingual frenulum	Frênulo lingual curto	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000201	rdfs:label	Pierre-Robin sequence	Sequência de Pierre-Robin	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000202	rdfs:label	Orofacial cleft	Fenda orofacial	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000204	rdfs:label	Cleft upper lip	Fissura labial superior	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000205	rdfs:label	Pursed lips	Lábios franzidos	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000206	rdfs:label	Glossitis	Glossite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000207	rdfs:label	Triangular mouth	Boca triangular	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000211	rdfs:label	Trismus	Trismo	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000212	rdfs:label	Gingival overgrowth	Crescimento excessivo da gengiva	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000214	rdfs:label	Lip telangiectasia	Telangiectasia labial	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000215	rdfs:label	Thick upper lip vermilion	Vermelhão do lábio superior espesso	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000217	rdfs:label	Xerostomia	Xerostomia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000218	rdfs:label	High palate	Palato alto	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000219	rdfs:label	Thin upper lip vermilion	Vermelhão do lábio superior fino	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000220	rdfs:label	Velopharyngeal insufficiency	Insuficiência velofaríngea	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000221	rdfs:label	Furrowed tongue	Língua fissurada	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000222	rdfs:label	Gingival hyperkeratosis	Hiperceratose gengival	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000223	rdfs:label	Abnormality of taste sensation	Anomalia da sensação gustativa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000224	rdfs:label	Hypogeusia	Hipogeusia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000225	rdfs:label	Gingival bleeding	Sangramento da gengiva	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000227	rdfs:label	Tongue telangiectasia	Telangiectasia de língua	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000228	rdfs:label	Oral cavity telangiectasia	Telangiectasia da cavidade oral	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000230	rdfs:label	Gingivitis	Gengivite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000232	rdfs:label	Everted lower lip vermilion	Vermelhão do lábio inferior evertido	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000233	rdfs:label	Thin vermilion border	Borda fina do vermelhão	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000234	rdfs:label	Abnormality of the head	Anomalia da cabeça	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000235	rdfs:label	Abnormal cranial suture/fontanelle morphology	Anomalia das fontanelas ou suturas cranianas	CANDIDATE	orcid:0009-0005-0193-5224
en	pt	HP:0000236	rdfs:label	Abnormal anterior fontanelle morphology	Anomalia da fontanela anterior	CANDIDATE	orcid:0009-0005-0193-5224
en	pt	HP:0000237	rdfs:label	Small anterior fontanelle	Fontanela anterior pequena	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000238	rdfs:label	Hydrocephalus	Hidrocefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000239	rdfs:label	Large fontanelles	Fontanelas grandes	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000240	rdfs:label	Abnormality of skull size	Anomalia do tamanho do crânio	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000242	rdfs:label	Parietal bossing	Proeminência parietal	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000243	rdfs:label	Trigonocephaly	Trigonocefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000244	rdfs:label	Brachyturricephaly	Braquiturricefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000246	rdfs:label	Sinusitis	Sinusite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000248	rdfs:label	Brachycephaly	Braquicefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000250	rdfs:label	Dense calvaria	Calvária densa	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000252	rdfs:label	Microcephaly	Microcefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000253	rdfs:label	Progressive microcephaly	Microcefalia progressiva	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000255	rdfs:label	Acute sinusitis	Sinusite aguda	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000256	rdfs:label	Macrocephaly	Macrocefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000260	rdfs:label	Wide anterior fontanel	Fontanela anterior larga	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000262	rdfs:label	Turricephaly	Turricefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000263	rdfs:label	Oxycephaly	Oxicefalia	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000264	rdfs:label	Abnormal mastoid morphology	Morfologia anormal do processo mastoide	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000265	rdfs:label	Mastoiditis	Mastoidite	OFFICIAL	orcid:0009-0005-0193-5224
en	pt	HP:0000267	rdfs:label	Cranial asymmetry	Assimetria craniana	OFFICIAL	orcid:0009-0005-0193-5224
