term,term_label,layperson
http://purl.obolibrary.org/obo/HP_0000966,Hypohidrosis,"Sweating, decreased"
http://purl.obolibrary.org/obo/HP_0000159,Abnormal lip morphology,Abnormality of the lip
http://purl.obolibrary.org/obo/HP_0009152,Abnormality of the epiphyses of the 5th finger,Abnormality of end part of pinkie finger bone
http://purl.obolibrary.org/obo/HP_0100125,Enlarged epiphysis of the proximal phalanx of the 2nd toe,Enlarged end part of the innermost bone of the 2nd toe
http://purl.obolibrary.org/obo/HP_0007407,Excessive skin wrinkling on dorsum of hands and fingers,Excessive skin wrinkling on back of hands and fingers
http://purl.obolibrary.org/obo/HP_0001238,Slender finger,Slender fingers
http://purl.obolibrary.org/obo/HP_0100387,Aplasia of the middle phalanges of the toes,Absent middle toe bones
http://purl.obolibrary.org/obo/HP_0030275,Ectopic scrotum,Abnormal scrotum position
http://purl.obolibrary.org/obo/HP_0100543,Cognitive impairment,Cognitive impairment
http://purl.obolibrary.org/obo/HP_0001597,Abnormality of the nail,Abnormality of the nail
http://purl.obolibrary.org/obo/HP_0100487,Triangular shaped distal phalanx of the 5th toe,Triangular shaped outermost bone of the pinkie toe
http://purl.obolibrary.org/obo/HP_0004660,Hypoplasia of facial musculature,Underdevelopment of facial muscles
http://purl.obolibrary.org/obo/HP_0500138,Hyperserinemia,Increased serine blood concentration
http://purl.obolibrary.org/obo/HP_0100104,Fragmentation of the epiphysis of the distal phalanx of the 2nd toe,Fragmentation of the end part of the outermost bone of the 2nd toe
http://purl.obolibrary.org/obo/HP_0011313,Narrow nail,Narrow nail
http://purl.obolibrary.org/obo/HP_0410215,Hypocapnia in cord blood,Low cord blood carbon dioxide level
http://purl.obolibrary.org/obo/HP_0009675,Absent epiphysis of the distal phalanx of the thumb,Absent end part of thumb outermost long bone
http://purl.obolibrary.org/obo/HP_0009336,Bracket epiphysis of the distal phalanx of the 3rd finger,Bracket shaped end part of the outermost bone of the middle finger
http://purl.obolibrary.org/obo/HP_0000824,Decreased response to growth hormone stimuation test,Growth hormone deficiency
http://purl.obolibrary.org/obo/HP_0100863,Aplasia of the femoral neck,Absent neck of thighbone
http://purl.obolibrary.org/obo/HP_0001399,Hepatic failure,Liver failure
http://purl.obolibrary.org/obo/HP_0001155,Abnormality of the hand,Hand deformities
http://purl.obolibrary.org/obo/HP_0012724,Upper eyelid edema,Fullness of upper eyelid
http://purl.obolibrary.org/obo/HP_0430000,Abnormality of the frontal bone,Abnormality of the bone of the forehead
http://purl.obolibrary.org/obo/HP_0007740,Long eyelashes in irregular rows,Long eyelashes in irregular rows
http://purl.obolibrary.org/obo/HP_0000726,Dementia,Progressive dementia
http://purl.obolibrary.org/obo/HP_0100374,Aplasia/Hypoplasia of the middle phalanx of the 5th toe,Absent/underdeveloped middle bone of little toe
http://purl.obolibrary.org/obo/HP_0002199,Hypocalcemic seizures,Low calcium seizures
http://purl.obolibrary.org/obo/HP_0009906,Aplasia/Hypoplasia of the earlobes,Absent/underdeveloped ear lobes
http://purl.obolibrary.org/obo/HP_0003933,Sclerosis of humeral diaphysis,Increased bone density in shaft of long bone in upper arm
http://purl.obolibrary.org/obo/HP_0010599,Abnormality of the distal humeral epiphysis,Abnormality of the end part of the outermost long bone in upper arm
http://purl.obolibrary.org/obo/HP_0009996,Partial duplication of the proximal phalanx of the 5th finger,Partial duplication of the innermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0005353,Recurrent herpes,Susceptibility to herpesvirus
http://purl.obolibrary.org/obo/HP_0002211,White forelock,White part of hair above forehead
http://purl.obolibrary.org/obo/HP_0004646,Hypoplasia of the nasal bone,Decreased size of nasal bone
http://purl.obolibrary.org/obo/HP_0002690,Large sella turcica,Big sella turcica
http://purl.obolibrary.org/obo/HP_0011231,Prominent eyelashes,Prominent eyelashes
http://purl.obolibrary.org/obo/HP_0000283,Broad face,Increased width of face
http://purl.obolibrary.org/obo/HP_0100876,Infra-orbital crease,Crease in skin under the eye
http://purl.obolibrary.org/obo/HP_0000463,Anteverted nares,"Nasal tip, upturned"
http://purl.obolibrary.org/obo/HP_0000455,Broad nasal tip,"Nasal tip, broad"
http://purl.obolibrary.org/obo/HP_0003146,Hypocholesterolemia,Decreased circulating cholesterol level
http://purl.obolibrary.org/obo/HP_0100491,Abnormality of lower limb joint,Abnormality of the joints of the lower limbs
http://purl.obolibrary.org/obo/HP_0002375,Hypokinesia,Decreased spontaneous movement
http://purl.obolibrary.org/obo/HP_0030001,Lagopthalmos,Inability to close the eyelids
http://purl.obolibrary.org/obo/HP_0500162,Decreased level of carnosine in blood,Decreased blood carnosine concentration
http://purl.obolibrary.org/obo/HP_0009596,Aplasia of the proximal phalanx of the 2nd finger,Absent innermost bone of index finger
http://purl.obolibrary.org/obo/HP_0000436,Abnormality of the nasal tip,Abnormality of the nasal tip
http://purl.obolibrary.org/obo/HP_0100364,Aplasia of the phalanges of the 5th toe,Absent pinkie toe bones
http://purl.obolibrary.org/obo/HP_0007499,Recurrent staphylococcal infections,Recurrent staphylococcal infections
http://purl.obolibrary.org/obo/HP_0000331,Short chin,Decreased height of chin
http://purl.obolibrary.org/obo/HP_0012399,Pressure ulcer,Bedsore
http://purl.obolibrary.org/obo/HP_0002209,Sparse scalp hair,Reduced/lack of hair on scalp
http://purl.obolibrary.org/obo/HP_0002948,Vertebral fusion,Spinal fusion
http://purl.obolibrary.org/obo/HP_0001167,Abnormality of finger,Abnormality of finger
http://purl.obolibrary.org/obo/HP_0100840,Aplasia/Hypoplasia of the eyebrow,Missing eyebrow
http://purl.obolibrary.org/obo/HP_0430029,Hyperplasia of the premaxilla,Premaxillary excess
http://purl.obolibrary.org/obo/HP_0002311,Incoordination,Limb incoordination
http://purl.obolibrary.org/obo/HP_0009456,Triangular shaped proximal phalanx of the 3rd finger,Triangular shaped innermost bone of middle finger
http://purl.obolibrary.org/obo/HP_0001171,Split hand,Claw hand deformities
http://purl.obolibrary.org/obo/HP_0005435,Impaired T cell function,T-cell dysfunction
http://purl.obolibrary.org/obo/HP_0001838,Rocker bottom foot,Rocker bottom feet
http://purl.obolibrary.org/obo/HP_0000708,Behavioral abnormality,Behavioral changes
http://purl.obolibrary.org/obo/HP_0007618,Subcutaneous calcification,Skin calcification
http://purl.obolibrary.org/obo/HP_0001829,Foot polydactyly,Duplication of bones of the toes
http://purl.obolibrary.org/obo/HP_0005890,Hyperostosis cranialis interna,Overgrowth of the inner surface of the skull bones
http://purl.obolibrary.org/obo/HP_0010587,Triangular epiphyses,Triangular end part of bone
http://purl.obolibrary.org/obo/HP_0000411,Protruding ear,Prominent ear
http://purl.obolibrary.org/obo/HP_0003795,Short middle phalanx of toe,Short middle bones (feet)
http://purl.obolibrary.org/obo/HP_0030289,Flattened femoral epiphysis,Flattended end part of thigh bone
http://purl.obolibrary.org/obo/HP_0002656,Epiphyseal dysplasia,Abnormal development of the ends of long bones in arms and legs
http://purl.obolibrary.org/obo/HP_0000262,Turricephaly,Tall shaped skull
http://purl.obolibrary.org/obo/HP_0025289,Cervical lymphadenopathy,Swollen lymph nodes in the neck
http://purl.obolibrary.org/obo/HP_0001773,Short foot,Short feet
http://purl.obolibrary.org/obo/HP_0000643,Blepharospasm,Involuntary closure of eyelid
http://purl.obolibrary.org/obo/HP_0009376,Aplasia/Hypoplasia of the phalanges of the 5th finger,Absent/small little finger bones
http://purl.obolibrary.org/obo/HP_0012735,Cough,Coughing
http://purl.obolibrary.org/obo/HP_0009384,Cone-shaped epiphyses of the 5th finger,Cone-shaped end part of the pinkie finger bones
http://purl.obolibrary.org/obo/HP_0000966,Hypohidrosis,Decreased ability to sweat
http://purl.obolibrary.org/obo/HP_0009823,Aplasia involving bones of the upper limbs,Absent bones of the upper limbs
http://purl.obolibrary.org/obo/HP_0003510,Severe short stature,Severe short stature
http://purl.obolibrary.org/obo/HP_0005101,High-frequency hearing impairment,High frequency hearing loss
http://purl.obolibrary.org/obo/HP_0040189,Scaling skin,Scaling skin
http://purl.obolibrary.org/obo/HP_0003731,Quadriceps muscle weakness,Quadriceps weakness
http://purl.obolibrary.org/obo/HP_0003862,Absent humerus,Absent long bone in upper arm
http://purl.obolibrary.org/obo/HP_0000218,High palate,High palate
http://purl.obolibrary.org/obo/HP_0009993,Complete duplication of the proximal phalanx of the 5th finger,Complete duplication of the innermost pinky finger bone
http://purl.obolibrary.org/obo/HP_0005773,Short forearm,Short forearm
http://purl.obolibrary.org/obo/HP_0012295,Slender middle phalanx of finger,Slender middle bone of finger
http://purl.obolibrary.org/obo/HP_0012459,Hypnic headache,Alarm clock headache
http://purl.obolibrary.org/obo/HP_0003781,Excessive salivation,Mouth watering
http://purl.obolibrary.org/obo/HP_0006483,Abnormal number of teeth,Abnormal number of teeth
http://purl.obolibrary.org/obo/HP_0010318,Aplasia/Hypoplasia of the abdominal wall musculature,Absent/underdeveloped abdominal wall muscles
http://purl.obolibrary.org/obo/HP_0011890,Prolonged bleeding following procedure,Prolonged bleeding following procedure
http://purl.obolibrary.org/obo/HP_0011081,Incisor macrodontia,Increased width of incisor
http://purl.obolibrary.org/obo/HP_0500135,Hypotryptophanemia,Low blood tryptophan concentration
http://purl.obolibrary.org/obo/HP_0100215,Cone-shaped epiphysis of the middle phalanx of the 5th toe,Cone-shaped end part of the middle bone of the pinkie toe
http://purl.obolibrary.org/obo/HP_0100006,Neoplasm of the central nervous system,Tumors of the central nervous system
http://purl.obolibrary.org/obo/HP_0000598,Abnormality of the ear,Abnormality of the ear
http://purl.obolibrary.org/obo/HP_0012739,Agenesis of the small intestine,Undeveloped small intestine
http://purl.obolibrary.org/obo/HP_0002132,Porencephalic cyst,Cavity within brain
http://purl.obolibrary.org/obo/HP_0000738,Hallucinations,Hallucination
http://purl.obolibrary.org/obo/HP_0030001,Lagopthalmos,Eyelids stay open
http://purl.obolibrary.org/obo/HP_0002242,Abnormal intestine morphology,Abnormality of the intestine
http://purl.obolibrary.org/obo/HP_0009384,Cone-shaped epiphyses of the 5th finger,Cone-shaped end part of the little finger bones
http://purl.obolibrary.org/obo/HP_0011417,Long umbilical cord,Long umbilical cord
http://purl.obolibrary.org/obo/HP_0100606,Neoplasm of the respiratory system,Respiratory system tumor
http://purl.obolibrary.org/obo/HP_0100400,Duplication of the distal phalanx of the 5th toe,Duplication of the outermost bone of the pinky toe
http://purl.obolibrary.org/obo/HP_0100755,Abnormality of salivation,Abnormality of salivation
http://purl.obolibrary.org/obo/HP_0100367,Short phalanx of the 4th toe,Short 4th toe bone
http://purl.obolibrary.org/obo/HP_0010086,Broad proximal phalanx of the hallux,Broad innermost bone of the big toe
http://purl.obolibrary.org/obo/HP_0000188,Short upper lip,Shortening of upper lip
http://purl.obolibrary.org/obo/HP_0100910,Sclerosis of the proximal phalanx of the 4th finger,Increased bone density in the innermost bone of the ring finger
http://purl.obolibrary.org/obo/HP_0002354,Memory impairment,Forgetfulness
http://purl.obolibrary.org/obo/HP_0011044,Abnormal number of permanent teeth,Abnormal number of adult teeth
http://purl.obolibrary.org/obo/HP_0011308,Slender toe,Slender toe
http://purl.obolibrary.org/obo/HP_0011359,Dry hair,Dry hair
http://purl.obolibrary.org/obo/HP_0009413,Enlarged epiphyses of the 3rd finger,Enlarged end part of middle finger bone
http://purl.obolibrary.org/obo/HP_0100526,Neoplasm of the lung,Lung tumor
http://purl.obolibrary.org/obo/HP_0100482,Proximal/middle symphalangism of 5th toe,Fused innermost and middle little toe bones
http://purl.obolibrary.org/obo/HP_0100171,Cone-shaped epiphysis of the distal phalanx of the 4th toe,Cone-shaped end part of the outermost bone of the 4th toe
http://purl.obolibrary.org/obo/HP_0003484,Upper limb muscle weakness,Weak arm
http://purl.obolibrary.org/obo/HP_0000564,Lacrimal duct atresia,Unopened tear duct
http://purl.obolibrary.org/obo/HP_0004383,Hypoplastic left heart,Underdeveloped left heart
http://purl.obolibrary.org/obo/HP_0100886,Abnormality of globe location,Abnormality of eyeball location
http://purl.obolibrary.org/obo/HP_0006889,"Intellectual disability, borderline","Mental retardation, borderline"
http://purl.obolibrary.org/obo/HP_0045074,Thin eyebrow,Thin eyebrows
http://purl.obolibrary.org/obo/HP_0011832,Narrow nasal tip,Pinched tip of nose
http://purl.obolibrary.org/obo/HP_0000174,Abnormal palate morphology,Abnormality of the roof of the mouth
http://purl.obolibrary.org/obo/HP_0000545,Myopia,Near sightedness
http://purl.obolibrary.org/obo/HP_0010158,Stippling of the epiphysis of the 1st metatarsal,Speckled calcifications in the end part of the 1st long bone of foot
http://purl.obolibrary.org/obo/HP_0100213,Absent epiphysis of the middle phalanx of the 5th toe,Absent end part of the middle bone of the little toe
http://purl.obolibrary.org/obo/HP_0005722,Hyperextensible thumb,Double jointed thumb
http://purl.obolibrary.org/obo/HP_0011525,Iris nevus,Eye freckle
http://purl.obolibrary.org/obo/HP_0100467,Patchy sclerosis of the distal phalanx of the 3rd toe,Uneven increase in bone density in the outermost bone of the 3rd toe
http://purl.obolibrary.org/obo/HP_0100607,Dysmenorrhea,Painful menstruation
http://purl.obolibrary.org/obo/HP_0000337,Broad forehead,Increased width of the forehead
http://purl.obolibrary.org/obo/HP_0000999,Pyoderma,Pus-filled lesion
http://purl.obolibrary.org/obo/HP_0008046,Abnormal retinal vascular morphology,Abnormality of retina blood vessels
http://purl.obolibrary.org/obo/HP_0009236,Rhomboid or triangular shaped 5th finger proximal phalanx,Rhomboid or triangular shaped innermost bone of pinkie finger
http://purl.obolibrary.org/obo/HP_0012819,Myocarditis,Inflammation of heart muscle
http://purl.obolibrary.org/obo/HP_0009489,Bracket epiphyses of the 2nd finger,Bracket shaped end part of index finger
http://purl.obolibrary.org/obo/HP_0007776,Sparse lower eyelashes,Thin lower eyelashes
http://purl.obolibrary.org/obo/HP_0000269,Prominent occiput,Prominent posterior skull
http://purl.obolibrary.org/obo/HP_0010692,2-5 finger syndactyly,"Webbed index, middle and pinkie finger"
