## IMPORTANT
# THIS FILE HAS BEEN GENERATED BY THE BERLIN-HPO-TEAM (SEBASTIAN, SANDRA, PETER) IN 2009!! FREE FOR ACADEMIC USE. USE AT OWN RISK!!

Orphanet-I	Maps to HPO-ID	Type	Orphanet Name	HPO-Name	Curator Berlin	Comments Berlin	Curator Paris	Comments Paris	Method	STATISTICS

										Number unique Orphanet IDs (col B):
id_signe_15640	HP:0000768	EQUIV	Pectus carinatum	Pectus carinatum	sdoelken	# good mapping			Distance de Levenshtein	1361
										Number of unique HPO-IDs (col C):
										1157
id_signe_16330	HP:0008481	EQUIV	Odontoid hypoplasia	Mild odontoid hypoplasia	sdoelken	# good mapping			I-Sub distance	% done:
										85.01
id_signe_38520	HP:0000010	EQUIV	Recurrent urinary infections	Recurrent urinary tract infections	sdoelken	# good mapping			I-Sub distance

id_signe_11300	HP:0010290	EQUIV	Short palate	Short hard palate	sdoelken	# good mapping (short palate is a related synonym of short hard palate)			I-Sub distance

id_signe_55040	HP:0001562	EQUIV	Oligoamnios	Oligohydramnios	sdoelken	# good mapping			I-Sub distance



id_signe_49680	HP:0100497		Vitamin B3/PP deficiency	Vitamin B3 deficiency	sdoelken	# good mapping (created new HP term)

id_signe_32640	HP:0002113	EQUIV	Lung/pulmonary infiltrates	Pulmonary infiltrates	sdoelken	# good mapping			I-Sub distance



id_signe_49100	HP:0001987	EQUIV	Hyperammonemia	Hyperammonemia	sdoelken	# good mapping			I-Sub distance

id_signe_36450	HP:0010516	EQUIV	Thymic hyperplasia	Thymus hyperplasia	sdoelken	# good mapping			I-Sub distance

id_signe_42450	HP:0000238	EQUIV	Hydrocephaly	Hydrocephalus	sdoelken	# good mapping			I-Sub distance

id_signe_8360	HP:0005280	EQUIV	Depressed nasal bridge	Depressed nasal bridge	sdoelken	# good mapping			I-Sub distance



id_signe_24240	HP:0002216	EQUIV	Premature greying of hair	Premature graying of hair	sdoelken	# good mapping			Distance de Levenshtein



id_signe_49420	HP:0003567	EQUIV	Mucopolysacchariduria	Mucopolysacchariduria	sdoelken	# good mapping			I-Sub distance

id_signe_41360	HP:0000829	EQUIV	Hypoparathyroidy	Hypoparathyroidism	sdoelken	# good mapping			I-Sub distance

id_signe_15520	HP:0002557	EQUIV	Hypoplastic/absent nipples	Hypoplastic nipples					I-Sub distance
id_signe_15520	HP:0006709		Hypoplastic/absent nipples	Aplasia/Hypoplasia of the nipples	sdoelken	# good mapping (for some reason this was not picked up by the mapping-tool)


id_signe_2080	HP:0000252	EQUIV	Microcephaly	Microcephaly	sdoelken	# good mapping			I-Sub distance


id_signe_22460	HP:0100499		Clinodactyly of toes	Tibial deviation of toes	sdoelken	# good mapping




id_signe_39020	HP:0000062	EQUIV	Ambiguous genitalia	Ambiguous genitalia	sdoelken	# good mapping			I-Sub distance



id_signe_9520	HP:0000343	EQUIV	Long philtrum	Long philtrum	sdoelken	# good mapping			I-Sub distance



id_signe_21480	HP:0002970	EQUIV	Genu varum	Genu varum	sdoelken	# good mapping			I-Sub distance


id_signe_20560	HP:0100490		Camptodactyly of fingers	Camptodactyly (hands)	sdoelken	# good mapping

id_signe_41660	HP:0000855	EQUIV	Resistance to insuline	Insulin resistance	sdoelken	# good mapping			I-Sub distance

id_signe_41330	HP:0000843	EQUIV	Hyperparathyroidy	Hyperparathyroidism	sdoelken	# good mapping			I-Sub distance



id_signe_49040	HP:0003075	EQUIV	Hypoproteinemia	Hypoproteinemia	sdoelken	# good mapping			I-Sub distance




id_signe_20520	HP:0001162	EQUIV	Postaxial polydactyly (hand)	Postaxial polydactyly (hands)	sdoelken	# good mapping			I-Sub distance


id_signe_33850	HP:0100501		Bronchiolitis	Bronchiolitis	sdoelken	# good mapping (created new HP term)



id_signe_34280	HP:0010772	EQUIV	Anomalous pulmonary venous return	Anomalous pulmonary venous return	sdoelken	# good mapping			I-Sub distance

id_signe_4180	HP:0000612	EQUIV	Coloboma of iris	Iris coloboma	sdoelken	# good mapping			I-Sub distance




id_signe_44300	HP:0003712	EQUIV	Muscle hypertrophy	Muscle hypertrophy	sdoelken	# good mapping			I-Sub distance



id_signe_47480	HP:0004435	EQUIV	Hypergammaglobulinemia	Hypergammaglobulinemia	sdoelken	# good mapping			I-Sub distance



id_signe_5720	HP:0000613	EQUIV	Photophobia	Photophobia	sdoelken	# good mapping			I-Sub distance



id_signe_49780	HP:0100502		Vitamin B12 deficiency	Vitamin B12 deficiency	sdoelken	# good mapping (created new HP term)


id_signe_53150	HP:0001956	EQUIV	Truncal obesity	Truncal obesity	sdoelken	# good mapping			I-Sub distance



id_signe_8390	HP:0000424	EQUIV	Broad nasal root	Broad nasal root	sdoelken	# good mapping			I-Sub distance



id_signe_49300	HP:0002148	EQUIV	Hypophosphatemia	Hypophosphatemia	sdoelken	# good mapping			I-Sub distance

id_signe_13500	HP:0009794	EQUIV	Branchial archs anomalies	Branchial anomalies	sdoelken	# good mapping			I-Sub distance


id_signe_6400	HP:0001584	EQUIV	High arched eyebrows	Highly arched eyebrows	sdoelken	# good mapping			I-Sub distance




id_signe_20500	HP:0001177	EQUIV	Preaxial polydactyly (hand)	Preaxial polydactyly (hands)	sdoelken	# good mapping			I-Sub distance



id_signe_41480	HP:0005975	EQUIV	Hyperaldosteronism	Hyperaldosteronism	sdoelken	# good mapping			I-Sub distance



id_signe_41510	HP:0000355	EQUIV	Hypoaldosteronism	Hypoaldosteronism	sdoelken	# good mapping			I-Sub distance




id_signe_20220	HP:0007477	EQUIV	Abnormal dermatoglyphics	Abnormal dermatoglyphics	sdoelken	# good mapping			I-Sub distance


id_signe_43360	HP:0001347	EQUIV	Hypereflexia	Hyperreflexia	sdoelken	# good mapping			I-Sub distance

id_signe_13600	HP:0010780	EQUIV	Hyperacusia	Hyperacusis	sdoelken	# good mapping			I-Sub distance

id_signe_8090	HP:0000431	EQUIV	Broad nose/nasal bridge	Broad nasal bridge	sdoelken	compound term: HP:0000431 Broad nasal bridge + HP:0000445 Broad nose			I-Sub distance
id_signe_8090	HP:0000366		Broad nose/nasal bridge	Abnormality of the nose	sdoelken	# this is the next common ancestor!

id_signe_27630	HP:0005214	EQUIV	Intestinal obstruction/ileus	Intestinal obstruction	sdoelken	# good mapping (Ileus is a child term of intestinal obsruction so that is covered as well)			I-Sub distance

id_signe_13060	HP:0000412	EQUIV	Prominent/bat ears	Prominent ears	sdoelken	does bat ears refer to something like protruding ears? then this would be another compound term: HP:0000412 Prominent ears + HP:0000411 Protruding ears			I-Sub distance
id_signe_13060	HP:0000377		Prominent/bat ears	Abnormal form of ears	sdoelken	# this is the next common ancestor!

id_signe_13440	HP:0008564	EQUIV	External auditory canal atresia/stenosis/agenesis	External auditory canal stenosis/atresia	sdoelken	# good mapping			I-Sub distance



id_signe_16210	HP:0003298	EQUIV	Spina bifida occulta	Spina bifida occulta	sdoelken	# good mapping			I-Sub distance

id_signe_9920	HP:0000202	EQUIV	Cleft lip and palate	Cleft lip/palate	sdoelken	# good mapping			I-Sub distance

id_signe_43020	HP:0006897	EQUIV	Cranial nerves palsy	Cranial nerve VI palsy					I-Sub distance
id_signe_43020	HP:0006824		Cranial nerves palsy	Cranial nerve paralysis	sdoelken	# good mapping (was not picked up by mapping-program)



id_signe_49620	HP:0004905	EQUIV	Vitamin A deficiency	Vitamin A deficiency	sdoelken	# good mapping			I-Sub distance




id_signe_49640	HP:0100503		Vitamin B1 deficiency	Vitamin B1 deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49660	HP:0100504		Vitamin B2 deficiency	Vitamin B2 deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49700	HP:0100505		Vitamin B5 deficiency	Vitamin B5 deficiency	sdoelken	# good mapping (created new HP term)



id_signe_49720	HP:0008326	EQUIV	Vitamin B6 deficiency	Vitamin B6 deficiency	sdoelken	# good mapping			I-Sub distance




id_signe_49740	HP:0100506		Vitamin B8 deficiency	Vitamin B8 deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49760	HP:0100507		Vitamin B9 deficiency	Vitamin B9 deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49800	HP:0100510		Vitamin C deficiency	Vitamin C deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49820	HP:0100512		Vitamin D deficiency	Vitamin D deficiency	sdoelken	# good mapping (created new HP term)




id_signe_49840	HP:0100513		Vitamin E deficiency	Vitamin E deficiency	sdoelken	# good mapping (created new HP term)

id_signe_35480	HP:0010741	EQUIV	Edema of the legs/lower limbs	Edema of the lower limbs	sdoelken	# good mapping			I-Sub distance



id_signe_43060	HP:0009830	EQUIV	Peripheral neuropathy	Peripheral neuropathy	sdoelken	# good mapping			I-Sub distance

id_signe_46560	HP:0002999	EQUIV	Patella dislocation	Dislocation of patella	sdoelken	# good mapping			I-Sub distance

id_signe_42480	HP:0001334	EQUIV	Communicating hydrocephaly	Communicating hydrocephalus	sdoelken	# good mapping			I-Sub distance

id_signe_13040	HP:0000368	EQUIV	Low set ears/posteriorly rotated ears	"Low-set, posteriorly rotated ears"	sdoelken	# good mapping			I-Sub distance

id_signe_32800	HP:0004952	EQUIV	Arteriovenous pulmonary fistulae	Pulmonary arteriovenous fistulas	sdoelken	# good mapping			I-Sub distance

id_signe_9400	HP:0002263	EQUIV	Exaggerated cupid bows	Exaggerated cupid's bow	sdoelken	# good mapping			I-Sub distance




id_signe_49600	HP:0100508		Vitamin deficiency	Abnormality of vitamin metabolism	sdoelken	# good mapping (I think this is good enough; all vitamin deficiencies are children of this term)

id_signe_20080	HP:0001176	EQUIV	Large hand	Large hands	sdoelken	# good mapping			I-Sub distance

id_signe_23270	HP:0001055	EQUIV	Erysipela	Erysipelas	sdoelken	# good mapping			I-Sub distance

id_signe_34360	HP:0001669	EQUIV	Transposition of great vessels	Transposition of the great vessels	sdoelken	# good mapping			I-Sub distance


id_signe_19840	HP:0003067	EQUIV	Madelung's deformity	Madelung deformity	sdoelken	# good mapping			I-Sub distance


id_signe_10700	HP:0000187	EQUIV	Broad alveolar ridge	Broad alveolar ridges	sdoelken	# good mapping			I-Sub distance

id_signe_14900	HP:0005988	EQUIV	Congenital torticolli	"Torticollis, congenital"	sdoelken	# good mapping			I-Sub distance

id_signe_42270	HP:0003396	EQUIV	Syringomelia	Syringomyelia	sdoelken	# good mapping			I-Sub distance

id_signe_23570	HP:0000957	EQUIV	Cafe-au-lait spot	Cafe-au-lait spots	sdoelken	# good mapping			I-Sub distance


id_signe_3400	HP:0000336	EQUIV	Prominent supraorbital ridge	Prominent supraorbital ridges	sdoelken	# good mapping			I-Sub distance

id_signe_37240	HP:0000113	EQUIV	Polycystic kidneys	Polycystic kidney	sdoelken	# good mapping			I-Sub distance

id_signe_49320	HP:0002905	EQUIV	Hyperphosphtemia	Hyperphosphatemia	sdoelken	# good mapping			I-Sub distance

id_signe_10210	HP:0000162	EQUIV	Glossoptosis	Glossoptosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_10210	HP:0000162	EQUIV	Glossoptosis	Glossoptosis	sdoelken	# good mapping			I-Sub distance

id_signe_10560	HP:0000206	EQUIV	Glossitis	Glossitis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_10560	HP:0000206	EQUIV	Glossitis	Glossitis	sdoelken	# good mapping			I-Sub distance

id_signe_10910	HP:0000230	EQUIV	Gingivitis	Gingivitis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_10910	HP:0000230	EQUIV	Gingivitis	Gingivitis	sdoelken	# good mapping			I-Sub distance

id_signe_12100	HP:0000679	EQUIV	Taurodontia	Taurodontia	sdoelken	# good mapping			Distance de Levenshtein
id_signe_12100	HP:0000679	EQUIV	Taurodontia	Taurodontia	sdoelken	# good mapping			I-Sub distance

id_signe_13580	HP:0000360	EQUIV	Tinnitus	Tinnitus	sdoelken	# good mapping			Distance de Levenshtein
id_signe_13580	HP:0000360	EQUIV	Tinnitus	Tinnitus	sdoelken	# good mapping			I-Sub distance

id_signe_14150	HP:0000470	EQUIV	Short neck	Short neck	sdoelken	# good mapping			Distance de Levenshtein
id_signe_14150	HP:0000470	EQUIV	Short neck	Short neck	sdoelken	# good mapping			I-Sub distance

id_signe_14600	HP:0000476	EQUIV	Cystic hygroma	Cystic hygroma	sdoelken	# good mapping			Distance de Levenshtein
id_signe_14600	HP:0000476	EQUIV	Cystic hygroma	Cystic hygroma	sdoelken	# good mapping			I-Sub distance

id_signe_15680	HP:0000767	EQUIV	Pectus excavatum	Pectus excavatum	sdoelken	# good mapping			Distance de Levenshtein
id_signe_15680	HP:0000767	EQUIV	Pectus excavatum	Pectus excavatum	sdoelken	# good mapping			I-Sub distance

id_signe_16060	HP:0002808	EQUIV	Kyphosis	Kyphosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_16060	HP:0002808	EQUIV	Kyphosis	Kyphosis	sdoelken	# good mapping			I-Sub distance

id_signe_16090	HP:0002939	EQUIV	Lordosis	Lordosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_16090	HP:0002939	EQUIV	Lordosis	Lordosis	sdoelken	# good mapping			I-Sub distance

id_signe_16120	HP:0002650	EQUIV	Scoliosis	Scoliosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_16120	HP:0002650	EQUIV	Scoliosis	Scoliosis	sdoelken	# good mapping			I-Sub distance

id_signe_16300	HP:0000926	EQUIV	Platyspondyly	Platyspondyly	sdoelken	# good mapping			Distance de Levenshtein
id_signe_16300	HP:0000926	EQUIV	Platyspondyly	Platyspondyly	sdoelken	# good mapping			I-Sub distance

id_signe_17330	HP:0001543	EQUIV	Gastroschisis	Gastroschisis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_17330	HP:0001543	EQUIV	Gastroschisis	Gastroschisis	sdoelken	# good mapping			I-Sub distance

id_signe_17770	HP:0001537	EQUIV	Umbilical hernia	Umbilical hernia	sdoelken	# good mapping			Distance de Levenshtein
id_signe_17770	HP:0001537	EQUIV	Umbilical hernia	Umbilical hernia	sdoelken	# good mapping			I-Sub distance

id_signe_18560	HP:0009829	EQUIV	Phocomelia	Phocomelia	sdoelken	# good mapping			Distance de Levenshtein
id_signe_18560	HP:0009829	EQUIV	Phocomelia	Phocomelia	sdoelken	# good mapping			I-Sub distance

id_signe_18800	HP:0001390	EQUIV	Arthrogryposis	Arthrogryposis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_18800	HP:0001390	EQUIV	Arthrogryposis	Arthrogryposis	sdoelken	# good mapping			I-Sub distance

id_signe_19480	HP:0002974	EQUIV	Radioulnar synostosis	Radioulnar synostosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_19480	HP:0002974	EQUIV	Radioulnar synostosis	Radioulnar synostosis	sdoelken	# good mapping			I-Sub distance

id_signe_19660	HP:0002967	EQUIV	Cubitus valgus	Cubitus valgus	sdoelken	# good mapping			Distance de Levenshtein
id_signe_19660	HP:0002967	EQUIV	Cubitus valgus	Cubitus valgus	sdoelken	# good mapping			I-Sub distance

id_signe_20280	HP:0006191	EQUIV	Deep palmar creases	Deep palmar creases	sdoelken	# good mapping			Distance de Levenshtein
id_signe_20280	HP:0006191	EQUIV	Deep palmar creases	Deep palmar creases	sdoelken	# good mapping			I-Sub distance

id_signe_20360	HP:0001182	EQUIV	Tapered fingers	Tapered fingers	sdoelken	# good mapping			Distance de Levenshtein
id_signe_20360	HP:0001182	EQUIV	Tapered fingers	Tapered fingers	sdoelken	# good mapping			I-Sub distance

id_signe_21440	HP:0002857	EQUIV	Genu valgum	Genu valgum	sdoelken	# good mapping			Distance de Levenshtein
id_signe_21440	HP:0002857	EQUIV	Genu valgum	Genu valgum	sdoelken	# good mapping			I-Sub distance

id_signe_21520	HP:0002816	EQUIV	Genu recurvatum	Genu recurvatum	sdoelken	# good mapping			Distance de Levenshtein
id_signe_21520	HP:0002816	EQUIV	Genu recurvatum	Genu recurvatum	sdoelken	# good mapping			I-Sub distance

id_signe_22100	HP:0001761	EQUIV	Pes cavus	Pes cavus	sdoelken	# good mapping			Distance de Levenshtein
id_signe_22100	HP:0001761	EQUIV	Pes cavus	Pes cavus	sdoelken	# good mapping			I-Sub distance

id_signe_2240	HP:0000243	EQUIV	Trigonocephaly	Trigonocephaly	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2240	HP:0000243	EQUIV	Trigonocephaly	Trigonocephaly	sdoelken	# good mapping			I-Sub distance

id_signe_22600	HP:0001822	EQUIV	Hallux valgus	Hallux valgus	sdoelken	# good mapping			Distance de Levenshtein
id_signe_22600	HP:0001822	EQUIV	Hallux valgus	Hallux valgus	sdoelken	# good mapping			I-Sub distance

id_signe_2280	HP:0001357	EQUIV	Plagiocephaly	Plagiocephaly	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2280	HP:0001357	EQUIV	Plagiocephaly	Plagiocephaly	sdoelken	# good mapping			I-Sub distance

id_signe_23140	HP:0009721	EQUIV	Shagreen patch	Shagreen patch	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23140	HP:0009721	EQUIV	Shagreen patch	Shagreen patch	sdoelken	# good mapping			I-Sub distance

id_signe_23230	HP:0000964	EQUIV	Eczema	Eczema	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23230	HP:0000964	EQUIV	Eczema	Eczema	sdoelken	# good mapping			I-Sub distance

id_signe_23240	HP:0001025	EQUIV	Urticaria	Urticaria	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23240	HP:0001025	EQUIV	Urticaria	Urticaria	sdoelken	# good mapping			I-Sub distance

id_signe_23250	HP:0003765	EQUIV	Psoriasis	Psoriasis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23250	HP:0003765	EQUIV	Psoriasis	Psoriasis	sdoelken	# good mapping			I-Sub distance

id_signe_23290	HP:0200031	EQUIV	Macules	macules	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23290	HP:0200031	EQUIV	Macules	macules	sdoelken	# good mapping			I-Sub distance

id_signe_23390	HP:0000963	EQUIV	Thin skin	Thin skin	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23390	HP:0000963	EQUIV	Thin skin	Thin skin	sdoelken	# good mapping			I-Sub distance

id_signe_23560	HP:0000956	EQUIV	Acanthosis nigricans	Acanthosis nigricans	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23560	HP:0000956	EQUIV	Acanthosis nigricans	Acanthosis nigricans	sdoelken	# good mapping			I-Sub distance

id_signe_2360	HP:0002676	EQUIV	Cloverleaf skull	Cloverleaf skull	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2360	HP:0002676	EQUIV	Cloverleaf skull	Cloverleaf skull	sdoelken	# good mapping			I-Sub distance

id_signe_23620	HP:0000978	EQUIV	Ecchymoses	Ecchymoses	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23620	HP:0000978	EQUIV	Ecchymoses	Ecchymoses	sdoelken	# good mapping			I-Sub distance

id_signe_23720	HP:0009720	EQUIV	Adenoma sebaceum	Adenoma sebaceum	sdoelken	# good mapping			Distance de Levenshtein
id_signe_23720	HP:0009720	EQUIV	Adenoma sebaceum	Adenoma sebaceum	sdoelken	# good mapping			I-Sub distance

id_signe_24160	HP:0001596	EQUIV	Alopecia	Alopecia	sdoelken	# good mapping			Distance de Levenshtein
id_signe_24160	HP:0001596	EQUIV	Alopecia	Alopecia	sdoelken	# good mapping			I-Sub distance

id_signe_24560	HP:0002213	EQUIV	Fine hair	Fine hair	sdoelken	# good mapping			Distance de Levenshtein
id_signe_24560	HP:0002213	EQUIV	Fine hair	Fine hair	sdoelken	# good mapping			I-Sub distance

id_signe_24720	HP:0003777	EQUIV	Pili torti	Pili torti	sdoelken	# good mapping			Distance de Levenshtein
id_signe_24720	HP:0003777	EQUIV	Pili torti	Pili torti	sdoelken	# good mapping			I-Sub distance

id_signe_2560	HP:0005487	EQUIV	Prominent metopic suture	Prominent metopic suture	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2560	HP:0005487	EQUIV	Prominent metopic suture	Prominent metopic suture	sdoelken	# good mapping			I-Sub distance

id_signe_25650	HP:0001806	EQUIV	Onycholysis	Onycholysis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_25650	HP:0001806	EQUIV	Onycholysis	Onycholysis	sdoelken	# good mapping			I-Sub distance

id_signe_26600	HP:0002245	EQUIV	Meckel diverticulum	Meckel diverticulum	sdoelken	# good mapping			Distance de Levenshtein
id_signe_26600	HP:0002245	EQUIV	Meckel diverticulum	Meckel diverticulum	sdoelken	# good mapping			I-Sub distance

id_signe_2680	HP:0000348	EQUIV	High forehead	High forehead	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2680	HP:0000348	EQUIV	High forehead	High forehead	sdoelken	# good mapping			I-Sub distance

id_signe_27270	HP:0002040	EQUIV	Esophageal varices	Esophageal varices	sdoelken	# good mapping			Distance de Levenshtein
id_signe_27270	HP:0002040	EQUIV	Esophageal varices	Esophageal varices	sdoelken	# good mapping			I-Sub distance

id_signe_27480	HP:0002019	EQUIV	Constipation	Constipation	sdoelken	# good mapping			Distance de Levenshtein
id_signe_27480	HP:0002019	EQUIV	Constipation	Constipation	sdoelken	# good mapping			I-Sub distance

id_signe_2760	HP:0000337	EQUIV	Broad forehead	Broad forehead	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2760	HP:0000337	EQUIV	Broad forehead	Broad forehead	sdoelken	# good mapping			I-Sub distance

id_signe_2800	HP:0000341	EQUIV	Narrow forehead	Narrow forehead	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2800	HP:0000341	EQUIV	Narrow forehead	Narrow forehead	sdoelken	# good mapping			I-Sub distance

id_signe_28770	HP:0002612	EQUIV	Congenital hepatic fibrosis	Congenital hepatic fibrosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_28770	HP:0002612	EQUIV	Congenital hepatic fibrosis	Congenital hepatic fibrosis	sdoelken	# good mapping			I-Sub distance

id_signe_29120	HP:0001394	EQUIV	Cirrhosis	Cirrhosis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_29120	HP:0001394	EQUIV	Cirrhosis	Cirrhosis	sdoelken	# good mapping			I-Sub distance

id_signe_2920	HP:0002645	EQUIV	Wormian bones	Wormian bones	sdoelken	# good mapping			Distance de Levenshtein
id_signe_2920	HP:0002645	EQUIV	Wormian bones	Wormian bones	sdoelken	# good mapping			I-Sub distance

id_signe_29300	HP:0006554	EQUIV	Acute hepatic failure	Acute hepatic failure	sdoelken	# good mapping			Distance de Levenshtein
id_signe_29300	HP:0006554	EQUIV	Acute hepatic failure	Acute hepatic failure	sdoelken	# good mapping			I-Sub distance

id_signe_29720	HP:0001409	EQUIV	Portal hypertension	Portal hypertension	sdoelken	# good mapping			Distance de Levenshtein
id_signe_29720	HP:0001409	EQUIV	Portal hypertension	Portal hypertension	sdoelken	# good mapping			I-Sub distance

id_signe_3020	HP:0001999	EQUIV	Facial dysmorphism	Facial dysmorphism	sdoelken	# good mapping			Distance de Levenshtein
id_signe_3020	HP:0001999	EQUIV	Facial dysmorphism	Facial dysmorphism	sdoelken	# good mapping			I-Sub distance

id_signe_30220	HP:0001734	EQUIV	Annular pancreas	Annular pancreas	sdoelken	# good mapping			Distance de Levenshtein
id_signe_30220	HP:0001734	EQUIV	Annular pancreas	Annular pancreas	sdoelken	# good mapping			I-Sub distance

id_signe_3040	HP:0000311	EQUIV	Round face	Round face	sdoelken	# good mapping			Distance de Levenshtein
id_signe_3040	HP:0000311	EQUIV	Round face	Round face	sdoelken	# good mapping			I-Sub distance

id_signe_3060	HP:0000275	EQUIV	Narrow face	Narrow face	sdoelken	# good mapping			Distance de Levenshtein
id_signe_3060	HP:0000275	EQUIV	Narrow face	Narrow face	sdoelken	# good mapping			I-Sub distance

id_signe_30880	HP:0001733	EQUIV	Pancreatitis	Pancreatitis	sdoelken	# good mapping			Distance de Levenshtein
id_signe_30880	HP:0001733	EQUIV	Pancreatitis	Pancreatitis	sdoelken	# good mapping			I-Sub distance

id_signe_31600	HP:0001744	EQUIV	Splenomegaly	Splenomegaly	sdoelken	# good mapping			Distance de Levenshtein
id_signe_31600	HP:0001744	EQUIV	Splenomegaly	Splenomegaly	sdoelken	# good mapping			I-Sub distance

id_signe_31900	HP:0001971	EQUIV	Hypersplenism	Hypersplenism	sdoelken	# good mapping			Distance de Levenshtein
id_signe_31900	HP:0001971	EQUIV	Hypersplenism	Hypersplenism	sdoelken	# good mapping			I-Sub distance

id_signe_32040	HP:0001601	EQUIV	Laryngomalacia	Laryngomalacia	sdoelken	# good mapping			Distance de Levenshtein
id_signe_32040	HP:0001601	EQUIV	Laryngomalacia	Laryngomalacia	sdoelken	# good mapping			I-Sub distance

