LNDB ID	LNDB Name	HPO ID	HPO Name	Mapping status	Comment
11.04.04	Thick upper lip	HP:0000215	Thick upper lip vermilion	OK	What is the different between prominent and thick upper lip? Should there be two terms or can this be a synonym of the prominent upper lip?
12.03.03	Periodontoclasis	HP:0000704	Periodontitis	?	Is this word still in current use?
13.01.01	Advanced tooth eruption/development	HP:0006288	Advanced eruption of teeth	OK	Does this mean Premature eruption of teeth (HP:0006288)
13.01.04	Dental cysts/tumours	HP:0000164	Abnormality of the teeth	?	Compound description. Consider HP:0100612,  Odontogenic neoplasm
13.01.07	Irregular or crowded teeth	HP:0000692	Misalignment of teeth	OK	Compound LDDB term, needs to be split int two:For mapping use term Abnormality of teeth spacing
15.01.01	Branchial cleft/sinus/cysts	HP:0009796	Branchial cyst	?	Check whether mapping is too narrow; Terminology is somewhat mixed up in this area!
15.01.03	Low posterior/trident hairline	HP:0002162	Low posterior hairline	?	What is trident hairline?
16.01.01	Gibbus	HP:0002808	Kyphosis	OK	This term is somewhat imprecise. Where is the gibbus? Is there an advantage to this term as opposed to kyphosis as a general term?
16.02.05	Sacral teratoma/tumour	HP:0009793	Presacral teratoma	OK	LDDB term is compound. The HPO term only encompasses teratoma
16.03.01	Atlanto/axial/occipital abnormalities	HP:0003413	Atlantoaxial abnormality	OK	Probably Atlantoaxial abnormality (HP:0003413). But why mix up occipital abnormalities here?
17.01.06	Narrow thorax/funnel chest	HP:0000774	Narrow chest	?	a funnel chest is a synonym of Pectus excavatum 17.01.04
17.01.09	Asternia or bifid sternum	HP:0000766	Abnormality of the sternum	OK	Compound LDDB term : Asternia (HP:0010308) and Bifid sternum (HP:0010309)
17.01.11	Pleural effusion/chylothorax	HP:0002202	Pleural effusion	OK	Compound LDDB term : Pleural effusion (HP:0002202) or Chylothorax (HP:0010310)
17.02.06	Breast tumours	HP:0100013	Neoplasm of the breast	Good	Presumably by breast tumours this includes benign tumours such as fibroadenoma of the breast? The HP term Tumours of the breast is the parent term of breast cancer and fibromas of the breast
17.05.07	Coarctation/interrupted aorta	HP:0001680	Coarctation of aorta	OK	This LDD category comprises two different entities. At the moment, the mappimng just has coarctation.
17.05.29	Tumours of the heart	HP:0009729	Cardiac rhabdomyoma	OK	usually only Cardiac rhabdomyoma occur HP:0009729
17.06.01	Apnoea or tachypnoea	HP:0002795	Functional respiratory abnormality	OK	two terms: Apnea HP:0002104; Tachypnea HP:0002789
17.06.04	Lung cysts	HP:0005948	Cystic lung disease	OK	This may be too general. What type of cyst is meant?
17.06.07	Pulmonary segmentation defects	HP:0002101	Abnormal lung lobation	OK	Is this the same as HP:0002101 (Abnormal lung lobation)
17.06.08	Trachea or laryngeal anomalies	HP:0002087	Abnormality of the upper respiratory tract	OK	Abnormality of the trachea (HP:0002778) and Abnormality of the larynx (HP:0001600)
17.06.09	Tracheal or laryngeal calcification	HP:0010766	Ectopic calcification	?	Laryngeal calcifications (HP:0008754) or Tracheal ectopic calcification (HP:0002787)
17.09.02	Beaded/wavy/constrictions of ribs	HP:0000923	Beaded ribs	OK	Beaded ribs (HP:0000923): Is the same thing meant?
17.09.06	Gaps in ribs	HP:0006655	Rib segmentation abnormalities	OK	What kind of gaps? HPO has: Rib segmentation abnormalities HP:0006655
17.11.00	Shoulder shape, general abnormalities	HP:0003043	Abnormality of the shoulder	OK	Abnormality of the shoulder (HP:0003043) ?
18.01.02	Small bowel atresia/absence/obstruction/short	HP:0002244	Abnormality of the small intestine	OK	Composite LDDB term: HPO has Duodenal atresia (HP:0002247)
18.01.05	Intestinal duplication	HP:0100668	Intestinal duplication	Good	0
18.01.17	Gastrointestinal tumour/polyp/haemangioma	HP:0007378	Neoplasm of the gastrointestinal tract	OK	0
18.05.00	Liver/biliary system, general abnormalities	HP:0001392	Abnormality of the liver	OK	Abnormality of the liver HP:0001392  and Abnormality of the biliary system HP:0004297 (in the HPO Abnormality of the biliary system is a child of Abnormality of the liver)
18.05.03	Liver cysts/tumours/angiomas	HP:0001392	Abnormality of the liver	OK	Composite LDDB Term!
18.05.04	Absent/abnormal gallbladder	HP:0005264	Abnormality of the gallbladder	OK	Abnormality of the gallbladder (HP:0005264)
18.06.01	Oesophageal atresia or stenosis	HP:0002031	Abnormality of the esophagus	OK	Composite LDDB Term! Esophageal atresia (HP:0002032) and Esophageal stenosis (HP:0010450)
18.07.05	Malformation of the pancreas	HP:0001732	Abnormality of the pancreas	OK	Rather inexact. The HPO has Annular pancreas (HP:0001734)
18.08.01	Splenic abnormalities, unspecified	HP:0001743	Abnormality of the spleen	OK	Probably also HP:0001743. No need for two terms like this?
18.09.03	Stomach tumours	HP:0006753	Neoplasm of the stomach	OK	0
20.01.01	Ambiguous/absent genitalia	HP:0000078	Abnormality of the genital system	OK	Composite LDDB Term! Ambiguous genitalia (HP:0000062) Absent external genitalia (HP:0000042)
20.01.07	46, XX with Wolffian structures	HP:0010460	Abnormality of the female genitalia	OK	This is a diagnosis rather than a phenotypic feature ? perhaps we can just say that in 46,XX we have an abnormality of the ﾄfemaleﾓ genitalia and vice versa
20.01.08	46, XY with Mullerian structures	HP:0010461	Abnormality of the male genitalia	OK	This is a diagnosis rather than a phenotypic feature ? perhaps we can just say that in 46,XY we have an abnormality of the ﾄmaleﾓ genitalia and vice versa
20.02.06	Fused labia	HP:0000063	Fused labia minora	OK	Presumably = Fused labia minora (HP:0000063)
20.02.13	Malformed uterus	HP:0000130	Abnormality of the uterus	OK	Very general LDDB term. HPO has Abnormality of the uterus (HP:0000130) as well as a number of specific terms for malformations
20.02.15	Vaginal septum/duplication/hydrometrocolpos	HP:0000142	Abnormality of the vagina	OK	Composite LDDB Term! Septate vagina (HP:0001153), Do we need to define hydrometrocolpos more exactly?
21.01.05	Mucopolysacchariduria/oligosacchariduria	HP:0001939	Abnormality of metabolism/homeostasis	?	Composite LDDB Term! Mucopolysacchariduria (HP:0003567) and Oligosacchariduria (HP:0010471)
21.01.08	Pyuria	HP:0012085	Pyuria	Good	0
21.01.09	Abnormal urinary colour	HP:0012086	Abnormal urinary color	Good	0
21.01.10	Abnormal urinary odour	HP:0012088	Abnormal urinary odor	Good	0
21.03.03	Single renal cysts	HP:0000107	Renal cysts	OK	Meaning unclear, if single, why the plural form of cysts?
21.03.05	Ectopic/supernumerary kidneys	HP:0000077	Abnormality of the kidney	?	Composite LDDB Term! Ectopic kidney (HP:0000086) also Renal duplication (HP:0000075).
21.03.09	Nephritis or nephropathy	HP:0000077	Abnormality of the kidney	OK	Composite LDDB Term! Nephritis (HP:0000123) and Nephropathy (HP:0000112)
22.01.03	Asymmetric arms	HP:0002817	Abnormality of the upper limb	?	Wouldnt it be better to say asymmetric shortening or asymmetric hypertrophy? Consider Hemihypertrophy of upper limb
22.01.10	Proportionate short arms	HP:0009824	Hypoplasia involving bones of the upper limbs	*	There are a number of HPO terms that cover this including Hypoplasia involving bones of the upper limbs and other more detailed terms. (HP:0009824)
22.04.03	Limited movement/flexion deformity of elbow	HP:0002987	Elbow flexion contracture	OK	Composite LDDB Term! Limited elbow movement (HP:0002996) and Elbow contractures (HP:0002987)
22.06.02	Flexion deformity at wrist	HP:0001239	Wrist flexion contracture	Good	Composite LDDB Term! Limited wrist movement (HP:0006248) and Wrist contractures (HP:0001239)
23.01.06	Oedema of hands	HP:0007514	Edema of the dorsum of hands	Good	
23.02.02	Dislocated carpals	HP:0006092	Malaligned carpal bone	OK	Help with this one. There is an HPO term Malaligned carpal bone (HP:0006092) which would seem to overlap. Can you provide a good definition for the LDDB term disocated carpals?
23.04.10	Overlapping fingers (trisomy 18-like)	HP:0010557	Overlapping fingers	OK	0
23.04.14	Limited movement of fingers	HP:0005651	Flexion contracture of finger	?	-The HPO has Joint contractures of the fingers (HP:0009472). Is there a need for another term?
23.04.18	Thick fingers	HP:0001500	Broad finger	OK	The HPO has Broad fingers (HP:0001500), which presumably refers to the same appearance.
23.04.20	Absent finger tips	HP:0009881	Aplasia of the distal phalanges of the hand	?	Does this exist? Or does this mean something like Aplasia of the distal phalanges of the hand (HP:0009881)
23.04.21	Wide finger tips	HP:0001217	Clubbing	OK	Is this meant to be distincrt from clubbing (HP:0001217)?
23.05.02	Accessory metacarpals/pseudo-epiphyses	HP:0005917	Supernumerary metacarpal bones	OK	Compound term: The HPO has: Supernumerary metacarpal bones (HP:0005917) and Pseudoepiphyses of the metacarpals (HP:0009193)
23.05.07	Wide metacarpals/modelling defect	HP:0005916	Abnormal metacarpal morphology	OK	This seems to be a compound term again as the HPO has Broad metacarpals (HP:0001230) and Widened metacarpal shaft (HP:0006012)
23.06.06	Narrow phalanges	HP:0001238	Slender finger	?	This is the Elements term that is closest, please check#
23.06.11	Phalanges, bifid	HP:0009999	Partial duplication of the phalanx of hand	?	There are several terms for specific bifid phalanges. Bifid implies that the duplication is only partial and the HPO term Partial duplication of the phalanges of the hand (HP:0009999) does not include complete duplications of phalanges ﾖ is this really what ios meant by this LDDB term? However, I wonder if this LDDB term implies that all phalanges are bifid (must be rare) or merely that at least one is?
23.07.08	Varus deformity of thumb	HP:0001172	Abnormality of the thumb	?	Hitchhiker thumb in Elements?
23.07.09	Valgus deformity of thumb	HP:0001172	Abnormality of the thumb	?	Adducted thumb in Elements?
24.01.04	Abnormal coloured nails	HP:0100643	Abnormality of nail color	Good	0
24.01.05	Concave nails	HP:0001598	Concave nail	Good	Koilonychia (HP:0001598) is probably meant here?
25.01.03	Asymmetric lower limbs	HP:0002814	Abnormality of the lower limb	?	HPO has Asymmetric leg shortening (HP:0005618), do we need to further elaborate? Request for comments
25.01.09	Reduction deformity of legs, some digits	HP:0006493	Aplasia/Hypoplasia involving bones of the lower limbs	?	This is a really much to general term: does this mean femur or tibia and fibula or some toes missing? The HPO term Aplasia/Hypoplasia involving bones of the lower limbs (HP:0006493) subsumes all those but unfortunately also includes terms such as Peromelia which would belong to the LDDB-term Reduction deformity of legs, no digits
25.01.11	Proportionate shortening of lower limb	HP:0009816	Hypoplasia involving bones of the lower limbs	?	There are a number of HPO terms that cover this including other more detailed terms.
25.03.06	Bifid distal femur	HP:0010443	Bifid femur	OK	Are all cases of Bifid femur (HP:0010443) distal, or do we need a new term?
26.01.05	Absent feet	HP:0009820	Lower limb peromelia	OK	Peromelia of the lower limbs: The distal parts of the lower limbs are missing leading to a stump formation.
26.01.10	Prominent heels	HP:0001838	Vertical talus	?	What exactly does this stand for: Consider a more precise definition
26.01.13	Narrow feet	HP:0001786	Narrow foot	Good	
26.01.14	Oedema of feet	HP:0012098	Edema of the dorsum of feet	Good	
26.02.03	Dorsi-flexed hallux	HP:0001765	Hammertoe	OK	Consider a more precise definition
26.05.05	Over-riding toes (including clinodactyly)	HP:0001845	Overlapping toe	OK	Compound term : also Clinodactyly (feet) HP:0001863
27.00.00	BLOOD VESSELS (EXTRACRANIAL)	HP:0002597	Abnormality of the vasculature	OK	0
27.01.00	Blood vessels, general abnormalities	HP:0002597	Abnormality of the vasculature	OK	Note the HPO does not distinguish between extra- and intracranial vessels in the same way!
27.01.01	Aneurysms (extracranial)	HP:0002617	Aneurysm	OK	The HPO has Aneurysmal disease and terms for aortic aneurysm as well as terms for cerebral aneurysms. There is no term such as this one, which does not match with the logic of the HPO!
27.01.06	Cholesterol/lipids, abnormal	HP:0003119	Abnormality of lipid metabolism	OK	Abnormality of lipid metabolism (HP:0003119) and Abnormality of cholesterol metabolism (HP:0003107).
27.01.10	Arteritis	HP:0012089	Arteritis	Good	
28.03.00	Pancreas (endocrine), general abnormalities	HP:0012093	Abnormality of endocrine pancreas physiology	OK	
28.04.03	Parathyroid tumours/hyperplasia	HP:0000828	Abnormality of the parathyroid gland	OK	Composite LDDB Term! Parathyroid hyperplasia (HP:0008208). There is also Parathyroid adenoma (HP:0002897) and  Parathyroid carcinoma (HP:0006780)
28.05.02	Hyper-pituitarism	HP:0010514	Hyperpituitarism	Good	This should be broken down into primary and secondary (We still need to do this in the HPO)
28.05.06	Pituitary tumours	HP:0011750	Neoplasm of the anterior pituitary	?	Note, positerior is separate, probably not meant by this LDDB term though
28.07.01	Ectopic/enlarged thyroid	HP:0000820	Abnormality of the thyroid gland	OK	compound term; we have Goiter (HP:0000853) and Ectopic thyroid (HP:0100028)
28.07.05	Thyroid tumours	HP:0100031	Neoplasm of the thyroid gland	Good	Need to make more precise. HPO has: Thyroid carcinoma (HP:0002890) with the differen possible subtypes (follicular, medullary, papillary) and Thyroid adenoma (HP:0000854)
29.01.10	Lymphomas/leukaemias	HP:0004377	Hematological neoplasm	OK	Leukemia (HP:0001909) and  Lymphoma (HP:0002665)
31.01.03	Multiple joint dislocation	HP:0012095	Multiple joint dislocation	Good	
32.02.02	Amniotic fluid/placenta abnormal	HP:0001197	Abnormality of prenatal development or birth	OK	Compound term: Abnormalities of placenta and umbilical cord (HP:0001194) and Abnormality of the amniotic fluid (HP:0001560) ? mapped to next higher level parent term
32.02.04	Fetal movement - increased/ prenatal seizures	HP:0010519	Increased fetal movement	OK	Increased fetal movement (HP:0010519) and Fetal seizure (HP:0010520) ? as Fetal seizure is at the moment a child of Increased fetal movement, this was chosen as the mapped term here. We might consider moving fetal seizres to be a separate child of the overal parent term Prenatal movement abnormality (HP:0001557) and change the mapping to that term? This would then also include decreased fetal movement terms.
32.02.06	* small for dates - see BUILD	HP:0001511	Intrauterine growth retardation	OK	?
32.03.08	Haemorrhagic disorders in neonate	HP:0001871	Abnormality of  blood and blood-forming tissues	OK	Again, there is no spearate category for neonatal hemorrhagic features. Need to discuss whether this is desirable?
32.03.09	* neonatal seizures - see SEIZURES	HP:0001250	Seizures	no-mapping	?
32.04.04	Percepto-motor delay without MR/or clumsiness	HP:0001270	Motor delay	OK	This is a compound term. The way to say a patient does not have something is to use the modifier NOT. Also, how can one have a perception delay without having MR? And how can one have motor delay without a certain amount of resulting clumsiness in comparison to age dependent norms?
32.04.06	Dyspraxia/apraxia including gait apraxia	HP:0002186	Apraxia	OK	Gait apraxia (HP:0010521) is a child of Apraxia
32.04.09	Dyslexia/alexia	HP:0002167	Neurological speech impairment	OK	Clinically, these two manifestation are quite different! HPO has: Alexia (HP:0010523) and Dyslexia (HP:0010522)
32.05.02	Stereotopy	HP:0000733	Stereotypic behavior	OK	Is this meant by the term Stereotopy?
32.05.12	* sleep disorders incl. apnoea, see PAROXYSMAL	HP:0002360	Sleep disturbance	no-mapping	This is the same as two categories above (LDDB: Sleep disorders excl. Apnoea)?
32.06.01	Neonatal seizure	HP:0001250	Seizures	?	Should this be a term separate from infantile spasms?
32.06.02	Infantile spasms	HP:0011097	Epileptic spasms	Good	League against epilepsy now uses term epileptic spasms instead of infantile spasms
32.06.05	Atonic/akinetic (minor motor)	HP:0002304	Akinesia	OK	We have Akinesia, does this suffice?
32.06.10	Gelastic seizure	HP:0010821	Gelastic seizures	Good	
32.06.11	Partialis continua	HP:0002266	Focal clonic seizures	?	This is a diagnosis, not a feature ? Epilepsia partialis continua. We could map this to focal seizures as this seems to be the feature present in this condition ?
32.06.17	Spasms (not infantile)	HP:0003739	Myoclonic spasms	?	Please clarify what is meant here? Could we perhaps map this to Myoclonic spasms?
32.07.07	Cranial nerve neuralgia or neuropathy	HP:0001291	Abnormality of the cranial nerves	OK	Perhaps best as Abnormality of the cranial nerves (HP:0001291)
32.07.11	Intermittent/periodic weakness, (not hemiplegia)	HP:0003768	Periodic paralysis	OK	HPO has term Periodic paralysis (HP:0003768) Need to define both this and periodic weakness better
32.07.17	Paroxysmal ataxia	HP:0002131	Episodic ataxia	?	Is this the same as Ataxia, episodic (HP:0002131)? Please define more precisely
32.07.19	Intermittent stiffness or rigidity	HP:0002063	Rigidity	?	I am unfamiliar with this, Please define more precisely. Is this cogwhelle rigidity?
32.07.20	Intermittent tremor at rest	HP:0002322	Resting tremor	?	Does this mean the same as Resting tremor (HP:0002322)
32.08.00	CRANIUM, general abnormalities	HP:0002648	Abnormality of calvarial morphology	OK	looking at the subterms this probbly refers to Abnormalities of the skull shape?
32.09.03	Fontanelles of skull, extra	HP:0011328	Abnormality of fontanelles	OK	Will need a more exact description; mapped to parent term; at the moment we don't have a term for ﾄaccesoryﾓ fontanelles do we really need one?
32.12.05	Sclerosis of skull	HP:0004330	Increased skull ossification	OK	Increased skull ossification (HP:0004330). Should we introduce an additional term for skull sclerosis (Implication of patchy?)
32.12.07	Under-development of cranial sinus	HP:0009120	Aplasia/Hypoplasia involving the sinuses	OK	Please confirm this is synonym in the LDDB
32.17.04	Diplegia	HP:0001264	Spastic diplegia	?	Is spastic diplegia meant here?
32.19.05	Distal weakness (myopathic)	HP:0002460	Distal muscle weakness	?	confirm that this is synonymous to LDDB please.
32.19.06	Proximal weakness (myopathic)	HP:0003701	Proximal muscle weakness	?	confirm that this is synonymous to LDDB please.
32.24.01	Plasma amino acid level abnormal	HP:0003112	Abnormality of serum amino acid levels	Good	0
32.24.02	Plasma ammonia abnormal	HP:0004364	Abnormality of nitrogen compound homeostasis	OK	0
32.24.04	Lactate abnormal	HP:0002151	Increased serum lactate	OK	Are there diseases characterized by reduced lactate? Does this term also refer to CSF lactate?
32.24.05	Pyruvate abnormal	HP:0003542	Increased serum pyruvate	OK	0
32.24.06	Alphafetoprotein abnormal	HP:0006254	Elevated alpha-fetoprotein	?	0
32.24.08	Lysosomal enzymes abnormal	HP:0004356	Abnormality of lysosomal metabolism	OK	0
32.24.11	Cholesterol/fatty acid abnormal	HP:0003119	Abnormality of lipid metabolism	OK	0
32.24.12	Lipoprotein abnormal	HP:0003119	Abnormality of lipid metabolism	?	There are a number of HPO terms about individual classes of lipoproteins, e.g. Increased beta-lipoproteins (HP:0003141)
32.24.17	Iron abnormal	HP:0011031	Abnormality of iron homeostasis	Good	0
32.24.18	Potassium abnormal	HP:0011042	Abnormality of potassium homeostasis	Good	
32.25.17	EEG: abnormality on overbreathing	HP:0010858	EEG with hyperventilation-induced epileptiform discharges	Good	0
32.25.19	EEG: photoparoxysmal response - slow flash rate	HP:0010852	EEG with photoparoxysmal response	OK	0
32.25.20	EEG: photoparoxysmal response - mod/high flash	HP:0010852	EEG with photoparoxysmal response	OK	0
32.30.26	Myofibril abnormalities (including loss)	HP:0004303	Abnormality of muscle fibers	OK	Is this similar enough to the LDDB term? We don't have anything more closely related. Please check.
32.31.06	Myelination/absent or delayed	HP:0011400	Abnormal CNS myelination	OK	! this HPO-term is a child of the gereal term Neurological abnormality and as such it does not refer exclusively to for example cerebral myelinisation. Is this correct regarding the LDDB-term? Please check.
32.31.07	Thalamic lesion	HP:0010663	Abnormality of the thalamus	Good	Mapped to most similar general term.
32.31.11	Infarct	HP:0002140	Ischemic stroke	?	We also have a term Stroke which does not imply the cause, but Infarct implies a vascular ischemia. Please check.
32.33.04	Haemorrhage/haematoma in CNS	HP:0001342	Cerebral hemorrhage	OK	0
32.33.09	Spinal cord angioma - AV malformation	HP:0002390	Spinal arteriovenous malformation	OK	0
32.34.12	Neurinoma/neurofibroma	HP:0100007	Neoplasm of the peripheral nervous system	OK	Bundled term mapped to more general ancestor term: Consider Neurofibromas (HP:0001067) or Peripheral Schwannoma (HP:0009593)
32.34.20	Epidermoid cyst (brain)	HP:0012096	Intracranial epidermoid cyst	Good	
32.34.21	Dermoid cyst (brain)	HP:0012097	Intracranial dermoid cyst	Good	0
33.01.12	Skeletal cysts or tumours	HP:0000924	Abnormality of the skeletal system	?	this LDDB term is very general and not very informative as such
33.02.00	Tubular bones, general abnormalities	HP:0011314	Abnormality of long bone morphology	Good	
33.02.03	Bowing of bones	HP:0006487	Bowing of the long bones	OK	
33.02.10	Stippled or fragmented epiphyses	HP:0005930	Abnormality of the epiphyses	OK	compound term: Fragmented epiphyses and Stippling of the epiphyses: the next common ancestor is Abnormality of the epiphyses
