?sub	?label
<http://purl.obolibrary.org/obo/HP_6000189>	"Decreased circulating ficolin 3 concentration"
<http://purl.obolibrary.org/obo/HP_0032179>	"Abnormal circulating globulin concentration"
<http://purl.obolibrary.org/obo/HP_0032312>	"Decreased circulating globulin level"
<http://purl.obolibrary.org/obo/HP_0040228>	"Decreased level of plasminogen"
<http://purl.obolibrary.org/obo/HP_0032311>	"Increased circulating globulin level"
<http://purl.obolibrary.org/obo/HP_0005413>	"Increased alpha-globulin"
<http://purl.obolibrary.org/obo/HP_0025465>	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_0032385>	"Abnormal circulating transferrin concentration"
<http://purl.obolibrary.org/obo/HP_0032387>	"Reduced circulating transferrin concentration"
<http://purl.obolibrary.org/obo/HP_0032386>	"Elevated circulating transferrin concentration"
<http://purl.obolibrary.org/obo/HP_0012239>	"Atransferrinemia"
<http://purl.obolibrary.org/obo/HP_0031439>	"Abnormal angiostatin level"
<http://purl.obolibrary.org/obo/HP_0031438>	"Abnormal sex hormone-binding globulin level"
<http://purl.obolibrary.org/obo/HP_0031300>	"Abnormal circulating properdin level"
<http://purl.obolibrary.org/obo/HP_0025345>	"Abnormality of circulating beta-2-microglobulin level"
<http://purl.obolibrary.org/obo/HP_0025347>	"Decreased circulating beta-2-microglobulin level"
<http://purl.obolibrary.org/obo/HP_0025346>	"Increased circulating beta-2-microglobulin level"
<http://purl.obolibrary.org/obo/HP_0025201>	"Abnormal circulating apolipoprotein concentration"
<http://purl.obolibrary.org/obo/HP_6000566>	"Elevated circulating lipoprotein X concentration"
<http://purl.obolibrary.org/obo/HP_0033460>	"Increased circulating apolipoprotein circulation"
<http://purl.obolibrary.org/obo/HP_0034912>	"Elevated circulating apolipoprotein E concentration"
<http://purl.obolibrary.org/obo/HP_0033112>	"Elevated circulating apolipoprotein C-III concentration"
<http://purl.obolibrary.org/obo/HP_0031800>	"Elevated circulating apolipoprotein A-II concentration"
<http://purl.obolibrary.org/obo/HP_0031798>	"Elevated circulating apolipoprotein B concentration"
<http://purl.obolibrary.org/obo/HP_0025202>	"Elevated circulating apolipoprotein A-IV concentration"
<http://purl.obolibrary.org/obo/HP_0033459>	"Decreased circulating apolipoprotein concentration"
<http://purl.obolibrary.org/obo/HP_0034911>	"Decreased circulating apolipoprotein E concentration"
<http://purl.obolibrary.org/obo/HP_0034602>	"Decreased circulating apolipoprotein A-II concentration"
<http://purl.obolibrary.org/obo/HP_0034075>	"Decreased circulating apolipoprotein B concentration"
<http://purl.obolibrary.org/obo/HP_0033983>	"Decreased circulating apolipoprotein C-II concentration"
<http://purl.obolibrary.org/obo/HP_0031799>	"Decreased circulating apolipoprotein A-I concentration"
<http://purl.obolibrary.org/obo/HP_0034618>	"Abnormal circulating membrane cofactor protein concentration"
<http://purl.obolibrary.org/obo/HP_0034620>	"Elevated circulating membrane cofactor protein concentration"
<http://purl.obolibrary.org/obo/HP_0034619>	"Decreased circulating membrane cofactor protein concentration"
<http://purl.obolibrary.org/obo/HP_0033115>	"Elevated circulating tenascin-C level"
<http://purl.obolibrary.org/obo/HP_0012116>	"Abnormal circulating albumin concentration"
<http://purl.obolibrary.org/obo/HP_0012117>	"Hyperalbuminemia"
<http://purl.obolibrary.org/obo/HP_0003073>	"Hypoalbuminemia"
<http://purl.obolibrary.org/obo/HP_0031029>	"Elevated circulating carcinoembryonic antigen concentration"
<http://purl.obolibrary.org/obo/HP_0031424>	"Abnormal circulating beta-C-terminal telopeptide concentration"
<http://purl.obolibrary.org/obo/HP_0031426>	"Decreased circulating beta-C-terminal telopeptide concentration"
<http://purl.obolibrary.org/obo/HP_0031425>	"Increased circulating beta-C-terminal telopeptide concentration"
<http://purl.obolibrary.org/obo/HP_0032493>	"Increased circulating trypsinogen"
<http://purl.obolibrary.org/obo/HP_6000001>	"Elevated circulating DNAJB9 protein concentration"
<http://purl.obolibrary.org/obo/HP_0033144>	"Abnormal circulating ceruloplasmin concentration"
<http://purl.obolibrary.org/obo/HP_0033145>	"Increased circulating ceruloplasmin concentration"
<http://purl.obolibrary.org/obo/HP_0010837>	"Decreased circulating ceruloplasmin concentration"
<http://purl.obolibrary.org/obo/HP_0032996>	"Abnormal cystatin C level"
<http://purl.obolibrary.org/obo/HP_0032998>	"Increased cystatin C level"
<http://purl.obolibrary.org/obo/HP_0032997>	"Decreased circulating cystatin C concentration"
<http://purl.obolibrary.org/obo/HP_0005559>	"Abnormality of the kinin-kallikrein system"
<http://purl.obolibrary.org/obo/HP_0005527>	"Reduced kininogen activity"
<http://purl.obolibrary.org/obo/HP_6000968>	"Diminished circulating cationic trypsinogen concentration"
<http://purl.obolibrary.org/obo/HP_0031875>	"Abnormal circulating hepcidin concentration"
<http://purl.obolibrary.org/obo/HP_0031877>	"Elevated circulating hepcidin concentration"
<http://purl.obolibrary.org/obo/HP_0031876>	"Decreased circulating hepcidin concentration"
<http://purl.obolibrary.org/obo/HP_6000243>	"Reduced circulating cortisol-binding globulin concentration"
<http://purl.obolibrary.org/obo/HP_0033438>	"Elevated circulating myoglobin concentration"
<http://purl.obolibrary.org/obo/HP_0033833>	"Elevated circulating soluble CD25 concentration"
<http://purl.obolibrary.org/obo/HP_6000749>	"Elevated circulating type I procollagen aminoterminal propeptide concentration"
<http://purl.obolibrary.org/obo/HP_0025020>	"Elevated prostate-specific antigen level"
<http://purl.obolibrary.org/obo/HP_6000245>	"Elevated circulating granulocyte-macrophage colony-stimulating factor concentration"
<http://purl.obolibrary.org/obo/HP_0410282>	"Abnormal circulating amylase concentration"
<http://purl.obolibrary.org/obo/HP_0410289>	"Hypoamylasemia"
<http://purl.obolibrary.org/obo/HP_0410288>	"Hyperamylasemia"
<http://purl.obolibrary.org/obo/HP_0034615>	"Reduced circulating matrix metalloproteinase 2 concentration"
<http://purl.obolibrary.org/obo/HP_6000692>	"Abnormal circulating atrial natriuretic peptide pro-hormone concentration"
<http://purl.obolibrary.org/obo/HP_0031138>	"Abnormal circulating B-type natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0033534>	"Increased circulating brain natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0031185>	"Increased circulating NT-proBNP concentration"
<http://purl.obolibrary.org/obo/HP_0020182>	"Abnormal circulating A-type atrial natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0020184>	"Decreased circulating A-type natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_0020183>	"Increased circulating A-type natriuretic peptide concentration"
<http://purl.obolibrary.org/obo/HP_6000485>	"Elevated circulating beta chorionic gonadotropin concentration"
<http://purl.obolibrary.org/obo/HP_6000693>	"Reduced circulating NT-proANP concentration"
<http://purl.obolibrary.org/obo/HP_0033298>	"Abnormal circulating complement factor H related protein 1 concentration"
<http://purl.obolibrary.org/obo/HP_0033300>	"Increased circulating complement factor H related protein 1 concentration"
<http://purl.obolibrary.org/obo/HP_0033299>	"Reduced circulating complement factor H related protein 1 concentration"
