iri,iri label,pathological entity,pathological entity label
,,NCIT:C9298,"Acute Undifferentiated Leukemia"
,,NCIT:C7644,"Adamantinoma"
,,NCIT:C2852,"Adenocarcinoma"
,,NCIT:C4123,"Adenocarcinoma In Situ"
,,NCIT:C9296,"Adenocarcinoma of the Gastroesophageal Junction"
,,NCIT:C5130,"Adenoid Cystic Breast Carcinoma"
,,NCIT:C2970,"Adenoid Cystic Carcinoma"
,,NCIT:C27413,"Adenoma of the Colon with Intramucosal Adenocarcinoma"
,,NCIT:C3762,"Adenomatoid Tumor"
,,NCIT:C3726,"Adenomyoma"
,,NCIT:C9474,"Adenosarcoma"
,,NCIT:C3727,"Adenosquamous Carcinoma"
,,NCIT:C9133,"Adenosquamous Lung Carcinoma"
,,NCIT:C3775,"Adnexal Carcinoma"
,,NCIT:C9003,"Adrenal Cortex Adenoma"
,,NCIT:C9325,"Adrenal Cortex Carcinoma"
,,NCIT:C3326,"Adrenal Gland Pheochromocytoma"
,,NCIT:C27922,"Aflatoxins-Related Hepatocellular Carcinoma"
,,NCIT:C8647,"Aggressive NK-Cell Leukemia"
,,NCIT:C66796,"Aggressive Osteoblastoma"
,,NCIT:C9285,"Aggressive Systemic Mastocytosis"
,,NCIT:C27924,"Alcohol-Related Hepatocellular Carcinoma"
,,NCIT:C7225,"ALK-Positive Large B-Cell Lymphoma"
,,NCIT:C27754,"Alkylating Agent-Related Acute Myeloid Leukemia"
,,NCIT:C7643,"Alkylating Agent-Related Myelodysplastic Syndrome"
,,NCIT:C3132,"Alpha Heavy Chain Disease"
,,NCIT:C4140,"Alveolar Adenoma"
,,NCIT:C3749,"Alveolar Rhabdomyosarcoma"
,,NCIT:C3802,"Amelanotic Melanoma"
,,NCIT:C6650,"Ampulla of Vater Adenocarcinoma"
,,NCIT:C3908,"Ampulla of Vater Carcinoma"
,,NCIT:C6657,"Ampulla of Vater Intestinal-Type Adenoma"
,,NCIT:C5600,"Anal Adenocarcinoma"
,,NCIT:C7471,"Anal Canal Adenocarcinoma"
,,NCIT:C7489,"Anal Canal Carcinoma"
,,NCIT:C7469,"Anal Canal Squamous Cell Carcinoma"
,,NCIT:C9291,"Anal Carcinoma"
,,NCIT:C7474,"Anal Extramucosal (Perianal) Adenocarcinoma"
,,NCIT:C7472,"Anal Margin Carcinoma"
,,NCIT:C6925,"Anal Margin Squamous Cell Carcinoma"
,,NCIT:C9161,"Anal Squamous Cell Carcinoma"
,,NCIT:C4051,"Anaplastic (Malignant) Meningioma"
,,NCIT:C68644,"Anaplastic Adrenal Cortex Carcinoma"
,,NCIT:C84347,"Anaplastic Astroblastoma"
,,NCIT:C9477,"Anaplastic Astrocytoma"
,,NCIT:C4049,"Anaplastic Ependymoma"
,,NCIT:C6952,"Anaplastic Kidney Wilms Tumor"
,,NCIT:C3720,"Anaplastic Large Cell Lymphoma"
,,NCIT:C37194,""Anaplastic Large Cell Lymphoma, ALK-Negative""
,,NCIT:C37193,""Anaplastic Large Cell Lymphoma, ALK-Positive""
,,NCIT:C6916,"Anaplastic Lymphoma"
,,NCIT:C6959,"Anaplastic Oligoastrocytoma"
,,NCIT:C4326,"Anaplastic Oligodendroglioma"
,,NCIT:C3799,"Angiofibroma"
,,NCIT:C7528,"Angioimmunoblastic T-Cell Lymphoma"
,,NCIT:C3747,"Angioleiomyoma"
,,NCIT:C4332,"Angiomatous Meningioma"
,,NCIT:C3088,"Angiosarcoma"
,,NCIT:C4169,"Apocrine Carcinoma"
,,NCIT:C43342,"Apocrine Hidrocystoma"
,,NCIT:C7718,"Appendix Adenocarcinoma"
,,NCIT:C43550,"Appendix Adenoma"
,,NCIT:C9330,"Appendix Carcinoma"
,,NCIT:C3689,"Appendix Goblet Cell Carcinoid"
,,NCIT:C43558,"Appendix Mucinous Adenocarcinoma"
,,NCIT:C43554,"Appendix Signet Ring Cell Carcinoma"
,,NCIT:C43555,"Appendix Small Cell Neuroendocrine Carcinoma"
,,NCIT:C27926,"Asbestos-Related Malignant Mesothelioma"
,,NCIT:C7542,"Askin Tumor"
,,NCIT:C4324,"Astroblastoma"
,,NCIT:C6958,"Astrocytic Tumor"
,,NCIT:C60781,"Astrocytoma"
,,NCIT:C6917,"Atypical Burkitt/Burkitt-Like Lymphoma"
,,NCIT:C72074,"Atypical Carcinoid Tumor"
,,NCIT:C3519,""Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative""
,,NCIT:C6505,"Atypical Lipomatous Tumor"
,,NCIT:C4723,"Atypical Meningioma"
,,NCIT:C6906,"Atypical Teratoid/Rhabdoid Tumor"
,,NCIT:C8644,"B Acute Lymphoblastic Leukemia"
,,NCIT:C80347,"B Acute Lymphoblastic Leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)"
,,NCIT:C80343,"B Acute Lymphoblastic Leukemia with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)"
,,NCIT:C80346,"B Acute Lymphoblastic Leukemia with t(5;14)(q31;q32); IL3-IGH"
,,NCIT:C36312,"B Acute Lymphoblastic Leukemia with t(9;22)(q34;q11.2); BCR-ABL1"
,,NCIT:C80342,"B Acute Lymphoblastic Leukemia with t(v;11q23); MLL Rearranged"
,,NCIT:C8936,"B Lymphoblastic Leukemia/Lymphoma"
,,NCIT:C80335,"B Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy"
,,NCIT:C80338,"B Lymphoblastic Leukemia/Lymphoma with Hypodiploidy"
,,NCIT:C80328,"B Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities"
,,NCIT:C80341,"B Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)"
,,NCIT:C80334,"B Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1)"
,,NCIT:C80340,"B Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31;q32); IL3-IGH"
,,NCIT:C80331,"B Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34;q11.2); BCR-ABL1"
,,NCIT:C80332,"B Lymphoblastic Leukemia/Lymphoma with t(v;11q23); MLL Rearranged"
,,NCIT:C80326,""B Lymphoblastic Leukemia/Lymphoma, Not Otherwise Specified""
,,NCIT:C8868,"B Lymphoblastic Lymphoma"
,,NCIT:C4226,"Balloon Cell Nevus"
,,NCIT:C7027,"Barrett Adenocarcinoma"
,,NCIT:C9055,"Bartholin Gland Carcinoma"
,,NCIT:C53558,"Basal-Like Breast Carcinoma"
,,NCIT:C4121,"Basaloid Carcinoma"
,,NCIT:C7266,"Basaloid Large Cell Lung Carcinoma"
,,NCIT:C80291,""B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Burkitt Lymphoma""
,,NCIT:C37869,""B-Cell Lymphoma, Unclassifiable, with Features Intermediate between Diffuse Large B-Cell Lymphoma and Classical Hodgkin Lymphoma""
,,NCIT:C3457,"B-Cell Non-Hodgkin Lymphoma"
,,NCIT:C7182,"B-Cell Proliferation of Uncertain Malignant Potential"
,,NCIT:C4753,"B-Cell Prolymphocytic Leukemia"
,,NCIT:C48305,"Benign Adrenal Gland Pheochromocytoma"
,,NCIT:C5196,"Benign Breast Phyllodes Tumor"
,,NCIT:C6751,"Benign Extragonadal Germ Cell Tumor"
,,NCIT:C3739,"Benign Fibrous Histiocytoma"
,,NCIT:C53998,"Benign Gastrointestinal Stromal Tumor"
,,NCIT:C6449,"Benign Germ Cell Tumor"
,,NCIT:C6748,"Benign Glomus Tumor"
,,NCIT:C3252,"Benign Granular Cell Tumor"
,,NCIT:C66807,"Benign Intraocular Medulloepithelioma"
,,NCIT:C7571,"Benign Melanocytic Skin Nevus"
,,NCIT:C121901,"Benign Notochordal Cell Tumor"
,,NCIT:C4516,"Benign Ovarian Germ Cell Tumor"
,,NCIT:C4274,"Benign Phyllodes Tumor"
,,NCIT:C5532,"Benign Prostate Phyllodes Tumor"
,,NCIT:C8287,"Bilateral Breast Carcinoma"
,,NCIT:C8713,"Bilateral Retinoblastoma"
,,NCIT:C27813,"Bile Duct Adenocarcinoma"
,,NCIT:C2942,"Bile Duct Adenoma"
,,NCIT:C27814,"Bile Duct Carcinoma"
,,NCIT:C4282,"Biphasic Mesothelioma"
,,NCIT:C36054,"Biphasic Pulmonary Blastoma"
,,NCIT:C4032,"Bladder Adenocarcinoma"
,,NCIT:C4912,"Bladder Carcinoma"
,,NCIT:C7383,"Bladder Papillary Urothelial Carcinoma"
,,NCIT:C4031,"Bladder Squamous Cell Carcinoma"
,,NCIT:C39844,"Bladder Urachal Urothelial Carcinoma"
,,NCIT:C39851,"Bladder Urothelial Carcinoma"
,,NCIT:C9110,""Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive""
,,NCIT:C9147,"Blastema Predominant Kidney Wilms Tumor"
,,NCIT:C7203,"Blastic Plasmacytoid Dendritic Cell Neoplasm"
,,NCIT:C37209,"Blastoid Follicular Lymphoma"
,,NCIT:C7229,"Blastoid Variant Mantle Cell Lymphoma"
,,NCIT:C3803,"Blue Nevus"
,,NCIT:C5316,"Borderline Breast Phyllodes Tumor"
,,NCIT:C7503,"Borderline Phyllodes Tumor"
,,NCIT:C45163,"Borrelia Burgdoferi-Associated Cutaneous Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue"
,,NCIT:C8374,"Bowenoid Papulosis"
,,NCIT:C2907,"Brain Neoplasm"
,,NCIT:C5214,"Breast Adenocarcinoma"
,,NCIT:C40383,"Breast Apocrine Adenoma"
,,NCIT:C4872,"Breast Carcinoma"
,,NCIT:C53553,"Breast Carcinoma by Gene Expression Profile"
,,NCIT:C40384,"Breast Ductal Adenoma"
,,NCIT:C7575,"Breast Phyllodes Tumor"
,,NCIT:C40408,"Breast Pleomorphic Adenoma"
,,NCIT:C6760,"Breast Small Cell Carcinoma"
,,NCIT:C62210,"Breast Tubular Adenoma"
,,NCIT:C5264,"Bronchial Mucosa-Associated Lymphoid Tissue Lymphoma"
,,NCIT:C2923,"Bronchioloalveolar Carcinoma"
,,NCIT:C35875,"Bronchogenic Carcinoma"
,,NCIT:C4040,"Buccal Mucosa Squamous Cell Carcinoma"
,,NCIT:C7400,"Burkitt Leukemia"
,,NCIT:C2912,"Burkitt Lymphoma"
,,NCIT:C7189,"Burkitt Lymphoma with Plasmacytoid Differentiation"
,,NCIT:C7457,"Capillary Hemangioma"
,,NCIT:C2915,"Carcinoid Tumor"
,,NCIT:C2916,"Carcinoma"
,,NCIT:C4397,"Carcinoma ex Pleomorphic Adenoma"
,,NCIT:C2917,"Carcinoma In Situ"
,,NCIT:C6194,"Carcinoma of the Collecting Ducts of Bellini"
,,NCIT:C34448,"Carcinosarcoma"
,,NCIT:C6739,"Cardiac Rhabdomyoma"
,,NCIT:C3086,"Cavernous Hemangioma"
,,NCIT:C53316,"Cavernous Lymphangioma"
,,NCIT:C5543,"Cecum Adenocarcinoma"
,,NCIT:C39815,"Cellular Congenital Mesoblastic Nephroma"
,,NCIT:C4713,"Cellular Ependymoma"
,,NCIT:C6892,"Cellular Fibroma"
,,NCIT:C7007,"Central Nervous System Hemangioblastoma"
,,NCIT:C9293,"Central Nervous System Neoplasm"
,,NCIT:C5398,"Central Nervous System Primitive Neuroectodermal Tumor"
,,NCIT:C3791,"Central Neurocytoma"
,,NCIT:C4074,"Centroblastic Lymphoma"
,,NCIT:C5146,"Cerebellar Hemangioblastoma"
,,NCIT:C6905,"Cerebellar Liponeurocytoma"
,,NCIT:C5436,"Cerebellopontine Angle Primitive Neuroectodermal Tumor"
,,NCIT:C92629,"Cerebral Ganglioneuroblastoma"
,,NCIT:C4826,"Cerebral Neuroblastoma"
,,NCIT:C4029,"Cervical Adenocarcinoma"
,,NCIT:C4520,"Cervical Adenocarcinoma In Situ"
,,NCIT:C4519,"Cervical Adenosquamous Carcinoma"
,,NCIT:C9039,"Cervical Carcinoma"
,,NCIT:C6856,"Cervical Microglandular Polyp"
,,NCIT:C7982,"Cervical Small Cell Carcinoma"
,,NCIT:C4028,"Cervical Squamous Cell Carcinoma"
,,NCIT:C7347,"Cervical Squamous Cell Carcinoma In Situ"
,,NCIT:C80691,"Chemotherapy-Related Leukemia"
,,NCIT:C44960,"Chlamydia Psittaci-Associated Ocular Adnexal Mucosa-Associated Lymphoid Tissue Lymphoma"
,,NCIT:C4436,"Cholangiocarcinoma"
,,NCIT:C4021,"Chondroblastic Osteosarcoma"
,,NCIT:C2945,"Chondroblastoma"
,,NCIT:C6902,"Chondroid Chordoma"
,,NCIT:C53459,"Chondroma"
,,NCIT:C2946,"Chondrosarcoma"
,,NCIT:C6908,"Chordoid Meningioma"
,,NCIT:C2947,"Chordoma"
,,NCIT:C2948,"Choriocarcinoma"
,,NCIT:C4715,"Choroid Plexus Carcinoma"
,,NCIT:C4146,"Chromophobe Renal Cell Carcinoma"
,,NCIT:C4563,""Chronic Eosinophilic Leukemia, Not Otherwise Specified""
,,NCIT:C3163,"Chronic Lymphocytic Leukemia"
,,NCIT:C37202,"Chronic Lymphocytic Leukemia with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation"
,,NCIT:C36272,"Chronic Lymphocytic Leukemia with Plasmacytoid Differentiation"
,,NCIT:C37205,"Chronic Lymphocytic Leukemia with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene"
,,NCIT:C27911,"Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma"
,,NCIT:C37201,"Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation"
,,NCIT:C37204,"Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma with Unmutated Immunoglobulin Heavy Chain Variable-Region Gene"
,,NCIT:C3174,""Chronic Myelogenous Leukemia, BCR-ABL1 Positive""
,,NCIT:C3178,"Chronic Myelomonocytic Leukemia"
,,NCIT:C36060,"Chronic Myelomonocytic Leukemia with Eosinophilia"
,,NCIT:C36061,"Chronic Myelomonocytic Leukemia-1"
,,NCIT:C36062,"Chronic Myelomonocytic Leukemia-2"
,,NCIT:C3179,"Chronic Neutrophilic Leukemia"
,,NCIT:C3175,""Chronic Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive""
,,NCIT:C39814,"Classic Congenital Mesoblastic Nephroma"
,,NCIT:C7188,"Classical Burkitt Lymphoma"
,,NCIT:C111694,"Classical Glioblastoma"
,,NCIT:C7164,"Classical Hodgkin Lymphoma"
,,NCIT:C3766,"Clear Cell Adenocarcinoma"
,,NCIT:C6475,"Clear Cell Chondrosarcoma"
,,NCIT:C4714,"Clear Cell Ependymoma"
,,NCIT:C4722,"Clear Cell Meningioma"
,,NCIT:C4033,"Clear Cell Renal Cell Carcinoma"
,,NCIT:C9362,"Clitoral Carcinoma"
,,NCIT:C4349,"Colon Adenocarcinoma"
,,NCIT:C3864,"Colon Adenoma"
,,NCIT:C96479,"Colon Adenomatous Polyp"
,,NCIT:C5491,"Colon Adenosquamous Carcinoma"
,,NCIT:C4910,"Colon Carcinoma"
,,NCIT:C45429,"Colon Intramucosal Adenocarcinoma"
,,NCIT:C60641,"Colon Medullary Carcinoma"
,,NCIT:C7966,"Colon Mucinous Adenocarcinoma"
,,NCIT:C96486,"Colon Serrated Adenocarcinoma"
,,NCIT:C96464,"Colon Sessile Serrated Adenoma/Polyp"
,,NCIT:C7967,"Colon Signet Ring Cell Adenocarcinoma"
,,NCIT:C6761,"Colon Small Cell Neuroendocrine Carcinoma"
,,NCIT:C5490,"Colon Squamous Cell Carcinoma"
,,NCIT:C43577,"Colon Traditional Serrated Adenoma"
,,NCIT:C7041,"Colon Tubular Adenoma"
,,NCIT:C5496,"Colon Tubulovillous Adenoma"
,,NCIT:C7100,"Colon Undifferentiated Carcinoma"
,,NCIT:C3495,"Colon Villous Adenoma"
,,NCIT:C5105,"Colorectal Adenocarcinoma"
,,NCIT:C5673,"Colorectal Adenoma"
,,NCIT:C27458,"Colorectal Adenoma with Mild Dysplasia"
,,NCIT:C27457,"Colorectal Adenoma with Moderate Dysplasia"
,,NCIT:C5685,"Colorectal Adenoma with Severe Dysplasia"
,,NCIT:C43589,"Colorectal Adenosquamous Carcinoma"
,,NCIT:C2955,"Colorectal Carcinoma"
,,NCIT:C43590,"Colorectal Medullary Carcinoma"
,,NCIT:C43585,"Colorectal Mucinous Adenocarcinoma"
,,NCIT:C96485,"Colorectal Serrated Adenocarcinoma"
,,NCIT:C83176,"Colorectal Sessile Serrated Adenoma/Polyp"
,,NCIT:C43586,"Colorectal Signet Ring Cell Carcinoma"
,,NCIT:C43587,"Colorectal Small Cell Neuroendocrine Carcinoma"
,,NCIT:C43588,"Colorectal Squamous Cell Carcinoma"
,,NCIT:C5674,"Colorectal Traditional Serrated Adenoma"
,,NCIT:C27456,"Colorectal Tubular Adenoma"
,,NCIT:C5675,"Colorectal Tubulovillous Adenoma"
,,NCIT:C43591,"Colorectal Undifferentiated Carcinoma"
,,NCIT:C5676,"Colorectal Villous Adenoma"
,,NCIT:C3828,"Combined Hepatocellular Carcinoma and Cholangiocarcinoma"
,,NCIT:C4871,"Complete Hydatidiform Mole"
,,NCIT:C5194,"Complex Fibroadenoma"
,,NCIT:C45475,"Composite Hemangioendothelioma"
,,NCIT:C38661,"Composite Lymphoma"
,,NCIT:C3901,"Compound Nevus"
,,NCIT:C3841,"Congenital Hemangioma"
,,NCIT:C6569,"Congenital Mesoblastic Nephroma"
,,NCIT:C4549,"Conjunctival Squamous Cell Carcinoma"
,,NCIT:C9428,"Conventional Leiomyosarcoma"
,,NCIT:C35870,"Conventional Osteosarcoma"
,,NCIT:C122688,"Core Binding Factor Acute Myeloid Leukemia"
,,NCIT:C4552,"Corneal Squamous Cell Carcinoma"
,,NCIT:C121963,"Cribriform Neuroepithelial Tumor"
,,NCIT:C6858,"Cutaneous B-Cell Non-Hodgkin Lymphoma"
,,NCIT:C6801,"Cutaneous Fibrous Histiocytoma"
,,NCIT:C4484,"Cutaneous Leiomyosarcoma"
,,NCIT:C3510,"Cutaneous Melanoma"
,,NCIT:C3467,"Cutaneous T-Cell Non-Hodgkin Lymphoma"
,,NCIT:C27094,"Cylindroma"
,,NCIT:C2971,"Cystadenocarcinoma"
,,NCIT:C122687,"Cytogenetically Normal Acute Myeloid Leukemia"
,,NCIT:C121975,"DDIT4L Acute Lymphoblastic Leukemia"
,,NCIT:C6476,"Dedifferentiated Chondrosarcoma"
,,NCIT:C48876,"Dedifferentiated Chordoma"
,,NCIT:C3704,"Dedifferentiated Liposarcoma"
,,NCIT:C6492,"Deep Benign Fibrous Histiocytoma"
,,NCIT:C6555,"Deep Hemangioma"
,,NCIT:C27260,""Dendritic Cell Tumor, Not Otherwise Specified""
,,NCIT:C6484,"Dermal Fibroma"
,,NCIT:C4683,"Dermatofibrosarcoma Protuberans"
,,NCIT:C9182,"Desmoid-Type Fibromatosis"
,,NCIT:C9476,"Desmoplastic Infantile Astrocytoma"
,,NCIT:C4738,"Desmoplastic Infantile Ganglioglioma"
,,NCIT:C6747,"Desmoplastic Mesothelioma"
,,NCIT:C4497,"Desmoplastic Nevus"
,,NCIT:C66813,"Differentiated Retinoblastoma"
,,NCIT:C42048,"Differentiating Neuroblastoma"
,,NCIT:C7173,"Diffuse Astrocytoma"
,,NCIT:C7264,"Diffuse Follicular Lymphoma"
,,NCIT:C9159,"Diffuse Gastric Adenocarcinoma"
,,NCIT:C8851,"Diffuse Large B-Cell Lymphoma"
,,NCIT:C80289,"Diffuse Large B-Cell Lymphoma Associated with Chronic Inflammation"
,,NCIT:C45219,"Diffuse Large B-Cell Lymphoma by Gene Expression Profile"
,,NCIT:C80280,""Diffuse Large B-Cell Lymphoma, Not Otherwise Specified""
,,NCIT:C8420,"Diffuse Malignant Mesothelioma"
,,NCIT:C66815,"Diffuse Retinoblastoma"
,,NCIT:C36207,"Digestive System Adenoma"
,,NCIT:C7709,"Digestive System Neuroendocrine Tumor G1"
,,NCIT:C96166,"Digestive System Neuroendocrine Tumor G2"
,,NCIT:C81772,"Disseminated Juvenile Xanthogranuloma"
,,NCIT:C7109,"Distal Bile Duct Carcinoma"
,,NCIT:C115210,"Distal Urethral Carcinoma"
,,NCIT:C125904,"Double-Hit Lymphoma"
,,NCIT:C4017,"Ductal Breast Carcinoma"
,,NCIT:C2924,"Ductal Breast Carcinoma In Situ"
,,NCIT:C7889,"Duodenal Adenocarcinoma"
,,NCIT:C9505,"Dysembryoplastic Neuroepithelial Tumor"
,,NCIT:C2996,"Dysgerminoma"
,,NCIT:C8419,"Dysplastic Cerebellar Gangliocytoma"
,,NCIT:C3694,"Dysplastic Nevus"
,,NCIT:C54262,"Ear Carcinoma"
,,NCIT:C27131,"Early Gastric Cancer"
,,NCIT:C96772,"Early Hepatocellular Carcinoma"
,,NCIT:C27255,"Eccrine Carcinoma"
,,NCIT:C7565,"Eccrine Hidrocystoma"
,,NCIT:C3752,"Embryonal Carcinoma"
,,NCIT:C8971,"Embryonal Rhabdomyosarcoma"
,,NCIT:C7386,"Encapsulated Thymoma"
,,NCIT:C3007,"Enchondroma"
,,NCIT:C28327,"Endocervical Carcinoma"
,,NCIT:C34584,"Endocervical Polyp"
,,NCIT:C7359,"Endometrial Adenocarcinoma"
,,NCIT:C114656,"Endometrial Adenosquamous Carcinoma"
,,NCIT:C7558,"Endometrial Carcinoma"
,,NCIT:C8028,"Endometrial Clear Cell Adenocarcinoma"
,,NCIT:C6287,"Endometrial Endometrioid Adenocarcinoma"
,,NCIT:C40144,"Endometrial Mucinous Adenocarcinoma"
,,NCIT:C27838,"Endometrial Serous Adenocarcinoma"
,,NCIT:C40155,"Endometrial Small Cell Carcinoma"
,,NCIT:C8719,"Endometrial Squamous Cell Carcinoma"
,,NCIT:C8973,"Endometrioid Stromal Sarcoma"
,,NCIT:C4737,"Enteropathy-Associated T-Cell Lymphoma"
,,NCIT:C3016,"Eosinophilic Granuloma"
,,NCIT:C6770,"Ependymal Tumor"
,,NCIT:C4915,"Ependymoblastoma"
,,NCIT:C3017,"Ependymoma"
,,NCIT:C7642,"Epipodophyllotoxin-Related Myelodysplastic Syndrome"
,,NCIT:C9146,"Epithelial Predominant Kidney Wilms Tumor"
,,NCIT:C36053,"Epithelial Predominant Pulmonary Blastoma"
,,NCIT:C4199,"Epithelial-Myoepithelial Carcinoma"
,,NCIT:C4236,"Epithelioid Cell Melanoma"
,,NCIT:C3800,"Epithelioid Hemangioendothelioma"
,,NCIT:C3700,"Epithelioid Leiomyosarcoma"
,,NCIT:C6561,"Epithelioid Malignant Peripheral Nerve Sheath Tumor"
,,NCIT:C7985,"Epithelioid Mesothelioma"
,,NCIT:C80281,"Epstein-Barr Virus Positive Diffuse Large B-Cell Lymphoma of the Elderly"
,,NCIT:C27695,"Epstein-Barr Virus-Related Clonal Post-Transplant Lymphoproliferative Disorder"
,,NCIT:C4025,"Esophageal Adenocarcinoma"
,,NCIT:C3513,"Esophageal Carcinoma"
,,NCIT:C95611,"Esophageal Moderately Differentiated Squamous Cell Carcinoma"
,,NCIT:C95612,"Esophageal Poorly Differentiated Squamous Cell Carcinoma"
,,NCIT:C6762,"Esophageal Small Cell Neuroendocrine Carcinoma"
