Code	Preferred Term	Synonyms	Definition	Neoplastic Status
C36081	Activated B-Cell-Like Diffuse Large B-Cell Lymphoma	Diffuse Large B-Cell Lymphoma with an Activated B-Cell Expression Profile	"A biologic subset of diffuse large B-cell lymphomas with a unique molecular signature or expression profile.  It represents approximately 30% of diffuse large B-cell lymphomas, and is characterized by the expression of CD44, PKCbeta1, Cyclin D2, BCL-2, and IRF4/MUM1 genes.  Morphologically, these lymphomas are either centroblastic or immunoblastic (ratio 2:1).  Patients with this type of diffuse large B-cell lymphoma are reported to have a less favorable outcome compared to those with a germinal center B-cell expression profile, with a 5-year survival rate of 35% and a median survival of 2 years."	Malignant
C3164	Acute Basophilic Leukemia	Acute Basophilic Leukemia|Basophilic Leukemia|Leukemia Basophilic	A rare acute myeloid leukemia in which the immature cells differentiate towards basophils.	Malignant
C6923	Acute Bilineal Leukemia	Acute Bilineal Leukemia	"An acute leukemia of ambiguous lineage in which there is a dual population of blasts with each population expressing markers of a distinct lineage (myeloid and lymphoid or B-and T-lymphocyte).  (WHO, 2001) -- 2003"	Malignant
C4673	Acute Biphenotypic Leukemia	Acute Biphenotypic Leukemia	"An acute leukemia of ambiguous lineage characterized by blasts which coexpress myeloid and T or B lineage antigens or concurrent B and T lineage antigens.  (WHO, 2001)"	Malignant
C8923	Acute Erythroid Leukemia	Acute Erythroblastic Leukemia|Acute Erythroid Leukemia|Erythroblastic Leukemia|M6 Acute Myeloid Leukemia	"An acute myeloid leukemia characterized by a predominant immature erythroid population.  There are two subtypes recognized: erythroleukemia and pure erythroid leukemia. (WHO, 2001)"	Malignant
C7464	Acute Leukemia of Ambiguous Lineage	Acute Leukemia of Ambiguous Lineage|Acute Leukemia of Indeterminate Lineage	"An acute leukemia in which the blasts lack sufficient evidence to classify as myeloid or lymphoid or they have morphologic and/or immunophenotypic characteristics of both myeloid and lymphoid cells. (WHO, 2001)"	Malignant
C3167	Acute Lymphoblastic Leukemia	ALL - Acute Lymphocytic Leukemia|Acute Lymphoid Leukemia|Lymphoblastic Leukemia|Precursor Cell Lymphoblastic Leukemia|Precursor Lymphoblastic Leukemia	"Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood. It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia."	Malignant
C121973	Acute Lymphoblastic Leukemia by Gene Expression Profile	ALL Gene Expression Cluster Subtype|ALL Gene Expression Subtype|ALL by Gene Expression Profile|ALL by Gene Expression Signature|Acute Lymphoblastic Leukemia Gene Expression Subtype|Acute Lymphoblastic Leukemia by Gene Expression Signature	Gene expression-based patient cluster groups in acute lymphoblastic leukemia.	Malignant
C121978	Acute Lymphoblastic Leukemia by ROSE Cluster	ALL Gene Expression Cluster; ALL ROSE Cluster|Acute Lymphoblastic Leukemia Gene Expression Cluster|Acute Lymphoblastic Leukemia ROSE Cluster	Unique gene expression-based patient cluster groups in high-risk B-precursor acute lymphoblastic leukemia determined by Recognition of Outliers by Sampling Ends (ROSE).	Malignant
C3170	Acute Megakaryoblastic Leukemia	Acute M7 Myeloid Leukemia|Acute Megakaryoblastic Leukemia (FAB Type M7)|Acute Megakaryoblastic Leukemia|Acute Megakaryocytic Leukemia|FAB M7	"An acute myeloid leukemia in which at least 50% of the blasts are of megakaryocytic lineage. (WHO, 2001)"	Malignant
C7318	Acute Monoblastic and Monocytic Leukemia	Acute Monoblastic Leukemia and Acute Monocytic Leukemia|Acute Monoblastic and Monocytic Leukemia|Acute Myeloid Leukemia M5	"Acute myeloid leukemia in which 80% or more of the leukemic cells are of monocytic lineage, including monoblasts, promonocytes, and monocytes. Bleeding disorders are common presenting features."	Malignant
C7171	Acute Monoblastic Leukemia	Acute Monoblastic Leukemia (FAB M5a)	"An acute myeloid leukemia in which the monoblasts represent 80% or more of the total cellular population.  (WHO, 2001)"	Malignant
C4861	Acute Monocytic Leukemia	Acute Monocytic Leukemia (FAB M5b)|Monocytic Leukemia	"An acute myeloid leukemia in which the majority of monocytic cells are promonocytes.  (WHO, 2001)"	Malignant
C3171	Acute Myeloid Leukemia	AML - Acute Myeloid Leukemia|Acute Myeloblastic Leukemia|Acute Myelogenous Leukemia|Acute Myelogenous Leukemias|Acute Myeloid Leukemia|Hematopoeitic - Acute Myleogenous Leukemia (AML)	"A clonal expansion of myeloid blasts in the bone marrow, blood or other tissues. The classification of acute myeloid leukemias (AMLs) encompasses four major categories: 1) AML with recurrent genetic abnormalities; 2) AML with multilineage dysplasia; 3) Therapy-related AML; 4) AML not otherwise specified. The required bone marrow or peripheral blood blast percentage for the diagnosis of AML is 20% (WHO classification)."	Malignant
C82427	Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	An acute myeloid leukemia associated with t(1;22)(p13;q13) resulting in the expression of RBM15-MKL1 fusion protein. It affects infants and children and usually shows megakaryocytic maturation.	Malignant
C4037	Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome	AML/MDS|Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome|Acute Myeloid Leukemia with Multilineage Dysplasia following Myelodysplastic Syndrome	An acute myeloid leukemia developing in patients with a prior history of myelodysplastic syndrome.	Malignant
C27753	Acute Myeloid Leukemia Not Otherwise Specified	"Acute Myeloid Leukemia NOS|Acute Myeloid Leukemia Not Otherwise Categorized|Acute Myeloid Leukemia Not Otherwise Specified|Acute Myeloid Leukemia, NOS"	"Acute myeloid leukemias that do not fulfill the criteria for inclusion in the group of acute myeloid leukemias which have recurrent genetic abnormalities or myelodysplastic changes, or are therapy-related.  This category includes entities classified according to the French-American-British classification scheme."	Malignant
C36055	Acute Myeloid Leukemia with a Variant RARA Translocation		"A term referring to acute myeloid leukemias which show variant translocations involving the RARA gene.  The variant fusion partners include NUMA1, ZBTB16, STAT5B, and NPM1.  These leukemias often have the morphologic features of acute promyelocytic leukemia."	Malignant
C82430	Acute Myeloid Leukemia with Gene Mutations	AML with Gene Mutations	"A term referring to acute myeloid leukemias associated with gene mutations most often of the FLT3, NPM1, and CEBPA genes. These leukemias may have normal karyotypes or additional chromosomal aberrations."	Malignant
C9287	Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11	"Acute Myeloid Leukemia with Abnormal Marrow Eosinophils|Acute Myeloid Leukemia, CBF-beta/MYH11|Acute Myeloid Leukemia, CBFB-MYH11"	"An acute myeloid leukemia with monocytic and granulocytic differentiation and the presence of a characteristically abnormal eosinophil component in the bone marrow.  This type of acute myeloid leukemia has a favorable prognosis.  (WHO, 2001)"	Malignant
C9018	Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11	"Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11|Acute Myeloid Leukemia with inv(16)(p13q22)(CBFb/MYH11)|Acute Myeloid Leukemia with inv(16)(p13q22)|Acute Myeloid Leukemia, inv(16)(p13q22)"	Acute myeloid leukemia characterized by the presence of abnormal bone marrow eosinophils and the characteristic cytogenetic abnormality inv(16)(p13.1q22) which results in the expression of the fusion protein CBFB-MYH11.	Malignant
C82426	Acute Myeloid Leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	Acute Myeloid Leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1	An acute myeloid leukemia associated with inv(3)(q21q26.2) or t(3;3)(q21;q26.2) resulting in the expression of RPN1-EVI1 fusion protein. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.	Malignant
C122716	Acute Myeloid Leukemia with inv(3)(q21q26.2); RPN1-EVI1		An acute myeloid leukemia associated with inv(3)(q21q26.2) resulting in the expression of RPN1-EVI1 fusion protein. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.	Malignant
C3250	Acute Myeloid Leukemia with Maturation	AML with Maturation|Acute M2 Myeloid Leukemia|Acute Myeloblastic Leukemia with Maturation|Acute Myelocytic Leukemia with Maturation|Acute Myelogenous Leukemia with Maturation|Acute Myeloid Leukemia (AML-M2)|Acute Myeloid Leukemia with Maturation|FAB M2|M2 Acute Granulocytic Leukemia|M2 Acute Myeloblastic Leukemia with Maturation|M2 Acute Myeloblastic Leukemia|M2 Acute Myelocytic Leukemia with Maturation|M2 Acute Myelogenous Leukemia with Maturation|M2 Acute Myelogenous Leukemia|M2 Acute Myeloid Leukemia with Maturation|M2 Acute Myeloid Leukemia	"An acute myeloid leukemia (AML) characterized by blasts with evidence of maturation to more mature neutrophils. (WHO, 2001)"	Malignant
C8460	Acute Myeloid Leukemia with Minimal Differentiation	"AML with Minimal Differentiation|Acute Myeloblastic Leukemia with Minimal Differentiation|Acute Myeloblastic Leukemia, Minimally Differentiated|Acute Myelocytic Leukemia with Minimal Differentiation|Acute Myelogenous Leukemia with Minimal Differentiation|Acute Myeloid Leukemia with Minimal Differentiation (MO)|Acute Myeloid Leukemia with Minimal Differentiation|Acute Myeloid Leukemia, Minimally Differentiated|M0 Acute Granulocytic Leukemia with Minimal Differentiation|M0 Acute Granulocytic Leukemia|M0 Acute Myeloblastic Leukemia|M0 Acute Myelocytic Leukemia|M0 Acute Myelogenous Leukemia with Minimal Differentiation|M0 Acute Myelogenous Leukemia|M0 Myeloid Leukemia with Minimal Differentiation|M0 Myeloid Leukemia"	"An acute myeloid leukemia (AML) in which the blasts do not show evidence of myeloid differentiation by morphology and conventional cytochemistry. (WHO, 2001)"	Malignant
C9289	Acute Myeloid Leukemia with Multilineage Dysplasia	AML with Multilineage Dysplasia|Acute Myeloid Leukemia with Multilineage Dysplasia|De novo Acute Myeloid Leukemia with Multilineage Dysplasia	An acute myeloid leukemia arising de novo and not as a result of treatment. It is characterized by the presence of myelodysplastic features in at least 50% of the cells of at least two hematopoietic cell lines. Patients often present with severe cytopenia.	Malignant
C82433	Acute Myeloid Leukemia with Mutated CEBPA	AML with Mutated CEBPA|Acute Myeloid Leukemia with Mutated CEBPA	An acute myeloid leukemia with mutation of the CEBPA gene. It is usually associated with normal karyotype and most cases meet the criteria for acute myeloid leukemia with or without maturation. Cases with normal karyotype have a favorable prognosis.	Malignant
C82431	Acute Myeloid Leukemia with Mutated NPM1	AML with Mutated NPM1|Acute Myeloid Leukemia with Cytoplasmic Nucleophosmin|Acute Myeloid Leukemia with Mutated NPM1	An acute myeloid leukemia with mutation of the nucleophosmin gene. It is usually associated with normal karyotype and frequently has myelomonocytic or monocytic features. It usually responds to induction therapy.	Malignant
C7600	Acute Myeloid Leukemia with Myelodysplasia-Related Changes	AML with Myelodysplasia-Related Changes|Acute Myeloid Leukemia with Myelodysplasia-Related Changes	"An acute myeloid leukemia with at least 20% blasts in the bone marrow or blood, and either a previous history of myelodysplastic syndrome, multilineage dysplasia or myelodysplastic syndrome-related cytogenetic abnormalities.  There is no history of prior cytotoxic therapy for an unrelated disorder, and there is absence of the cytogenetic abnormalities that are present in acute myeloid leukemia with recurrent genetic abnormalities."	Malignant
C7175	Acute Myeloid Leukemia with Recurrent Genetic Abnormalities	Acute Myeloid Leukemia with Recurrent Genetic Abnormalities	"A group of acute myeloid leukemias characterized by recurrent genetic abnormalities, mainly balanced translocations.  (WHO, 2001)"	Malignant
C36058	Acute Myeloid Leukemia with t(11;17)(q13;q21)	Acute Promyelocytic Leukemia with t(11;17)(q13;q21); NUMA1-RARA	Acute myeloid leukemia with the variant RARA t(11;17)(q13;q21) and the expression of NUMA1-RARA fusion protein.	Malignant
C36056	Acute Myeloid Leukemia with t(11;17)(q23;q21)	Acute Promyelocytic Leukemia with t(11;17)(q23;q21); PLZF-RARA|Acute Promyelocytic Leukemia with t(11;17)(q23;q21); ZBTB16-RARA	Acute myeloid leukemia with the variant RARA t(11;17)(q23;q21) and the expression of PLZF-RARA fusion protein.  It lacks differentiation response to retinoids treatment.	Malignant
C9019	Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11	"Acute Myeloid Leukemia with t(16;16)(p13;q22)|Acute Myeloid Leukemia, t(16;16)(p13;q22)"	Acute myeloid leukemia characterized by the presence of abnormal bone marrow eosinophils and the characteristic cytogenetic abnormality t(16;16)(p13.1;q22) which results in the expression of the fusion protein CBFB-MYH11.	Malignant
C38377	Acute Myeloid Leukemia with t(17;17)(q21;q21)	Acute Promyelocytic Leukemia with t(17;17)(q21;q21); STAT5B-RARA	Acute myeloid leukemia with the variant RARA t(17;17)(q21;q21) and the expression of STAT5B-RARA fusion protein.	Malignant
C122717	Acute Myeloid Leukemia with t(3;3)(q21;q26.2); RPN1-EVI1		An acute myeloid leukemia associated with t(3;3)(q21;q26.2) resulting in the expression of RPN1-EVI1 fusion protein. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.	Malignant
C36057	Acute Myeloid Leukemia with t(5;17)(q35;q21)	Acute Myeloid Leukemia with t(5;17)(q35;q21);NPM1-RARA	Acute myeloid leukemia with the variant RARA t(5;17)(q35;q21) and the expression of NPM1-RARA fusion protein.	Malignant
C82423	Acute Myeloid Leukemia with t(6;9)(p23;q34); DEK-NUP214	Acute Myeloid Leukemia with t(6;9)(p23;q34); DEK-NUP214	An acute myeloid leukemia associated with t(6;9)(p23;q34) resulting in DEK-NUP214(CAN) fusion protein expression. It is often associated with multilineage dysplasia and basophilia. It affects both children and adults and it usually has an unfavorable clinical outcome.	Malignant
C122690	Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6	Acute Myeloid Leukemia with t(7;12)(q36;p13); MNX1-ETV6	An acute myeloid leukemia in infancy characterized by t(7;12)(q36;p13) and fusion of the homeobox gene HLXB9 (MNX1) with the ETV6 gene.	Malignant
C9288	Acute Myeloid Leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1	Acute Myeloid Leukemia with t(8;21)(q22;q22)(AML1(CBFa)/ETO)|Acute Myeloid Leukemia with t(8;21)(q22;q22); RUNX1-RUNX1T1|Acute Myeloid Leukemia with t(8;21)(q22;q22)	"An acute myeloid leukemia (AML) showing maturation in the neutrophil lineage.  The bone marrow and the peripheral blood show large myeloblasts with abundant basophilic cytoplasm, often containing azurophilic granules.  This type of AML is associated with good response to chemotherapy and high complete remission rate.  (WHO, 2001)"	Malignant
C82403	Acute Myeloid Leukemia with t(9;11)(p22;q23); MLLT3-MLL	Acute Myeloid Leukemia with 11q23 (MLL) Abnormalities|Acute Myeloid Leukemia with 11q23 Abnormalities|Acute Myeloid Leukemia with MLL Abnormalities	An acute myeloid leukemia associated with t(9;11)(p22;q23) and MLLT3 (AF9)-MLL fusion protein expression. Morphologically it usually has monocytic features. It may present at any age but it is more commonly seen in children. Patients may present with disseminated intravascular coagulation.	Malignant
C6924	Acute Myeloid Leukemia with Variant MLL Translocations	Acute Myeloid Leukemia with Variant MLL Translocations	A term referring to acute myeloid leukemias with rearrangement of the MLL gene which results in translocations with various genes other than the MLLT3 (AF9) gene.	Malignant
C3249	Acute Myeloid Leukemia without Maturation	AML without Maturation|Acute Granulocytic Leukemia without Maturation|Acute M1 Myeloid Leukemia|Acute Myeloblastic Leukemia without Maturation|Acute Myelocytic Leukemia without Maturation|Acute Myelogenous Leukemia without Maturation|Acute Myeloid Leukemia without Maturation (FAB M1)|Acute Myeloid Leukemia without Maturation|FAB M1|M1 Acute Granulocytic Leukemia without Maturation|M1 Acute Granulocytic Leukemia|M1 Acute Myeloblastic Leukemia without Maturation|M1 Acute Myeloblastic Leukemia|M1 Acute Myelocytic Leukemia without Maturation|M1 Acute Myelocytic Leukemia|M1 Acute Myelogenous Leukemia without Maturation|M1 Acute Myelogenous Leukemia|M1 Acute Myeloid Leukemia without Maturation|M1 Acute Myeloid Leukemia	"An acute myeloid leukemia (AML) characterized by blasts without evidence of maturation to more mature neutrophils. (WHO, 2001)"	Malignant
C7463	Acute Myelomonocytic Leukemia	Acute M4 Myeloid Leukemia|Acute Myelomonocytic Leukemia (FAB Type M4)|Acute Myelomonocytic Leukemia	"An acute leukemia characterized by the proliferation of both neutrophil and monocyte precursors.  (WHO, 2001)"	Malignant
C9020	Acute Myelomonocytic Leukemia with Abnormal Eosinophils	AMML Eo|FAB M4Eo		Malignant
C42779	Acute Myelomonocytic Leukemia without Abnormal Eosinophils			Malignant
C4344	Acute Panmyelosis with Myelofibrosis	Acute (Malignant) Myelofibrosis|Acute (Malignant) Myelosclerosis|Acute Myelofibrosis|Acute Myelosclerosis|Acute Panmyelosis with Myelofibrosis|Acute Panmyelosis	An acute myeloid leukemia characterized by bone marrow fibrosis without preexisting primary myelofibrosis.	Malignant
C3182	Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML-RARA	AML with t(15;17)(q22;q12)|APML - Acute promyelocytic leukemia|Acute Promyelocytic Leukemia with t(15;17)(q22;q12); PML/RARA|Acute Promyelocytic Leukemia|FAB M3|Promyelocytic Leukemia	"An acute myeloid leukemia (AML) in which abnormal promyelocytes predominate.  It is characterized by the t(15;17)(q22;q12) translocation.  There are two variants: the typical and microgranular variant.  This AML is particularly sensitive to treatment with all trans-retinoic acid and has a favorable prognosis.  (WHO, 2001)"	Malignant
C9298	Acute Undifferentiated Leukemia	"Acute Leukemia Not Otherwise Specified|Acute Leukemia, NOS|Acute Undifferentiated Leukemia|Leukemia Stem Cell|Stem Cell Acute Leukemia|Stem Cell Leukemia|Undifferentiated Acute Leukemia"	A rare acute leukemia of ambiguous lineage in which the blasts do not express markers specific to myeloid or lymphoid lineage.	Malignant
C7644	Adamantinoma	Adamantinoma of Long Bones|Extragnathic Adamantinoma	"A low grade malignant neoplasm arising from the long bones. The tibia is the most frequently affected bone site. Patients present with swelling which may or may not be associated with pain. Morphologically, it is characterized by a biphasic pattern consisting of an epithelial and an osteofibrous component. The vast majority of cases recur if they are not treated with radical surgery. In a minority of cases the tumor may metastasize to other anatomic sites including lymph nodes, lungs, liver, brain, and skeleton."	Malignant
C2852	Adenocarcinoma	Adenocarcinoma	"A common cancer characterized by the presence of malignant glandular cells.  Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous).  Representative examples of adenocarcinoma are ductal and lobular breast carcinoma, lung adenocarcinoma, renal cell carcinoma, hepatocellular carcinoma (hepatoma), colon adenocarcinoma, and prostate adenocarcinoma."	Malignant
C4123	Adenocarcinoma In Situ		A lesion in which the normally situated glands are partially or completely replaced by atypical cells with malignant characteristics.	Malignant
C9296	Adenocarcinoma of the Gastroesophageal Junction	Adenocarcinoma of Cardioesophageal junction|Adenocarcinoma of Gastroesophageal Junction|Adenocarcinoma of the Cardioesophageal junction|Adenocarcinoma of the EG Junction|Adenocarcinoma of the Esophagogastric Junction|Adenocarcinoma of the GE Junction|Gastroesophageal Junction Adenocarcinoma	"An adenocarcinoma that arises from and straddles the junction of the stomach and esophagus.  The category of adenocarcinomas of the gastroesophageal junction also includes the majority of adenocarcinomas previously called gastric cardia adenocarcinomas.  Squamous cell carcinomas that affect or cross the junction of the stomach and esophagus are classified as carcinomas of the distal esophagus.  Adenocarcinoma of the gastroesophageal junction occurs more often in Caucasian middle aged and elderly males.  Clinical signs and symptoms include dysphagia, abdominal pain, and weight loss.  The prognosis depends on the completeness of the surgical resection, the number of lymph nodes involved by cancer, and the presence or absence of postoperative complications.  The presence of TP53 mutations indicates worse prognosis."	Malignant
C5130	Adenoid Cystic Breast Carcinoma	Adenocystic Breast Carcinoma|Adenocystic Carcinoma of Breast|Adenocystic Carcinoma of the Breast|Adenoid Cystic Carcinoma of Breast|Adenoid Cystic Carcinoma of the Breast|Mammary Adenocystic Carcinoma	"An adenoid cystic carcinoma primarily involving the breast.  Three morphologic patterns are seen: cribriform, trabecular, and solid.  The prognosis is excellent."	Malignant
C2970	Adenoid Cystic Carcinoma	Adenocystic Carcinoma|Adenoid Cystic Carcinoma|Cylindroid Adenocarcinoma	"A malignant tumor arising from the epithelial cells.  Microscopically, the neoplastic epithelial cells form cylindrical spatial configurations (cribriform or classic type of adenoid cystic carcinoma), cordlike structures (tubular type of adenoid cystic carcinoma), or solid structures (basaloid variant of adenoid cystic carcinoma).  Adenoid cystic carcinomas mostly occur in the salivary glands.  Other primary sites of involvement include the lacrimal gland, the larynx, and the lungs.  Adenoid cystic carcinomas spread along nerve sheaths, resulting in severe pain, and they tend to recur.  Lymph node metastases are unusual; hematogenous tumor spread is characteristic."	Malignant
C27413	Adenoma of the Colon with Intramucosal Adenocarcinoma	Adenoma of Colon with Intramucosal Adenocarcinoma|Colonic Adenoma with Intramucosal Adenocarcinoma	An intramucosal malignant glandular epithelial infiltrate in a colonic adenoma.  There is no evidence of submucosal invasion.	Malignant
C3762	Adenomatoid Tumor	"Benign Localized Epithelial Mesothelioma|Benign Mesothelial Neoplasm|Benign Mesothelial Tumor|Benign Mesothelioma|Benign Neoplasm of Mesothelium|Benign Neoplasm of the Mesothelium|Benign Tumor of Mesothelium|Benign Tumor of the Mesothelium|Mesothelioma, Benign"	"A benign neoplasm arising from mesothelial cells. It is characterized by the formation of glandular and tubular patterns. It can occur in several anatomic sites including the pleura, peritoneum, and epididymis."	Benign
