?entity	?entity_label	?definition	?definition_sources	?parents	?synonyms	?comment
<http://purl.obolibrary.org/obo/HP_0012230>	"Rhegmatogenous retinal detachment"	"A type of retinal detachment associated with a retinal tear, that is, with a break in the retina that allows fluid to pass from the vitreous space into the subretinal space between the sensory retina and the retinal pigment epithelium."	"https://orcid.org/0000-0002-0736-9199"	"Retinal detachment (HP:0000541)"		
<http://purl.obolibrary.org/obo/HP_0031805>	"Intraretinal hemorrhage"	"A subtype of fundus hemorrhage occurring within the neurosensory retina. Intraretinal hemorrhages may be 'dot' or' blot' shaped or flame shaped depending upon their depth within the retina."	"https://orcid.org/0000-0003-0986-4123"	"Retinal hemorrhage (HP:0000573)"	"Intraretinal haemorrhage"	"Although the fundoscopic appearance of an intraretinal hemorrhage can exibit significant variability it can typically be distinguished from a subretinal hemorrhage (occurring between the neurosensory retina and the RPE) or a sub-ILM hemorrhage (occurring between the internal limiting membrane and the neurosensory retina)."
<http://purl.obolibrary.org/obo/HP_0000630>	"Abnormal retinal artery morphology"			"Abnormal retinal vascular morphology (HP:0008046), Abnormal systemic arterial morphology (HP:0011004), Abnormal head blood vessel morphology (HP:3000036)"	"Abnormality of retinal arteries, Retinal arterial abnormality"	
<http://purl.obolibrary.org/obo/HP_0500053>	"Retinopathy of prematurity stage 4"	"Scar tissue that forms a continuous sheet coming up from the edge of the vascularized retina. This scar tissue can grow toward the vitreous base/posterior lens capsule resulting in traction, distortion, and even detachment."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP stage 4"	"Stage 4 can occur after treatment (unlike stages 1-3) and may be accelerated by the absence of vascular endothelial growth factor posttreatment leading to an accelerated cicatricial phase."
<http://purl.obolibrary.org/obo/HP_0011509>	"Macular hyperpigmentation"	"Increased amount of pigmentation in the macula lutea."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Abnormality of macular pigmentation (HP:0008002)"		
<http://purl.obolibrary.org/obo/HP_0012841>	"Retinal vascular tortuosity"	"The presence of an increased number of twists and turns of the retinal blood vessels."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal vascular morphology (HP:0008046)"	"Tortuous retinal vessels"	
<http://purl.obolibrary.org/obo/HP_0001112>	"Leber optic atrophy"	"Degeneration of retinal ganglion cells and their axons."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic nerve morphology (HP:0000587)"	"Leber optic atrophy features, Leber optic degeneration"	
<http://purl.obolibrary.org/obo/HP_0007634>	"Nonarteritic anterior ischemic optic neuropathy"	"An acute condition characterized by sudden visual loss (usually discovered in the morning), optic disc edema at onset, optic disc-related visual field defects. Nonarteritic anterior ischemic optic neuropathy can be associated with flame hemorrhages on the swollen disk or nearby neuroretinal layer, and sometimes with nearby cotton-wool exudates."	"PMID:17698200, https://orcid.org/0000-0002-0736-9199"	"Optic neuropathy (HP:0001138)"	"Nonarteritic anterior ischaemic optic neuropathy"	"Nonarteritic anterior ischemic optic neuropathy is caused by infarction of the laminar or retrolaminar portion of the optic nerve head supplied by the short posterior ciliary arteries. Clinically NAION is characterized by sudden, usually painless, loss of vision in one or both eyes. Examination findings include decreased visual acuity, a visual field defect, decreased color vision, a relative afferent pupillary defect, and optic disc swelling."
<http://purl.obolibrary.org/obo/HP_0007822>	"Central retinal exudate"			"Retinal exudate (HP:0001147)"		
<http://purl.obolibrary.org/obo/HP_0008058>	"Aplasia/Hypoplasia of the optic nerve"			"Abnormal optic nerve morphology (HP:0000587), Aplasia/Hypoplasia affecting the fundus (HP:0008057)"	"Absent/small optic nerve, Absent/underdeveloped optic nerve"	
<http://purl.obolibrary.org/obo/HP_0500051>	"Retinopathy of prematurity stage 2"	"The accumulating neovascularization thickens and manifests as a linear bump. The neovascularization remains along the surface of the retina and does not extend off the retina into the cortical vitreous."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP stage 2"	
<http://purl.obolibrary.org/obo/HP_0000532>	"Abnormal chorioretinal morphology"	"An abnormality of the choroid and retina."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal choroid morphology (HP:0000610), Abnormal retinal morphology (HP:0000479)"	"Chorioretinal abnormality"	"The choroid is the vascular layer of the eye, located between the retina and the sclera."
<http://purl.obolibrary.org/obo/HP_0020120>	"Retinal nerve fiber edema"	"Swelling (edema) of the retinal nerve fibers."		"Abnormal retinal nerve fiber layer morphology (HP:0020119)"	"Retinal nerve fibre oedema"	
<http://purl.obolibrary.org/obo/HP_0007769>	"Peripheral retinal degeneration"			"Retinal degeneration (HP:0000546)"		
<http://purl.obolibrary.org/obo/HP_0011506>	"Choroidal neovascularization"	"Choroidal neovascularization (CNV) is the creation of new blood vessels in the choroid layer of the eye."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Abnormal morphology of the choroidal vasculature (HP:0025568), Abnormal macular morphology (HP:0001103)"	"Choroidal neovascular membrane"	"This is a common symptom of the degenerative maculopathy wet age-related macular degeneration."
<http://purl.obolibrary.org/obo/HP_0500049>	"Retinopathy of prematurity"	"An avascular or abnormally vascularized retina that occurs in premature infants and can lead to blindness."	"PMID:16009843, ISBN:978-3-319-52190-9"	"Retinopathy (HP:0000488)"		
<http://purl.obolibrary.org/obo/HP_0025568>	"Abnormal morphology of the choroidal vasculature"			"Abnormal choroid morphology (HP:0000610)"		
<http://purl.obolibrary.org/obo/HP_0007642>	"Congenital stationary night blindness"	"A nonprogressive (i.e., stationary) form of difficulties with night blindness with congenital onset."	"https://orcid.org/0000-0002-0736-9199"	"Nyctalopia (HP:0000662), Retinal dystrophy (HP:0000556)"	"Night blindness since birth, Congenital night blindness, Static congenital hemeralopia"	"Congenital stationary night blindness is prinicipally the result of dysfunction of the rod photoreceptors."
<http://purl.obolibrary.org/obo/HP_0500064>	"Retinopathy of prematurity threshold"	"A retinopathy with a 50% likelihood of progressing to retinal detachment. Threshold disease is considered to be present when stage 3 retinopathy of prematurity (ROP) is present in either zone I or zone II, with at least 5 continuous or 8 total clock hours of disease, and the presence of plus disease."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP threshold"	
<http://purl.obolibrary.org/obo/HP_0000541>	"Retinal detachment"	"Separation of the inner layers of the retina (neural retina) from the pigment epithelium."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Detached retina, Retinal detachment"	
<http://purl.obolibrary.org/obo/HP_0030491>	"Choriocapillaris atrophy"	"Atrophy of the capillary lamina of choroid."	"https://orcid.org/0000-0002-0736-9199"	"Chorioretinal atrophy (HP:0000533)"		
<http://purl.obolibrary.org/obo/HP_0031609>	"Geographic atrophy"	"Sharply demarcated area of partial or complete depigmentation of the fundus reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss. The margins of the de-pigmented area are usually scalloped and the large choroidal vessels are visible through the atrophic retinal pigment epithelium."	"PMID:24158023, https://orcid.org/0000-0003-0986-4123"	"Retinal atrophy (HP:0001105)"		
<http://purl.obolibrary.org/obo/HP_0020164>	"Ophthalmic artery occlusion"	"A partial or complete obstruction of the ophthalmic artery (branch of the internal carotid artery) that may lead to severe ischemia of the affected globe and associated ocular tissues. It can present with a similar picture to central retinal artery occlusion; however, profound choroidal ischaemia also occurs."	"PMID:30148234, https://orcid.org/0000-0003-0986-4123"	"Retinal arterial occlusion (HP:0025326)"		
<http://purl.obolibrary.org/obo/HP_0030501>	"Macular crystals"	"Crystalline deposits in the macula."		"Yellow/white lesions of the macula (HP:0030500)"		
<http://purl.obolibrary.org/obo/HP_0001139>	"Choroideremia"			"Abnormal choroid morphology (HP:0000610)"		
<http://purl.obolibrary.org/obo/HP_0007898>	"Exudative retinopathy"			"Retinal exudate (HP:0001147)"		
<http://purl.obolibrary.org/obo/HP_0031151>	"Vitreomacular traction"	"Vitreomacular traction is characterized by anomalous posterior vitreous detachment accompanied by anatomic distortion of the fovea, which may include pseudocysts, macular schisis, cystoid macular edema, and subretinal fluid. Vitreomacular traction can be subclassified by the diameter of vitreous attachment to the macular surface as measured by OCT, with attachment of 1500 micrometers or less defined as focal and attachment of more than 1500 micrometers as broad."	"PMID:24053995"	"Abnormal macular morphology (HP:0001103)"	"VMT"	
<http://purl.obolibrary.org/obo/HP_0500056>	"Retinopathy of prematurity stage 5"	"Funnel detachment from the retina with generally traction in all four quadrants."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP stage 5"	
<http://purl.obolibrary.org/obo/HP_0030496>	"Macular exudate"	"Yellow-white intraretinal deposits in the macula typically associated with damaged outer blood-retina barrier and exudation of serous fluid and lipids from the retinal microvasculature."	"https://orcid.org/0000-0003-0986-4123"	"Abnormality morphology of the macular vasculature (HP:0030495)"	"Macular exudation, Macular exudates"	
<http://purl.obolibrary.org/obo/HP_0011533>	"Snowflake vitreoretinal degeneration"	"The appearance of yellow/white crystalline-like (hence the name) spots in the retina and thickening of the peripheral part of the vitreous."	"PMID:18179896, HPO_CONTRIBUTOR:DDD_ncarter"	"Vitreoretinopathy (HP:0007773), Peripheral retinal degeneration (HP:0007769)"	"Snowflake retinal degeneration"	
<http://purl.obolibrary.org/obo/HP_0500050>	"Retinopathy of prematurity stage 1"	"The retinal vessels stop and then a linear flat white line is present that usually runs the circumference of the vascular retina."	"PMID:16009843, ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP stage 1"	
<http://purl.obolibrary.org/obo/HP_0031974>	"Increased vertical cup-to-disc ratio - 0.6"	"Ratio of the height of the cup of the optic nerve head to the height of the disk is 0.6 (The normal cup-to-disc ratio is 0.3)."	"https://orcid.org/0000-0003-0986-4123"	"Increased vertical cup-to-disc ratio (HP:0031973)"		
<http://purl.obolibrary.org/obo/HP_0007754>	"Macular dystrophy"	"Macular dystrophy is a nonspecific term for premature retinal cell aging and cell death, generally confied to the macula in which no clear extrinsic cause is evident."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal macular morphology (HP:0001103), Retinal dystrophy (HP:0000556)"		
<http://purl.obolibrary.org/obo/HP_0030825>	"Absent foveal reflex"	"Lack of the foveal reflex, which normally occurs as a result of the reflection of light from the ophthalmoscope in the foveal pit upon examination. The foveal reflex is a bright pinpoint of light that is observed to move sideways or up and down in response to movement of the opthalmoscope."	"PMID:27491360, https://orcid.org/0000-0002-0736-9199"	"Abnormal foveal morphology (HP:0000493)"	"Loss of foveal reflex, Foveal reflex absent"	"Absence of the foveal reflex can occur with macular edema, central serous retinopathy, or other macular abnormalities such as macular dystrophy. The macular reflex is often less pronounced in adults than in children, and may be absent in otherwise normal eyes of older individuals."
<http://purl.obolibrary.org/obo/HP_0031614>	"Inferior retinal coloboma"	"A notch or cleft of the lower part of the retina."		"Retinal coloboma (HP:0000480)"		
<http://purl.obolibrary.org/obo/HP_0031239>	"Extrafoveal choroidal neovascularization"	"A type of choroidal neovascularization in which the nearest edge of the area of neovascularization is located 200 to 1500 micrometers from the center of the fovea."		"Choroidal neovascularization (HP:0011506)"		
<http://purl.obolibrary.org/obo/HP_0008002>	"Abnormality of macular pigmentation"	"Abnormality of macular or foveal pigmentation."	"HPO_CONTRIBUTOR:DDD_ncarter"	"Abnormal macular morphology (HP:0001103)"		
<http://purl.obolibrary.org/obo/HP_0500088>	"Foveal depigmentation"	"Loss of pigment in the fovea centralis."	"PMID:24023426"	"Foveal hypopigmentation (HP:0012643)"		
<http://purl.obolibrary.org/obo/HP_0031150>	"Vitreomacular adhesion"	"Perifoveal vitreous separation with remaining vitreomacular attachment and unperturbed foveal morphologic features. It is an OCT finding that is almost always the result of normal vitreous aging, which may lead to pathologic conditions."	"PMID:24053995"	"Abnormal macular morphology (HP:0001103)"	"VMA"	
<http://purl.obolibrary.org/obo/HP_0031803>	"Fundus hemorrhage"	"Bleeding within the fundus of the eye."		"Abnormal fundus morphology (HP:0001098)"	"Fundus haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0030643>	"Vitelliform-like retinal lesions"			"Yellow/white lesions of the retina (HP:0030506)"		
<http://purl.obolibrary.org/obo/HP_0007985>	"Retinal arteriolar occlusion"	"Blockage of retinal arteriole, generally associated with interruption of blood flow and oxygen delivery to affected regions of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Arterial stenosis (HP:0100545), Abnormal retinal artery morphology (HP:0000630)"	"Blocked retinal artery"	
<http://purl.obolibrary.org/obo/HP_6000710>	"Dalen Fuchs nodules"	"Nodules (yellow-white subretinal pigment epithelium lesions) that form between Bruch's membrane and the retinal pigment epithelium."	"PMID:35145783"	"Yellow/white lesions of the retina (HP:0030506)"		"Dalen Fuchs nodules may be observed with Sympathetic ophthalmia, a rare, severe condition that typically presents as bilateral diffuse granulomatous uveitis secondary to trauma in one eye."
<http://purl.obolibrary.org/obo/HP_0008060>	"Aplasia/Hypoplasia of the fovea"	"Congenital absence or underdevelopment of the fovea centralis."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the macula (HP:0008059), Abnormal foveal morphology (HP:0000493)"	"Absent/underdeveloped fovea"	
<http://purl.obolibrary.org/obo/HP_0000543>	"Optic disc pallor"	"A pale yellow discoloration of the optic disc (the area of the optic nerve head in the retina). The optic disc normally has a pinkish hue with a central yellowish depression."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal optic disc morphology (HP:0012795)"	"Pale optic disc"	"Optic disc pallor can be judged clinically with serial color photographs or by comparison to the other eye. The pallor reflects replacement of dead axons by glial tissue. The loss of the small capillaries within the nerve accounts for the shift from orange-pink to white."
<http://purl.obolibrary.org/obo/HP_0030639>	"Congenital stationary night blindness with abnormal fundus"			"Congenital stationary night blindness (HP:0007642)"		
<http://purl.obolibrary.org/obo/HP_0012152>	"Foveoschisis"	"Splitting of the retinal layers in the macula."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal foveal morphology (HP:0000493), Retinoschisis (HP:0030502)"	"Retinoschisis involving the fovea"	
<http://purl.obolibrary.org/obo/HP_0031241>	"Subfoveal choroidal neovascularization"	"A type of choroidal neovascularization in which the area of neovascularization overlaps with the center of the fovea."		"Choroidal neovascularization (HP:0011506)"		
<http://purl.obolibrary.org/obo/HP_0500065>	"Retinopathy of prematurity prethreshold"	"High risk patients who were in Zone 1 (no Plus or stage 3) or Zone 2 with Plus or stage 3 but not both."	"ISBN:978-3-319-52190-9"	"Retinopathy of prematurity (HP:0500049)"	"ROP prethreshold"	
<http://purl.obolibrary.org/obo/HP_0031533>	"Multifocal sub-RPE deposits"	"Deposits accumulating between the retinal pigment epithelium and Bruch's membrane and that are distributed in multiple foci."		"Sub-RPE deposits (HP:0031531)"		
<http://purl.obolibrary.org/obo/HP_0030329>	"Retinal thinning"	"Reduced anteroposterior thickness of the retina. This phenotype can be appreciated by retinal optical coherence tomography (OCT)."	"https://orcid.org/0000-0002-0736-9199"	"Abnormal retinal morphology (HP:0000479)"	"Retinal thinning"	
<http://purl.obolibrary.org/obo/HP_0031420>	"Small yellow foveal lesion with surrounding gray zone"	"A lesion that is observed following light damage to the macula. Damage to the retinal by exposure to intense visible light, usually the sun. Intense light exposure such as staring at the sun causes fine structural anomalies in the outer segments of the photoreceptors and the retinal pigment epithelium (RPE) cells of the macula. Symptoms usually develop within 1 to 4 h after exposure and include decreased vision, metamorphopsia, micropsia, and central or paracentral scotomas. Fundus examination typically shows a small yellow spot with a surrounding gray zone in the foveolar or parafoveolar area. Spontaneous evolution leads to the improvement of visual acuity."	"PMID:28611647, PMID:25323644, https://orcid.org/0000-0002-2244-7917"	"Yellow/white lesions of the macula (HP:0030500)"	"Small yellow foveal lesion with surrounding grey zone"	
<http://purl.obolibrary.org/obo/HP_0040049>	"Macular edema"	"Thickening of the retina that takes place due to accumulation of fluid in the macula as a nonspecific response to blood-retinal barrier breakdown. Macular edema is a common pathological response to a wide variety of ocular insults, most commonly after intraocular (e.g. cataract) surgery or in association with retinal vascular (e.g. diabetic eye disease, retinal vein occlusion) or inflammatory (e.g. uveitis) disease."	"https://orcid.org/0000-0003-0986-4123"	"Macular thickening (HP:0030498), Edema (HP:0000969)"	"Macular oedema"	
<http://purl.obolibrary.org/obo/HP_0007913>	"Reticular retinal dystrophy"	"A type of of patterned retinal dystrophy that shows a reticular pattern of pigmentation."		"Pattern dystrophy of the retina (HP:0007963)"		
<http://purl.obolibrary.org/obo/HP_0012231>	"Exudative retinal detachment"	"A type of retinal detachment arising from damage to the outer blood-retinal barrier that allows fluid to access the subretinal space and separate the neurosensory retina from the retinal pigment epithelium."	"https://orcid.org/0000-0003-0986-4123, https://orcid.org/0000-0002-0736-9199"	"Retinal detachment (HP:0000541)"	"Serous retinal detachment"	
<http://purl.obolibrary.org/obo/HP_0030509>	"Retinal racemose hemangioma"			"Retinal hamartoma (HP:0009594)"	"Retinal racemose haemangioma"	
<http://purl.obolibrary.org/obo/HP_0025243>	"Subretinal hemorrhage"	"Accumulation of blood located beneath the neurosensory retina in the space between the neurosensory retina and the retinal pigment epithelium."		"Retinal hemorrhage (HP:0000573)"	"Subretinal heme, Subretinal haemorrhage"	"Subretinal hemorrhages are located deep in the retina, displaying a dark coloration with the retinal vessels clearly visible above. Subretinal hemorrhages tend not to be well delineated because of the lack of firm attachments between the neurosensory retina and the retinal pigment epithelium, allowing the blood to spread."
<http://purl.obolibrary.org/obo/HP_0007401>	"Macular atrophy"	"Well-demarcated area(s) of partial or complete depigmentation in the macula, reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss."	"https://orcid.org/0000-0003-0986-4123"	"Retinal atrophy (HP:0001105), Macular degeneration (HP:0000608)"		
<http://purl.obolibrary.org/obo/HP_0025582>	"Submacular hemorrhage"	"Bleeding between the neurosensory retina and the retinal pigment epithelium (RPE) arising from the choroidal or retinal circulation."	"PMID:23202390, https://orcid.org/0000-0003-0986-4123"	"Macular hemorrhage (HP:0025574), Subretinal hemorrhage (HP:0025243)"	"Sub-macular hemorrhage, Submacular haemorrhage, Sub-macular haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0031528>	"Subretinal deposits"	"Deposits accumulating between the outer retina and the retinal pigment epithelium."		"Abnormal retinal morphology (HP:0000479)"		
<http://purl.obolibrary.org/obo/HP_0040031>	"Chorioretinal hyperpigmentation"			"Abnormality of chorioretinal pigmentation (HP:0007661)"		
<http://purl.obolibrary.org/obo/HP_0007866>	"Retinal infarction"			"Abnormal retinal morphology (HP:0000479)"		
<http://purl.obolibrary.org/obo/HP_0012796>	"Increased cup-to-disc ratio"	"An elevation in the ratio of the diameter of the cup of the optic disc to the total diameter of the disk. The optic disc has an orange-pink rim with a pale center (the cup) that does not contain neuroretinal tissue. An increase in this ratio therefore may indicate a decrease in the quantity of healthy neuroretinal cells."	"PMID:23557744, https://orcid.org/0000-0002-0736-9199"	"Abnormal optic disc morphology (HP:0012795)"	"Elevated cup to disk ratio, Elevated cup to disc ratio, Increased cup disk ratio, Optic cupping, Increased cup disc ratio"	"A cup to disk ratio of 0.3 is generally considered normal. Note that the ratio is measured in the vertical orientation unless otherwise specified."
<http://purl.obolibrary.org/obo/HP_0100014>	"Epiretinal membrane"	"An epiretinal membrane is a thin sheet of fibrous tissue that can develop on the surface of the macular area of the retina and cause a disturbance in vision. An epiretinal membrane area can develop on the thin macular area of the retin. An epiretinal membrane is also sometimes called a macular pucker, premacular fibrosis, surface wrinkling retinopathy or cellophane maculopathy."	"https://orcid.org/0009-0006-4530-3154"	"Macular thickening (HP:0030498)"	"Macular pucker, Premacular fibrosis"	
<http://purl.obolibrary.org/obo/HP_0033027>	"Retinal peau d'orange"	"A pebbly orange appearance of the fundus that is said to resemble the skin of an orange."	"PMID:25526100"	"Abnormal retinal morphology (HP:0000479)"		"Retinal peau d'orange is a common finding in pseudoxanthoma elasticum."
<http://purl.obolibrary.org/obo/HP_0031976>	"Increased vertical cup-to-disc ratio - 0.8"	"Ratio of the height of the cup of the optic nerve head to the height of the disk is 0.8 (The normal cup-to-disc ratio is 0.3)."	"https://orcid.org/0000-0003-0986-4123"	"Increased vertical cup-to-disc ratio (HP:0031973)"		
<http://purl.obolibrary.org/obo/HP_0025574>	"Macular hemorrhage"	"Bleeding occurring within the macula lutea of the retina."		"Abnormal macular morphology (HP:0001103), Retinal hemorrhage (HP:0000573)"	"Macular haemorrhage"	
<http://purl.obolibrary.org/obo/HP_0030952>	"Birdshot retinochoroidopathy"	"Multiple cream-yellow colored hypopigmented lesions typically located at the level of the choroid or retinal pigment epithelium; ovoid, cream-colored with indistinct borders. They are between 50 and 1,500 micrometers in size with a characteristic nasal, radial distribution in the postequatorial fundus."	"PMID:33845003, PMID:25667738, https://orcid.org/0000-0001-9114-8737"	"Abnormal choroid morphology (HP:0000610)"	"Birdshot lesions, Birdshot laesions, Birdshot choroidal lesions"	
<http://purl.obolibrary.org/obo/HP_0025241>	"Flame-shaped retinal hemorrhage"	"A type of retinal hemorrhage that is located within the nerve fiber layer (NFL) of the retina and that exhibits a characteristic flame shape which results from constraints by the structure of the NFL (axons of the ganglion cells)."		"Intraretinal hemorrhage (HP:0031805)"	"Flame-shaped retinal haemorrhage, Linear retina heme, Feathered retinal heme"	"Flame-shaped hemorrhages are typically located in the posterior pole and tend to resolve within around six weeks. THeir pathophysiology is thought to reflect ischemic leakage from arterioles or veins that are ischemic or, in the case of veins, under high pressure."
<http://purl.obolibrary.org/obo/HP_0012643>	"Foveal hypopigmentation"	"Decreased amount of pigmentation in the fovea centralis."	"https://orcid.org/0000-0002-0736-9199"	"Abnormality of foveal pigmentation (HP:0030493)"		
<http://purl.obolibrary.org/obo/HP_0031526>	"Subretinal fluid"	"Edema/fluid accumulating between the retinal pigment epithelium and Bruch's membrane."		"Abnormal retinal morphology (HP:0000479)"	"Sub-retinal fluid"	
<http://purl.obolibrary.org/obo/HP_0030510>	"Combined hamartoma of the retinal pigment epithelium and retina"			"Retinal hamartoma (HP:0009594)"		
<http://purl.obolibrary.org/obo/HP_0007722>	"Retinal pigment epithelial atrophy"	"Atrophy (loss or wasting) of the retinal pigment epithelium observed on fundoscopy or fundus imaging."	"https://orcid.org/0000-0002-0736-9199"	"Retinal atrophy (HP:0001105)"		
<http://purl.obolibrary.org/obo/HP_0025147>	"Beaten bronze macular sheen"	"A shiny appearance of the macula, which is often called a beaten bronze appearance."		"Abnormality of macular pigmentation (HP:0008002)"	"Beaten-bronze macular sheen, Beaten-bronze macular appearance, Beaten metal macular appearance"	"This feature may be seen in Stargardt disease."
<http://purl.obolibrary.org/obo/HP_0100653>	"Optic neuritis"	"Inflammation of the optic nerve."	"https://orcid.org/0009-0006-4530-3154"	"Abnormal optic nerve morphology (HP:0000587), Neuroinflammation (HP:0033429)"		"Optic neuritis can cause loss of vision because of swelling and destruction of the myelin sheath covering the optic nerve and/or direct axonal damage."
<http://purl.obolibrary.org/obo/HP_0034362>	"Dull foveal reflex"	"Reduced brightness of the foveal reflex, which normally is a bright pinpoint of light that is observed to move sideways or up and down in response to movement of the opthalmoscope."		"Abnormal foveal morphology (HP:0000493)"	"Decreased foveal light reflex, Muted foveal light reflex, Poor foveal light reflex"	"A dull foveal reflex is an unusual reflex of the foveal region on fundoscopy that may indicate hypoplasia of the fovea."
<http://purl.obolibrary.org/obo/HP_0030495>	"Abnormality morphology of the macular vasculature"	"Any structural anomaly of the blood vessels of the macula."		"Abnormal macular morphology (HP:0001103)"	"Abnormality of macular vasculature"	
<http://purl.obolibrary.org/obo/HP_0011529>	"Multiple bilateral congenital hypertrophy of retinal pigment epithelium"	"Sharply demarcated hyperpigmentation which is congenital."	"https://orcid.org/0000-0001-8727-6592"	"Congenital hypertrophy of retinal pigment epithelium (HP:0007649)"	"Multiple bilateral CHRPE"	"Bilateral multiple CHRPE is strongly associated with familial adenomatous polyposis coli."
<http://purl.obolibrary.org/obo/HP_0010728>	"Aplasia of the retina"	"A developmental defect characterized by absence of the retina."	"https://orcid.org/0000-0002-0736-9199"	"Aplasia/Hypoplasia of the retina (HP:0008061)"	"Absent retina"	
<http://purl.obolibrary.org/obo/HP_0030503>	"Macular telangiectasia"			"Abnormality morphology of the macular vasculature (HP:0030495), Retinal telangiectasia (HP:0007763)"	"Parafoveal telangiectasia, Juxtafoveal telangiectasia"	
