?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0100694>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Twisted position of the tibia (shin bone) associated with pathological rotation of the leg."	"Tibial torsion is inward twisting (medial rotation) (PATO:0002155) of the tibia"	"Tibiální torze je zkroucení směrem dovnitř (mediální rotace) tibie"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000452>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Abnormal narrowing of the choana (the posterior nasal aperture)."	"Abnormal narrowing of the choana (the posterior nasal aperture)"	"Zúžení choan (zadního otvoru nosní dutiny)"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003533>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Decreased level of acetaldehyde dehydrogenase (ALDH). ALDH and alcohol dehydrogenase (ADH) are the primary enzymes involved in alcohol metabolism."	"Decreased activity of acetaldehyde dehydrogenase (ADH). ADH and alcohol dehydrogenase (ALDH) are the primary enzymes involved in alcohol metabolism"	"Snížená aktivita acetyldehyddehydrogenázy (ALDH). Acetyldehyddehydrogenáza (ALDH) a alkoholdehydrogenáza (ADH) jsou primární enzymy podílející se na metabolizmu degradace alkoholu."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004323>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormal increase or decrease of weight or an abnormal distribution of mass in the body."	"An abnormal increase or decrease of weight or an abnormal distribution of mass in the body"	"Abnormální zvýšení či snížení hmotnosti nebo abnormální rozložení tělesné hmotnosti"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007678>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Narrowing of a tear duct (lacrimal duct)."	"Narrowing of a tear duct (lacrimal duct)"	"Zúžení slzného kanálku (ductus lacrimalis)"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010882>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A congenital disorder of the pulmonary valve in which the orifice of the valve fails to develop."	"A congenital disorder of the pulmonary valve in which the orifice of the valve fails to develop"	"Vrozená vada plicní chlopně, při které se nevyvine její ústí."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032087>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Architecturally, a compaction of aortic medial elastic fibers that creates thinning of the lamellar unit secondary to a band-like smooth muscle cell loss identified using a stain for elastic fibers."	"Architecturally, a compaction of aortic medial elastic fibers that creates thinning of the lamellar unit secondary to a band-like smooth muscle cell loss identified using a stain for elastic fibers"	"Zhutnění mediálních elastických vláken aorty, které vytváří ztenčení lamel sekundárně v důsledku páskovitého úbytku hladkých svalových buněk identifikovaného pomocí barvení na elastická vlákna."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0500009>	<http://purl.obolibrary.org/obo/IAO_0000115>	"It is a rare, slowly growing tumor of the cerebellum, a gangliocytoma sometimes considered to be a hamartoma, characterized by diffuse hypertrophy of the granular layer of the cerebellum."	"It is a rare, slowly growing tumor of the cerebellum, a gangliocytoma sometimes considered to be a hamartoma, characterized by diffuse hypertrophy of the granular layer of the cerebellum"	"Vzácný, pomalu rostoucí tumor cerebella, někdy považován za hamartom, charakterizovaný difúzní hypertrofí stratum granulare cerebella."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100266>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The carpus consists of the scaphoid, lunate, triquetal, pisiform, captitate, hamate, trapezoid, and trapezium bones. The tarsus consists of the talus, calcaneus, cuboid, cuneiform, and navicular bones. This term applies if there is any fusion among the bones of the carpus or tarsus."	"The carpus consists of the scaphoid, lunate, triquetal, pisiform, captitate, hamate, trapezoid, and trapezium bones. The tarsus consists of the talus, calcaneus, navicular, cuboid, cuneiform, and navicular bones. This term applies if there is any fusion among the bones of the carpus or tarsus"	"Zápěstí je tvořeno z kostí: os scaphoideum, os lunatum, os triquetrum, os pisiforme, os capitatum, os triquetrum, os trapezoideum. Zánartí je etvořeno z kostí: talus, calcaneus, os naviculare , os cuboideum a tři ossa cuneiformia. Tento termín se použije v případě jakéhokoliv srůstu mezi kostmi zápěstí nebo zánartí."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000831>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A type of diabetes mellitus related not to lack of insulin but rather to lack of response to insulin on the part of the target tissues of insulin such as muscle, fat, and liver cells. This type of diabetes is typically associated with increases both in blood glucose concentrations as well as in fasting and postprandial serum insulin levels."	"A type of diabetes mellitus related not to lack of insulin but rather to lack of response to insulin on the part of the target tissues of insulin such as muscle, fat, and liver cells. This type of diabetes is typically associated with increases both in blood glucose concentrations as will as in fasting and postprandial serum insulin levels"	"Typ diabetes mellitus nesouvisející s nedostatkem inzulínu, ale spíše nedostatkem odpovědi na inzulín v části cílových tkání inzulínu, jako jsou svalová, tuková a jaterní buňky. Tento typ diabetu je obvykle spojen jak se zvýšením koncentrace glukózy v krvi tak se zvýšením hladiny inzulinu postprandiálně i nalačno"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002451>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A type of dystonia (abnormally increased muscular tone causing fixed abnormal postures) that affects muscles of the limbs."	"A type of dystonia (abnormally increased muscular tone causing fixed abnormal postures) that affects muscles of the limbs"	"Typ dystonie (abnormálně zvýšený svalový tonus způsobující fixovaní abnormální polohy), která postihuje svaly končetin."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030132>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Absence of large von Willebrand Factor multimers on gel electrophoresis."	"Absence of large von Willebrand Factor multimers on gel electrophoresis"	"Absence velkých multimerů von Willebrandova faktoru na gelové elektroforéze"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030134>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Complete absence of all von Willebrand factor multimers."	"Complete absence of all von Willebrand factor multimers"	"Úplná nepřítomnost všech multimerů von Willebrandova faktoru"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000311>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The facial appearance is more circular than usual as viewed from the front."	"The facial appearance is more circular than usual as viewed from the front"	"Obličej se při pohledu zpředu jeví více kulatý než je obvyklé"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003100>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Reduced diameter of a long bone."	"Reduced diameter of a long bone"	"Zmenšení průměru dlouhé kosti"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030135>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Lack of intermediate von Willebrand Factor multimers on gel electrophoresis."	"Lack of intermediate von Willebrand Factor multimers on gel electrophoresis"	"Nedostatečné množství středně velkých multimerů von Willebrandova faktoru na gelové elektroforéze"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030085>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Abnormal concentration of lactate in the cerebrospinal fluid."	"Abnormal concentration of lactate in the cerebrospinal fluid"	"Abnormální koncentrace laktátu v mozkomíšním moku"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010720>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormality of the distribution of hair growth."	"An abnormality of the distribution of hair growth"	"Abnormalita distribuce růstu vlasů"@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100958>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Decreased width of the foramen obturatorium. The foramen obturatorium (also known as the obturator foramen) is a hole located between the ischium and pubis bones of the pelvis."	"Decreased width of the foramen obturatorium. The foramen obturatorium (also known as the obturator foramen) is a hole located between the ischium and pubis bones of the pelvis"	"Zúžení foramen obturatorium. Foramen obturatorium (taktéž známé jako foramen obturatum) je otvor mezi sedacími a stydkými kostmi pánve."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011627>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Aorto-ventricular tunnel is a congenital, extracardiac channel which connects the ascending aorta above the sinotubular junction to the cavity of the left, or (less commonly) right ventricle."	"Aorto-ventricular tunnel is a congenital, extracardiac channel which connects the ascending aorta above the sinutubular junction to the cavity of the left, or (less commonly) right ventricle"	"Aorto-ventrikulární zkrat je vrozená extrakardiální spojka, který spojuje vzestupnou aortu nad sinotubulární junkcí s dutinou levé nebo (méně často) pravé komory."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002758>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Degeneration (wear and tear) of articular cartilage, i.e., of the joint surface. Joint degeneration may be accompanied by osteophytes (bone overgrowth), narrowing of the joint space, regions of sclerosis at the joint surface, or joint deformity."	"Degeneration (wear and tear) of articular cartilage, i.e., of the joint surface. Joint degeneration may be accompanied by osteophytes (bone overgrowth), narrowing of the joint space, regions of sclerosis at the joint surface, or joint deformity"	"Degenerace (opotřebení) kloubní chrupavky, t.j. povrchu kloubu. Degenerace kloubu může být doprovázená osteofyty (kostními výrůstky), zúžením kloubního prostoru, oblastmi sklerózy na kloubním povrchu nebo deformitou kloubu."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025235>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A parasomnia that occurs in non-rapid eye movement (NREM) sleep. This refers to a disorder of arousal that occurs during slow-wave sleep (ie, NREM stage 3 sleep)."	"A parasomnia that occurs in non-rapid eye movement (NREM) sleep. This refers to a disorder of arousal that occurs during slow-wave sleep (ie, NREM stage 3 sleep)"	"Parasomnie se vyskytují v non-rapid eye movement (NREM) fázi spánku. Jedná se o poruchu dráždivosti během spánku pomalých vln (slow-wave sleep, např. NREM fáze 3)."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031856>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormal gait characterized by toe walking, stiff legs, and skipping. The gait pattern has some resemblance to cock-walk gait, but affected individuals are able to improve their dystonic gait by walking backward."	"An abnormal gait characterized by toe walking, stiff legs, and skipping. The gait pattern has some resemblance to cock-walk gait, but in affected individuals are able tonimprove their dystonic gait by walking backward"	"Abnormální chůze charakterizovaná chůzí po špičkách, ztuhlýma nohama a přeskakováním. Vzorec chůze se do jisté míry podobá kohoutí chůzi, ale postižení jedinci jsou schopni zlepšit svou dystonickou chůzi chůzí pozpátku."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030130>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Reduced ability of von Willebrand factor (vWF) to bind collagen. Abnormal response to collagen as manifested by reduced or lacking ability of plasma von WIllebrand Factor to bind collagen. An ELISA-based assay is typically used; the test is sensitive to loss of von Willebrand Factor high molecular weight multimers."	"Reduced ability of von Willibrand factor (vWF) to bind collagen. Abnormal response to collagen as manifested by reduced or lacking ability of plasma von WIllebrand Factor to bind collagen. An ELISA-based assay is typically used; the test is sensitive to loss of von Willebrand Factor high molecular weight multimers"	"Snížená schopnost von Willibrandova faktoru (vWF) vázat kolagen. Abnormální odpověď na kolagen, která se projevuje sníženou nebo chybějící schopností plazmatického von WIllebrandova faktoru vázat kolagen. Obvykle se používá test založený na metodě ELISA, který je citlivý na ztrátu vysokomolekulárních multimerů von Willebrandova faktoru."@cs	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009884>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A reduction in diameter of the distal phalanx of finger towards the distal end."	"A reduction in diameter of the distal phalanx of finger towards the distal end"	"Postupné zúžení průměru distální falangy prstu na ruce směrem k distálnímu konci"@cs	"OFFICIAL"
