?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0011391>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal inner ear nerve morphology"	"Morphological abnormality of the nerves of the inner ear"	"内耳神経の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011766>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal parathyroid morphology"	"Abnormality of the parathyroid morphology"	"副甲状腺形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011138>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal skin adnexa morphology"	"Abnormality of skin adnexa morphology"	"皮膚付属器の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034727>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced circulating alpha-L-fucosidase activity"	"Reduced alpha-L-fucosidase activity"	"α-L-フコシダーゼ活性の低下"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006482>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal dental morphology"	"Abnormality of dental morphology"	"歯形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000128>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive nitrous oxide use"	"Nitric oxide addiction"	"一酸化窒素中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011380>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal semicircular canal morphology"	"Morphological abnormality of the semicircular canal"	"三半規管の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034726>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating beta-mannosidase activity"	"Elevated beta-mannosidase activity"	"β-マンノシダーゼ活性の上昇"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011390>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal inner ear morphology"	"Morphological abnormality of the inner ear"	"内耳の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010527>	<http://www.w3.org/2000/01/rdf-schema#label>	"Astereognosis"	"Astereognosia"	"立体感覚失認症"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034367>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating beta-mannosidase activity"	"Decreased beta-mannosidase activity"	"β-マンノシダーゼ活性の低下"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006803>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vivid hallucination"	"Vivid hallucinations"	"いきいきした幻覚"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034712>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating alpha-mannosidase activity"	"Decreased alpha-mannosidase activity"	"α-マンノシダーゼ活性低下"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033512>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive stimulant use"	"Stimulant addiction"	"覚せい剤中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034729>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating alpha-L-fucosidase activity"	"Elevated alpha-L-fucosidase activity"	"α-L-フコシダーゼ活性上昇"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008372>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating vitamin A concentration"	"Abnormality of vitamin A metabolism"	"ビタミンA代謝の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033511>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive substance use"	"Drug addiction"	"薬物中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal mesentery morphology"	"Abnormality of mesentery morphology"	"腸間膜の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034728>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating alpha-L-fucosidase activity"	"Abnormal alpha-L-fucosidase activity"	"α-L-フコシダーゼ活性異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004372>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced consciousness"	"Reduced consciousness/confusion"	"意識減少/混乱"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008768>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal sexual behavior"	"Inappropriate sexual behavior"	"不適切な性的行動"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012718>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal gastrointestinal tract morphology"	"Morphological abnormality of the gastrointestinal tract"	"胃腸管の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002992>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal tibia morphology"	"Abnormality of tibia morphology"	"脛骨の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031039>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spermatocyte maturation arrest"	"Early spermatogenesis maturation arrest"	"初期精子形成成熟停止"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002823>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal femur morphology"	"Abnormality of femur morphology"	"大腿骨の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033514>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive amphetamine use"	"Amphetamine addiction"	"アンフェタミン中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100851>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal emotion"	"Abnormal emotion/affect behavior"	"異常な感情/情動行動"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005579>	<http://www.w3.org/2000/01/rdf-schema#label>	"Impaired renal tubular reabsorption of chloride"	"Impaired renal ltubular reabsorption of chloride"	"クロール腎尿細管再吸収障害"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002367>	<http://www.w3.org/2000/01/rdf-schema#label>	"Visual hallucination"	"Visual hallucinations"	"視覚的幻覚"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025235>	<http://www.w3.org/2000/01/rdf-schema#label>	"NREM parasomnia"	"Non-rapid eye movement parasomnia"	"非急速眼球運動性睡眠時随伴症"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011376>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal morphology of the vestibule of the inner ear"	"Morphological abnormality of the vestibule of the inner ear"	"内耳前庭の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031469>	<http://www.w3.org/2000/01/rdf-schema#label>	"Low self-esteem"	"Low self esteem"	"低い自尊心"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033513>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive cocaine use"	"Cocaine addiction"	"コカイン中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008765>	<http://www.w3.org/2000/01/rdf-schema#label>	"Auditory hallucination"	"Auditory hallucinations"	"聴覚幻覚"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006896>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypnopompic hallucination"	"Hypnopompic hallucinations"	"覚醒前幻覚"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033052>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-epileptic seizure"	"Psychogenic non-epileptic seizure"	"心因性非てんかん発作"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012443>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal brain morphology"	"Abnormality of brain morphology"	"脳形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100852>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fear-induced behavior"	"Abnormal fear/anxiety-related behavior"	"異常な恐怖/不安関連行動"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005561>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal bone marrow cell morphology"	"Abnormality of bone marrow cell morphology"	"骨髄細胞形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030270>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated red cell adenosine deaminase activity"	"Elevated red cell adenosine deaminase level"	"赤血球アデノシンデアミナーゼ値の上昇"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002360>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sleep abnormality"	"Sleep disturbance"	"睡眠障害"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011472>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal small intestinal villus morphology"	"Abnormality of small intestinal villus morphology"	"小腸絨毛形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000746>	<http://www.w3.org/2000/01/rdf-schema#label>	"Delusion"	"Delusions"	"妄想"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025487>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal bladder morphology"@en	"Abnormality of bladder morphology"	"膀胱形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032937>	<http://www.w3.org/2000/01/rdf-schema#label>	"Recurrent, involuntary, and intrusive distressing memories"	"Recurrent, involuntary and intrusive distressing memories"	"再発性、不随意性および侵入性の苦痛記憶"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002492>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal corticospinal tract morphology"	"Morphological abnormality of the corticospinal tract"	"皮質脊髄路の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000147>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hepatic artery morphology"@en	"Abnormal portal artery morphology"	"門脈形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal permanent molar morphology"	"Abnormality of permanent molar morphology"	"永久歯臼歯形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031472>	<http://www.w3.org/2000/01/rdf-schema#label>	"Risky behavior"	"Risk taking"	"危険を冒す"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006344>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal primary molar morphology"	"Abnormality of primary molar morphology"	"永久歯臼歯形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010790>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypoplasia of the Leydig cells"	"Hyoplasia of the Leydig cells"	"Leydig 細胞低形成"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008609>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal middle ear morphology"	"Morphological abnormality of the middle ear"	"中耳の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200127>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aggression toward non-caregivers"	"Aggression toward non caregivers"	"非介護者に対する攻撃性"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025361>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal medullary pyramid morphology"@en	"Abnormality of medullary pyramid morphology"	"髄錐形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000151>	<http://www.w3.org/2000/01/rdf-schema#label>	"History of recent contralateral injury"@en	"History of recent cotralateral injury"	"最近の副傷病歴"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040107>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal posterior semicircular canal morphology"	"Morphological abnormality of the posterior semicircular canal"	"後半規管の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hepatic artery hyperplasia"@en	"Portal artery hyperplasia"	"門脈過形成"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030223>	<http://www.w3.org/2000/01/rdf-schema#label>	"Perseverative thought"	"Manifestations of perseverative thought or action"	"根気強い思考または行動の表出"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200126>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aggression towards caregivers"	"Aggression toward cargivers"	"養育者に対する攻撃性"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025163>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal optic chiasm morphology"@en	"Abnormality of optic chiasm morphology"	"視交叉の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033543>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive nicotine use"	"Nicotine addiction"	"ニコチン中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032940>	<http://www.w3.org/2000/01/rdf-schema#label>	"Dissociation"	"Dissociative reaction"	"解離反応"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003839>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal upper limb epiphysis morphology"	"Abnormality of upper limb epiphysis morphology"	"上肢骨端の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040106>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal lateral semicircular canal morphology"	"Morphological abnormality of the lateral semicircular canal"	"外半規管の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011992>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal neutrophil morphology"	"Abnormality of neutrophil morphology"	"好中球形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030935>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal intestinal smooth muscle morphology"	"Abnormality of intestinal smooth muscle morphology"	"腸管平滑筋の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200125>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aggression towards others"	"Aggression toward others"	"他者に対する攻撃性"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040109>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal utricle morphology"	"Morphological abnormality of the utricle"	"僧帽弁の形態学的異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033515>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive opioid use"	"Opioid addiction"	"オピオイド中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033516>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive benzodiazepine use"	"Benzodiazepine addiction"	"ベンゾジアゼピン中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002519>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypnagogic hallucination"	"Hypnagogic hallucinations"	"入眠時幻覚"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025028>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal enteric nervous system morphology"@en	"Abnormality of enteric nervous system morphology"	"腸神経系の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006500>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal lower limb epiphysis morphology"	"Abnormality of lower limb epiphysis morphology"	"下肢骨端の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040108>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal anterior semicircular canal morphology"	"Morphological abnormality of the anterior semicircular canal"	"前半規管の形態学的異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200068>	<http://www.w3.org/2000/01/rdf-schema#label>	"Socially inappropriate questioning"	"Socially innappropriate questioning"	"社会的に不適切な質問"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033063>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shortened sleep phase"	"Shortened sleep cycle"	"睡眠周期の短縮"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033518>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive methylphenidate use"	"Methylphenidate addiction"	"メチルフェニデート中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002813>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal limb bone morphology"	"Abnormality of limb bone morphology"	"四肢骨形態の異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034334>	<http://www.w3.org/2000/01/rdf-schema#label>	"allelic_requirement"	"allelic:requirement"	"対立遺伝子：要求性"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033517>	<http://www.w3.org/2000/01/rdf-schema#label>	"Addictive heroin use"	"Heroin addiction"	"ヘロイン中毒"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012434>	<http://www.w3.org/2000/01/rdf-schema#label>	"Delayed early-childhood social milestone development"	"Delayed social development"	"社会性の発達遅延"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030680>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cardiovascular system morphology"	"Abnormality of cardiovascular system morphology"	"循環器系の形態異常"@ja	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003234>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating carnitine concentration"	"Decreased plasma carnitine"	"血漿カルニチン減少"@ja	"OFFICIAL"
