?concentration_phenotype	?label	?definition	?parents
<http://purl.obolibrary.org/obo/HP_0011030>	"Abnormal blood transition element cation concentration"	"An abnormality of the homeostasis (concentration) of transition element cation."	"Abnormal blood cation concentration"
<http://purl.obolibrary.org/obo/HP_0033403>	"Testicular ischemia"	"Restriction of arterial blood supply to a testis associated with insufficient oxygenation to support the metabolic requirements of the tissue. Clinical manifestations may include pain and swelling of the affected testis."	"Tissue ischemia"
<http://purl.obolibrary.org/obo/HP_0008293>	"Long-chain dicarboxylic aciduria"	"An increase in the level of long-chain dicarboxylic acid in the urine."	"Dicarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0031216>	"Increased circulating progesterone"	"An elevated concentration of progesterone in the blood."	"Abnormal circulating progesterone level"
<http://purl.obolibrary.org/obo/HP_6000205>	"Elevated CSF myelin basic protein concentration"	"The concentration of myelin basic protein in the cerebrospinal fluid (CSF) is above the upper limit of normal."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0200150>	"Increased serum bile acid concentration during pregnancy"		"Increased serum bile acid concentration"
<http://purl.obolibrary.org/obo/HP_0033192>	"Decreased circulating selenium concentration"	"An abnormally reduced concentration of selenium in the blood circulation."	"Abnormal circulating selenium concentration"
<http://purl.obolibrary.org/obo/HP_0012593>	"Nephrotic range proteinuria"	"Severely increased amount of excretion of protein in the urine, defined as 3.5 grams per day or more in adults and 40 mg per meter-squared body surface area per hour in children."	"Proteinuria"
<http://purl.obolibrary.org/obo/HP_0008273>	"Transient aminoaciduria"		"Aminoaciduria"
<http://purl.obolibrary.org/obo/HP_4000190>	"Reduced leukocyte alpha-mannosidase activity"@en	"Concentration or activity of an alpha-mannosidase as measured in leukocytes is below the limits of normal."	"Abnormal leukocyte enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0031186>	"Abnormal circulating deoxycorticosterone level"	"An abnormality of the concentration of deoxycorticosterone in the blood. Deoxycorticosterone comprises 11-deoxycorticosterone and 21-deoxycorticosterone."	"Abnormal circulating corticosterone level"
<http://purl.obolibrary.org/obo/HP_0025109>	"Reduced red cell pyruvate kinase level"@en	"Decrease in the level of pyruvate kinase (PK) within erythrocytes. PK catalyzes the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate."	"Abnormal erythrocyte enzyme level"
<http://purl.obolibrary.org/obo/HP_0410059>	"Increased level of D-threitol in urine"	"An increase in the level of D-threitol in the urine."	"Abnormal urine carbohydrate level"
<http://purl.obolibrary.org/obo/HP_0032533>	"Elevated circulating acetone concentration"	"An increased level of acetone in the blood circulation. Acetone is one of the predominant ketone bodies."	"Hyperketonemia"
<http://purl.obolibrary.org/obo/HP_0032472>	"Abnormal urine urobilinogen level"	"An abnormal concentration of urobilinogen in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0003527>	"Hyperprostaglandinuria"	"An increased concentration of prostaglandin in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0002912>	"Methylmalonic acidemia"	"Increased concentration of methylmalonic acid in the blood."	"Acidemia, Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0003072>	"Hypercalcemia"	"An abnormally increased calcium concentration in the blood."	"Abnormal circulating calcium concentration"
<http://purl.obolibrary.org/obo/HP_0032304>	"Abnormal circulating mannose-binding protein concentration"	"Any deviation from the normal concentration of mannose-binding protein in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0003149>	"Hyperuricosuria"	"An abnormally high level of uric acid in the urine."	"Abnormality of urinary uric acid level"
<http://purl.obolibrary.org/obo/HP_0033083>	"Increased circulating farnesol concentration"	"An elevated level of farnesol in the blood circulation."	"Abnormal circulating lipid concentration"
<http://purl.obolibrary.org/obo/HP_0032094>	"Increased circulating surfactant protein level"	"An increased concentration of a surfactant protein in the blood circulation. Pulmonary surfactant is a highly surface-active mixture of proteins and lipids that is synthesized and secreted onto the alveoli by type II epithelial cells. The protein part of surfactant constitutes of four types of surfactant proteins (SP), SP-A, SP-B, SP-C and SP-D. SP-A and SP-D are hydrophilic proteins that regulate surfactant metabolism and have immunologic functions. These two proteins are detectable in the bloodstream and an elevated level may reflect idiopathic pulmonary fibrosis."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0032066>	"Decreased serum bicarbonate concentration"	"An abnormal reduction of the concentration of bicarbonate, HCO3[-], in the circulation."	"Abnormal serum bicarbonate concentration"
<http://purl.obolibrary.org/obo/HP_0040417>	"Decreased urinary biopterin level"	"The amount of biopterin in the urine, normalized for urine concentration, is below the lower limit of normal."	"Abnormal urinary nitrogen compound level"
<http://purl.obolibrary.org/obo/HP_0034171>	"Reduced circulating interleukin 23 concentration"	"An abnormally decreased concentration of interleukin 23 in the blood circulation."	"Abnormal circulating interleukin 23 concentration"
<http://purl.obolibrary.org/obo/HP_0025639>	"Increased urinary zinc level"@en	"An abnormally elevated amount of zinc in the urine, typically as assessed by a 24 hour urine collection."	"Abnormal urinary mineral level"
<http://purl.obolibrary.org/obo/HP_0010893>	"Abnormal circulating phenylalanine concentration"	"Any deviation from the normal concentration of phenylalanine in the blood circulation."	"Abnormal circulating aromatic amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0040205>	"Decreased CSF neopterin level"	"Decreased concentration of neopterin in the cerebrospinal fluid (CSF)."	"Abnormal CSF neopterin concentration"
<http://purl.obolibrary.org/obo/HP_0034905>	"Elevated circulating uroporphyrin concentration"	"Concentration of uroporphyrin in the blood circulation above the upper limit of normal."	"Elevated circulating porphyrin concentration"
<http://purl.obolibrary.org/obo/HP_0031903>	"Abnormal circulating selenium concentration"	"Any deviation from the normal circulating concentration of selenium."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0033810>	"Decreased circulating dihydrotestosterone concentration"	"A reduced concentration of dihydrotestosterone in the blood circulation."	"Decreased circulating androgen concentration"
<http://purl.obolibrary.org/obo/HP_0025683>	"Abnormal amyloid beta 42 peptide CSF concentration"@en	"Any deviation from the normal concentration of amyloid beta 42 peptide in the cerebrospinal fluid (CSF). Amyloid beta is a peptide of 36-43 amino acids that is processed from the Amyloid precursor protein. ABeta42, which is 42 amino acids in length, is the longer form."	"Abnormal amyloid beta peptide CSF concentration"
<http://purl.obolibrary.org/obo/HP_0001579>	"Primary hypercortisolism"	"Hypercortisolemia associated with a primary defect of the adrenal gland leading to overproduction of cortisol."	"Increased circulating cortisol level"
<http://purl.obolibrary.org/obo/HP_0032296>	"Increased circulating IgG subclass"	"An elevation of circulating IgG level predominantly related to an elevation of one of the four IgG subclasses."	"Increased circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0034447>	"Increased circulating interleukin 18 concentration"	"An increased concentration of interleukin-18 in the blood circulation."	"Abnormal circulating interleukin concentration"
<http://purl.obolibrary.org/obo/HP_0410185>	"Abnormal glucose-6-phosphate dehydrogenase level in tissue"	"An anomaly in the level of glucose-6-phosphate dehydrogenase in tissue."	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_0005505>	"Refractory anemia"		"Anemia"
<http://purl.obolibrary.org/obo/HP_0033704>	"Elevated urinary homogentisic acid"	"An increased amount of homogentisic acid in the urine."	"Elevated urinary monocarboxylic acid level"
<http://purl.obolibrary.org/obo/HP_0032385>	"Abnormal circulating transferrin concentration"	"Any deviation from the normal concentration of transferrin in the blood circulation."	"Abnormal circulating beta globulin level"
<http://purl.obolibrary.org/obo/HP_0031427>	"Abnormal circulating osteocalcin level"	"A deviation from the normal concentration of osteocalcin in the blood circulation."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_6000021>	"Decreased circulating thrombopoietin concentration"	"Concentration of thrombopoietin in the blood circulation below the lower limit of normal. Thrombopoietin is a glycoprotein hormone produced by the liver and kidney that stimulates the production and differentiation of megakaryocytes."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0033626>	"Increased non-HDL cholesterol concentration"	"Increase above normal levels of non-HDL cholesterol in the blood. Non-HDL cholesterol is total cholesterol minus high-density lipoprotein HDL-cholesterol (high-density lipoprotein-cholesterol)."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_6000203>	"Elevated CSF cholestanol concentration"	"The concentration of cholestanol in the cerebrospinal fluid (CSF) is above the upper limit of normal. Cholestanol is the 5-alpha-dihydro derivative of cholesterol."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0500180>	"Abnormal circulating amino sulfonic acid concentration"@en		"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0032248>	"Persistent viremia"	"Persistence of virus in the blood circulation longer than would be normal in an immunocompetent host."	"Viremia"
<http://purl.obolibrary.org/obo/HP_0500209>	"Abnormal CSF methionine concentration"@en	"Any deviation from the normal concentration of methionine in the cerebrospinal fluid."	"Abnormal CSF aspartate family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0040424>	"Elevated urinary guanosine level"	"The amount of guanosine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary guanosine level"
<http://purl.obolibrary.org/obo/HP_0500162>	"Decreased circulating carnosine concentration"	"A decreased amount of carnosine in bood."	"Abnormal circulating carnosine concentration"
<http://purl.obolibrary.org/obo/HP_0034446>	"Elevated circulating histamine concentration"	"Increased concentration of histamine in the blood circulation."	"Abnormal circulating organic amino compound concentration"
<http://purl.obolibrary.org/obo/HP_0004863>	"Compensated hemolytic anemia"		"Hemolytic anemia"
<http://purl.obolibrary.org/obo/HP_0031222>	"Increased circulating thyroxine-binding globulin level"	"An elevated concentration of thyroxine-binding globulin (TBG) in the blood."	"Abnormal circulating thyroxine-binding globulin concentration"
<http://purl.obolibrary.org/obo/HP_0003570>	"Molybdenum cofactor deficiency"	"Absence of molybdenum cofactor(2-), a cofactor for enzymes including sulfite oxidase, xanthine oxidoreductase, and aldehyde oxidase."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0012153>	"Hypotriglyceridemia"	"An decrease in the level of triglycerides in the blood."	"Hypolipidemia"
<http://purl.obolibrary.org/obo/HP_0020144>	"Calcium phosphate crystalluria"	"The presence of calcium phosphate crystals in the urine."	"Crystalluria"
<http://purl.obolibrary.org/obo/HP_0008163>	"Decreased circulating cortisol level"	"Abnormally reduced concentration of cortisol in the blood."	"Abnormality of circulating cortisol level"
<http://purl.obolibrary.org/obo/HP_0003785>	"Decreased CSF homovanillic acid concentration"	"Decreased concentration of homovanillic acid (HVA) in the cerebrospinal fluid. HVA is a metabolite of dopamine."	"Abnormal CSF homovanillic acid concentration"
<http://purl.obolibrary.org/obo/HP_0004352>	"Abnormal circulating purine concentration"	"Any deviation from the normal concentration of a purine in the blood circulation."	"Abnormal circulating nucleobase concentration"
<http://purl.obolibrary.org/obo/HP_6000120>	"Elevated urinary sulfatide level"	"The amount of sulfatides in the urine, normalized for urine concentration, is above the upper limit of normal. Sulfatides are derived from GalCer via esterification of a sulfate group to 3-hydroxyl of the galactose moiety."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_6000200>	"Reduced hepatic glucose-6-phosphatase activity"	"Activity of glucose-6-phosphatase (EC 3.1.3.9) in the liver below the lower limit of normal."	"Abnormal liver enzyme activity or concentration"
<http://purl.obolibrary.org/obo/HP_0032928>	"Elevated CSF neurofilament light chain concentration"	"Neurofilament light chain (NfL) is a neuronal cytoplasmic protein highly expressed in large caliber myelinated axons. Its levels increase in cerebrospinal fluid (CSF) and blood proportionally to the degree of axonal damage in a variety of neurological disorders, including inflammatory, neurodegenerative, traumatic and cerebrovascular diseases."	"Abnormal CSF protein concentration"
<http://purl.obolibrary.org/obo/HP_0011744>	"Secondary hypercortisolism"	"Hypercortisolemia associated with a overproduction of ACTH (often from a tumor), leading secondarily to overproduction of cortisol."	"Increased circulating cortisol level"
<http://purl.obolibrary.org/obo/HP_0034365>	"Elevated circulating alpha-aminoadipic semialdehyde concentration"	"Increased concentration of alpha-aminoadipic semialdehyde in the blood circulation."	"Abnormal circulating dicarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0034936>	"Elevated circulating lathosterol concentration"	"Concentration of lathosterol in the blood circulation above the upper limit of normal."	"Abnormal circulating cholesterol concentration"
<http://purl.obolibrary.org/obo/HP_0410360>	"Increased core 1 O-glycan level"	"An abnormal increase in the concentration of core 1 O-glycans on glycoproteins."	"Abnormal core 1 O-glycan level"
<http://purl.obolibrary.org/obo/HP_0033302>	"Elevated circulating 4-hydroxyphenylacetic acid concentration"	"The concentration of 4-Hydroxyphenylacetic acid in the blood circulation is above the upper limit of normal."	"Abnormal circulating monocarboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0410243>	"Abnormal circulating IgM level"	"An abnormal deviation from normal levels of IgM immunoglobulin in blood."	"Abnormal immunoglobulin level"
<http://purl.obolibrary.org/obo/HP_0008232>	"Elevated circulating follicle stimulating hormone level"	"An elevated concentration of follicle-stimulating hormone in the blood."	"Increased circulating gonadotropin level, Abnormal circulating follicle-stimulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0010931>	"Abnormal blood sodium concentration"	"An abnormal concentration of sodium."	"Abnormal blood monovalent inorganic cation concentration"
<http://purl.obolibrary.org/obo/HP_0033179>	"Elevated circulating aconitic acid concentration"	"Concentration of aconitic acid in the blood circulation above the upper limit of normal."	"Abnormal circulating carboxylic acid concentration"
<http://purl.obolibrary.org/obo/HP_0012602>	"Renal chloride wasting"	"High urine chloride in the presence of hypochloridemia."	"Abnormal urine chloride concentration"
<http://purl.obolibrary.org/obo/HP_0008297>	"Transient hyperphenylalaninemia"	"A condition of not having consistently high levels of phenylalanine in the blood but of experiencing temporary hyperphenylalaninemia following ingestion of large quantities of phenylalanine (for instance, following an oral loading test with phenylalanine)."	"Abnormal circulating phenylalanine concentration"
<http://purl.obolibrary.org/obo/HP_0500192>	"Abnormal CSF isoleucine concentration"@en	"Any deviation from the normal concentration of isoleucine in the cerebrospinal fluid."	"Abnormal CSF branched chain amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0410069>	"Increased level of propylene glycol in blood"	"An increase in the level of propylene glycol in the blood."	"Abnormal circulating metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0034877>	"Decreased CSF metanephrine concentration"	"Concentration of metanephrine in the cerebrospinal fluid below the lower limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0032401>	"Aspartic aciduria"	"A increased concentration of aspartic acid in the urine."	"Increased aspartate family amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_6000279>	"Elevated urinary N-carbamoyl-beta-alanine level"	"The amount of N-carbamoyl-beta-alanine present in urine, when adjusted for urine concentration, is above the upper limit of normal."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0034594>	"Elevated circulating dihydrothymine concentration"	"An increased concentration of dihydrothymine in the blood circulation. Dihydrouracil is an intermediate in the catabolism of thymine."	"Abnormal circulating pyrimidine concentration"
<http://purl.obolibrary.org/obo/HP_0031037>	"Reduced insulin-like factor 3 level"	"Blood concentration of insulin-like factor 3 (ILF3) is below normal limits."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0033090>	"Increased aromatic amino acid level in urine"	"An elevated level of an aromatic amino acid in the urine."	"Increased proteinogenic amino acid level in urine"
<http://purl.obolibrary.org/obo/HP_0410177>	"Abnormal glucose-6-phosphate dehydrogenase level in blood"	"An anomaly in the level of glucose-6-phosphate dehydrogenase in the blood."	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"
<http://purl.obolibrary.org/obo/HP_0500202>	"Abnormal CSF arginine concentration"@en	"Any deviation from the normal concentration of arginine in the cerebrospinal fluid."	"Abnormal CSF glutamine family amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0500252>	"Increased urine sebacic acid concentration"@en	"Elevated concentration of sebacic acid in the urine."	"Abnormal urine sebacic acid concentration"
<http://purl.obolibrary.org/obo/HP_0032132>	"Decreased circulating total IgG"	"A reduction beneath the normal level of total immunoglobulin G (IgG) in the blood."	"Decreased circulating IgG level"
<http://purl.obolibrary.org/obo/HP_0003239>	"Phosphoethanolaminuria"	"An increased level of phosphoethanolamine (synonym: O-phosphoethanolamine) in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0008338>	"Partial functional complement factor D deficiency"	"A partial reduction in level of the complement component Factor D in circulation."	"Reduced circulating complement concentration"
<http://purl.obolibrary.org/obo/HP_0032421>	"Decreased HDL2a concentration"	"A reduction below the normal concentration of the HDL2a subfraction in the blood circulation. An HDL2a particle is defined as an HDL particle with a size of 8.80-9.69 nm."	"Abnormal HDL2a concentration"
<http://purl.obolibrary.org/obo/HP_0032427>	"Abnormal HDL3c concentration"	"Any deviation from the normal concentration of the HDL3c subfraction in the blood circulation. An HDL3c particle is defined as an HDL particle with a size of 7.20-7.79 nm."	"Abnormal HDL subfraction concentration"
<http://purl.obolibrary.org/obo/HP_0002326>	"Transient ischemic attack"		"Cerebral ischemia"
<http://purl.obolibrary.org/obo/HP_0410289>	"Hypoamylasemia"	"Decreased level of amylase in the blood, an enzyme which helps digest glycogen and starch. It is produced mainly in the pancreas and salivary glands."	"Abnormal circulating amylase concentration"
<http://purl.obolibrary.org/obo/HP_6000280>	"Elevated CSF cystathionine concentration"	"Concentration of cystathionine in the cerebrospinal fluid (CSF) above the upper limit of normal."	"Abnormal CSF amino acid concentration"
<http://purl.obolibrary.org/obo/HP_0033155>	"Elevated circulating L-alloisoleucine concentration"	"Abnormally increased concentration of L-alloisoleucine in the blood circulation."	"Abnormal circulating proteinogenic amino acid derivative concentration"
<http://purl.obolibrary.org/obo/HP_6000204>	"Elevated CSF apolipoprotein B concentration"	"The concentration of apolipoprotein B in the cerebrospinal fluid (CSF) is above the upper limit of normal."	"Abnormal CSF metabolite concentration"
<http://purl.obolibrary.org/obo/HP_0002913>	"Myoglobinuria"	"Presence of myoglobin in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0034878>	"Decreased circulating metanephrine concentration"	"Concentration of metanephrin in the blood circulation below the lower limit of normal."	"Abnormal circulating hormone concentration"
<http://purl.obolibrary.org/obo/HP_0034721>	"Elevated circulating pristanic acid concentration"	"Concentration of pristanic acid in the blood circulation above the upper limit of normal."	"Abnormal circulating long-chain fatty-acid concentration"
<http://purl.obolibrary.org/obo/HP_0020179>	"Abnormal circulating haptoglobin concentration"	"A deviation from the normal concentration of haptoglobin in the blood circulation."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_6000276>	"Elevated urinary beta-alanine level"	"The amount of beta alanine in the urine, when normalized for urine concentration, is above the upper limit of normal."	"Increased urinary non-proteinogenic amino acid level"
<http://purl.obolibrary.org/obo/HP_0011972>	"Hypoglycorrhachia"	"Abnormally low glucose concentration in the cerebrospinal fluid."	"Abnormal CSF glucose concentration"
<http://purl.obolibrary.org/obo/HP_0012706>	"Elevated brain choline level by MRS"	"An increase in the level of choline-containing compounds in the brain identified by magnetic resonance spectroscopy (MRS)."	"Abnormal brain choline level by MRS"
<http://purl.obolibrary.org/obo/HP_0003648>	"Lacticaciduria"	"An increased concentration of lactic acid in the urine."	"Aciduria"
<http://purl.obolibrary.org/obo/HP_0020195>	"IgG heavy chain paraproteinemia"	"An abnormal IgG heavy chain in the circulation and typically produced by a clonal population of B-cell derived plasma cells."	"Heavy-chain paraproteinemia"
<http://purl.obolibrary.org/obo/HP_6000469>	"Elevated urine 2,3-dihydroxy-2-methylbutanoic acid level"	"The amount of 2,3-dihydroxy-2-methylbutanoic acidin the urine, normalized for urine concentration, is above the upper limit of normal."	"Monocarboxylic aciduria"
<http://purl.obolibrary.org/obo/HP_0031823>	"Reduced hypoxanthine-guanine phosphoribosyltransferase level"	"Abnormally decreased level of the enzyme that catalyzes conversion of hypoxanthine to inosine monophosphate and guanine to guanosine monophosphate via transfer of the 5-phosphoribosyl group from 5-phosphoribosyl 1-pyrophosphate."	"Abnormal hypoxanthine-guanine phosphoribosyltransferase level"
<http://purl.obolibrary.org/obo/HP_0011943>	"Increased urinary thiosulfate"	"Increased concentration of thiosulfate(2-) in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_6000403>	"Elevated circulating lysophosphatidylcholine concentration"	"The concentration of lysophosphatidylcholines in the blood circulation is above the upper limit of normal."	"Abnormal circulating free fatty acid concentration"
<http://purl.obolibrary.org/obo/HP_0031979>	"Abnormal urine carbohydrate level"	"Any deviation from the normal concentration of a carbohydrate in the urine."	"Abnormal urine metabolite level"
<http://purl.obolibrary.org/obo/HP_0500242>	"Increased CSF homocarnosine concentration"@en	"Abnormally increased levels of homocarnosine in cerebrospinal fluid."	"Abnormal CSF homocarnosine concentration"
<http://purl.obolibrary.org/obo/HP_0011013>	"Abnormal circulating carbohydrate concentration"	"A deviation from the normal concentration of a carbohydrate in the blood circulation."	"Abnormal circulating organic compound concentration"
<http://purl.obolibrary.org/obo/HP_0410217>	"Reduced blood 5-methyltetrahydrofolate level"	"A decreased concentration of 5-methyltetrahydrofolate in the blood."	"Abnormal blood 5-methyltetrahydrofolate level"
<http://purl.obolibrary.org/obo/HP_0025687>	"Increased amyloid beta 40 peptide CSF concentration"@en	"An elevation above the normal concentration of amyloid beta 40 peptide in the cerebrospinal fluid (CSF)."	"Abnormal amyloid beta 40 peptide CSF concentration"
<http://purl.obolibrary.org/obo/HP_6000001>	"Elevated circulating DNAJB9 protein concentration"	"Concentration of DnaJ homolog subfamily B member 9 (DNAJB9) in the blood circulation above the upper limit of normal."	"Abnormal circulating protein concentration"
<http://purl.obolibrary.org/obo/HP_0012068>	"Aspartylglucosaminuria"	"Excretion of excess amounts of aspartylglucosamine in the urine."	"Glycopeptiduria"
<http://purl.obolibrary.org/obo/HP_0040302>	"Hyperglycerolemia"	"Increased concentration of glycerol in the blood."	"Abnormal circulating glycerol level"
<http://purl.obolibrary.org/obo/HP_0025433>	"Decreased lecithin cholesterol acyl transferase level"@en	"Reduced level of the enzyme lecithin cholesterol acyl transferase."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0012517>	"Reduced catalase level"	"An abnormally decreased amount of catalase level."	"Abnormal circulating enzyme concentration or activity"
<http://purl.obolibrary.org/obo/HP_0025380>	"Increased circulating androstenedione concentration"@en	"Increased concentration of androstenedione in the blood circulation."	"Abnormal circulating androstenedione concentration, Increased circulating androgen concentration"
<http://purl.obolibrary.org/obo/HP_0011814>	"Increased urinary hypoxanthine level"	"The concentration of hypoxanthine in the urine, normalized for urine concentration, is above the upper limit of normal."	"Abnormal urinary hypoxanthine level"
