?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/HP_0430009>	"Developmental hypoplasia of the eyelid."	"UMLS:C4280274 SNOMEDCT_US:204203001 UMLS:C0344499"
<http://purl.obolibrary.org/obo/HP_0011827>	"Absence of the usual parallel position of philtral ridges."	"UMLS:C4021117"
<http://purl.obolibrary.org/obo/HP_0031747>	"Reduced movement of the superior rectus muscle which improves on testing ductions, typically associated with neurogenic palsy."	
<http://purl.obolibrary.org/obo/HP_0002804>	"A non-progressive finding characterized by multiple joint contractures found throughout the body at birth."	"SNOMEDCT_US:77016009 SNOMEDCT_US:111246005 MSH:D001176 UMLS:C0003886"
<http://purl.obolibrary.org/obo/HP_0032185>	"The presense of molluscum contagiosum lesions across multiple areas of the body."	
<http://purl.obolibrary.org/obo/HP_0012557>	"EEG with focal sharp transient waves in the centrotemporal region of the brain (also known as the central sulcus), i.e., focal sharp waves of a duration less than 80 msec followed by a slow wave."	"UMLS:C4022848"
<http://purl.obolibrary.org/obo/HP_0030524>		
<http://purl.obolibrary.org/obo/HP_0011340>	"A subtle unilateral cleft of the upper lip, which may appear as a small indentation."	"UMLS:C4021158"
<http://purl.obolibrary.org/obo/HP_0025390>	"On pulmonary high-resolution computed tomography, reticular pattern is characterised by innumerable interlacing shadows suggesting a mesh."	
<http://purl.obolibrary.org/obo/HP_0007401>	"Well-demarcated area(s) of partial or complete depigmentation in the macula, reflecting atrophy of the retinal pigment epithelium with associated retinal photoreceptor loss."	"UMLS:C1288283 SNOMEDCT_US:238828009 MSH:D057088"
<http://purl.obolibrary.org/obo/HP_0032149>	"A episode of severe pain that breaks through (i.e., temporarily exacerbates) a period of persistent pain."	
<http://purl.obolibrary.org/obo/HP_0009622>	"Insertion of thumb at a more distal location than normal."	"UMLS:C4024270"
<http://purl.obolibrary.org/obo/HP_0010276>		"UMLS:C4023925"
<http://purl.obolibrary.org/obo/HP_0010143>		"UMLS:C4024016"
<http://purl.obolibrary.org/obo/HP_0000182>		"UMLS:C4025882"
<http://purl.obolibrary.org/obo/HP_0031520>	"An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the groin region."	
<http://purl.obolibrary.org/obo/HP_0030228>	"A deviation from normal in the expression of valosin-containing protein in muscle tissue. Valosin-containing protein an ubiquitously expressed multifunctional 100-kD protein that is a member of the AAA+ (ATPase associated with various activities) protein family."	"UMLS:C4022570"
<http://purl.obolibrary.org/obo/HP_0011562>	"Anomalous insertion of the chordae tendinae or papillary muscles into the contralateral ventricle in the presence of a ventricular septum defect."	"UMLS:C4023297"
<http://purl.obolibrary.org/obo/HP_0007227>	"Increased size of cerebral gyri, often associated with a moderate reduction in the number of sulci of the cerebrum."	"UMLS:C0266483 SNOMEDCT_US:23024003 MSH:D054082"
<http://purl.obolibrary.org/obo/HP_0003575>	"An abnormally increased sodium concentration in the cytosol."	"UMLS:C4025593"
<http://purl.obolibrary.org/obo/HP_0011384>	"An abnormality of the Internal acoustic meatus, i.e., of the canal in the petrous part of the temporal bone through which the cranial nerve VII and cranial nerve VIII traverse."	"UMLS:C4021155"
<http://purl.obolibrary.org/obo/HP_0011867>	"An anomaly of the ilium ala. This is the large expanded portion of the ilum which bounds the greater pelvis laterally."	"UMLS:C4023156"
<http://purl.obolibrary.org/obo/HP_0011012>	"A deviation from the normal concentration of a polysaccharide in the blood circulation."	"UMLS:C4023600"
<http://purl.obolibrary.org/obo/HP_0001605>	"A loss of the ability to move the vocal folds."	"MSH:D014826 SNOMEDCT_US:302912005 UMLS:C1854345 UMLS:C0042928"
<http://purl.obolibrary.org/obo/HP_0011080>	"An abnormality of morphology of premolar tooth."	"UMLS:C4023545"
<http://purl.obolibrary.org/obo/HP_0004635>	"Fusion of the C5 and C6 cervical vertebrae."	"UMLS:C4025301"
<http://purl.obolibrary.org/obo/HP_0011067>	"The presence of a supernumerary tooth in the midline between the maxillary central incisors."	"SNOMEDCT_US:8666004 UMLS:C0040457 SNOMEDCT_US:266414008 UMLS:C4280340 SNOMEDCT_US:17802000 MSH:D014096 UMLS:C0266030 SNOMEDCT_US:367534004"
<http://purl.obolibrary.org/obo/HP_0003275>	"Reduced side to side width of the pelvis."	"UMLS:C1848103"
<http://purl.obolibrary.org/obo/HP_0010704>	"Syndactyly with fusion of fingers one and two."	"UMLS:C4023732"
<http://purl.obolibrary.org/obo/HP_0003387>	"A reduced number of large myelinated nerve fibers."	"UMLS:C1859606"
<http://purl.obolibrary.org/obo/HP_0012044>	"Seesaw nystagmus is a type of pendular nystagmus where a half cycle consists of the elevation and intorsion of one eye, concurrently with the depression and extortion of the fellow eye. In the other half cycle, there is an inversion of the ocular movements."	"MSH:D009759 SNOMEDCT_US:95782001 UMLS:C0344243"
<http://purl.obolibrary.org/obo/HP_0031099>	"Any deviation from the normal concentration of iInhibins, which are heterodimeric protein hormones secreted by granulosa cells of the ovary in females and Sertoli cells of the testis in males. Inhibins suppress the secretion of pituitary follicle-stimulating hormone."	
<http://purl.obolibrary.org/obo/HP_0011202>	"EEG frequency is abnormally increased."	"UMLS:C4023472"
<http://purl.obolibrary.org/obo/HP_0008330>	"Decreased activity of von Willebrand factor. Von Willebrand factor mediates the adhesion of platelets to the collagen exposed on endothelial cell surfaces."	"UMLS:C4024701"
<http://purl.obolibrary.org/obo/HP_0500109>	"Detection of barbiturate metabolites such as Phenobarbital in urine."	
<http://purl.obolibrary.org/obo/HP_0009469>	"Chronic loss of joint motion of the distal interphalangeal joint of the 3rd finger due to structural changes in non-bony tissue."	"UMLS:C4024344"
<http://purl.obolibrary.org/obo/HP_0011963>	"Absence of any measurable level of sperm in his semen, due to a hypothalamic or pituitary abnormality diagnosed with hypo-gonadotropic-hypogonadism. The diagnosis is made on the basis of low LH and FSH levels and low or normal testosterone levels."	"UMLS:C4023105"
<http://purl.obolibrary.org/obo/HP_0030891>	"Areas of brighter than expected signal on magnetic resonance imaging emanating from the cerebral white matter that surrounds the cerebral ventricles."	
<http://purl.obolibrary.org/obo/HP_0011595>	"Aortic arch crosses the left mainstem bronchus. The first branch is the right carotid artery, the second branch is the left carotid artery, the third branch is the subclavian artery, the fourth branch is the right subclavian artery arising from the posteromedial aspect of the distal aortic arch and continuing posterior to the esophagus to the right hand side of the body."	"UMLS:C4023278"
<http://purl.obolibrary.org/obo/HP_0031466>	"A maladaptive personality trait characterized by moderate or greater impairment in personality (self /interpersonal) functioning."	
<http://purl.obolibrary.org/obo/HP_0009289>		"UMLS:C4024466"
<http://purl.obolibrary.org/obo/HP_0000925>	"Any abnormality of the vertebral column."	"UMLS:C4020882 UMLS:C4021789"
<http://purl.obolibrary.org/obo/HP_0012828>	"Having a high degree of severity. For quantitative traits, a deviation of between four and five standard deviations from the appropriate population mean."	"SNOMEDCT_US:24484000 UMLS:C0205082"
<http://purl.obolibrary.org/obo/HP_0031887>	"Any deviation from the normal circulating concentration of chylomicrons."	
<http://purl.obolibrary.org/obo/HP_0000204>	"A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development."	"Fyler:4875 SNOMEDCT_US:80281008 UMLS:C0008924 MSH:D002971"
<http://purl.obolibrary.org/obo/HP_0000187>		"UMLS:C1857500 UMLS:C4280675"
<http://purl.obolibrary.org/obo/HP_0009259>	"The presence of abnormal punctate (speckled, dot-like) calcifications in the epiphysis of the distal phalanx of the 4th finger."	"UMLS:C4024488"
<http://purl.obolibrary.org/obo/HP_0010059>	"An increase in width in one or more phalanges of the big toe."	"UMLS:C4021343"
<http://purl.obolibrary.org/obo/HP_0030956>	"An anomaly of the electrical conduction physiology of the heart."	
<http://purl.obolibrary.org/obo/HP_0010015>		"UMLS:C4024108"
<http://purl.obolibrary.org/obo/HP_0040176>	"Any deviation from the normal concentration of a phospholipid in the blood circulation."	"UMLS:C4073141"
<http://purl.obolibrary.org/obo/HP_0000243>	"Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput."	"MSH:D003398 UMLS:C4280666 UMLS:C4280665 SNOMEDCT_US:28740008 UMLS:C0265535"
<http://purl.obolibrary.org/obo/HP_0410134>	"Urticaria caused by physical agents, such as heat, cold, light, friction."	
<http://purl.obolibrary.org/obo/HP_0031635>	"The left common carotid artery normally originates from the aortic arch. This term refers to an origin of this artery from the brachiocephalic artery."	
<http://purl.obolibrary.org/obo/HP_0010148>		"UMLS:C4024011"
<http://purl.obolibrary.org/obo/HP_0003141>	"An elevated concentration of low-density lipoprotein cholesterol in the blood."	"UMLS:C0020445 UMLS:C0549399 MSH:D006938 SNOMEDCT_US:190773008 SNOMEDCT_US:398036000"
<http://purl.obolibrary.org/obo/HP_0000677>	"A developmental anomaly characterized by a reduced number of teeth, whereby more than 6 teeth are missing."	"UMLS:C4082304 UMLS:C4280619"
<http://purl.obolibrary.org/obo/HP_0012742>	"Fingernail that appears thin when viewed on end."	"UMLS:C4022750"
<http://purl.obolibrary.org/obo/HP_0009798>	"A goiter that is not associated with functional thyroid abnormalities."	"MSH:C562732 SNOMEDCT_US:32251000119106 UMLS:C0302859"
<http://purl.obolibrary.org/obo/HP_0008635>	"Abnormal enlargement of the urinary bladder."	"UMLS:C4021531"
<http://purl.obolibrary.org/obo/HP_0012323>	"Myoclonus that occurs during the initial phases of sleep."	"MSH:D009207 SNOMEDCT_US:34101000119105 UMLS:C0751352"
<http://purl.obolibrary.org/obo/HP_0410007>	"Any abnormality of cartilage."	"UMLS:C4073186"
<http://purl.obolibrary.org/obo/HP_0030881>	"Trapping and compression of the rotator cuff tendons during shoulder movements."	"UMLS:C1655733"
<http://purl.obolibrary.org/obo/HP_0031975>	"Ratio of the height of the cup of the optic nerve head to the height of the disc is 0.7 (The normal cup-to-disc ratio is 0.3)."	
<http://purl.obolibrary.org/obo/HP_0004433>	"Deficiency of secretory IgA (polymers of 2-4 IgA monomers are linked by two additional chains) and is the primary antibody response at the mucosal level, where it forms immune complexes with pathogens and allergens."	"SNOMEDCT_US:234554004 UMLS:C0398709 MSH:C562869"
<http://purl.obolibrary.org/obo/HP_0030528>		"MSH:D012607 UMLS:C0271197 SNOMEDCT_US:64418005"
<http://purl.obolibrary.org/obo/HP_0031333>	"A disruption of the structure of the sarcomeres of cardiomyocytes. The sarcomere is the repeating unit between two Z lines comprised largely of myosin and action that mediates contractility, and normally sarcomeres are aligned with the long axis of cells, with the Z bands being in register throughout the length of the cardiac myocytes."	
<http://purl.obolibrary.org/obo/HP_0410075>	"An increase in the level of xylitol in the cerebrospinal fluid."	
<http://purl.obolibrary.org/obo/HP_0030746>	"Bleeding into the ventricles of the brain."	"UMLS:C0240059 SNOMEDCT_US:23276006"
<http://purl.obolibrary.org/obo/HP_0005863>	"In type E brachydactyly, shortening of the fingers is mainly in the metacarpals and metatarsals."	"UMLS:C1862102 MSH:C566194"
<http://purl.obolibrary.org/obo/HP_0003250>	"Aplasia of the vagina."	"SNOMEDCT_US:248871003 UMLS:C1321884 SNOMEDCT_US:87380008 UMLS:C0220763 MSH:C536523 UMLS:C1841990"
<http://purl.obolibrary.org/obo/HP_0004223>	"Sclerosis of the epiphysis of the distal phalanx of the little finger, leading to an increased degree of radiopacity (white or ivory appearance) in X-rays."	"UMLS:C4021674"
<http://purl.obolibrary.org/obo/HP_0410006>	"Abnormality of the first branch of the internal carotid artery."	"UMLS:C4073185"
<http://purl.obolibrary.org/obo/HP_0030529>		"MSH:D012607 UMLS:C0438434 SNOMEDCT_US:129625005"
<http://purl.obolibrary.org/obo/HP_0003831>	"A situation in which phenotypic abnormalities become evident with age."	"UMLS:C1835978"
<http://purl.obolibrary.org/obo/HP_0010271>		"UMLS:C4023930"
<http://purl.obolibrary.org/obo/HP_0031879>	"Any functional abnormality of the eyelid."	
<http://purl.obolibrary.org/obo/HP_0012237>	"An increased concentration of urocanic acid in the urine."	"MSH:C536479 UMLS:C0268514 SNOMEDCT_US:60952007"
<http://purl.obolibrary.org/obo/HP_0040110>		"UMLS:C4022433"
<http://purl.obolibrary.org/obo/HP_0100777>	"An exostosis is a benign growth the projects outward from the bone surface. It is capped by cartilage, and arises from a bone that develops from cartilage."	"SNOMEDCT_US:416189003 UMLS:C1442903 MSH:D005096 SNOMEDCT_US:80400009"
<http://purl.obolibrary.org/obo/HP_0012659>	"Reduced uptake of [18F]-fluorodeoxyglucose (FDG) in the prefrontal cortex as measured by positron emission tomography (PET) brain scan."	"UMLS:C4022797"
<http://purl.obolibrary.org/obo/HP_0004379>	"An abnormality of alkaline phosphatase activity."	"UMLS:C4020829 UMLS:C4025328"
<http://purl.obolibrary.org/obo/HP_0009588>	"A vestibular Schwannoma (also known as acoustic neuroma, acoustic neurinoma, or acoustic neurilemoma) is a benign, usually slow-growing tumor that develops from the VIIIth cranial nerve supplying the inner ear."	"SNOMEDCT_US:985004 NCIT:C3269 UMLS:C0027859 MSH:D009464 SNOMEDCT_US:126949007"
<http://purl.obolibrary.org/obo/HP_0025416>	"A narrowing of the vagina owing to scar formation."	
<http://purl.obolibrary.org/obo/HP_0007477>	"An abnormality of dermatoglyphs (fingerprints), which are present on fingers, palms, toes, and soles."	"SNOMEDCT_US:83145004 UMLS:C0432333"
<http://purl.obolibrary.org/obo/HP_0100745>	"An anomaly of the joint between the trochlear notch of ulna and the trochlea of humerus, which is part of the elbow joint."	"UMLS:C4021980"
<http://purl.obolibrary.org/obo/HP_0004260>		"UMLS:C4025385"
<http://purl.obolibrary.org/obo/HP_0006270>	"Underdevelopment of the spleen."	"UMLS:C1970617"
<http://purl.obolibrary.org/obo/HP_0010970>	"An abnormality of an erythrocyte cell surface molecule."	"UMLS:C4023620"
<http://purl.obolibrary.org/obo/HP_0001271>	"A generalized disorder of peripheral nerves."	"SNOMEDCT_US:42658009 UMLS:C0031117 SNOMEDCT_US:302226006 MSH:D010523 MSH:D011115 SNOMEDCT_US:42345000 UMLS:C0152025"
<http://purl.obolibrary.org/obo/HP_0031700>	"A parasitic infection whereby the parasite invades (migrates through) tissues of the infected host."	
<http://purl.obolibrary.org/obo/HP_0030222>	"Difficulty in recognizing objects by visual input in absence of sensorial visual impairment."	"MSH:D000377 UMLS:C0234502 SNOMEDCT_US:25762009"
<http://purl.obolibrary.org/obo/HP_0003194>		"UMLS:C1854689"
<http://purl.obolibrary.org/obo/HP_0025274>	"An cystic ovarian teratoma composed of dermal and epidermal elements and containing tissue components including hair, teeth, bone, thyroid, and others."	
<http://purl.obolibrary.org/obo/HP_0008726>	"Developmental hypoplasia of the vagina."	"UMLS:C0345309 SNOMEDCT_US:253836009 UMLS:C1442988"
<http://purl.obolibrary.org/obo/HP_0010270>		"UMLS:C4023931"
<http://purl.obolibrary.org/obo/HP_0040111>		"UMLS:C4022432"
<http://purl.obolibrary.org/obo/HP_0025580>	"Any structural abnormality of the right atrium."	"Fyler:1770"
<http://purl.obolibrary.org/obo/HP_0006870>	"A type of holoprosencephaly in which most of the right and left cerebral hemispheres and lateral ventricles are separated but the most rostral aspect of the telencephalon, the frontal lobes, are fused, especially ventrally."	"MSH:D016142 UMLS:C0431362 SNOMEDCT_US:253136007"
<http://purl.obolibrary.org/obo/HP_0005590>		"UMLS:C3806178"
<http://purl.obolibrary.org/obo/HP_0011612>	"Non-continuity of the aortic arch with an atretic point or absent segment at the level of the isthmus."	"SNOMEDCT_US:253681005 UMLS:C0345092"
<http://purl.obolibrary.org/obo/HP_0010367>	"Partial or complete duplication of phalanx of third toe."	"UMLS:C4021282"
<http://purl.obolibrary.org/obo/HP_0011660>	"Anomalous origin of one pulmonary artery from the ascending aorta with the contralateral pulmonary artery arising from the right ventricle."	"UMLS:C4021134 Fyler:550 Fyler:0550"
<http://purl.obolibrary.org/obo/HP_0030087>	"An anomalous concentration of testosterone in the blood."	"UMLS:C4022654 SNOMEDCT_US:166458009 UMLS:C0580454"
<http://purl.obolibrary.org/obo/HP_0010318>	"Absence or underdevelopment of the abdominal musculature."	"UMLS:C4023909"
<http://purl.obolibrary.org/obo/HP_0410319>	"Hypersensitivity in form of an adverse immune reaction against alpha-gal."	
<http://purl.obolibrary.org/obo/HP_0002156>	"An increased concentration of homocystine in the urine."	"SNOMEDCT_US:11282001 UMLS:C0019880 MSH:D006712"
<http://purl.obolibrary.org/obo/HP_0010706>	"Syndactyly with fusion of fingers one to three."	"UMLS:C4023730"
<http://purl.obolibrary.org/obo/HP_0001638>	"A myocardial disorder in which the heart muscle is structurally and functionally abnormal, in the absence of coronary artery disease, hypertension, valvular disease and congenital heart disease sufficient to cause the observed myocardial abnormality."	"SNOMEDCT_US:85898001 Fyler:1840 UMLS:C0878544 SNOMEDCT_US:57809008 MSH:D009202"
<http://purl.obolibrary.org/obo/HP_0200096>	"A facial appearance characterized by a permanently or nearly permanently opened mouth, in which the upper lip is tented in a way that the opened mouth has the appearance of a triangle."	"UMLS:C1859292"
<http://purl.obolibrary.org/obo/HP_0030217>	"Difficulty in performing the correct execution of limbs movements in absence of motor impairment."	"UMLS:C4022574"
<http://purl.obolibrary.org/obo/HP_0000103>	"An increased rate of urine production."	"MSH:D011141 SNOMEDCT_US:28442001 UMLS:C0032617 SNOMEDCT_US:718402002 SNOMEDCT_US:56574000"
<http://purl.obolibrary.org/obo/HP_0031555>	"Reduced level of CD59 on the granulocyte surface as assessed by flow cytometry."	
<http://purl.obolibrary.org/obo/HP_0009827>	"Congenital absence (aplasia) of one or more limbs."	"MEDDRA:10001926 MSH:D004480 SNOMEDCT_US:62588002 UMLS:C0002447"
<http://purl.obolibrary.org/obo/HP_0000402>	"An abnormal narrowing of the external auditory canal."	"UMLS:C0576860 SNOMEDCT_US:301061006 SNOMEDCT_US:300127002 UMLS:C0395837"
<http://purl.obolibrary.org/obo/HP_0100580>	"An abnormal change (metaplasia) in the cells of the inferior portion of the esophagus. The normal squamous epithelium lining of the esophagus is replaced by metaplastic columnar epithelium. Columnar epithelium refers to a cell type that is typically found in more distal parts of the gastrointestinal system."	"UMLS:C0004763 SNOMEDCT_US:302914006 MSH:D001471"
<http://purl.obolibrary.org/obo/HP_0000501>	"Glaucoma refers loss of retinal ganglion cells in a characteristic pattern of optic neuropathy usually associated with increased intraocular pressure."	"SNOMEDCT_US:23986001 MSH:D005901 UMLS:C0017601"
<http://purl.obolibrary.org/obo/HP_0001388>	"Lack of stability of a joint."	"MSH:D007593 UMLS:C0158359 UMLS:C0086437 SNOMEDCT_US:27911000 SNOMEDCT_US:298203008"
<http://purl.obolibrary.org/obo/HP_0031136>	"A reduced amount of the enzyme acrosin in the sperm head acrosome. The acrosome is an organelle in the anterior half of the head of spermatozoa, and acrosin is a protease that contributes to the digestation of the zona pellucida in the fertilization process."	
<http://purl.obolibrary.org/obo/HP_0030758>	"A tooth abscess that occurs at the tip of the root (apex) of a tooth."	"UMLS:C4280782"
<http://purl.obolibrary.org/obo/HP_0025135>	"A deviation from normal concentration of estriol in the circulation."	
<http://purl.obolibrary.org/obo/HP_0025419>	"An air-filled cystic space within a lung."	
<http://purl.obolibrary.org/obo/HP_0031689>	"The presence of micro-megakaryocytes, hypo-lobed, or non-lobed nuclei in megakaryocytes of all sizes and multiple, widely-separated nuclei."	
<http://purl.obolibrary.org/obo/HP_0011472>		"UMLS:C4023341"
<http://purl.obolibrary.org/obo/HP_0004898>	"A continuous form of lactic acidemia."	"UMLS:C3554538"
<http://purl.obolibrary.org/obo/HP_0030141>	"An anomaly in the placement or shape of the hairline (trichion) on the back of the head (neck), that is, the border between skin on the back of the head that has head hair and that does not."	"UMLS:C4022607"
<http://purl.obolibrary.org/obo/HP_0009293>	"Increased width of the middle phalanx of the 4th finger."	"UMLS:C4024463"
<http://purl.obolibrary.org/obo/HP_0040114>		"UMLS:C4022430"
<http://purl.obolibrary.org/obo/HP_0001654>	"Any structural abnormality of a cardiac valve."	"UMLS:C0018824 UMLS:C0241654 SNOMEDCT_US:368009 MSH:D006349"
<http://purl.obolibrary.org/obo/HP_0032040>	"A functional anomaly of the adjacent structures (i.e., adnexa) of the eye, defined as the lacrimal apparatus, the extraocular muscles and the eyelids, eyelashes, eyebrows and the conjunctiva."	
<http://purl.obolibrary.org/obo/HP_0012899>	"Difficulty releasing one's grip associated with prolonged first handgrip relaxation times."	"UMLS:C1868623"
<http://purl.obolibrary.org/obo/HP_0003091>	"Trophic changes occurring in a limb."	"UMLS:C4025657"
<http://purl.obolibrary.org/obo/HP_0012161>	"A separation (dissection) of the layers of the external carotid artery wall."	"UMLS:C4023016"
