?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0030355>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating interferon-gamma concentration"	"Abnormal serum interferon-gamma level"	"Nivel sérico anormal de interferón gamma"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001428>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Somatic mutation"	"Somatic mutation"	"Mutación somática"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009589>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bilateral vestibular schwannoma"	"Bilateral vestibular Schwannoma"	"Schwannoma vestibular bilateral"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011174>	<http://www.w3.org/2000/01/rdf-schema#label>	"Focal hyperkinetic seizure"	"Hyperkinetic seizures"	"Convulsiones hiperquinéticas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410193>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal uridine diphosphate glucose-4-epimerase level in plasma"	"Abnormal uridine diphosphate glucose-4-epimerase activity in plasma"	"Actividad anormal de uridina difosfato glucosa-4-epimerasa en plasma"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001327>	<http://www.w3.org/2000/01/rdf-schema#label>	"Photosensitive myoclonic seizure"	"Photomyoclonic seizures"	"Convulsiones fotomioclónicas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030859>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anti-topoisomerase I antibody positivity"	"Topoisomerase I antibody positivity"	"Anticuerpos positivos contra Topoisomerasa I"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008366>	<http://www.w3.org/2000/01/rdf-schema#label>	"Foot joint contracture"	"Contractures involving the joints of the feet"	"Contracturas que afectan las articulaciones de los pies"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012003>	<http://www.w3.org/2000/01/rdf-schema#label>	"Affective epileptic aura"	"Affective auras"	"Aura afectiva"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007519>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Lack of subcutaneous fatty tissue"	"Lack of subcutaneous fatty tissue"	"Falta de tejido graso subcutáneo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000720>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Mood swings"	"Mood swings"	"Cambios de humor exagerados"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000088>	<http://www.w3.org/2000/01/rdf-schema#label>	"Facial expressions that do not match the context"	"Context-inappropriate facial expressions"	"Expresiones faciales inapropiadas para el contexto"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011435>	<http://www.w3.org/2000/01/rdf-schema#label>	"Low maternal circulating PAPP-A concentration"	"Low maternal serum PAPP-A"	"PAPP-A baja en suero materno"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030599>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal Esterman grid perimetry test"	"Abnormal Estermann grid perimetry test"	"Prueba de perimetría de red de Estermann anormal"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003236>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating creatine kinase concentration"	"Elevated serum creatine kinase"	"Creatina fosfoquinasa elevada"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040083>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Toe walking"	"Toe walking"	"Marcha en puntillas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032179>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating globulin concentration"	"Abnormal circulating globulin level"	"Nivel anormal de globulina circulante"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010818>	<http://www.w3.org/2000/01/rdf-schema#label>	"Generalized tonic seizure"	"Generalized tonic seizures"	"Convulsiones tónicas generalizadas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100513>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating vitamin E concentration"	"Low levels of vitamin E"	"Deficiencia de vitamina e"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200126>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aggression towards caregivers"	"Aggression toward cargivers"	"Agresión hacia los cuidadores"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034726>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating beta-mannosidase activity"	"Elevated beta-mannosidase activity"	"Aumento de la actividad de beta-manosidasa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004495>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Thin anteverted nares"	"Thin anteverted nares"	"Narinas antevertidas estrechas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_3000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal inferior alveolar artery morphology"	"Abnormality of inferior alveolar artery"	"Anomalía de la arteria alveolar inferior"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010299>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal dentin morphology"	"Abnormality of dentin"	"Anomalía de la dentina"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032305>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating mannose-binding protein concentration"	"Decreased mannose-binding protein level"	"Disminución del nivel de proteína de unión a manosa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5000041>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Anti-CRMP5 antibody positivity"	"Anti-CRMP5 antibody positivity"	"Positividad de anticuerpos anti-CRMP5"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008768>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal sexual behavior"	"Inappropriate sexual behavior"	"Conducta sexual inapropiada"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032119>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Narrow angle glaucoma"	"Narrow angle glaucoma"	"Glaucoma de ángulo estrecho"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004496>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Posterior choanal atresia"	"Posterior choanal atresia"	"Atresia posterior de coanas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034305>	<http://www.w3.org/2000/01/rdf-schema#label>	"2:1 atrioventricular block"	"2: 1 atrioventricular block"	"Bloqueo auriculoventricular 2:1"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031070>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Femoral retroversion"	"Decreased femoral torsion"	"Disminución de la torsión femoral"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011151>	<http://www.w3.org/2000/01/rdf-schema#label>	"Atypical absence status epilepticus"	"Obtundation status"	"Estado obnubilado"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001233>	<http://www.w3.org/2000/01/rdf-schema#label>	"2-3 finger syndactyly"	"Second-third finger syndactyly"	"Sindactilia de dedos 2-3 de la mano"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_3000046>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal geniohyoid muscle morphology"	"Abnormality of geniohyoid muscle"	"Anomalía del músculo geniohioideo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031339>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cardiomyocyte dystrophin staining"	"Abnormal cadiomyocyte dystrophin staining"	"Tinción anormal de distrofina en cadiomiocitos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006751>	<http://www.w3.org/2000/01/rdf-schema#label>	"Paraspinal neurofibroma"	"Paraspinal neurofibromas"	"Neurofibromas paravertebrales"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010370>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal morphology of the proximal phalanx of the 3rd toe"	"Abnormality of the proximal phalanx of the 3rd toe"	"Anomalía de la falange proximal del tercer dedo del pie"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030569>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pinhole visual acuity 0.1 LogMAR"	"Pinhole visual acuity 0,1 LogMAR"	"Agudeza visual estenopeica 0.1 LogMAR"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031902>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Decreased serum mast cell beta-tryptase concentration"	"Decreased serum mast cell beta-tryptase concentration"	"Disminución de la concentración de beta-triptasa en los mastocitos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007375>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal septum pellucidum morphology"	"Abnormality of the septum pellucidum"	"Anomalía del septum pellucidum o septo pelúcido"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006536>	<http://www.w3.org/2000/01/rdf-schema#label>	"Airway obstruction"	"Obstructive lung disease"	"Enfermedad pulmonar obstructiva"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010456>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal greater sciatic notch morphology"	"Abnormality of the greater sacrosciatic notch"	"Anomalía del hendidura sacrociática mayor"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011016>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Abnormality of urine glucose concentration"	"Abnormality of urine glucose concentration"	"Anomalía de la concentración de glucosa urinaria"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011283>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal metencephalon morphology"	"Abnormality of the metencephalon"	"Anomalía del metencéfalo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040203>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal CSF neopterin concentration"	"Abnormal CSF neopterin level"	"Nivel anormal de neopterina en LCR"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410176>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating glucose-6-phosphate dehydrogenase concentration"	"Abnormal glucose-6-phosphate dehydrogenase level"	"Nivel anormal de glucosa-6-fosfato deshidrogenasa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001739>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal nasopharynx morphology"	"Abnormality of the nasopharynx"	"Anomalía de la nasofaringe"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006490>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal lower-limb metaphysis morphology"	"Abnormality of lower-limb metaphyses"	"Anomalía de metáfisis de miembros inferiores"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_3000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal nasopharyngeal adenoid morphology"	"Abnormality of nasopharyngeal adenoids"	"Anomalía de las adenoides nasofaríngeas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0430000>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal frontal bone morphology"	"Abnormality of the frontal bone"	"Anomalía del hueso frontal"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100705>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal glial cell morphology"	"Abnormality of the glial cells"	"Anomalía de las células gliales"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034255>	<http://www.w3.org/2000/01/rdf-schema#label>	"Colovesical fistula"	"Colovesicular fistula"	"Fístula colovesicular"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025109>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced red cell pyruvate kinase level"@en	"Reduced red cell pyruvate kinase activity"	"Disminución de la actividad de piruvato quinasa de glóbulos rojos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100293>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypertrophied muscle fibers"	"Muscle fiber hypertrophy"	"Hipertrofia de la fibra muscular"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040109>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal utricle morphology"	"Morphological abnormality of the utricle"	"Anomalía morfológica del utrículo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032461>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Tiger-tail banding"	"Tiger-tail banding"	"Cabellos en bandas de cola de tigre"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100734>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal vertebral epiphysis morphology"	"Abnormality of vertebral epiphysis morphology"	"Anomalía de las epífisis vertebrales"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410243>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating IgM level"	"Abnormal IgM level"	"Nivel de IgM anormal"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033724>	<http://www.w3.org/2000/01/rdf-schema#label>	"Cerebral venous sinus thrombosis"	"Central venous sinus thrombosis"	"Trombosis del seno venoso central"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002134>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal basal ganglia morphology"	"Abnormality of the basal ganglia"	"Anomalía de los ganglios basales"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410349>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase level"	"Decreased glycosyltransferase O-Fucosylpeptide 3-Beta-N-Acetylglucosaminyltransferase activity"	"Disminución de la actividad de la glicosiltransferasa O-fucosilpéptido 3-Beta-N-acetilglucosaminiltransferasa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011156>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Focal autonomic seizures without altered responsiveness"	"Focal autonomic seizures without altered responsiveness"	"Convulsiones autonómicas focales sin respuesta alterada"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030583>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pinhole visual acuity 3.0 LogMAR"	"Pinhole visual acuity 3 LogMAR"	"Agudeza visual estenopeica 3.0 LogMAR"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040311>	<http://www.w3.org/2000/01/rdf-schema#label>	"Symmetric polyarthritis"	"Symetrical distal arthritis"	"Artritis distal simétrica"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_5200113>	<http://www.w3.org/2000/01/rdf-schema#label>	"Offers information"	"Does not offer information"	"Ausencia de interacciones sociales para dar información"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010938>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal external nose morphology"	"Abnormality of the external nose"	"Anomalía nasal externa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006957>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Loss of ability to walk"	"Loss of ability to walk"	"Pérdida de la capacidad para caminar"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031426>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating beta-C-terminal telopeptide concentration"	"Decreased circulating beta-C-terminal telopeptide level"	"Disminución del nivel de telopeptido beta-C-terminal circulante"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005347>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tracheal cartilaginous sleeve"	"Cartilaginous trachea"	"Tráquea cartilaginosa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025033>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal digestive system morphology"@en	"Abnormality of digestive system morphology"	"Morfología anormal del sistema digestivo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010012>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal 4th metacarpal morphology"	"Abnormality of the 4th metacarpal"	"Anomalía del cuarto metacarpiano"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010527>	<http://www.w3.org/2000/01/rdf-schema#label>	"Astereognosis"	"Astereognosia"	"Astereognosia"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004722>	<http://www.w3.org/2000/01/rdf-schema#label>	"Thickened glomerular basement membrane"	"Thickening of the glomerular basement membrane"	"Engrosamiento de la membrana basal glomerular"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011039>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal helix morphology"	"Abnormality of the helix"	"Anomalía de la hélice"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002973>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal forearm morphology"	"Abnormality of the forearm"	"Anomalía del antebrazo"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000932>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal posterior cranial fossa morphology"	"Abnormality of the posterior cranial fossa"	"Anomalía de la fosa craneal posterior"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030794>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating C-peptide concentration"	"Abnormal C-peptide level"	"Nivel anormal de péptido C"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000087>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal communicative facial expressions"	"Abnormal facial expressions"	"Expresiones faciales anormales"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005650>	<http://www.w3.org/2000/01/rdf-schema#label>	"2-5 finger cutaneous syndactyly"	"Cutaneous syndactyly between fingers 2 and 5"	"Sindactilia cutánea entre los dedos 2 y 5 de la mano"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033052>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-epileptic seizure"	"Psychogenic non-epileptic seizure"	"Crisis psicógena no epiléptica"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010965>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating phytanic acid concentration"	"Abnormal circulating phytanic acid level"	"Anomalía del metabolismo del ácido fitánico"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_4000147>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hepatic artery morphology"@en	"Abnormal portal artery morphology"	"Morfología anormal de la porta"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008744>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal aryepiglottic fold morphology"	"Abnormality of the aryepiglottic fold"	"Alteración del pliegue ariepiglótico"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100717>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cementum morphology"	"Abnormality of the cementum"	"Anomalía del cemento dental"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001444>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Autosomal dominant somatic cell mutation"	"Autosomal dominant somatic cell mutation"	"Mutación de células somáticas autosómica dominante"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033063>	<http://www.w3.org/2000/01/rdf-schema#label>	"Shortened sleep phase"	"Shortened sleep cycle"	"Acortamiento del ciclo de sueño"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003345>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated urinary norepinephrine level"	"Elevated urinary norepinephrine"	"Norepinefrina urinaria elevada"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010353>	<http://www.w3.org/2000/01/rdf-schema#label>	"Second toe symphalangism"	"Symphalangism affecting the phalanges of the 2nd toe"	"Sinfalangismo afectando las falanges del segundo dedo del pie"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0034712>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating alpha-mannosidase activity"	"Decreased alpha-mannosidase activity"	"Disminución de la actividad alfa-manosidasa"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040180>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Hyperkeratosis pilaris"	"Hyperkeratosis pilaris"	"Hiperqueratosis pilaris"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031138>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal B-type natriuretic peptide concentration"	"Abnormal B-type natriuretic peptide level"	"Nivel anormal de péptido natriurético de tipo B"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008830>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypoplastic pubic ramus"	"Hypoplastic pubic rami"	"Ramas púbicas hipoplásicas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032530>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased succinic semialdehyde dehydrogenase level"	"Decreased succinic semialdehyde dehydrogenase activity"	"Disminución de la actividad de la semialdehído deshidrogenasa succínica"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012666>	<http://www.w3.org/2000/01/rdf-schema#label>	"Severely reduced left ventricular ejection fraction"	"Severely reduced ejection fraction"	"Fracción de eyección severamente reducida"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030208>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anti-acetylcholine receptor antibody positivity"	"Acetylcholine receptor antibody positivity"	"Positividad del anticuerpo receptor de acetilcolina"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003907>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal humeral metaphysis morphology"	"Abnormality of the humeral metaphyses"	"Anomalía de las metáfisis de húmero"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031901>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated total serum tryptase"	"Increased serum mast cell beta-tryptase concentration"	"Aumento de la concentración de beta-triptasa en los mastocitos séricos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010057>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hallux phalanx morphology"	"Abnormality of the phalanges of the hallux"	"Anomalía de las falanges del dedo gordo del pie"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002867>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal ilium morphology"	"Abnormality of the ilium"	"Anomalía del hueso ilíaco"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cranial ganglion morphology"	"Abnormality of cranial ganglion"	"Anomalía del ganglio craneal"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006896>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypnopompic hallucination"	"Hypnopompic hallucinations"	"Alucinaciones hipnopómpicas"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030572>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pinhole visual acuity 0.4 LogMAR"	"Pinhole visual acuity 0,4 LogMAR"	"Agudeza visual estenopeica 0.4 LogMAR"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002357>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Dysphasia"	"Dysphasia"	"Disfasia"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000708>	<http://www.w3.org/2000/01/rdf-schema#label>	"Atypical behavior"	"Behavioral abnormality"	"Alteración comportamental"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0033465>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating tetradecanoylcarnitine concentration"	"Elevated circulating tetradecanolycarnitine concentration"	"Elevación de la concentración de tetradecanolicarnitina circulante"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003839>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal upper limb epiphysis morphology"	"Abnormality of upper limb epiphysis morphology"	"Anomalía de las epífisis de los miembros superiores"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011314>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal long bone morphology"	"Abnormality of long bone morphology"	"Anomalía de la morfología de los huesos largos"@es	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032460>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased phosphoribosylpyrophosphate synthetase level"	"Decreased phosphoribosylpyrophosphate synthetase activity"	"Disminución de la actividad de la fosforibosilpirofosfato sintetasa"@es	"OFFICIAL"
