?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0100698>	<http://www.w3.org/2000/01/rdf-schema#label>	"Subcutaneous neurofibroma"	"Subcutaneous neurofibromas"	"Subkutanöz nörofibromlar"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002244>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal small intestine morphology"	"Abnormality of the small intestine"	"İnce bağırsak anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009624>	<http://www.w3.org/2000/01/rdf-schema#label>	"Carpometacarpal thumb joint contracture"	"Contractures of the carpometacarpal joint of the thumb"	"Baş parmağın karpometakarpal ekleminin kontraktürleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000326>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal maxilla morphology"	"Abnormality of the maxilla"	"Maksilla anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011393>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aplasia of the vestibular nerve."	"Aplasia of the vestibular nerve"	"Vestibüler sinir aplazisi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001751>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal vestibular function"	"Vestibular dysfunction"	"Vestibüler disfonksiyon"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002143>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal spinal cord morphology"	"Abnormality of the spinal cord"	"Omuriliğin anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045056>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating alpha-fetoprotein concentration"	"Abnormal levels of alpha-fetoprotein"	"Anormal alfa fetoprotein düzeyleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007576>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palmar neurofibroma"	"Palmar neurofibromas"	"Palmar nörofibromlar"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031436>	<http://www.w3.org/2000/01/rdf-schema#label>	"Singsong Intonation"	"Increased pitch variability of speech"	"Konuşmanın artmış perde değişkenliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001844>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hallux morphology"	"Abnormality of the hallux"	"Ayak baş parmağı anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010321>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fourth toe morphology"	"Abnormality of the 4th toe"	"4. ayak parmağının anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003174>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal ischium morphology"	"Abnormality of the ischium"	"İskiyum anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031213>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating 17-hydroxyprogesterone concentration"	"Elevated circulating 17-hydroxyprogesterone"	"Dolaşımda yükselmiş 17-hidroksiprogesteron"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005421>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C3 concentration"	"Decreased serum complement C3"	"Azalmış serum kompleman C3"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031339>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cardiomyocyte dystrophin staining"	"Abnormal cadiomyocyte dystrophin staining"	"Anormal kardiyomyosit distrofin boyanması"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009600>	<http://www.w3.org/2000/01/rdf-schema#label>	"Contracture of thumb"	"Flexion contracture of thumb"	"Baş parmağın fleksiyon kontraktürü"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031876>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating hepcidin concentration"	"Decreased hepcidin level"	"Azalmış hepsidin seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010322>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fifth toe morphology"	"Abnormality of the 5th toe"	"5. ayak parmağının anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003028>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of the ankle"	"Abnormality of the ankles"	"Ayak bileği anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009626>	<http://www.w3.org/2000/01/rdf-schema#label>	"Interphalangeal thumb joint contracture"	"Contractures of the interphalangeal joint of the thumb"	"El baş parmağının interfalangeyal eklem kontraktürleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005416>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement factor B concentration"	"Decreased serum complement factor B"	"Azalmış serum kompleman faktör B"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410003>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Cleft maxillary alveolus"	"Cleft maxillary alveolus"	"Yarık primer damak"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001780>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal toe morphology"	"Abnormality of toe"	"Ayak parmağı anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000722>	<http://www.w3.org/2000/01/rdf-schema#label>	"Compulsive behaviors"	"Obsessive-compulsive behavior"	"Obsesif-kompulsif davranış"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006751>	<http://www.w3.org/2000/01/rdf-schema#label>	"Paraspinal neurofibroma"	"Paraspinal neurofibromas"	"Paraspinal nörofibromlar"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012379>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating enzyme concentration or activity"	"Abnormal enzyme/coenzyme activity"	"Anormal enzim/koenzim aktivitesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006143>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal finger flexion crease"	"Abnormal finger flexion creases"	"Anormal parmak fleksiyon çizgileri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003657>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vascular granular osmiophilic material deposition"	"Granular osmiophilic deposits (GROD) in cells"	"Hücrelerde granüler osmiofilik birikimler (GROB)"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000817>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced eye contact"	"Poor eye contact"	"Zayıf göz teması"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001067>	<http://www.w3.org/2000/01/rdf-schema#label>	"Neurofibroma"	"Neurofibromas"	"Nörofibromlar"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000732>	<http://www.w3.org/2000/01/rdf-schema#label>	"Inflexible adherence to routines"	"Inflexible adherence to routines or rituals"	"Rutin veya ritüellere katı bağlılık"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000202>	<http://www.w3.org/2000/01/rdf-schema#label>	"Orofacial cleft"	"Oral cleft"	"Yarık ağız"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045057>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating alpha-fetoprotein concentration"	"Decreased levels of alpha-fetoprotein"	"Azalmış alfa fetoprotein düzeyleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045042>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C4 concentration"	"Decreased serum complement C4"	"Azalmış serum kompleman C4"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012760>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced social reciprocity"	"Impaired social reciprocity"	"Bozulmuş sosyal karşılıklı ilişki"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009625>	<http://www.w3.org/2000/01/rdf-schema#label>	"Metacarpophalangeal thumb joint contracture"	"Contractures of the metacarpophalangeal joint of the thumb"	"Baş parmağın metakarpofalangeyal ekleminin kontraktürleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006254>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating alpha-fetoprotein concentration"	"Elevated alpha-fetoprotein"	"Yükselmiş alfa-fetoprotein"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045044>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C4b concentration"	"Decreased serum complement C4b"	"Azalmış serum kompleman C4b"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005369>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement factor H concentration"	"Decreased serum complement factor H"	"Azalmış serum kompleman faktör H"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008830>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypoplastic pubic ramus"	"Hypoplastic pubic rami"	"Hipoplastik pubik rami"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008817>	<http://www.w3.org/2000/01/rdf-schema#label>	"Aplastic pubic bone"	"Aplastic pubic bones"	"Aplastik pubik kemikler"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008075>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Progressive pes cavus"	"Progressive pes cavus"	"İlerleyici pes kavus"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001167>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal finger morphology"	"Abnormality of finger"	"Parmak anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008250>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Infantile hypercalcemia"	"Infantile hypercalcemia"	"İnfantil hiperkalsemi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031877>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating hepcidin concentration"	"Elevated hepcidin level"	"Artmış hepsidin seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012308>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C9 concentration"	"Decreased serum complement C9"	"Azalmış serum kompleman C9"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002693>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal skull base morphology"	"Abnormality of the skull base"	"Kafatası tabanının anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030223>	<http://www.w3.org/2000/01/rdf-schema#label>	"Manifestations of perseverative thought or action"	"Perseveration"	"Perseverasyon"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000587>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal optic nerve morphology"	"Abnormality of the optic nerve"	"Optik sinir anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008112>	<http://www.w3.org/2000/01/rdf-schema#label>	"Plantar flexion contracture"	"Plantar flexion contractures"	"Plantar fleksiyon kontraktürleri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012544>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating aldolase concentration"	"Elevated aldolase level"	"Artmış aldolaz seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008822>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypoplastic ischiopubic ramus"	"Hypoplastic ischiopubic rami"	"Hipoplastik iskiyopubik rami"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002167>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of speech or vocalization"	"Neurological speech impairment"	"Nörolojik konuşma bozukluğu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012400>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating aldolase concentration"	"Abnormal aldolase level"	"Anormal aldolaz seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000708>	<http://www.w3.org/2000/01/rdf-schema#label>	"Atypical behavior"	"Behavioral abnormality"	"Davranışsal anormallik"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025123>	<http://www.w3.org/2000/01/rdf-schema#label>	"White streaks/specks on enamel."@en	"White streaks/specks on enamel"	"Mine üzerinde beyaz çizgiler/benekler"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009593>	<http://www.w3.org/2000/01/rdf-schema#label>	"Peripheral schwannoma"	"Peripheral Schwannoma"	"Periferal Schwannoma"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010630>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal metatarsal epiphysis morphology"	"Abnormality of metatarsal epiphysis"	"Metatarsal epifiz anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001611>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypernasal speech"	"Nasal speech"	"Burundan konuşma"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006499>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal femoral epiphysis morphology"	"Abnormality of femoral epiphysis"	"Femoral epifiz anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045043>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C4a concentration"	"Decreased serum complement C4a"	"Azalmış serum kompleman C4a"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031138>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal B-type natriuretic peptide concentration"	"Abnormal B-type natriuretic peptide level"	"Anormal B tipi natriüretik peptit seviyesi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031431>	<http://www.w3.org/2000/01/rdf-schema#label>	"Persistent repetition of sounds"	"Persistent repetition of words"	"Kelimelerin kalıcı tekrarlanışı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012780>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A tumor (abnormal growth of tissue) of the ear."	"A tumor (abnormal growth of tissue) of the ear"	"Kulağın bir tümörü (anormal doku büyümesi)"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031699>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Failure to contain infection by a protozoan of the genus Cryptosporidium, leading to spread to many parts of the body."	"Failure to contain infection by a protozoan of the genus Cryptosporidium, leading to spread to many parts of the body"	"Vücudun bir çok kısmına yayılmaya yol açan Cryptosporidium türü protozoa tarafaından olan enfeksiyonun sınırlanamaması"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010308>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The congenital absence of the sternum."	"The congenital absence of the sternum"	"Sternumun konjenital yokluğu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002927>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An increased concentration of histidine in the urine."	"An increased concentration of histidine in the urine"	"İdrarda artmış bir histidin konsantrasyonu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000139>	<http://purl.obolibrary.org/obo/IAO_0000115>	"The presence of prolapse of the uterus."	"The presence of prolapse of the uterus"	"Uterus prolapsusu varlığı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011741>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A form of hyperaldosteronism caused by abnormally increased renin levels."	"A form of hyperaldosteronism caused by abnormally increased renin levels"	"Anormal olarak artmış renin seviyeleri tarafından oluşan bir hiperaldosteronizm formu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031409>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Any anomaly of lymphocyte function."	"Any anomaly of lymphocyte function"	"Lenfosit fonksiyonunun herhangi bir anomalisi"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410308>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A reduced ability to synthesize antibodies against antigens from an infectious agent or pathogen (such as bacteria, viruses, parasites, etc.), as measured by antibody titer determination following infection."	"A reduced ability to synthesize antibodies against antigens from an infectious agent or pathogen (such as bacteria, viruses, parasites, etc.), as measured by antibody titer determination following infection"	"Enfeksiyonu takiben antikor titresi tespiti ile ölçülen, enfeksiyöz bir ajandan veya patojenden (bakteriler, virüsler, parazitler vb.) olan bir antijene karşı azalmış antikor sentez etme kabiliyeti"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011333>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Asymmetry observed in the face of a neonate or infant whose face appears symmetric at rest and asymmetric during crying as the mouth is pulled downward on one side while not moving on the other side."	"Asymmetry observed in the face of a neonate or infant whose face appears symmetric at rest and asymmetric during crying as the mouth is pulled downward on one side while not moving on the other side"	"Dinlenme esnasında yüzü simetrik görülen bir yenidoğanın veya süt çocuğunun yüzünde ağlama esnasında ağız bir tarafta aşağı çekilirken diğer tarafta hareket etmediği şekilde gözlenen asimetri"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009815>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Absence (due to failure to form) or underdevelopment of the extremities."	"Absence (due to failure to form) or underdevelopment of the extremities"	"Ekstremitelerin yetersiz gelişmesi veya yokluğu (oluşma yetersizliği nedeniyle)"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000268>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture."	"An abnormality of skull shape characterized by a increased anterior-posterior diameter, i.e., an increased antero-posterior dimension of the skull. Cephalic index less than 76%. Alternatively, an apparently increased antero-posterior length of the head compared to width. Often due to premature closure of the sagittal suture"	"Ön-arka çapın artması, yani kafatasının ön-arka boyutunun artması ile karakterize bir kafatası şekli anormalliğidir. Sefalik indeks %76'den küçüktür. Alternatif olarak, genişliğe kıyaslandığında belirgin artmış anteroposterior boyut. Sıklıkla sagittal süturun erken kapanmasına bağlı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031645>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An eccentric abnormal localized widening (dilatation) of the abdominal aorta that involves only a portion of the circumference of the vessel wall."	"An eccentric abnormal localized widening (dilatation) of the abdominal aorta that involves only a portion of the circumference of the vessel wall"	"Abdominal aortun damar duvar çevresinin bir kısmını içerdiği eksantrik anormal lokalize genişlemesi (dilatasyonu)"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009326>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Irregular radiographic opacity of the epiphysis of the middle phalanx of the 3rd finger."	"Irregular radiographic opacity of the epiphysis of the middle phalanx of the 3rd finger"	"3. parmağın orta falanks epifizinin düzensiz radyografik opaklığı"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000615>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormality of the pupil."	"An abnormality of the pupil"	"Göz bebeğinin bir anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010461>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Abnormality of the male genital system."	"Abnormality of the male genital system"	"Erkek genital sistemi anormalliği"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002905>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An abnormally increased phosphate concentration in the blood."	"An abnormally increased phosphate concentration in the blood"	"Kanda anormal olarak artmış fosfat konsantrasyonu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002223>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Absence of the eyebrow."	"Absence of the eyebrow"	"Kaş yokluğu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030958>	<http://purl.obolibrary.org/obo/IAO_0000115>	"Bowing (bulging out) of the membranous part of the interventricular septum of more than 10-15 mm into the cavity of an adjacent ventricle (usually into the right ventricle)."	"Bowing (bulging out) of the membranous part of the interventricular septum of more than 10-15 mm into the cavity of an adjacent ventricle (usually into the right ventricle)"	"İnterventriküler septumun membranöz kısmının komşu ventrikül (genellikle sağ ventrikül içine) boşluğu içine 10-15 mm'den daha fazla eğilmesi (pırtlaması)"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012114>	<http://purl.obolibrary.org/obo/IAO_0000115>	"A carcinoma of the endometrium, the mucous lining of the uterus."	"A carcinoma of the endometrium, the mucous lining of the uterus"	"Uterusun müköz sınırı olan endometriyumun bir karsinomu"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011105>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An increase in the amount of intravascular fluid, particularly in the volume of the circulating blood."	"An increase in the amount of intravascular fluid, particularly in the volume of the circulating blood"	"İntravasküler sıvı miktarında, özellikle dolaşan kan hacminde bir artış"@tr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030191>	<http://purl.obolibrary.org/obo/IAO_0000115>	"An anomaly in the communication from a neuron to a target across a synapse in the peripheral nervous system."	"An anomaly in the communication from a neuron to a target across a synapse in the peripheral nervous system"	"Periferik sinir siteminde bir nörondan bir hedefe bir sinaps üzerinden iletişimde bir anomali"@tr	"OFFICIAL"
