?term	?property	?value	?source_value	?translation	?translation_status
<http://purl.obolibrary.org/obo/HP_0000177>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal upper lip morphology"	"Abnormality of upper lip"	"Anomalie de la lèvre supérieure"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000722>	<http://www.w3.org/2000/01/rdf-schema#label>	"Compulsive behaviors"	"Obsessive-compulsive behavior"	"Trouble obsessionnel compulsif"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040311>	<http://www.w3.org/2000/01/rdf-schema#label>	"Symmetric polyarthritis"	"Symetrical distal arthritis"	"Arthrite distale symétrique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031187>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating pregnenolone concentration"	"Abnormality of circulating pregnenolone level"	"Anomalie du taux de prégnénolone circulant"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006143>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal finger flexion crease"	"Abnormal finger flexion creases"	"Plis interphalangiens distaux anormaux"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012071>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating acylcarnitine concentration"	"Abnormal circulating acetylcarnitine concentration"	"Anomalie du métabolisme de l'acétylcarnitine"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011442>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal central motor function"	"Abnormality of central motor function"	"Anomalie de la fonction du neurone moteur central"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008803>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Narrow sacroiliac notch"	"Narrow sacroiliac notch"	"incisure sacroiliaque étroite"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040242>	<http://www.w3.org/2000/01/rdf-schema#label>	"Muscle hemorrhage"	"Muscle haemorrhage"	"Hémorragie musculaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032179>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating globulin concentration"	"Abnormal circulating globulin level"	"Taux de globuline circulante anormal"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010630>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal metatarsal epiphysis morphology"	"Abnormality of metatarsal epiphysis"	"Anomalie des épiphyses métatarsiennes"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007054>	<http://www.w3.org/2000/01/rdf-schema#label>	"Proximal hyperreflexia"	"Hyperreflexia proximally"	"Hyperréflexie proximale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010959>	<http://www.w3.org/2000/01/rdf-schema#label>	"Congenital pulmonary airway malformation"	"Congenital cystic adenomatoid malformation of the lung"	"malformation adénomateuse kystique congénitale du poumon"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008823>	<http://www.w3.org/2000/01/rdf-schema#label>	"Inferior pubic ramus hypoplasia"	"Hypoplastic inferior pubic rami"	"Hypoplasie de la branche pubienne inférieure"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0500076>	<http://www.w3.org/2000/01/rdf-schema#label>	"Alternating hypertropia"	"Alternating hypetropia"	"Hypertropie en alternance"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002617>	<http://www.w3.org/2000/01/rdf-schema#label>	"Vascular dilatation"	"Dilatation"	"Anévrysme"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004434>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C8 concentration"	"C8 deficiency"	"Déficit en C8"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005621>	<http://www.w3.org/2000/01/rdf-schema#label>	"Trapezoidal vertebral body"	"Trapezoidal shaped vertebral bodies"	"Corps vertébraux en forme de trapèze"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005557>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal zygomatic arch morphology"	"Abnormality of the zygomatic arch"	"Anomalie de l'arcade zygomatique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011805>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal skeletal muscle morphology"	"Abnormal muscle morphology"	"Anomalie de la morphologie musculaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011158>	<http://www.w3.org/2000/01/rdf-schema#label>	"Focal sensory seizure with auditory features"	"Focal sensory auditory seizure"	"Auras auditives"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0032125>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased proportion of unswitched memory B cells"	"Increased proportion of non-class-switched memory B cells"	"Augmentation de la proportion de cellules B à mémoire non commutées par classe"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410282>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating amylase concentration"	"Abnormal circulating amylase level"	"Taux d'amylase circulante anormal"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040286>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal axial muscle morphology"	"Abnormality of axial muscles"	"Anomalie des muscles axiaux"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004379>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of alkaline phosphatase level"	"Abnormality of alkaline phosphatase activity"	"Anomalie de l'activité phosphatase alcaline"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0007576>	<http://www.w3.org/2000/01/rdf-schema#label>	"Palmar neurofibroma"	"Palmar neurofibromas"	"neurofibromes palmaires"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006818>	<http://www.w3.org/2000/01/rdf-schema#label>	"4-layered lissencephaly"	"Type I lissencephaly"	"Lissencéphalie type I"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006297>	<http://www.w3.org/2000/01/rdf-schema#label>	"Enamel hypoplasia"	"Hypoplasia of dental enamel"	"Hypoplasie de l'émail dentaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006491>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal tibial metaphysis morphology"	"Abnormality of the tibial metaphysis"	"Anomalie de la métaphyse du tibia"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008112>	<http://www.w3.org/2000/01/rdf-schema#label>	"Plantar flexion contracture"	"Plantar flexion contractures"	"Contractures en flexion plantaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010013>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal 5th metacarpal morphology"	"Abnormality of the 5th metacarpal"	"anomalie du cinquième métacarpien"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008326>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced circulating vitamin B6 level"	"Vitamin B6 deficiency"	"Carence en vitamine B6"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010600>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal distal ulnar epiphysis morphology"	"Abnormality of the distal ulnar epiphysis"	"anomalies des épiphyses ulnaires distales"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006926>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Metachromatic leukodystrophy variant"	"Metachromatic leukodystrophy variant"	"Variant de la leucodystrophie métachromatique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010702>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating antibody level"	"Increased antibody level in blood"	"Hypergammaglobulinémie"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031265>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal glomerular visceral epithelial cell morphology"	"Abnormal podocyte morphology"	"Morphologie anormale du podocyte"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040021>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Radial deviation of the thumb"	"Radial deviation of the thumb"	"Déviation radiale du pouce"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001252>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hypotonia"	"Muscular hypotonia"	"Hypotonie musculaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002505>	<http://www.w3.org/2000/01/rdf-schema#label>	"Loss of ambulation"	"Progressive inability to walk"	"Incapacité progressive à marcher"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008744>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal aryepiglottic fold morphology"	"Abnormality of the aryepiglottic fold"	"Anomalie du repli ary-épiglottique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040290>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Abnormality of skeletal muscles"	"Abnormality of skeletal muscles"	"Anomalie des muscles squelettiques"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410173>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating troponin I concentration"	"Increased troponin I level in blood"	"Augmentation du taux de troponine I dans le sang"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001595>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hair morphology"	"Abnormality of the hair"	"Anomalie des cheveux/poils"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045046>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reduced insulin like growth factor binding protein acid labile subunit concentration"	"Reduced insulin like growth factor binding protein acid labile subunit level"	"Diminution du taux de la sous-unité labile acide de la protéine de liaison du facteur de croissance de type insuline"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0045026>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal mediastinum morphology"	"Abnormality of the mediastinum"	"Anomalie du médiastin"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002060>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cerebral morphology"	"Abnormality of the cerebrum"	"Anomalie de l'encéphale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011163>	<http://www.w3.org/2000/01/rdf-schema#label>	"Focal sensory seizure with somatosensory features"	"Somatosensory auras"	"Auras somatosensorielles"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009736>	<http://www.w3.org/2000/01/rdf-schema#label>	"Tibial pseudarthrosis"	"Tibial pseudoarthrosis"	"Pseudarthrose du tibia"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008165>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased helper T cell proportion"	"Decreased proportion circulating T-helper cells"	"Réduction des cellules T-helper circulants"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal cranial ganglion morphology"	"Abnormality of cranial ganglion"	"Anomalie du ganglion crânien"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010324>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal morphology of phalanx of the 2nd toe"	"Abnormality of phalanx of the 2nd toe"	"anomalie des phalanges du deuxième orteil"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011282>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hindbrain morphology"	"Abnormality of hindbrain morphology"	"Anomalie du rhombencéphale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011168>	<http://www.w3.org/2000/01/rdf-schema#label>	"Focal seizure with eyelid myoclonia"	"Eyelid myoclonias"	"Myoclonies de la paupière"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001575>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Mood changes"	"Mood changes"	"Changements d'humeur"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410301>	<http://www.w3.org/2000/01/rdf-schema#label>	"Partial absence of specific antibody response to unconjugated pneumococcus vaccine"	"Partial absence of specific antibody response to pneumococcus vaccine"	"Absence partielle de réponse en anticorps spécifiques au vaccin antipneumococcique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008808>	<http://www.w3.org/2000/01/rdf-schema#label>	"High iliac wing"	"High iliac wings"	"Ailes iliaques étroites"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031103>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased cirrculating antimullerian hormone circulation"	"Decreased antimullerian hormone level"	"Diminution du taux d'hormone antimüllérienne"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025435>	<http://www.w3.org/2000/01/rdf-schema#label>	"Increased circulating lactate dehydrogenase concentration"@en	"Increased lactate dehydrogenase activity"	"Augmentation de l'activité de la lactate déshydrogénase"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001805>	<http://www.w3.org/2000/01/rdf-schema#label>	"Onychogryposis"	"Thick nail"	"Ongles épaissis (onychogryphose)"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002143>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal spinal cord morphology"	"Abnormality of the spinal cord"	"Anomalie de la moelle spinale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410303>	<http://www.w3.org/2000/01/rdf-schema#label>	"Complete or near-complete absence of specific antibody response to Haemophilus influenzae type b (Hib) vaccine"	"Complete or near-complete absence of specific antibody response to Haemophilus H type B vaccine"	"Absence complète ou quasi-complète de réponse des anticorps spécifiques au vaccin contre l'Haemophilus H type B"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001231>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal fingernail morphology"	"Abnormality of the fingernails"	"Anomalie des ongles de la main"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0012029>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal urine hormone level"	"Abnormality of urine hormone level"	"Anomalie d'un dosage hormonal urinaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0011281>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of urine catecholamine level"	"Abnormality of urine catecholamine concentration"	"Anomalie de la concentration des catécolamines urinaires"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008054>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal morphology of the conjunctival vasculature"	"Abnormal vasculature of the conjunctiva morphology"	"Anomalie morphologique de la vascularisation de la conjonctive"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030862>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated CSF amyloid concentration"	"Elevated CSF amyloid level"	"Taux élevé d'amyloïdes dans le LCR"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003272>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hip bone morphology"	"Abnormality of the hip bone"	"Anomalie osseuse de la hanche"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003785>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased CSF homovanillic acid concentration"	"Decreased CSF homovanillic acid"	"Diminution de la concentration d'acide homovanillique dans le LCR"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001470>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sex-limited expression"	"Sex-limited autosomal dominant"	"Transmission autosomique dominante limitée à un sexe"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0025190>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bilateral tonic-clonic seizure with generalized onset"@en	"Generalized tonic-clonic seizures without focal onset"	"Crises tonico-cloniques généralisées sans début focal"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0500166>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal circulating gastrin concentration"	"Abnormal circulating gastrin level"	"Concentration plasmatique de gastrine anormale"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000095>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal renal glomerulus morphology"	"Abnormality of renal glomerulus morphology"	"Anomalie morphologique glomérulaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005925>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal hand diaphysis morphology"	"Abnormalities of the diaphyses of the hand"	"Anomalie des diaphyses de la main"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002189>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Excessive daytime sleepiness"	"Excessive daytime sleepiness"	"Somnolence diurne excessive"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031902>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Decreased serum mast cell beta-tryptase concentration"	"Decreased serum mast cell beta-tryptase concentration"	"Diminution de la concentration en bêta-tryptase des mastocytes dans le sérum"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008519>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal coccyx morphology"	"Abnormality of the coccyx"	"Anomalie du coccyx"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0030210>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anti-muscle-specific tyrosine kinase antibody"	"Muscle specific kinase antibody positivity"	"Anticorps contre la kinase spécifique du muscle."@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000383>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal periauricular region morphology"	"Abnormality of periauricular region"	"Anomalie de la région péri-auriculaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0410192>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal uridine diphosphate glucose-4-epimerase level"	"Abnormal uridine diphosphate glucose-4-epimerase activity"	"Activité anormale de l'uridine diphosphate glucose-4-épimérase"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003530>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elevated circulating glutaric acid concentration"	"Glutaric acidemia"	"Acidemie glutarique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040323>	<http://www.w3.org/2000/01/rdf-schema#label>	"Eyelid erythema"	"Erythema of the eyelids"	"Érythème des paupières"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0009593>	<http://www.w3.org/2000/01/rdf-schema#label>	"Peripheral schwannoma"	"Peripheral Schwannoma"	"Schwannome périphérique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003771>	<http://www.w3.org/2000/01/rdf-schema#label>	"Pulp calcification"	"Pulp stones"	"Calcul pulpaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031005>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Hyperalgesia"	"Hyperalgesia"	"Hyperalgésie"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0002867>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal ilium morphology"	"Abnormality of the ilium"	"Anomalie de l'ilium"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0100707>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal astrocyte morphology"	"Abnormality of the astrocytes"	"Anomalie des astrocytes"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040111>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Bilateral external ear deformity"	"Bilateral external ear deformity"	"Déformation bilatérale de l'oreille externe"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0008818>	<http://www.w3.org/2000/01/rdf-schema#label>	"Large iliac wing"	"Large iliac wings"	"ailes iliaques élargies"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006315>	<http://www.w3.org/2000/01/rdf-schema#label>	"Solitary median maxillary central incisor"	"Single median maxillary incisor"	"Incisive centrale maxillaire médiane unique"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000096>	<http://www.w3.org/2000/01/rdf-schema#label>	"Glomerular sclerosis"	"Glomerulosclerosis"	"Glomérulosclérose"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0004035>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal ulnar styloid process morphology"	"Abnormality of the styloid process of ulna"	"Anomalie du processus styloïde ulnaire"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0000091>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal renal tubule morphology"	"Abnormality of the renal tubule"	"Anomalie du tubule rénal"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0005421>	<http://www.w3.org/2000/01/rdf-schema#label>	"Decreased circulating complement C3 concentration"	"Decreased serum complement C3"	"Complément C3 sérique diminué"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0003490>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Defective dehydrogenation of isovaleryl CoA and butyryl CoA"	"Defective dehydrogenation of isovaleryl CoA and butyryl CoA"	"Déshydrogénation défectueuse de l'isovaleryl coA et du butyryl coA"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0010010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal 2nd metacarpal morphology"	"Abnormality of the 2nd metacarpal"	"anomalie du second métacarpien"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031900>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Abnormal serum tryptase concentration"	"Abnormal serum mast cell beta-tryptase concentration"	"Concentration anormale de bêta-tryptase sérique des mastocytes"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0001475>	<http://www.w3.org/2000/01/rdf-schema#label>	"Male-limited expression"	"Male-limited autosomal dominant"	"Transmission autosomique dominante limitée aux garçons"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0031434>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormal prosody"	"Abnormal speech prosody"	"Prosodie anormale de la parole"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0006984>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete Distal sensory loss of all modalities"	"Distal sensory loss of all modalities"	"Perte sensorielle distale de toutes les modalités"@fr	"OFFICIAL"
<http://purl.obolibrary.org/obo/HP_0040120>	<http://www.w3.org/2000/01/rdf-schema#label>	"Abnormality of the reflex of the tensor tympani muscle"	"Abnormality of the reflex of the tensor tympanii muscle"	"Anomalie du reflexe tympanique (réflexe du muscle tenseur du tympan)"@fr	"OFFICIAL"
