?term	?property	?translation_lang	?original_value	?translation
<http://purl.obolibrary.org/obo/HP_0031421>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small superior frontal cortex"	"Petit cortex frontal supérieur"@fr
<http://purl.obolibrary.org/obo/HP_0006140>	<http://www.w3.org/2000/01/rdf-schema#label>		"Premature fusion of phalangeal epiphyses"	"Fusion prématurée des épiphyses des phalanges"@fr
<http://purl.obolibrary.org/obo/HP_0031520>	<http://www.w3.org/2000/01/rdf-schema#label>		"Groin pain"	"Douleur à l'aine"@fr
<http://purl.obolibrary.org/obo/HP_0003292>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased serum leptin"	"Leptinémie diminuée"@fr
<http://purl.obolibrary.org/obo/HP_0009058>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased muscle lipid content"	"Augmentation du contenu lipidique intramusculaire"@fr
<http://purl.obolibrary.org/obo/HP_0000091>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the renal tubule"	"Anomalie du tubule rénal"
<http://purl.obolibrary.org/obo/HP_0003558>	<http://www.w3.org/2000/01/rdf-schema#label>		"Viral infection-induced rhabdomyolysis"	"Rhabdomyolyse induite par une infection virale"@fr
<http://purl.obolibrary.org/obo/HP_0012190>	<http://www.w3.org/2000/01/rdf-schema#label>		"T-cell lymphoma"	"Lymphome T"@fr
<http://purl.obolibrary.org/obo/HP_0032250>	<http://www.w3.org/2000/01/rdf-schema#label>		"Acinetobacter infection"	"Infection à Acinetobacter"@fr
<http://purl.obolibrary.org/obo/HP_0032055>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal cortical dysplasia type IIIa"	"Dysplasie corticale focale de type IIIa"@fr
<http://purl.obolibrary.org/obo/HP_0007761>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pericentral scotoma"	"Scotomes péricentraux"@fr
<http://purl.obolibrary.org/obo/HP_0025575>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal superior vena cava morphology"	"Morphologie anormale de la veine cave supérieure"@fr
<http://purl.obolibrary.org/obo/HP_0011445>	<http://www.w3.org/2000/01/rdf-schema#label>		"Athetoid cerebral palsy"	"Paralysie cérébrale athétosique"@fr
<http://purl.obolibrary.org/obo/HP_0010410>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symphalangism affecting the middle phalanx of the 2nd toe"	"Symphalangisme affectant la phalange moyenne du deuxième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0010740>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteopathia striata"	"Ostéopathie striée"@fr
<http://purl.obolibrary.org/obo/HP_0025070>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal U wave"	"Onde U anormale"@fr
<http://purl.obolibrary.org/obo/HP_0009189>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the metacarpal epiphyses"	"fragmentation épiphysaire du métacarpe"@fr
<http://purl.obolibrary.org/obo/HP_0001960>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hypokalemic metabolic alkalosis"	"Alcalose métabolique hypokaliémique"@fr
<http://purl.obolibrary.org/obo/HP_3000004>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of frontalis muscle belly"	"Anomalie du corps du muscle frontal"@fr
<http://purl.obolibrary.org/obo/HP_0031846>	<http://www.w3.org/2000/01/rdf-schema#label>		"Femur fracture"	"Fracture du fémur"@fr
<http://purl.obolibrary.org/obo/HP_0010422>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete duplication of the proximal phalanx of the 2nd toe"	"duplication complète de la phalange proximale du 2ième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0005423>	<http://www.w3.org/2000/01/rdf-schema#label>		"Dysfunctional alternative complement pathway"	"Dysfonctionnement de la voie alterne du complément"@fr
<http://purl.obolibrary.org/obo/HP_0031885>	<http://www.w3.org/2000/01/rdf-schema#label>		"Hyperglycorrhachia"	"Hyperglycorrhachie"@fr
<http://purl.obolibrary.org/obo/HP_0032057>	<http://www.w3.org/2000/01/rdf-schema#label>		"Focal cortical dysplasia type IIIc"	"Dysplasie corticale focale de type IIIc"@fr
<http://purl.obolibrary.org/obo/HP_0003150>	<http://www.w3.org/2000/01/rdf-schema#label>		"Glutaric aciduria"	"Acidurie glutarique"@fr
<http://purl.obolibrary.org/obo/HP_0009404>	<http://www.w3.org/2000/01/rdf-schema#label>		"Broad phalanges of the 4th finger"	"Phalanges de l'annulaire larges"@fr
<http://purl.obolibrary.org/obo/HP_0011933>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elongated superior cerebellar peduncle"	"Pédoncule cérébelleux supérieur anormalement long"@fr
<http://purl.obolibrary.org/obo/HP_0001657>	<http://www.w3.org/2000/01/rdf-schema#label>		"Prolonged QT interval"	"Espace QT prolongé"@fr
<http://purl.obolibrary.org/obo/HP_0008193>	<http://www.w3.org/2000/01/rdf-schema#label>		"Primary gonadal insufficiency"	"Insuffisance gonadique primitive"@fr
<http://purl.obolibrary.org/obo/HP_0003184>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased hip abduction"	"Abduction de la hanche diminuée"@fr
<http://purl.obolibrary.org/obo/HP_0009411>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bracket epiphyses of the 3rd finger"	"Pont épiphysaire du majeur"@fr
<http://purl.obolibrary.org/obo/HP_0030887>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased lymphocyte apoptosis"	"Augmentation de l'apoptose lymphocytaire"@fr
<http://purl.obolibrary.org/obo/HP_0030572>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pinhole visual acuity 0.4 LogMAR"	"Acuité visuelle du sténopé 0.4 LogMAR"@fr
<http://purl.obolibrary.org/obo/HP_0012727>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thoracic aortic aneurysm"	"Anévrisme de l'aorte thoracique"@fr
<http://purl.obolibrary.org/obo/HP_0100349>	<http://www.w3.org/2000/01/rdf-schema#label>		"Contracture of the proximal interphalangeal joint of the 3rd toe"	"Contractures de l'articulation interphalangienne proximale du troisième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0100850>	<http://purl.obolibrary.org/obo/IAO_0000115>		"A tumor (abnormal growth of tissue) of the penis"	"Une tumeur (croissance anormale des tissus) du pénis"
<http://purl.obolibrary.org/obo/HP_0004417>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intermittent claudication"	"Claudication intermittente"@fr
<http://purl.obolibrary.org/obo/HP_0002202>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pleural effusion"	"Épanchement pleural"@fr
<http://purl.obolibrary.org/obo/HP_0003465>	<http://www.w3.org/2000/01/rdf-schema#label>		"Elevated 8(9)-cholestenol"	"Zymostérol élevé"@fr
<http://purl.obolibrary.org/obo/HP_0004392>	<http://www.w3.org/2000/01/rdf-schema#label>		"Prune belly"	"Abdomen en prune (par aplasie congénitale de la musculature abdominale)"@fr
<http://purl.obolibrary.org/obo/HP_0012702>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tenesmus"	"Ténesme"@fr
<http://purl.obolibrary.org/obo/HP_0006955>	<http://www.w3.org/2000/01/rdf-schema#label>		"Olivopontocerebellar hypoplasia"	"Hypoplasie olivo-ponto-cérébelleuse"@fr
<http://purl.obolibrary.org/obo/HP_0025281>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sharp"	"Aiguë"@fr
<http://purl.obolibrary.org/obo/HP_0010155>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ivory epiphysis of the 1st metatarsal"	"Épiphyse d'ivoire de la phalange proximale du premier métatarse"@fr
<http://purl.obolibrary.org/obo/HP_0012805>	<http://www.w3.org/2000/01/rdf-schema#label>		"Iris transillumination defect"	"Défaut de transillumination de l'iris"@fr
<http://purl.obolibrary.org/obo/HP_0011603>	<http://www.w3.org/2000/01/rdf-schema#label>		"Congenital malformation of the great arteries"	"Malformation congénitale des gros vaisseaux"@fr
<http://purl.obolibrary.org/obo/HP_0004029>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lytic defects of radial diaphysis"	"Anomalies lytiques de la diaphyse radiale"@fr
<http://purl.obolibrary.org/obo/HP_0010486>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the hypothenar eminence"	"Anomalie de l'éminence hypothénar"@fr
<http://purl.obolibrary.org/obo/HP_0001167>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of finger"	"Anomalie des doigts"@fr
<http://purl.obolibrary.org/obo/HP_0100439>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bullet-shaped proximal phalanx of the 5th toe"	"Phalange proximale du cinquième orteil en forme de balle de fusil"@fr
<http://purl.obolibrary.org/obo/HP_0012656>	<http://www.w3.org/2000/01/rdf-schema#label>		"Reduced CSF dopamine level"	"Diminution du dosage de dopamine dans le liquide céphalorachidien (LCR)"
<http://purl.obolibrary.org/obo/HP_0010064>	<http://www.w3.org/2000/01/rdf-schema#label>		"Symphalangism affecting the phalanges of the hallux"	"Symphalangisme affectant les phalanges de l'hallux"@fr
<http://purl.obolibrary.org/obo/HP_0008797>	<http://www.w3.org/2000/01/rdf-schema#label>		"Early ossification of capital femoral epiphyses"	"Ossification précoce de l'épiphyse fémorale proximale"@fr
<http://purl.obolibrary.org/obo/HP_0025362>	<http://www.w3.org/2000/01/rdf-schema#label>		"Renal medullary pyramid hypoplasia"	"Hypoplasie de la pyramide médullaire rénale"@fr
<http://purl.obolibrary.org/obo/HP_0004450>	<http://www.w3.org/2000/01/rdf-schema#label>		"Preauricular skin furrow"	"Sillon de la peau préauriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0011795>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intralobar nephroblastomatosis"	"Néphroblastomatose intralobaire"@fr
<http://purl.obolibrary.org/obo/HP_0003885>	<http://www.w3.org/2000/01/rdf-schema#label>		"Undermodeled humerus"	"Humérus sous-modélisé"@fr
<http://purl.obolibrary.org/obo/HP_0030460>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal timing of pattern reversal visual evoked potentials"	"Synchronisation anormale des potentiels évoqués visuels d'inversion de motif"@fr
<http://purl.obolibrary.org/obo/HP_0005266>	<http://www.w3.org/2000/01/rdf-schema#label>		"Intestinal polyp"	"Polypes intestinaux"@fr
<http://purl.obolibrary.org/obo/HP_0003392>	<http://www.w3.org/2000/01/rdf-schema#label>		"First dorsal interossei muscle weakness"	"Faiblesse musculaire du premier muscle interosseux dorsal"@fr
<http://purl.obolibrary.org/obo/HP_0000293>	<http://www.w3.org/2000/01/rdf-schema#label>		"Full cheeks"	"Face joufflue"@fr
<http://purl.obolibrary.org/obo/HP_0001435>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the shoulder girdle musculature"	"Anomalie de la musculature de la ceinture scapulaire"@fr
<http://purl.obolibrary.org/obo/HP_0100694>	<http://www.w3.org/2000/01/rdf-schema#label>		"Tibial torsion"	"Torsion du tibia"@fr
<http://purl.obolibrary.org/obo/HP_0031751>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lateral rectus muscle underaction"	"Sous-action du muscle droit latéral"@fr
<http://purl.obolibrary.org/obo/HP_0009265>	<http://www.w3.org/2000/01/rdf-schema#label>		"Fragmentation of the epiphysis of the proximal phalanx of the 4th finger"	"Fragmentation épiphysaire de la phalange proximale de l'annulaire"@fr
<http://purl.obolibrary.org/obo/HP_0011305>	<http://www.w3.org/2000/01/rdf-schema#label>		"Partial absence of toe"	"absence partielle d'un orteil"@fr
<http://purl.obolibrary.org/obo/HP_0011032>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of fluid regulation"	"Anomalie de régulation des fluides corporels"@fr
<http://purl.obolibrary.org/obo/HP_0007928>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal flash visual evoked potentials"	"Potentiel évoqués visuels par flash anormaux"@fr
<http://purl.obolibrary.org/obo/HP_0007502>	<http://www.w3.org/2000/01/rdf-schema#label>		"Follicular hyperkeratosis"	"Hyperkératose folliculaire"@fr
<http://purl.obolibrary.org/obo/HP_0012630>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal trabecular meshwork morphology"	"Morphologie anormale du réseau trabéculaire"@fr
<http://purl.obolibrary.org/obo/HP_0008619>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bilateral sensorineural hearing impairment"	"Déficit auditif neurosensoriel bilatéral"@fr
<http://purl.obolibrary.org/obo/HP_0025251>	<http://www.w3.org/2000/01/rdf-schema#label>		"Open comedo"	"Comédon ouvert"@fr
<http://purl.obolibrary.org/obo/HP_0100172>	<http://www.w3.org/2000/01/rdf-schema#label>		"Enlarged epiphysis of the distal phalanx of the 4th toe"	"Épiphyse élargie de la phalange distale du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0002180>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neurodegeneration"	"Neurodégénérescence"@fr
<http://purl.obolibrary.org/obo/HP_0030480>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal timing of light-adapted flicker electroretinogram"	"Synchronisation anormale de l'électrorétinogramme de scintillement adapté à la lumière"@fr
<http://purl.obolibrary.org/obo/HP_0003102>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased carrying angle"	"Augmentation de l'angle portant"@fr
<http://purl.obolibrary.org/obo/HP_0006369>	<http://www.w3.org/2000/01/rdf-schema#label>		"Irregular patellae"	"Patella irrégulière"@fr
<http://purl.obolibrary.org/obo/HP_0031689>	<http://www.w3.org/2000/01/rdf-schema#label>		"Megakaryocyte dysplasia"	"Dysplasie des mégacaryocytes"@fr
<http://purl.obolibrary.org/obo/HP_0009134>	<http://www.w3.org/2000/01/rdf-schema#label>		"Osteolysis involving bones of the feet"	"ostéolyse des os du pied"@fr
<http://purl.obolibrary.org/obo/HP_0025342>	<http://www.w3.org/2000/01/rdf-schema#label>		"Central retinal artery occlusion"	"Occlusion de l'artère rétinienne centrale"@fr
<http://purl.obolibrary.org/obo/HP_0005957>	<http://www.w3.org/2000/01/rdf-schema#label>		"Breathing dysregulation"	"Dérégulation respiratoire"@fr
<http://purl.obolibrary.org/obo/HP_0007131>	<http://www.w3.org/2000/01/rdf-schema#label>		"Acute demyelinating polyneuropathy"	"Polyneuropathie démyélinisante aiguë"@fr
<http://purl.obolibrary.org/obo/HP_0000799>	<http://www.w3.org/2000/01/rdf-schema#label>		"Renal steatosis"	"Stéatose rénale"@fr
<http://purl.obolibrary.org/obo/HP_0005999>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ureteral atresia"	"Atrésie de l'uretère"@fr
<http://purl.obolibrary.org/obo/HP_0000069>	<http://purl.obolibrary.org/obo/IAO_0000115>		"An abnormality of the ureter"	"Une anomalie de l'uretère"
<http://purl.obolibrary.org/obo/HP_0030919>	<http://www.w3.org/2000/01/rdf-schema#label>		"Low 5-minute APGAR score"	"Faible score APGAR à 5 minutes"@fr
<http://purl.obolibrary.org/obo/HP_0000225>	<http://purl.obolibrary.org/obo/IAO_0000115>		"Hemorrhage affecting the gingiva"	"Hémorragie affectant la gencive"
<http://purl.obolibrary.org/obo/HP_0100304>	<http://www.w3.org/2000/01/rdf-schema#label>		"Muscle fiber intranuclear inclusion bodies"	"Corps d'inclusion intranucléiares de la fibre musculaire"@fr
<http://purl.obolibrary.org/obo/HP_0100933>	<http://www.w3.org/2000/01/rdf-schema#label>		"Sclerosis of the proximal phalanx of the 4th toe"	"sclérose de la phalange proximale du quatrième orteil"@fr
<http://purl.obolibrary.org/obo/HP_0011775>	<http://www.w3.org/2000/01/rdf-schema#label>		"Thyroid macrofollicular adenoma"	"Adénome macrofolliculaire de la thyroïde"@fr
<http://purl.obolibrary.org/obo/HP_0032187>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anal intraepithelial neoplasia"	"Carcinome in situ intraépithélial anal"@fr
<http://purl.obolibrary.org/obo/HP_0009732>	<http://www.w3.org/2000/01/rdf-schema#label>		"Plexiform neurofibroma"	"Névrome plexiforme"@fr
<http://purl.obolibrary.org/obo/HP_0031452>	<http://www.w3.org/2000/01/rdf-schema#label>		"Lichenoid skin lesion"	"Lésion cutanée lichénoïde"@fr
<http://purl.obolibrary.org/obo/HP_0009378>	<http://www.w3.org/2000/01/rdf-schema#label>		"Triangular shaped phalanges of the 5th finger"	"Phalanges de l'auriculaire de forme triangulaire"@fr
<http://purl.obolibrary.org/obo/HP_0031845>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal libido"	"Libido anormale"@fr
<http://purl.obolibrary.org/obo/HP_0010011>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the 3rd metacarpal"	"anomalie du troisième métacarpien"
<http://purl.obolibrary.org/obo/HP_0011532>	<http://www.w3.org/2000/01/rdf-schema#label>		"Subretinal exudate"	"Exsudat subrétinien"@fr
<http://purl.obolibrary.org/obo/HP_0100270>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of dorsoventral patterning of the limbs"	"Anomalie du modelage dorsoventral des membres"@fr
<http://purl.obolibrary.org/obo/HP_0002159>	<http://www.w3.org/2000/01/rdf-schema#label>		"Heparan sulfate excretion in urine"	"Excrétion urinaire d'héparane sulfate"@fr
<http://purl.obolibrary.org/obo/HP_0001272>	<http://www.w3.org/2000/01/rdf-schema#label>		"Cerebellar atrophy"	"Atrophie cérébelleuse"@fr
<http://purl.obolibrary.org/obo/HP_0003059>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the radioulnar joints"	"Anomalie des articulations radioulnaires"@fr
<http://purl.obolibrary.org/obo/HP_0008997>	<http://www.w3.org/2000/01/rdf-schema#label>		"Proximal muscle weakness in upper limbs"	"Faiblesse des muscles proximaux des membres supérieurs"@fr
<http://purl.obolibrary.org/obo/HP_0031466>	<http://www.w3.org/2000/01/rdf-schema#label>		"Impairment in personality functioning"	"Altération du fonctionnement de la personnalité"@fr
<http://purl.obolibrary.org/obo/HP_0008348>	<http://www.w3.org/2000/01/rdf-schema#label>		"Decreased circulating IgG2 level"	"Diminution des taux plasmatiques d'IgG2"@fr
<http://purl.obolibrary.org/obo/HP_0025511>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nevus sebaceus"	"Naevus sébacé"@fr
<http://purl.obolibrary.org/obo/HP_0009423>	<http://www.w3.org/2000/01/rdf-schema#label>		"Bullet-shaped distal phalanx of the 3rd finger"	"Phalange distale du majeur en forme de balle de fusil"@fr
<http://purl.obolibrary.org/obo/HP_0006691>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pulmonic valve myxoma"	"Myxome de la valve pulmonaire"@fr
<http://purl.obolibrary.org/obo/HP_0200013>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neoplasm of fatty tissue"	"Néoplasie du tissu adipeux"@fr
<http://purl.obolibrary.org/obo/HP_0007335>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent encephalopathy"	"Encéphalopathie récurrente"@fr
<http://purl.obolibrary.org/obo/HP_0010002>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete duplication of the middle phalanges of the hand"	"Duplication complète des phalanges moyennes de la main"@fr
<http://purl.obolibrary.org/obo/HP_0100807>	<http://www.w3.org/2000/01/rdf-schema#label>		"Long fingers"	"Doigts longs"@fr
<http://purl.obolibrary.org/obo/HP_0011248>	<http://www.w3.org/2000/01/rdf-schema#label>		"Everted antitragus"	"Antitragus éversé"@fr
<http://purl.obolibrary.org/obo/HP_0012116>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormal albumin level"	"Albuminémie anormale"
<http://purl.obolibrary.org/obo/HP_0002414>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spina bifida"	"Spina bifida"
<http://purl.obolibrary.org/obo/HP_0011029>	<http://www.w3.org/2000/01/rdf-schema#label>		"Internal hemorrhage"	"Hémorragie interne"@fr
<http://purl.obolibrary.org/obo/HP_0001959>	<http://www.w3.org/2000/01/rdf-schema#label>		"Polydipsia"	"Polydipsie"@fr
<http://purl.obolibrary.org/obo/HP_0005217>	<http://www.w3.org/2000/01/rdf-schema#label>		"Duplication of internal organs"	"Duplication des organes internes"@fr
<http://purl.obolibrary.org/obo/HP_0011602>	<http://www.w3.org/2000/01/rdf-schema#label>		"Midline direction of ventricular apex"	"Direction médiane de l'apex ventriculaire"@fr
<http://purl.obolibrary.org/obo/HP_0000506>	<http://www.w3.org/2000/01/rdf-schema#label>		"Telecanthus"	"Télécanthus"@fr
<http://purl.obolibrary.org/obo/HP_0004820>	<http://www.w3.org/2000/01/rdf-schema#label>		"Acute myelomonocytic leukemia"	"Leucémie myélomonocytaire aiguë"@fr
<http://purl.obolibrary.org/obo/HP_0000080>	<http://purl.obolibrary.org/obo/IAO_0000115>		"An abnormal functionality of the genital system"	"Fonctionnement anormal du système génital"
<http://purl.obolibrary.org/obo/HP_0030798>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of the bed nucleus of stria terminalis"	"Anomalie du noyau de la strie terminale."@fr
<http://purl.obolibrary.org/obo/HP_0030217>	<http://www.w3.org/2000/01/rdf-schema#label>		"Limb apraxia"	"Apraxie des membres"@fr
<http://purl.obolibrary.org/obo/HP_0004601>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spina bifida occulta at L5"	"Spina bifida occulta en L5"@fr
<http://purl.obolibrary.org/obo/HP_0006557>	<http://www.w3.org/2000/01/rdf-schema#label>		"Polycystic liver disease"	"Polykystose hépatique"@fr
<http://purl.obolibrary.org/obo/HP_0011821>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of facial skeleton"	"Anomalie du squelette facial"
<http://purl.obolibrary.org/obo/HP_0500001>	<http://www.w3.org/2000/01/rdf-schema#label>		"Body odor"	"Odeur corporelle"@fr
<http://purl.obolibrary.org/obo/HP_0003532>	<http://www.w3.org/2000/01/rdf-schema#label>		"Ornithinuria"	"Ornithinurie"@fr
<http://purl.obolibrary.org/obo/HP_0000040>	<http://purl.obolibrary.org/obo/IAO_0000115>		"Penile length more than 2 SD above the mean for age"	"Longueur du pénis supérieure à 2 DS par rapport à l'âge"
<http://purl.obolibrary.org/obo/HP_0002907>	<http://www.w3.org/2000/01/rdf-schema#label>		"Microscopic hematuria"	"Hématurie microscopique"@fr
<http://purl.obolibrary.org/obo/HP_0030348>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased circulating androgen level"	"Augmentation du taux d'androgènes plasmatique"
<http://purl.obolibrary.org/obo/HP_0001992>	<http://www.w3.org/2000/01/rdf-schema#label>		"Organic aciduria"	"Acidurie organique"@fr
<http://purl.obolibrary.org/obo/HP_0002289>	<http://www.w3.org/2000/01/rdf-schema#label>		"Alopecia universalis"	"Alopécie généralisée"@fr
<http://purl.obolibrary.org/obo/HP_0003463>	<http://www.w3.org/2000/01/rdf-schema#label>		"Increased extraneuronal autofluorescent lipopigment"	"Augmentation des lipopigments autofluorescents dans les cellules extraneuronales"@fr
<http://purl.obolibrary.org/obo/HP_0005201>	<http://www.w3.org/2000/01/rdf-schema#label>		"Anomalous splenoportal venous system"	"Système  veineux splénoportal anormal"@fr
<http://purl.obolibrary.org/obo/HP_0004263>	<http://www.w3.org/2000/01/rdf-schema#label>		"Large capitate bone"	"Grand capitatum"@fr
<http://purl.obolibrary.org/obo/HP_0007341>	<http://www.w3.org/2000/01/rdf-schema#label>		"Diffuse swelling of cerebral white matter"	"Gonflement diffus de la substance blance cérébrale"@fr
<http://purl.obolibrary.org/obo/HP_0030571>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pinhole visual acuity 0.3 LogMAR"	"Acuité visuelle du sténopé 0.3 LogMAR"@fr
<http://purl.obolibrary.org/obo/HP_0100027>	<http://www.w3.org/2000/01/rdf-schema#label>		"Recurrent pancreatitis"	"Pancréatite récidivante"@fr
<http://purl.obolibrary.org/obo/HP_0410273>	<http://www.w3.org/2000/01/rdf-schema#label>		"Retropharyngeal hemangioma"	"Hémangiome rétropharyngien"@fr
<http://purl.obolibrary.org/obo/HP_0009088>	<http://www.w3.org/2000/01/rdf-schema#label>		"Speech articulation difficulties"	"Difficultés d'articulation de la parole"@fr
<http://purl.obolibrary.org/obo/HP_0025106>	<http://www.w3.org/2000/01/rdf-schema#label>		"Nevus roseus"	"Nevus roseus"
<http://purl.obolibrary.org/obo/HP_0004028>	<http://www.w3.org/2000/01/rdf-schema#label>		"Spurs of radial diaphysis"	"Éperons de la diaphyse radiale"@fr
<http://purl.obolibrary.org/obo/HP_0410296>	<http://www.w3.org/2000/01/rdf-schema#label>		"Complete or near-complete absence of specific antibody response to hepatitis B vaccine"	"Absence complète ou quasi-complète de réponse des anticorps spécifiques au vaccin contre l'hépatite B"@fr
<http://purl.obolibrary.org/obo/HP_0025280>	<http://www.w3.org/2000/01/rdf-schema#label>		"Pain characteristic"	"Caractéristique de la douleur"@fr
<http://purl.obolibrary.org/obo/HP_0030033>	<http://www.w3.org/2000/01/rdf-schema#label>		"Small finger"	"Petit doigt"@fr
<http://purl.obolibrary.org/obo/HP_0005913>	<http://www.w3.org/2000/01/rdf-schema#label>		"Abnormality of metacarpal epiphyses"	"Anomalie des épiphyses métacarpiennes"
<http://purl.obolibrary.org/obo/HP_0100850>	<http://www.w3.org/2000/01/rdf-schema#label>		"Neoplasm of the penis"	"Néoplasie du pénis"@fr
