subject_id	translation_value	comment
HP:0000132	Abnormálně těžké krvácení během menstruace	CANDIDATE
HP:0000132	Hypermenorea	CANDIDATE
HP:0000133	Smíšená gonadální dysgeneze	OFFICIAL
HP:0000133	Čistá gonadální dysgeneze	OFFICIAL
HP:0000134	Hypogonadismus u ženy	OFFICIAL
HP:0000135	Snížená aktivita pohlavních žláz	OFFICIAL
HP:0000137	Abnormalita vaječníků	OFFICIAL
HP:0000137	Onemocnění vaječníků	OFFICIAL
HP:0000138	Cystické vaječníky	OFFICIAL
HP:0000139	Výhřez dělohy	OFFICIAL
HP:0000140	Abnormality menstruačního cyklu	OFFICIAL
HP:0000141	Abnormální nepřítomnost menstruace	OFFICIAL
HP:0000142	Vaginální malformace	OFFICIAL
HP:0000143	Abnormální spojení mezi vaginou a rektem	OFFICIAL
HP:0000144	Abnormalita v plodnosti	OFFICIAL
HP:0000145	Příčná vaginální membrána	OFFICIAL
HP:0000147	Polycystické ovária	OFFICIAL
HP:0000147	Polycystická nemoc vaječníků	OFFICIAL
HP:0000147	Sklerocystické ovaria	OFFICIAL
HP:0000148	Abnormální uzavření nebo chybění pochvy	OFFICIAL
HP:0000149	Gonadoblastom, ženský	OFFICIAL
HP:0000151	Chybějící děloha	OFFICIAL
HP:0000151	Nepřítomnost dělohy	OFFICIAL
HP:0000152	Abnormalita hlavy a krku	OFFICIAL
HP:0000153	Abnormalita úst	OFFICIAL
HP:0000154	Velká ústa	OFFICIAL
HP:0000154	Velký ústní otvor	OFFICIAL
HP:0000154	Velká orální apertura	OFFICIAL
HP:0000154	Makrostomie	OFFICIAL
HP:0000155	Vřed v ústech	CANDIDATE
HP:0000155	Afta v ústech	CANDIDATE
HP:0000157	Abnormální jazyk	OFFICIAL
HP:0000157	Glosální abnormalita	OFFICIAL
HP:0000157	Abnormalita jazyku	OFFICIAL
HP:0000157	Lingvální abnormalita	OFFICIAL
HP:0000158	Abnormálně velký jazyk	OFFICIAL
HP:0000158	Hypertrofie jazyka	OFFICIAL
HP:0000158	Hyperplazie jazyka	OFFICIAL
HP:0000158	Lingvální hypertrofie	OFFICIAL
HP:0000158	Abnomální velikost jazyka	OFFICIAL
HP:0000158	Velký jazyk	OFFICIAL
HP:0000158	Lingvální hyperplazie	OFFICIAL
HP:0000158	Glosální hypertrofie	OFFICIAL
HP:0000158	Glosální hyperplazie	OFFICIAL
HP:0000158	Makroglosie	OFFICIAL
HP:0000158	Linguální hypertrofie	OFFICIAL
HP:0000158	Linguální hyperplazie	OFFICIAL
HP:0000159	Abnormalita rtu	OFFICIAL
HP:0000159	Abnormální ret	OFFICIAL
HP:0000159	Anomálie rtu	OFFICIAL
HP:0000159	Deformita rtu	OFFICIAL
HP:0000159	Malformace rtu	OFFICIAL
HP:0000159	Retní abnormalita	OFFICIAL
HP:0000160	Mikrostomie	OFFICIAL
HP:0000160	Malá ústa	OFFICIAL
HP:0000160	Malý ústní otvor	OFFICIAL
HP:0032928	Zvýšená koncentrace lehkých řetězců neurofilament v mozkomíšním moku	CANDIDATE
HP:0000161	Střední rozštěp horního rtu	OFFICIAL
HP:0000161	Rozštěp rtu ve středové čáře	OFFICIAL
HP:0000162	Linguální retrakce	OFFICIAL
HP:0000162	Posteriorní posun jazyka	OFFICIAL
HP:0000162	Retrakce jazyka	OFFICIAL
HP:0000162	Lingvální retrakce	OFFICIAL
HP:0000162	Ptóza jazyka	OFFICIAL
HP:0000163	Abnormalita dutiny ústní	OFFICIAL
HP:0000164	Abnormální dentice	OFFICIAL
HP:0000164	Abnormální zuby	OFFICIAL
HP:0000164	Abnormalita zubů	OFFICIAL
HP:0000164	Zubní abnormalita	OFFICIAL
HP:0000164	Dentální abnormalita	OFFICIAL
HP:0000164	Dentální anomálie	OFFICIAL
HP:0000164	Zubní problém	OFFICIAL
HP:0000164	Problémy se zubami	OFFICIAL
HP:0000164	Problémová dentice	OFFICIAL
HP:0032932	Elevated circulating pancreatic triacylglycerol lipase activity	NOT_TRANSLATED
HP:0000166	Závažné onemocnění dásně	OFFICIAL
HP:0000166	Závažné periodontální onemocnění	OFFICIAL
HP:0000166	Závažná periodontitída	OFFICIAL
HP:0000168	Abnormalita dásně	OFFICIAL
HP:0000168	Gingivální abnormalita	OFFICIAL
HP:0032936	Re-experiencing symptom	NOT_TRANSLATED
HP:0000169	Gingivální fibrom	OFFICIAL
HP:0000169	Fibrózní noduly gingivy	OFFICIAL
HP:0000169	Hereditární gingivální fibromatóza	OFFICIAL
HP:0000169	Idiopatická hyperplazie gingivy	OFFICIAL
HP:0000171	Abnormálně malý jazyk	OFFICIAL
HP:0000171	Menší jazyk	OFFICIAL
HP:0000171	Hypoglosie	OFFICIAL
HP:0000171	Hypoplastický jazyk	OFFICIAL
HP:0000171	Hypoplazie jazyka	OFFICIAL
HP:0000171	Rudimentální jazyk	OFFICIAL
HP:0000171	Malý jazyk	OFFICIAL
HP:0000171	Nedovyvinutí jazyka	OFFICIAL
HP:0000172	Abnormalita uvuly	CANDIDATE
HP:0000174	Abnormalita patra	OFFICIAL
HP:0000175	Rozštěp tvrdého i měkkého patra	OFFICIAL
HP:0000176	Rozštěp tvrdého patra krytý sliznicí	OFFICIAL
HP:0000176	Submukózní rozštěp patra	OFFICIAL
HP:0000176	Submukózní rozštěp	OFFICIAL
HP:0000177	Anomálie horního rtu	CANDIDATE
HP:0000177	Deformita horního rtu	CANDIDATE
HP:0000177	Malformace horního rtu	CANDIDATE
HP:0000178	Anomaly dolního rtu	CANDIDATE
HP:0000178	Deformity dolního rtu	CANDIDATE
HP:0000178	Malformation dolního rtu	CANDIDATE
HP:0000179	Plný dolní ret	OFFICIAL
HP:0000179	Plná červeň dolního rtu	OFFICIAL
HP:0000179	Zvětšená velikost červeně dolního rtu	OFFICIAL
HP:0000179	Velký objem dolního rtu	OFFICIAL
HP:0000179	Zvětšený objem červeně dolního rtu	OFFICIAL
HP:0000179	Tlustý dolní ret	OFFICIAL
HP:0000179	Prominentní dolní ret	OFFICIAL
HP:0000179	Prominentní červeň dolního rtu	OFFICIAL
HP:0000179	Rozměrný dolní ret	OFFICIAL
HP:0000179	Velká červená část dolního rtu	OFFICIAL
HP:0000179	Hrubá hranice červeně dolního rtu	OFFICIAL
HP:0000180	Hrbolatý jazyk	OFFICIAL
HP:0000180	Linguální lobuly	OFFICIAL
HP:0000180	Lobulace jazyka	OFFICIAL
HP:0000182	Abnormální pohyblivost jazyka	OFFICIAL
HP:0032950	Abnormal renal tubular luminal morphology	NOT_TRANSLATED
HP:0000183	Snížená pohyblivost jazyka	OFFICIAL
HP:0000183	Hypokineze jazyka	OFFICIAL
HP:0000183	Linguální hypokineze	OFFICIAL
HP:0000183	Lingvální hypokineze	OFFICIAL
HP:0032952	Common-type renal tubular atrophy	NOT_TRANSLATED
HP:0000185	Rozštěm měkkého patra	OFFICIAL
HP:0000185	Rozštěp velum palatinum	OFFICIAL
HP:0000187	Široké alveolární výběžky	OFFICIAL
HP:0000187	Široké alveolární výbežky čelisti	OFFICIAL
HP:0000187	Velké alveolární výbežky	OFFICIAL
HP:0000187	Velké alveolární výběžny čelisti	OFFICIAL
HP:0000187	Velké processus alveolaris	OFFICIAL
HP:0000187	Rozšířené alveolární výběžky	OFFICIAL
HP:0000187	Rozšířené dásňové výběžky	OFFICIAL
HP:0000188	Snížená výška horního rtu	OFFICIAL
HP:0000188	Zmenšená výška horního rtu	OFFICIAL
HP:0000188	Menší horní ret	OFFICIAL
HP:0000188	Snížený vertikální rozměr horního rtu	OFFICIAL
HP:0000188	Zkrácení horního rtu	OFFICIAL
HP:0000188	Menší horní ret	OFFICIAL
HP:0000189	Snížená šířka patra	OFFICIAL
HP:0000189	Zmenšený transversální rozměr patra	OFFICIAL
HP:0000189	Úzké patro	OFFICIAL
HP:0032957	Acanthocyturia	NOT_TRANSLATED
HP:0000190	Abnormalita uzdičky jazyka	OFFICIAL
HP:0000190	Abnormalita lingválního frenula	OFFICIAL
HP:0000190	Abnormalita orálního frenula	OFFICIAL
HP:0000190	Abnormalita uzdičky	OFFICIAL
HP:0000190	Abnormalita linguálního frenula	OFFICIAL
HP:0000191	Akcesorní orální frenula	OFFICIAL
HP:0000191	Nadpočetné orální frenula	OFFICIAL
HP:0000191	Nadpočetná uzdička	OFFICIAL
HP:0000191	Mnohočetné frenula	OFFICIAL
HP:0000191	Mnohočetné uzdičky	OFFICIAL
HP:0000193	Zdvojená uvula	CANDIDATE
HP:0000193	Rozštěpená uvula	CANDIDATE
HP:0000193	Rozštěp uvuly	CANDIDATE
HP:0000193	Rozštípnutá uvula	CANDIDATE
HP:0000193	Uvula bifida	CANDIDATE
HP:0032961	Struvite urinary crystals	NOT_TRANSLATED
HP:0000194	Otevřená ústa	OFFICIAL
HP:0000194	Ústa dokorán	OFFICIAL
HP:0000194	Otevřená pusa	OFFICIAL
HP:0000197	Abnormalita příušní žlázy	OFFICIAL
HP:0000197	Anomálie příušní žlázy	OFFICIAL
HP:0000197	Abnormalita parotidy	OFFICIAL
HP:0000198	Absence ductus parotideus	OFFICIAL
HP:0000198	Absence vývodu příušní žlázy	OFFICIAL
HP:0000198	Ageneze ductus parotideus	OFFICIAL
HP:0000198	Ageneze vývodu příušní žlázy	OFFICIAL
HP:0000198	Selhání vývoje ductus parotideus	OFFICIAL
HP:0000198	Selhání vývoje vývodu příušní žlázy	OFFICIAL
HP:0000198	Chybějící ductus parotideus	OFFICIAL
HP:0000198	Chybějící vývod příušní žlázy	OFFICIAL
HP:0032966	Centriacinar emphysema	NOT_TRANSLATED
HP:0000199	Uzlíky jazyka	OFFICIAL
HP:0000199	Linguální noduly	OFFICIAL
HP:0000199	Noduly na jazyku	OFFICIAL
HP:0000199	Uzlíky na jazyku	OFFICIAL
HP:0000199	Lingvální noduly	OFFICIAL
HP:0000200	Nedostatečná uzdička jazyka	OFFICIAL
HP:0000200	Krátká uzdička jazyka	OFFICIAL
HP:0000200	Hypoplázie uzdičky jazyka	OFFICIAL
HP:0000200	Hypoplázie lingválního frenula	OFFICIAL
HP:0000200	Hypoplázie frenula jazyka	OFFICIAL
HP:0000200	Krátké frenulum jazyka	OFFICIAL
HP:0000200	Krátké linguální frenulum	OFFICIAL
HP:0000200	Zkrácená uzdička jazyka	OFFICIAL
HP:0000200	Zkrácené frenulum jazyka	OFFICIAL
HP:0000200	Hypoplázie linguálního frenula	OFFICIAL
HP:0000201	Pierre Robin sekvence	OFFICIAL
HP:0000201	Perre Robin malformace	OFFICIAL
HP:0000201	Pierre Robinova sekvence	OFFICIAL
HP:0000201	Pierre Robinova malformace	OFFICIAL
HP:0000201	Pierre Robin syndrom	OFFICIAL
HP:0000201	Pierre Robinův syndrom	OFFICIAL
HP:0000202	Rozštěp rtu, rozštěp patra	OFFICIAL
HP:0000202	Rozštěp rtu/patra	OFFICIAL
HP:0000202	Rozštěpová vada	OFFICIAL
HP:0000202	Orofaciální rozštěp	OFFICIAL
HP:0000202	Cleft	OFFICIAL
HP:0032971	CT halo sign	NOT_TRANSLATED
HP:0000204	Cheiloschisis horního rtu	OFFICIAL
HP:0000204	Rozštěp horního rtu	OFFICIAL
HP:0000204	Zaječí pysk	OFFICIAL
HP:0000205	Těsně uzavřené rty	OFFICIAL
HP:0000206	Zánět jazyka	OFFICIAL
HP:0000206	Linguální inflamace	OFFICIAL
HP:0000206	Glositida	OFFICIAL
HP:0000206	Lingvální inflamace	OFFICIAL
HP:0032974	Abnormal cell differential of broncho-alveolar fluid	NOT_TRANSLATED
HP:0000207	Trojuhelníkové ústa	OFFICIAL
HP:0000207	Trojuhelníkový vzhled úst	OFFICIAL
HP:0032975	Abnormal biochemical composition of broncho-alveolar fluid	NOT_TRANSLATED
HP:0032975	Abnormal level of proteins in the broncho-alveolar fluid	NOT_TRANSLATED
HP:0032977	Elevated level of neutrophils in broncho-alveolar lavage fluid	NOT_TRANSLATED
HP:0000211	Snížená pohyblivost dolní čelisti	OFFICIAL
HP:0000211	Zmenšení pohybu čelisti	OFFICIAL
HP:0000211	Zmenšení otevirání čelisti	OFFICIAL
HP:0000211	Zmenšená motilita čelistí	OFFICIAL
HP:0000211	Snížený pohyb čelisti	OFFICIAL
HP:0000211	Limitována pohyblivost čelistí	OFFICIAL
HP:0000211	Limitovaný pohyb čelistí	OFFICIAL
HP:0000211	Limitovaná motilita dolní čelisti	OFFICIAL
HP:0000211	Nemožnost otevřít ústa	OFFICIAL
HP:0000211	Těžko otevřitelné ústa	OFFICIAL
HP:0000211	Křeč žvýkacích svalů	OFFICIAL
HP:0000211	Bolest žvýkacích svalů	OFFICIAL
HP:0032979	Accumulation of hemosiderin laden alveolar macrophages	NOT_TRANSLATED
HP:0032979	Siderophages in bronchoalveolar fluid	NOT_TRANSLATED
HP:0000212	Zvětšení gingivy	OFFICIAL
HP:0000212	Zvětšení dásně	OFFICIAL
HP:0000212	Gingivální hyperplazie	OFFICIAL
HP:0000212	Hyperplazie dásně	OFFICIAL
HP:0000212	Hypertrofie dásně	OFFICIAL
HP:0000212	Hypertrofie gingivy	OFFICIAL
HP:0000214	Angiektázie rtu	OFFICIAL
HP:0000214	Retní teleangiektázie	OFFICIAL
HP:0000214	Teleangiektázie rtu	OFFICIAL
HP:0000214	Metličkovité žilky rtu	OFFICIAL
HP:0000215	Plný horní ret	OFFICIAL
HP:0000215	Plná retní červeň horního rtu	OFFICIAL
HP:0000215	Sytý horní ret	OFFICIAL
HP:0000215	Zvětšená výška retní červeně	OFFICIAL
HP:0000215	Velký objem horního rtu	OFFICIAL
HP:0000215	Zvětšený objem horního rtu	OFFICIAL
HP:0000215	Prominentní horní ret	OFFICIAL
HP:0000215	Prominentní červeň horního rtu	OFFICIAL
HP:0000215	Výrazný horní ret	OFFICIAL
HP:0000215	Výrazná červeň horního rtu	OFFICIAL
HP:0000215	Tlustý horní ret	OFFICIAL
HP:0032983	Reversed halo sign	NOT_TRANSLATED
HP:0000216	Sekundární alveolární výběžky	OFFICIAL
HP:0000217	Snížená tvorba slin	OFFICIAL
HP:0000217	Snížená salivace	OFFICIAL
HP:0000217	Sucho v ústech	OFFICIAL
HP:0000217	Pocit sucha v ústech	OFFICIAL
HP:0000218	Zvýšené patro	CANDIDATE
HP:0000218	Vysoké patro	CANDIDATE
HP:0000218	Vysoký oblouk tvrdého patra	CANDIDATE
HP:0000218	Zvýšená výška patra	CANDIDATE
HP:0000219	Snížená výška retní červeně horního rtu	OFFICIAL
HP:0000219	Zmenšený objem horního rtu	OFFICIAL
HP:0000219	Zmenšený horní ret	OFFICIAL
