subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
HP:0000197	en	fr	rdfs:label	Abnormal parotid gland morphology	OFFICIAL	Anomalie de la glande parotide
HP:0000198	en	fr	rdfs:label	Absence of Stensen duct	OFFICIAL	Absence de conduit parotidien
HP:0000199	en	fr	rdfs:label	Tongue nodules	OFFICIAL	Nodules de la langue
HP:0000200	en	fr	rdfs:label	Short lingual frenulum	OFFICIAL	Frein lingual court
HP:0000201	en	fr	rdfs:label	Pierre-Robin sequence	OFFICIAL	Séquence de Pierre-Robin
HP:0000202	en	fr	rdfs:label	Oral cleft	OFFICIAL	Fente labio-palatine
HP:0000204	en	fr	rdfs:label	Cleft upper lip	OFFICIAL	Fente labiale supérieure
HP:0000205	en	fr	rdfs:label	Pursed lips	OFFICIAL	Lèvres pincées
HP:0000206	en	fr	rdfs:label	Glossitis	OFFICIAL	Glossite
HP:0000207	en	fr	rdfs:label	Triangular mouth	OFFICIAL	Bouche triangulaire
HP:0000211	en	fr	rdfs:label	Trismus	OFFICIAL	Trismus
HP:0000212	en	fr	rdfs:label	Gingival overgrowth	OFFICIAL	Hypertrophie gingivale
HP:0000214	en	fr	rdfs:label	Lip telangiectasia	OFFICIAL	Télangiectasie labiale
HP:0000215	en	fr	rdfs:label	Thick upper lip vermilion	OFFICIAL	Lèvre supérieure épaisse
HP:0000216	en	fr	rdfs:label	Broad secondary alveolar ridge	OFFICIAL	Crêtes alvéolaires secondaires larges
HP:0000217	en	fr	rdfs:label	Xerostomia	OFFICIAL	Xérostomie
HP:0000218	en	fr	rdfs:label	High palate	OFFICIAL	Palais ogival étroit
HP:0000218	en	fr	rdfs:label	High palate	OFFICIAL	Palais ogival étroit
HP:0000219	en	fr	rdfs:label	Thin upper lip vermilion	OFFICIAL	Lèvre supérieure fine
HP:0000220	en	fr	rdfs:label	Velopharyngeal insufficiency	OFFICIAL	Incompétence vélopharyngée
HP:0000221	en	fr	rdfs:label	Furrowed tongue	OFFICIAL	Langue plicaturée
HP:0000222	en	fr	rdfs:label	Gingival hyperkeratosis	OFFICIAL	Hyperkératose gingivale
HP:0000223	en	fr	rdfs:label	Abnormality of taste sensation	OFFICIAL	Anomalie de la sensation du goût
HP:0000224	en	fr	rdfs:label	Decreased taste sensation	OFFICIAL	Diminution de la sensation de goût
HP:0000225	en	fr	rdfs:label	Gingival bleeding	OFFICIAL	Hémorragie gingivale
HP:0000227	en	fr	rdfs:label	Tongue telangiectasia	OFFICIAL	Télangiectasies linguales
HP:0000228	en	fr	rdfs:label	Oral cavity telangiectasia	OFFICIAL	Télangiectasies de la cavité orale
HP:0000230	en	fr	rdfs:label	Gingivitis	OFFICIAL	Gingivite
HP:0000232	en	fr	rdfs:label	Everted lower lip vermilion	OFFICIAL	Lèvre inférieure éversée
HP:0000232	en	fr	rdfs:label	Everted lower lip vermilion	OFFICIAL	Lèvre inférieure éversée
HP:0000232	en	fr	rdfs:label	Everted lower lip vermilion	OFFICIAL	Lèvre inférieure éversée
HP:0000232	en	fr	rdfs:label	Everted lower lip vermilion	OFFICIAL	Lèvre inférieure éversée
HP:0000232	en	fr	rdfs:label	Everted lower lip vermilion	OFFICIAL	Lèvre inférieure éversée
HP:0000233	en	fr	rdfs:label	Thin vermilion border	OFFICIAL	Vermillon labial fin
HP:0000234	en	fr	rdfs:label	Abnormality of the head	OFFICIAL	Anomalie de la tête
HP:0000235	en	fr	rdfs:label	Abnormality of the fontanelles or cranial sutures	OFFICIAL	Anomalie des fontanelles et des sutures crâniennes
HP:0000236	en	fr	rdfs:label	Abnormality of the anterior fontanelle	OFFICIAL	Anomalie de la fontanelle antérieure
HP:0000237	en	fr	rdfs:label	Small anterior fontanelle	OFFICIAL	Fontanelle antérieure petite
HP:0000238	en	fr	rdfs:label	Hydrocephalus	OFFICIAL	Hydrocéphalie
HP:0000239	en	fr	rdfs:label	Large fontanelles	OFFICIAL	Fontanelles larges
HP:0000240	en	fr	rdfs:label	Abnormality of skull size	OFFICIAL	Anomalie de la taille du crâne
HP:0000242	en	fr	rdfs:label	Parietal bossing	OFFICIAL	Proéminence pariétale
HP:0000243	en	fr	rdfs:label	Trigonocephaly	OFFICIAL	Trigonocéphalie
HP:0000244	en	fr	rdfs:label	Brachyturricephaly	OFFICIAL	Brachyturricéphalie
HP:0000245	en	fr	rdfs:label	Abnormality of the paranasal sinuses	OFFICIAL	Anomalie des sinus paranasaux
HP:0000246	en	fr	rdfs:label	Sinusitis	OFFICIAL	Sinusite
HP:0000248	en	fr	rdfs:label	Brachycephaly	OFFICIAL	Brachycéphalie
HP:0000248	en	fr	rdfs:label	Brachycephaly	OFFICIAL	Brachycéphalie
HP:0000248	en	fr	rdfs:label	Brachycephaly	OFFICIAL	Brachycéphalie
HP:0000250	en	fr	rdfs:label	Dense calvaria	OFFICIAL	Calvaria dense
HP:0000252	en	fr	rdfs:label	Microcephaly	OFFICIAL	Microcéphalie
HP:0000253	en	fr	rdfs:label	Progressive microcephaly	OFFICIAL	Microcéphalie progressive
HP:0000255	en	fr	rdfs:label	Acute sinusitis	OFFICIAL	Sinusite aiguë
HP:0000256	en	fr	rdfs:label	Macrocephaly	OFFICIAL	Macrocéphalie
HP:0000260	en	fr	rdfs:label	Wide anterior fontanel	OFFICIAL	Fontanelle antérieure élargie
HP:0000262	en	fr	rdfs:label	Turricephaly	OFFICIAL	Turricéphalie
HP:0000263	en	fr	rdfs:label	Oxycephaly	OFFICIAL	Oxycéphalie
HP:0000264	en	fr	rdfs:label	Abnormality of the mastoid	OFFICIAL	Anomalie mastoïdienne
HP:0000265	en	fr	rdfs:label	Mastoiditis	OFFICIAL	Mastoïdite
HP:0000267	en	fr	rdfs:label	Cranial asymmetry	OFFICIAL	Assymétrie du crâne
HP:0000268	en	fr	rdfs:label	Dolichocephaly	OFFICIAL	Dolichocéphalie
HP:0000268	en	fr	rdfs:label	Dolichocephaly	OFFICIAL	Dolichocéphalie
HP:0000269	en	fr	rdfs:label	Prominent occiput	OFFICIAL	Proéminence occipitale
HP:0000270	en	fr	rdfs:label	Delayed cranial suture closure	OFFICIAL	Retard de soudure des sutures crâniennes
HP:0000271	en	fr	rdfs:label	Abnormality of the face	OFFICIAL	Anomalie du visage
HP:0000272	en	fr	rdfs:label	Malar flattening	OFFICIAL	Région malaire aplatie
HP:0000273	en	fr	rdfs:label	Facial grimacing	OFFICIAL	Grimace faciale
HP:0000274	en	fr	rdfs:label	Small face	OFFICIAL	Face petite
HP:0000275	en	fr	rdfs:label	Narrow face	OFFICIAL	Face étroite
HP:0000276	en	fr	rdfs:label	Long face	OFFICIAL	Face longue
HP:0000277	en	fr	rdfs:label	Abnormality of the mandible	OFFICIAL	Anomalie de la mandibule
HP:0000278	en	fr	rdfs:label	Retrognathia	OFFICIAL	Rétrognathie
HP:0000278	en	fr	rdfs:label	Retrognathia	OFFICIAL	Rétrognathie
HP:0000280	en	fr	rdfs:label	Coarse facial features	OFFICIAL	Traits grossiers du visage
HP:0000280	en	fr	rdfs:label	Coarse facial features	OFFICIAL	Traits grossiers du visage
HP:0000282	en	fr	rdfs:label	Facial edema	OFFICIAL	Oedème facial
HP:0000283	en	fr	rdfs:label	Broad face	OFFICIAL	Face large
HP:0000286	en	fr	rdfs:label	Epicanthus	OFFICIAL	Epicanthus
HP:0000287	en	fr	rdfs:label	Increased facial adipose tissue	OFFICIAL	Tissu adipeux facial augmenté
HP:0000288	en	fr	rdfs:label	Abnormality of the philtrum	OFFICIAL	Anomalie du philtrum
HP:0000289	en	fr	rdfs:label	Broad philtrum	OFFICIAL	Philtrum large
HP:0000290	en	fr	rdfs:label	Abnormality of the forehead	OFFICIAL	Anomalie du front
HP:0000291	en	fr	rdfs:label	Abnormality of facial adipose tissue	OFFICIAL	Anomalie du tissu adipeux facial
HP:0000292	en	fr	rdfs:label	Loss of facial adipose tissue	OFFICIAL	Perte de tissu adipeux facial
HP:0000293	en	fr	rdfs:label	Full cheeks	OFFICIAL	Face joufflue
HP:0000294	en	fr	rdfs:label	Low anterior hairline	OFFICIAL	Implantation basse des cheveux sur le front
HP:0000295	en	fr	rdfs:label	Doll-like facies	OFFICIAL	Faciès de poupée
HP:0000297	en	fr	rdfs:label	Facial hypotonia	OFFICIAL	Hypotonie faciale
HP:0000298	en	fr	rdfs:label	Mask-like facies	OFFICIAL	Masque facial figé
HP:0000300	en	fr	rdfs:label	Oval face	OFFICIAL	Face ovale
HP:0000301	en	fr	rdfs:label	Abnormality of facial musculature	OFFICIAL	Anomalie de la musculature faciale
HP:0000303	en	fr	rdfs:label	Mandibular prognathia	OFFICIAL	Prognathisme mandibulaire
HP:0000303	en	fr	rdfs:label	Mandibular prognathia	OFFICIAL	Prognathisme mandibulaire
HP:0000303	en	fr	rdfs:label	Mandibular prognathia	OFFICIAL	Prognathisme mandibulaire
HP:0000306	en	fr	rdfs:label	Abnormality of the chin	OFFICIAL	Anomalie du menton
HP:0000307	en	fr	rdfs:label	Pointed chin	OFFICIAL	Menton pointu
HP:0000308	en	fr	rdfs:label	Microretrognathia	OFFICIAL	Microrétrognathie
HP:0000309	en	fr	rdfs:label	Abnormality of the midface	OFFICIAL	Anomalie de l'étage moyen de la face
HP:0000311	en	fr	rdfs:label	Round face	OFFICIAL	Face ronde
HP:0000315	en	fr	rdfs:label	Abnormality of the orbital region	OFFICIAL	Anomalie de la région orbitale
HP:0000316	en	fr	rdfs:label	Hypertelorism	OFFICIAL	Hypertélorisme
