defined_class	defined_class_label	location	location_label	chemical_entity	chemical_entity_label
HP:0003455	Elevated circulating long chain fatty acid concentration	UBERON:0000178	blood	CHEBI:15904	long-chain fatty acid
HP:0003362	Increased VLDL cholesterol concentration	UBERON:0000178	blood	CHEBI:47773	very-low-density lipoprotein cholesterol
HP:0003361	Tryptophanuria	UBERON:0001088	urine	CHEBI:27897	tryptophan
HP:0003358	Elevated intracellular cystine	CL:0000000	cell	CHEBI:17376	cystine
HP:0003355	Aminoaciduria	UBERON:0001088	urine	CHEBI:33709	amino acid
HP:0003354	Hyperthreoninemia	UBERON:0000178	blood	CHEBI:26986	threonine
HP:0003348	Hyperalaninemia	UBERON:0000178	blood	CHEBI:16449	alanine
HP:0003345	Elevated urinary norepinephrine	UBERON:0001088	urine	CHEBI:33569	noradrenaline
HP:0003344	3-Methylglutaric aciduria	UBERON:0001088	urine	CHEBI:68566	3-methylglutaric acid
HP:0003334	Elevated circulating catecholamine level	UBERON:0000178	blood	CHEBI:33567	catecholamine
HP:0003297	Hyperlysinuria	UBERON:0001088	urine	CHEBI:25094	lysine
HP:0003296	Hyperthreoninuria	UBERON:0001088	urine	CHEBI:26986	threonine
HP:0003286	Cystathioninemia	UBERON:0000178	blood	CHEBI:17755	cystathionine
HP:0003268	Argininuria	UBERON:0001088	urine	CHEBI:29016	arginine
HP:0003260	Hydroxyprolinemia	UBERON:0000178	blood	CHEBI:18095	trans-4-hydroxy-L-proline
HP:0003259	Elevated serum creatinine	UBERON:0001977	blood serum	CHEBI:16737	creatinine
HP:0003239	Phosphoethanolaminuria	UBERON:0001088	urine	CHEBI:36711	phosphoethanolamine
HP:0003235	Hypermethioninemia	UBERON:0000178	blood	CHEBI:16811	methionine
HP:0003231	Hypertyrosinemia	UBERON:0000178	blood	CHEBI:18186	tyrosine
HP:0003219	Ethylmalonic aciduria	UBERON:0001088	urine	CHEBI:741548	ethylmalonic acid
HP:0003218	Oroticaciduria	UBERON:0001088	urine	CHEBI:16742	orotic acid
HP:0003217	Hyperglutaminemia	UBERON:0000178	blood	CHEBI:28300	glutamine
HP:0003215	Dicarboxylic aciduria	UBERON:0001088	urine	CHEBI:35692	dicarboxylic acid
HP:0003167	Carnosinuria	UBERON:0001088	urine	CHEBI:15727	carnosine
HP:0003166	Increased urinary taurine	UBERON:0001088	urine	CHEBI:15891	taurine
HP:0003165	Elevated circulating parathyroid hormone level	UBERON:0001977	blood serum	PR:000013429	parathyroid hormone
HP:0003163	Elevated urinary delta-aminolevulinic acid	UBERON:0001088	urine	CHEBI:17549	5-aminolevulinic acid
HP:0003161	4-Hydroxyphenylpyruvic aciduria	UBERON:0001088	urine	CHEBI:15999	(4-hydroxyphenyl)pyruvic acid
HP:0003159	Hyperoxaluria	UBERON:0001088	urine	CHEBI:132952	oxalate
HP:0003154	Increased circulating ACTH level	UBERON:0000178	blood	CHEBI:3892	corticotropin
HP:0003153	Cystathioninuria	UBERON:0001088	urine	CHEBI:17755	cystathionine
HP:0003150	Glutaric aciduria	UBERON:0001088	urine	CHEBI:17859	glutaric acid
HP:0003149	Hyperuricosuria	UBERON:0001088	urine	CHEBI:27226	uric acid
HP:0003141	Increased LDL cholesterol concentration	UBERON:0000178	blood	CHEBI:47774	low-density lipoprotein cholesterol
HP:0003138	Increased blood urea nitrogen	UBERON:0000178	blood	CHEBI:16199	urea
HP:0003137	Prolinuria	UBERON:0001088	urine	CHEBI:26271	proline
HP:0003131	Cystinuria	UBERON:0001088	urine	CHEBI:17376	cystine
HP:0003124	Hypercholesterolemia	UBERON:0000178	blood	CHEBI:16113	cholesterol
HP:0003118	Increased circulating cortisol level	UBERON:0000178	blood	CHEBI:17650	cortisol
HP:0003109	Hyperphosphaturia	UBERON:0001088	urine	CHEBI:26020	phosphate
HP:0003108	Hyperglycinuria	UBERON:0001088	urine	CHEBI:15428	glycine
HP:0003080	Hydroxyprolinuria	UBERON:0001088	urine	CHEBI:18240	4-hydroxy-L-proline
HP:0003077	Hyperlipidemia	UBERON:0000178	blood	CHEBI:18059	lipid
HP:0003076	Glycosuria	UBERON:0001088	urine	CHEBI:17234	glucose
HP:0002927	Histidinuria	UBERON:0001088	urine	CHEBI:27570	histidine
HP:0002922	Increased CSF protein	UBERON:0001359	cerebrospinal fluid	PR:000000001	protein
HP:0002919	Ketonuria	UBERON:0001088	urine	CHEBI:17087	ketone
HP:0002914	Hyperchloriduria	UBERON:0001088	urine	CHEBI:17996	chloride
HP:0002913	Myoglobinuria	UBERON:0001088	urine	CHEBI:7044	myoglobin
HP:0002912	Methylmalonic acidemia	UBERON:0000178	blood	CHEBI:30860	methylmalonic acid
HP:0002905	Hyperphosphatemia	UBERON:0000178	blood	CHEBI:26020	phosphate
HP:0002904	Hyperbilirubinemia	UBERON:0000178	blood	CHEBI:16990	bilirubin IXalpha
HP:0002904	Hyperbilirubinemia	UBERON:0000178	blood	CHEBI:16990	bilirubin
HP:0002490	Increased CSF lactate	UBERON:0001359	cerebrospinal fluid	CHEBI:24996	lactate
HP:0002161	Hyperlysinemia	UBERON:0000178	blood	CHEBI:25094	lysine
HP:0002160	Hyperhomocystinemia	UBERON:0000178	blood	CHEBI:17485	homocystine
HP:0002159	Heparan sulfate excretion in urine	UBERON:0001088	urine	CHEBI:28815	heparan sulfate
HP:0002157	Azotemia	UBERON:0000178	blood	CHEBI:51143	nitrogen molecular entity
HP:0002156	Homocystinuria	UBERON:0001088	urine	CHEBI:17485	homocystine
HP:0002155	Hypertriglyceridemia	UBERON:0000178	blood	CHEBI:17855	triglyceride
HP:0002154	Hyperglycinemia	UBERON:0000178	blood	CHEBI:15428	glycine
HP:0002152	Hyperproteinemia	UBERON:0000178	blood	CHEBI:36080	protein
HP:0002151	Increased serum lactate	UBERON:0001977	blood serum	CHEBI:24996	lactate
HP:0002149	Hyperuricemia	UBERON:0000178	blood	CHEBI:27226	uric acid
HP:0001992	Organic aciduria	UBERON:0001088	urine	CHEBI:64709	organic acid
HP:0001987	Hyperammonemia	UBERON:0000178	blood	CHEBI:16134	ammonia
HP:0001900	Increased hemoglobin	UBERON:0000178	blood	CHEBI:35143	hemoglobin
HP:0000859	Hyperaldosteronism	UBERON:0000178	blood	CHEBI:27584	aldosterone
HP:0000848	Increased circulating renin level	UBERON:0000178	blood	PR:000013883	renin
HP:0000842	Hyperinsulinemia	UBERON:0000178	blood	PR:000009054	insulin
HP:0000093	Proteinuria	UBERON:0001088	urine	CHEBI:16541	protein polypeptide chain
